freq_THz,Re_S11,Im_S11,Re_S21,Im_S21
14.990000,-1.12733328e-01,4.26821691e-02,-3.58070511e-01,-9.24218165e-01
15.012480,-1.12777927e-01,4.30751632e-02,-3.60753322e-01,-9.23154568e-01
15.034960,-1.12821257e-01,4.34688330e-02,-3.63432974e-01,-9.22083016e-01
15.057440,-1.12863315e-01,4.38631746e-02,-3.66109440e-01,-9.21003521e-01
15.079920,-1.12904096e-01,4.42581838e-02,-3.68782699e-01,-9.19916091e-01
15.102400,-1.12943597e-01,4.46538565e-02,-3.71452724e-01,-9.18820739e-01
15.124880,-1.12981814e-01,4.50501888e-02,-3.74119494e-01,-9.17717475e-01
15.147360,-1.13018742e-01,4.54471765e-02,-3.76782984e-01,-9.16606309e-01
15.169840,-1.13054378e-01,4.58448154e-02,-3.79443170e-01,-9.15487253e-01
15.192320,-1.13088717e-01,4.62431015e-02,-3.82100028e-01,-9.14360317e-01
15.214800,-1.13121755e-01,4.66420304e-02,-3.84753535e-01,-9.13225513e-01
15.237280,-1.13153490e-01,4.70415981e-02,-3.87403668e-01,-9.12082850e-01
15.259760,-1.13183916e-01,4.74418003e-02,-3.90050401e-01,-9.10932341e-01
15.282240,-1.13213029e-01,4.78426328e-02,-3.92693713e-01,-9.09773997e-01
15.304720,-1.13240827e-01,4.82440914e-02,-3.95333579e-01,-9.08607828e-01
15.327200,-1.13267304e-01,4.86461717e-02,-3.97969977e-01,-9.07433847e-01
15.349680,-1.13292458e-01,4.90488694e-02,-4.00602881e-01,-9.06252064e-01
15.372160,-1.13316284e-01,4.94521803e-02,-4.03232270e-01,-9.05062490e-01
15.394640,-1.13338778e-01,4.98561000e-02,-4.05858120e-01,-9.03865138e-01
15.417120,-1.13359937e-01,5.02606242e-02,-4.08480407e-01,-9.02660019e-01
15.439600,-1.13379756e-01,5.06657484e-02,-4.11099108e-01,-9.01447144e-01
15.462080,-1.13398232e-01,5.10714684e-02,-4.13714200e-01,-9.00226525e-01
15.484560,-1.13415362e-01,5.14777796e-02,-4.16325661e-01,-8.98998175e-01
15.507040,-1.13431141e-01,5.18846776e-02,-4.18933465e-01,-8.97762103e-01
15.529520,-1.13445566e-01,5.22921580e-02,-4.21537592e-01,-8.96518324e-01
15.552000,-1.13458632e-01,5.27002164e-02,-4.24138017e-01,-8.95266848e-01
15.574480,-1.13470337e-01,5.31088481e-02,-4.26734717e-01,-8.94007687e-01
15.596960,-1.13480676e-01,5.35180488e-02,-4.29327671e-01,-8.92740854e-01
15.619440,-1.13489646e-01,5.39278139e-02,-4.31916854e-01,-8.91466360e-01
15.641920,-1.13497244e-01,5.43381387e-02,-4.34502243e-01,-8.90184218e-01
15.664400,-1.13503465e-01,5.47490189e-02,-4.37083817e-01,-8.88894440e-01
15.686880,-1.13508305e-01,5.51604497e-02,-4.39661552e-01,-8.87597039e-01
15.709360,-1.13511762e-01,5.55724266e-02,-4.42235426e-01,-8.86292026e-01
15.731840,-1.13513832e-01,5.59849449e-02,-4.44805415e-01,-8.84979415e-01
15.754320,-1.13514511e-01,5.63980000e-02,-4.47371498e-01,-8.83659217e-01
15.776800,-1.13513795e-01,5.68115872e-02,-4.49933651e-01,-8.82331445e-01
15.799280,-1.13511681e-01,5.72257019e-02,-4.52491853e-01,-8.80996112e-01
15.821760,-1.13508166e-01,5.76403394e-02,-4.55046080e-01,-8.79653231e-01
15.844240,-1.13503246e-01,5.80554949e-02,-4.57596310e-01,-8.78302814e-01
15.866720,-1.13496917e-01,5.84711637e-02,-4.60142520e-01,-8.76944874e-01
15.889200,-1.13489176e-01,5.88873410e-02,-4.62684690e-01,-8.75579424e-01
15.911680,-1.13480020e-01,5.93040222e-02,-4.65222795e-01,-8.74206476e-01
15.934160,-1.13469445e-01,5.97212023e-02,-4.67756814e-01,-8.72826045e-01
15.956640,-1.13457447e-01,6.01388765e-02,-4.70286724e-01,-8.71438142e-01
15.979120,-1.13444024e-01,6.05570402e-02,-4.72812504e-01,-8.70042781e-01
16.001600,-1.13429171e-01,6.09756883e-02,-4.75334131e-01,-8.68639976e-01
16.024080,-1.13412887e-01,6.13948161e-02,-4.77851583e-01,-8.67229739e-01
16.046560,-1.13395166e-01,6.18144187e-02,-4.80364838e-01,-8.65812083e-01
16.069040,-1.13376006e-01,6.22344911e-02,-4.82873874e-01,-8.64387022e-01
16.091520,-1.13355404e-01,6.26550285e-02,-4.85378669e-01,-8.62954570e-01
16.114000,-1.13333356e-01,6.30760260e-02,-4.87879202e-01,-8.61514740e-01
16.136480,-1.13309859e-01,6.34974785e-02,-4.90375450e-01,-8.60067545e-01
16.158960,-1.13284910e-01,6.39193811e-02,-4.92867391e-01,-8.58612999e-01
16.181440,-1.13258505e-01,6.43417289e-02,-4.95355004e-01,-8.57151115e-01
16.203920,-1.13230641e-01,6.47645168e-02,-4.97838268e-01,-8.55681908e-01
16.226400,-1.13201316e-01,6.51877398e-02,-5.00317159e-01,-8.54205391e-01
16.248880,-1.13170525e-01,6.56113930e-02,-5.02791658e-01,-8.52721578e-01
16.271360,-1.13138267e-01,6.60354711e-02,-5.05261742e-01,-8.51230482e-01
16.293840,-1.13104536e-01,6.64599693e-02,-5.07727389e-01,-8.49732118e-01
16.316320,-1.13069332e-01,6.68848823e-02,-5.10188579e-01,-8.48226500e-01
16.338800,-1.13032649e-01,6.73102051e-02,-5.12645289e-01,-8.46713642e-01
16.361280,-1.12994486e-01,6.77359326e-02,-5.15097499e-01,-8.45193557e-01
16.383760,-1.12954839e-01,6.81620597e-02,-5.17545187e-01,-8.43666260e-01
16.406240,-1.12913706e-01,6.85885812e-02,-5.19988332e-01,-8.42131766e-01
16.428720,-1.12871082e-01,6.90154919e-02,-5.22426913e-01,-8.40590088e-01
