lambda_um,freq_THz,Re_S11,Im_S11,Re_S21,Im_S21,abs_S11,abs_S21,R,T,A
20.0000,14.9896,-0.011212,0.117157,0.986191,0.109711,0.117692,0.992275,0.013857,0.984611,0.001532
19.7500,15.1794,-0.011609,0.118740,0.985780,0.111192,0.119306,0.992032,0.014240,0.984127,0.001633
19.5000,15.3740,-0.011995,0.120359,0.985367,0.112692,0.120955,0.991790,0.014636,0.983648,0.001716
19.2500,15.5736,-0.012396,0.122020,0.984937,0.114229,0.122648,0.991539,0.015048,0.983150,0.001802
19.0000,15.7786,-0.012811,0.123721,0.984491,0.115803,0.124383,0.991278,0.015476,0.982633,0.001891
18.7500,15.9889,-0.013243,0.125468,0.984026,0.117419,0.126165,0.991007,0.015923,0.982095,0.001982
18.5000,16.2050,-0.013693,0.127261,0.983543,0.119076,0.127996,0.990725,0.016388,0.981536,0.002076
18.2500,16.4270,-0.014160,0.129103,0.983040,0.120778,0.129878,0.990432,0.016873,0.980955,0.002172
18.0000,16.6551,-0.014648,0.130996,0.982516,0.122527,0.131812,0.990126,0.017379,0.980350,0.002271
17.7500,16.8897,-0.015157,0.132941,0.981970,0.124323,0.133802,0.989808,0.017907,0.979721,0.002372
17.5000,17.1310,-0.015688,0.134941,0.981400,0.126170,0.135850,0.989477,0.018459,0.979065,0.002475
17.2500,17.3793,-0.016242,0.136998,0.980806,0.128070,0.137957,0.989132,0.019036,0.978382,0.002582
17.0000,17.6349,-0.016822,0.139115,0.980185,0.130025,0.140128,0.988772,0.019640,0.977670,0.002691
16.7500,17.8981,-0.017428,0.141293,0.979537,0.132037,0.142364,0.988396,0.020271,0.976927,0.002802
16.5000,18.1692,-0.018063,0.143537,0.978859,0.134110,0.144670,0.988003,0.020933,0.976151,0.002916
16.2500,18.4488,-0.018729,0.145849,0.978150,0.136245,0.147047,0.987593,0.021626,0.975340,0.003033
16.0000,18.7370,-0.019428,0.148233,0.977407,0.138447,0.149501,0.987164,0.022354,0.974493,0.003154
15.7500,19.0344,-0.020161,0.150691,0.976629,0.140718,0.152034,0.986715,0.023117,0.973606,0.003277
15.5000,19.3414,-0.020931,0.153227,0.975813,0.143062,0.154650,0.986244,0.023920,0.972677,0.003403
15.2500,19.6585,-0.021742,0.155846,0.974956,0.145481,0.157355,0.985750,0.024763,0.971703,0.003533
15.0000,19.9862,-0.022595,0.158551,0.974055,0.147982,0.160153,0.985232,0.025652,0.970682,0.003667
14.7500,20.3249,-0.023494,0.161347,0.973108,0.150566,0.163049,0.984687,0.026587,0.969609,0.003804
14.5000,20.6753,-0.024443,0.164239,0.972110,0.153239,0.166047,0.984114,0.027574,0.968480,0.003946
14.2500,21.0381,-0.025445,0.167231,0.971058,0.156005,0.169155,0.983510,0.028616,0.967292,0.004092
14.0000,21.4137,-0.026505,0.170329,0.969948,0.158870,0.172379,0.982873,0.029716,0.966040,0.004244
13.7500,21.8031,-0.027625,0.173540,0.968777,0.161839,0.175725,0.982202,0.030881,0.964720,0.004399
13.5000,22.2068,-0.028813,0.176868,0.967537,0.164917,0.179200,0.981491,0.032114,0.963326,0.004560
13.2500,22.6258,-0.030073,0.180322,0.966224,0.168111,0.182812,0.980740,0.033422,0.961850,0.004728
13.0000,23.0610,-0.031412,0.183908,0.964832,0.171428,0.186571,0.979943,0.034810,0.960288,0.004902
12.7500,23.5131,-0.032836,0.187634,0.963353,0.174874,0.190485,0.979097,0.036286,0.958631,0.005083
12.5000,23.9834,-0.034353,0.191508,0.961781,0.178459,0.194565,0.978197,0.037857,0.956870,0.005273
12.2500,24.4729,-0.035970,0.195540,0.960106,0.182189,0.198821,0.977240,0.039531,0.954997,0.005471
12.0000,24.9827,-0.037698,0.199740,0.958321,0.186074,0.203267,0.976218,0.041319,0.953002,0.005679
11.7500,25.5143,-0.039547,0.204118,0.956412,0.190124,0.207914,0.975127,0.043229,0.950872,0.005898
11.5000,26.0689,-0.041529,0.208686,0.954370,0.194351,0.212778,0.973958,0.045276,0.948595,0.006130
11.2500,26.6482,-0.043657,0.213456,0.952181,0.198764,0.217875,0.972705,0.047470,0.946155,0.006374
11.0000,27.2539,-0.045945,0.218443,0.949829,0.203377,0.223222,0.971358,0.049829,0.943537,0.006634
10.7500,27.8877,-0.048412,0.223660,0.947297,0.208204,0.228839,0.969908,0.052368,0.940721,0.006910
10.5000,28.5517,-0.051075,0.229124,0.944567,0.213260,0.234748,0.968342,0.055107,0.937687,0.007206
10.2500,29.2480,-0.053958,0.234854,0.941616,0.218560,0.240972,0.966648,0.058068,0.934409,0.007523
10.0000,29.9792,-0.057084,0.240868,0.938418,0.224124,0.247540,0.964811,0.061277,0.930860,0.007863
9.7500,30.7479,-0.060485,0.247186,0.934944,0.229969,0.254479,0.962812,0.064760,0.927007,0.008233
9.5000,31.5571,-0.064192,0.253834,0.931162,0.236118,0.261825,0.960632,0.068553,0.922814,0.008633
9.2500,32.4100,-0.068244,0.260836,0.927030,0.242594,0.269616,0.958247,0.072693,0.918237,0.009069
9.0000,33.3103,-0.072688,0.268220,0.922505,0.249423,0.277895,0.955629,0.077226,0.913227,0.009546
8.7500,34.2620,-0.077575,0.276016,0.917533,0.256631,0.286710,0.952746,0.082203,0.907726,0.010071
8.5000,35.2697,-0.082970,0.284257,0.912049,0.264249,0.296118,0.949559,0.087686,0.901662,0.010652
8.2500,36.3385,-0.088945,0.292979,0.905981,0.272310,0.306183,0.946021,0.093748,0.894955,0.011297
8.0000,37.4741,-0.095584,0.302218,0.899246,0.280840,0.316974,0.942080,0.100473,0.887515,0.012012
