lam_um,f_THz,lmax,cond_I_minus_CT,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A,absS11_uncoupled,absS21_uncoupled,A_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,18.3970715,-0.1236011111,0.2871104959,0.8864722927,0.2779772599,0.3125854628,0.9290341666,0.09770967155,0.8631044827,0.03918584576,0.3575645469,1.028703578,-0.1860834569,4.088251077,4.104878966,-0.01662788951
27.25385982,11,3,16.76080803,-0.175385566,0.3443757953,0.8348045469,0.3334959183,0.3864644682,0.8989539248,0.1493547851,0.808118159,0.04252705586,0.4355941595,1.036847547,-0.2647951072,6.580749667,6.871893784,-0.2911441172
24.98270483,12,3,15.38248685,-0.2051121744,0.3760867955,0.8040756128,0.389215157,0.4283833351,0.8933230264,0.1835122818,0.7980260296,0.01846168863,0.4961367252,1.040748065,-0.3293081844,10.7441377,11.0464002,-0.3022625069
23.06095831,13,3,13.48237971,-0.2151803393,0.3800476857,0.7883327406,0.4221923205,0.4367365588,0.8942677817,0.1907388218,0.7997148654,0.009546312841,0.556579012,1.033857415,-0.3786413515,17.60134281,17.40506178,0.1962810316
21.413747,14,3,12.49583378,-0.2476386936,0.405517302,0.7478196988,0.43531596,0.4751517703,0.8652943355,0.2257692048,0.748734287,0.02549650822,0.6614613817,1.009972469,-0.4575755481,28.79416344,27.5958071,1.198356347
19.98616387,15,3,11.94567609,-0.3145174221,0.4496764254,0.679634473,0.4385156668,0.54875322,0.8088256963,0.3011300964,0.6541990069,0.04467089667,0.81391052,0.9636053817,-0.5909856663,46.0946395,43.60650599,2.488133514
18.73702863,16,3,11.15205406,-0.3869985649,0.4717836099,0.6089628579,0.446553887,0.6102029693,0.7551464337,0.3723476637,0.5702461363,0.05740619995,0.9640996297,0.888375196,-0.7186985848,70.10938393,65.98068258,4.128701357
17.63485047,17,4,75.65418361,-0.4414348017,0.4473059027,0.5403772692,0.483468336,0.6284482912,0.7250856673,0.3949472548,0.5257492249,0.07930352029,1.080807188,0.785677812,-0.7854338026,98.92196188,93.92868663,4.993275248
16.65513656,18,4,46.92952696,-0.5208671536,0.4388605185,0.4614402326,0.5137768828,0.6811028897,0.6905749587,0.4639011463,0.4768937736,0.05920508002,1.162694281,0.6207210002,-0.7371525519,128.9230726,120.8882392,8.03483334
15.77855042,19,4,40.4535503,-0.6695815512,0.4511674555,0.3192357184,0.4315156345,0.8073979976,0.5367654858,0.6518915266,0.2881171867,0.05999128664,1.233056859,0.4175632707,-0.6947883022,150.0649597,140.6215694,9.443390282
14.9896229,20,4,32.11113862,-0.7704696333,0.3863600173,0.2194475355,0.3676656864,0.86191503,0.4281766899,0.7428975189,0.1833352778,0.07376720333,1.219140315,0.2385149956,-0.5431925098,155.9627384,146.2933772,9.669361215
14.27583133,21,4,24.82224056,-0.8620791073,0.2852420579,0.1298467002,0.2657853555,0.9080437318,0.2958074048,0.8245434189,0.08750202075,0.0879545604,1.152942103,0.2122916281,-0.374343228,147.0458322,138.0399316,9.005900625
13.62692991,22,4,18.85307249,-0.9249415135,0.1518214975,0.06959746515,0.1295289712,0.9373188201,0.1470427201,0.8785665704,0.02162156154,0.09981186803,1.060432046,0.3239626797,-0.2294679413,130.4405459,122.5031147,7.937431168
13.0344547,23,4,14.22285048,-0.9429317501,0.001440528305,0.05370978661,-0.02534000057,0.9429328504,0.05938734551,0.8891223604,0.003526856807,0.1073507828,0.961238534,0.4434073581,-0.1205896044,112.1264015,105.2747249,6.851676545
12.49135242,24,4,10.75525493,-0.9112966939,-0.1444281082,0.08672235834,-0.1763982439,0.9226706578,0.1965632414,0.8513211427,0.03863710788,0.1100417494,0.8657366412,0.5434794297,-0.04486982242,95.03955281,89.10867872,5.930874086
11.99169832,25,4,8.220625106,-0.8382597333,-0.2674649297,0.1605794974,-0.3034488373,0.8798959422,0.3433175962,0.7742168691,0.1178669718,0.1079161591,0.7782951799,0.6243292855,0.004469556222,80.09120937,74.89656182,5.194647553
11.53047915,26,5,93.95997214,-0.7505246072,-0.3413233971,0.2227857798,-0.3953362402,0.8244930851,0.4537887685,0.6797888474,0.2059242464,0.1142869062,0.7043703858,0.6856968036,0.0336822532,67.86639663,62.87069866,4.995697969
11.10342437,27,5,34.78949053,-0.637715543,-0.4113949121,0.3512360901,-0.4489066392,0.7588984698,0.5699859312,0.5759268875,0.3248839617,0.09918915083,0.6369186965,0.7381193268,0.0495144335,57.13077057,52.69522605,4.43554452
10.7068735,28,5,13.79148291,-0.5318230224,-0.442535999,0.4580615135,-0.4687076377,0.6918625857,0.6553679881,0.4786738375,0.4295071998,0.09181896272,0.5787988994,0.7807969181,0.05534800668,48.10310586,44.16055308,3.942552785
