lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,247.5222971,1.767243702e-15,1.825113405e-14,-0.2568200523,0.3958872608,0.7453028738,0.383191818,0.4718932745,0.8380407765,1.703569632e-14,1.760724188e-14,0.2226832625,0.7023123431,0.07500439435,1,0,0,0.6279235299,1.042710778,75.90476257,68.74375289,7.161009673
27.25385982,11,3,227.7194808,1.166245628e-15,7.34867509e-15,-0.3401783696,0.4479421938,0.6583215312,0.4327733488,0.5624709167,0.7878324758,1.443221164e-14,1.50934604e-14,0.3163735322,0.6206800099,0.06294645792,1,0,0,0.7761872085,1.028271825,135.4833533,125.6718814,9.811471831
24.98270483,12,3,238.276143,1.309083419e-15,6.35037306e-15,-0.422519078,0.4761779426,0.5679375908,0.464951303,0.6366064752,0.7339842104,1.652552972e-14,1.749367905e-14,0.4052678042,0.5387328211,0.05599937462,1,0,0,0.9383594034,0.9752594329,234.9014452,220.4881928,14.4132524
23.06095831,13,2,19.08783546,3.171650331e-16,3.816233865e-12,-0.4521490999,0.4861260919,0.5458594801,0.4779524708,0.6638956136,0.725535069,1.243850265e-15,9.033950818e-16,0.4407573857,0.5264011363,0.03284147798,1,0,0,1.034406618,0.8254170871,352.8475616,331.8167366,21.03082499
21.413747,14,2,101.5871526,3.807848253e-16,5.381248007e-12,-0.6013892784,0.4241452292,0.3948793855,0.4131669017,0.7359132012,0.5715213187,1.813221645e-15,1.920915098e-15,0.5415682396,0.3266366178,0.1317951426,1,0,0,1.112590861,0.6177275148,473.4948935,444.8139842,28.68090934
19.98616387,15,3,180.5016439,1.177038698e-15,3.709348563e-13,-0.7124427547,0.3981032366,0.2776064529,0.383483529,0.8161255208,0.473418377,4.141927211e-15,4.002800853e-15,0.6660608657,0.2241249597,0.1098141746,1,0,0,1.181440664,0.4099337564,571.4831527,537.014939,34.46821374
18.73702863,16,3,109.501657,9.637213253e-16,4.600584729e-13,-0.8504840657,0.2627834503,0.1420887959,0.2483542998,0.8901563277,0.286127741,1.20463073e-15,1.506544496e-15,0.7923782877,0.08186908416,0.1257526281,1,0,0,1.119242533,0.1890364738,568.7185373,534.5036189,34.21491847
17.63485047,17,2,27.88459056,6.101727353e-16,2.383373261e-15,-0.8754694656,-0.1358685147,0.1217745683,-0.1528610402,0.8859497945,0.1954368007,7.945267958e-16,1.011740993e-15,0.7849070384,0.03819554309,0.1768974185,1,0,0,0.9552420538,0.0413563811,490.8278388,460.3090745,30.51876434
16.65513656,18,3,120.9718604,1.132932851e-15,3.29530426e-15,-0.5200103019,-0.3882336069,0.468621752,-0.3884751039,0.6489499577,0.6087029266,1.154902858e-15,1.286740971e-15,0.4211360476,0.3705192528,0.2083446996,1,0,0,0.9564842225,0.1259908609,487.3610472,456.9841654,30.37688184
15.77855042,19,3,229.6856346,1.305365629e-15,2.443751516e-12,-0.4418902664,0.08264665645,0.5583638219,0.05760407366,0.4495525302,0.5613273438,1.764053089e-15,1.48881918e-15,0.3830872282,0.486168485,0.1307442869,5,0.1809897508,0.1710800981,0.8972617815,0.2305004073,450.7263675,423.1588095,27.56755798
14.9896229,20,3,49.43683868,7.811321317e-16,9.319557093e-12,-0.5208938085,0.1177892651,0.4771711502,0.0944499921,0.5340455699,0.4864289338,8.220440352e-16,9.506047086e-16,0.4852588789,0.4451510966,0.0695900245,5,0.2000542082,0.208537989,0.8454762686,0.3231976385,415.3567034,389.4660062,25.89069716
14.27583133,21,4,145.9391439,1.576378121e-15,2.011312727e-13,-0.5821174279,0.09110543867,0.4134462311,0.07208219525,0.5892036158,0.4196827717,2.540492004e-15,1.780959462e-15,0.5449416117,0.3813822962,0.07367609217,5,0.1977807108,0.2052486673,0.8000981472,0.4076472064,382.6443143,356.1753886,26.46892575
13.62692991,22,4,204.4315584,9.594932068e-16,5.874846787e-13,-0.6353925901,0.03972884962,0.3592123433,0.01916864178,0.6366334306,0.3597234276,1.428834588e-15,8.355969037e-16,0.5948737973,0.3237464736,0.0813797291,5,0.1895716723,0.1943455292,0.7490248432,0.4778310091,346.8491708,322.1452305,24.70394034
13.0344547,23,4,153.7136107,8.754693699e-16,7.824459809e-13,-0.6631850363,-0.029434658,0.3319417078,-0.05257813471,0.6638379256,0.3360799869,1.753310256e-15,8.332599671e-16,0.6193757518,0.2946125173,0.08601173091,5,0.1786949603,0.1816627597,0.7007509935,0.5399923494,313.1032447,290.2125584,22.89068637
12.49135242,24,4,66.09357088,7.862218656e-16,7.283594507e-14,-0.6690775595,-0.1091702866,0.3270986076,-0.1355427107,0.677925462,0.3540696619,4.045589993e-16,5.015788087e-16,0.6223548844,0.2890621052,0.08858301043,5,0.1627719523,0.1636967797,0.6525821507,0.5978872873,280.0067929,259.0011896,21.0056033
11.99169832,25,4,47.54433904,7.354075899e-16,1.918100278e-13,-0.647075745,-0.2020846808,0.3500426253,-0.2315372352,0.6778976604,0.4196895648,2.851098317e-16,3.158005881e-16,0.5976794367,0.3124344344,0.08988612895,5,0.1381341987,0.1362951036,0.6021164697,0.6517647795,246.9479158,227.8855638,19.06235199
11.53047915,26,4,51.34762261,6.740047887e-16,1.432533853e-12,-0.5658467277,-0.3034311583,0.4314033453,-0.3346228119,0.6420693008,0.5459681974,5.242811391e-16,5.630065191e-16,0.514497528,0.3972353445,0.08826712745,5,0.102244541,0.09915407191,0.5495235822,0.6995917478,215.0427748,197.8323057,17.21046904
11.10342437,27,4,68.23217151,5.699309226e-16,2.449672493e-12,-0.4615999929,-0.2787814816,0.5350119923,-0.3118600076,0.5392528794,0.6192693244,6.397029423e-16,8.583935745e-16,0.4150577526,0.5062025027,0.07873974472,9,0.1242640846,0.1227080065,0.4970028607,0.7398095946,185.9814113,170.4495391,15.53187224
10.7068735,28,5,214.0320919,1.486039124e-15,4.437149961e-12,-0.4086226303,-0.2812011509,0.5835398833,-0.3176649129,0.4960307867,0.6644018304,2.89612345e-14,2.544056979e-14,0.3614604637,0.5620816241,0.07645791223,9,0.1154139223,0.1206518318,0.4490918562,0.770698761,161.8771869,146.4781741,15.39901277
10.33767097,29,5,132.2768311,9.729356883e-16,2.162567479e-12,-0.3509837083,-0.2894668158,0.6422165571,-0.3234314692,0.4549512072,0.7190619038,2.900295298e-14,3.318815541e-14,0.30910351,0.6261317651,0.06476472489,9,0.1021229091,0.1090817435,0.4011735208,0.7957373899,140.5364068,126.6088402,13.92756656
9.993081933,30,5,117.5844851,7.56178098e-16,7.863495092e-12,-0.2940053209,-0.2822130324,0.6999208325,-0.3124428795,0.4075332188,0.7664918295,2.856030826e-14,3.548979026e-14,0.2578047591,0.6852158292,0.05697941177,9,0.09172143468,0.0977061044,0.3553111955,0.8146150094,123.2511626,110.6438852,12.60727746
9.670724452,31,5,109.6377753,6.174696466e-16,6.206549562e-11,-0.2413440478,-0.2575349486,0.7544091933,-0.2875197641,0.3529464537,0.8073418394,3.089832149e-14,3.277267856e-14,0.208832145,0.7385530746,0.05261478042,9,0.08426094583,0.08675222896,0.3114127437,0.8282146397,109.7219874,98.21270015,11.50928722
9.368514313,32,5,104.2877621,6.289095961e-16,5.07202134e-11,-0.1951446683,-0.219864149,0.8017701811,-0.2530067174,0.2939756548,0.8407424233,1.533735496e-12,1.614176848e-12,0.1647942188,0.7847783009,0.05042748026,9,0.07837253323,0.07793047853,0.2707745931,0.8372788347,99.58611965,88.91165967,10.67445997
