lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,221.5250148,1.129059965e-15,1.825113405e-14,-0.2479395979,0.4034279176,0.7514190432,0.394679124,0.4735273265,0.8487650967,4.85228002e-14,4.770410899e-14,0.2242281289,0.7204021893,0.05536968174,1,0,0,0.6242280674,1.040584079,75.88807284,68.60927718,7.278795658
27.25385982,11,3,214.4445452,1.17173783e-15,7.34867509e-15,-0.3242274248,0.4440248812,0.6761419503,0.4299458656,0.5498013443,0.8012623692,9.402558259e-16,5.622089519e-15,0.3022815182,0.6420213844,0.05569709747,1,0,0,0.7714898523,1.023268879,136.3920434,125.4451156,10.94692779
24.98270483,12,3,237.707012,1.128589461e-15,6.35037306e-15,-0.4057697115,0.4726613509,0.5909465515,0.4587701456,0.6229428637,0.7481228998,3.821910881e-15,4.148688363e-15,0.3880578115,0.5596878733,0.05225431528,1,0,0,0.9344705137,0.9680187171,236.3990106,219.9624055,16.43660513
23.06095831,13,2,19.10044376,3.033209919e-16,3.816233865e-12,-0.45082003,0.4851557018,0.5459206579,0.4769557828,0.6622799668,0.7249249502,1.183513325e-15,9.453104547e-16,0.4386147544,0.5255161835,0.0358690621,1,0,0,1.034052117,0.8241824451,353.7781902,331.6759971,22.10219309
21.413747,14,2,100.8493837,3.700630309e-16,5.381248007e-12,-0.600102815,0.4244807726,0.3977734479,0.4165078169,0.7350559944,0.5759361748,2.678004737e-15,3.122272247e-15,0.5403073149,0.3317024774,0.1279902077,1,0,0,1.112276935,0.6170028096,473.8256676,444.4417077,29.38395994
19.98616387,15,3,172.2014124,1.099003315e-15,3.709348563e-13,-0.7224695944,0.3989343226,0.2609750591,0.3786296648,0.8252944375,0.4598569392,7.359253438e-15,2.686709e-15,0.6811109086,0.2114684046,0.1074206869,1,0,0,1.179269735,0.4083573642,570.8800515,535.5043424,35.37570905
18.73702863,16,3,108.1263064,1.190654646e-15,4.600584729e-13,-0.8522037336,0.257350526,0.1336315619,0.2352775188,0.8902137366,0.2705788337,3.801179768e-15,4.411869495e-15,0.7924804968,0.07321290522,0.134306598,1,0,0,1.116308882,0.1893619172,568.4113868,533.0063081,35.40507872
17.63485047,17,2,27.86786864,4.866115939e-16,2.383373261e-15,-0.8732349244,-0.135201734,0.1197561846,-0.1514238409,0.8836394865,0.1930562699,5.463900759e-16,8.065582109e-16,0.7808187421,0.03727072337,0.1819105345,1,0,0,0.9545740697,0.0406043456,491.2110969,459.6993405,31.51175637
16.65513656,18,3,117.2411431,1.336258115e-15,3.29530426e-15,-0.4946326102,-0.3556292174,0.4935286767,-0.3679802113,0.6092073204,0.6156135075,1.042542903e-15,1.530549058e-15,0.3711335593,0.3789799906,0.2498864501,1,0,0,0.9534104405,0.1243336321,488.6798265,456.3260153,32.35381124
15.77855042,19,3,228.7546249,1.231482529e-15,2.443751516e-12,-0.4437317235,0.0815668387,0.5489255661,0.06124781195,0.4511662572,0.5523319397,3.583352405e-15,3.25293665e-15,0.3790441688,0.4683344359,0.1526213953,5,0.1754931772,0.1632638643,0.8953673427,0.2260196541,452.482505,422.177075,30.30542994
