lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-1.441931078e-14,-1.010437743e-14,0.7453028738,0.383191818,0.7023123431
29.9792458,10,refl,0,0,0.2095845022,-1.483131463e-14,-8.381351631e-15,-0.2568200523,0.3958872608,0.2226832625
29.24804468,10.25,trans,0,0,0.2148241148,-1.32787572e-14,-1.07419145e-14,0.7141579149,0.3973588266,0.6679155646
29.24804468,10.25,refl,0,0,0.2148241148,-1.365228324e-14,-9.234247793e-15,-0.2871261731,0.41123148,0.2515527694
28.55166267,10.5,trans,0,0,0.2200637273,-1.277083782e-14,-1.042012053e-14,0.6902375917,0.4101646508,0.6446629737
28.55166267,10.5,refl,0,0,0.2200637273,-1.307326865e-14,-9.066695307e-15,-0.3100928132,0.4247565309,0.2765756633
27.88767051,10.75,trans,0,0,0.2253033399,-1.221426202e-14,-9.706509748e-15,0.672010532,0.4218525328,0.6295577146
27.88767051,10.75,refl,0,0,0.2253033399,-1.236124949e-14,-8.465104389e-15,-0.3273694717,0.4368395074,0.2979995262
27.25385982,11,trans,0,0,0.2305429524,-1.179965556e-14,-9.411730732e-15,0.6583215312,0.4327733488,0.6206800099
27.25385982,11,refl,0,0,0.2305429524,-1.18461125e-14,-8.243685556e-15,-0.3401783696,0.4479421938,0.3163735322
26.64821849,11.25,trans,0,0,0.235782565,-1.160003234e-14,-1.021448347e-14,0.627494487,0.4390686729,0.5865306307
26.64821849,11.25,refl,0,0,0.235782565,-1.152152679e-14,-9.134084071e-15,-0.3686934157,0.4530396658,0.3411797736
26.06890939,11.5,trans,0,0,0.2410221775,-1.207979576e-14,-1.094472568e-14,0.6027384848,0.4464660834,0.5626256446
26.06890939,11.5,refl,0,0,0.2410221775,-1.189252896e-14,-9.88996723e-15,-0.3913007286,0.4594072311,0.3641712642
25.51425174,11.75,trans,0,0,0.2462617901,-1.210550038e-14,-1.194138617e-14,0.5831567718,0.4551192364,0.5472053398
25.51425174,11.75,refl,0,0,0.2462617901,-1.177868371e-14,-1.094586457e-14,-0.4089676842,0.467157495,0.3854906919
24.98270483,12,trans,0,0,0.2515014026,-1.230942744e-14,-1.243007654e-14,0.5679375908,0.464951303,0.5387328211
24.98270483,12,refl,0,0,0.2515014026,-1.191531191e-14,-1.145069756e-14,-0.422519078,0.4761779426,0.4052678042
24.47285371,12.25,trans,0,0,0.2567410152,-1.058269819e-14,-1.307828995e-14,0.5415557091,0.460306821,0.5051649555
24.47285371,12.25,refl,0,0,0.2567410152,-1.014750215e-14,-1.216948135e-14,-0.4474639473,0.4704025046,0.4215025004
23.98339664,12.5,trans,0,0,0.2619806277,-8.945347552e-15,-1.394313446e-14,0.5183476314,0.4603160499,0.4805751328
23.98339664,12.5,refl,0,0,0.2619806277,-8.529091275e-15,-1.317949436e-14,-0.4694136428,0.4694745271,0.4407554996
23.51313396,12.75,trans,0,0,0.2672202403,-7.93160025e-15,-1.3847108e-14,0.4977029049,0.4642380707,0.4632251678
23.51313396,12.75,refl,0,0,0.2672202403,-7.489919168e-15,-1.312504533e-14,-0.4889221865,0.4725693359,0.4623666817
23.06095831,13,trans,0,0,0.2724598529,-6.304446946e-15,-1.412461451e-14,0.4789566701,0.4715851145,0.451792012
23.06095831,13,refl,0,0,0.2724598529,-5.84317064e-15,-1.348568918e-14,-0.5065988425,0.4791267014,0.4862047832
22.62584589,13.25,trans,0,0,0.2776994654,-3.177183036e-15,-1.395302199e-14,0.4532139465,0.456614217,0.4138994245
22.62584589,13.25,refl,0,0,0.2776994654,-2.813136035e-15,-1.344563912e-14,-0.5333558293,0.4642121831,0.4999613916
22.20684874,13.5,trans,0,0,0.282939078,4.66125261e-16,-1.33689647e-14,0.4244537449,0.4458774354,0.3789676689
22.20684874,13.5,refl,0,0,0.282939078,8.177433749e-16,-1.285520247e-14,-0.5626821275,0.453269922,0.5220647988
21.80308785,13.75,trans,0,0,0.2881786905,2.040464988e-15,-1.097289428e-14,0.3895168247,0.4308145178,0.3373245054
21.80308785,13.75,refl,0,0,0.2881786905,2.526486228e-15,-1.044893375e-14,-0.5972697531,0.437164577,0.5478440253
21.413747,14,trans,0,0,0.2934183031,1.466294169e-15,-1.432762637e-14,0.4007871291,0.3837089106,0.3078628509
21.413747,14,refl,0,0,0.2934183031,1.604267162e-15,-1.35719813e-14,-0.5806929528,0.391974574,0.490848372
21.03806723,14.25,trans,0,0,0.2986579156,6.882919559e-15,-9.041654985e-15,0.3841629995,0.4099864501,0.3156700995
21.03806723,14.25,refl,0,0,0.2986579156,6.870016884e-15,-8.619693403e-15,-0.6023899896,0.421666305,0.5406761724
20.67534193,14.5,trans,0,0,0.3038975282,7.066823392e-15,-4.471854226e-15,0.349015293,0.4025138224,0.2838290519
20.67534193,14.5,refl,0,0,0.3038975282,7.14582933e-15,-4.15098852e-15,-0.6395251268,0.4151535411,0.5813448504
20.32491241,14.75,trans,0,0,0.3091371407,5.570843828e-15,-1.771613993e-15,0.3142479922,0.3921381814,0.2525241539
20.32491241,14.75,refl,0,0,0.3091371407,5.711960802e-15,-1.471780324e-15,-0.6752777409,0.4057759599,0.620654157
19.98616387,15,trans,0,0,0.3143767533,3.998571851e-15,-1.839505776e-16,0.2776064529,0.383483529,0.2241249597
19.98616387,15,refl,0,0,0.3143767533,4.139977251e-15,1.270802086e-16,-0.7124427547,0.3981032366,0.6660608657
19.65852184,15.25,trans,0,0,0.3196163658,1.867144156e-15,3.9865377e-16,0.2501505314,0.3516857505,0.1862581555
19.65852184,15.25,refl,0,0,0.3196163658,2.037293583e-15,6.049583105e-16,-0.7410984999,0.3662953987,0.6833993057
19.3414489,15.5,trans,0,0,0.3248559784,2.797911421e-16,-2.134250284e-16,0.2189719579,0.3194275553,0.1499826814
19.3414489,15.5,refl,0,0,0.3248559784,4.807053062e-16,3.912817254e-17,-0.7730614449,0.3340453822,0.7092103149
19.03444178,15.75,trans,0,0,0.330095591,-3.428770859e-16,-6.743240617e-16,0.1832494853,0.2854725445,0.1150749475
19.03444178,15.75,refl,0,0,0.330095591,-1.033553186e-16,-3.806883756e-16,-0.809216198,0.3000469323,0.7448590167
18.73702863,16,trans,0,0,0.3353352035,-1.440203862e-15,-4.421415522e-16,0.1420887959,0.2483542998,0.08186908416
18.73702863,16,refl,0,0,0.3353352035,-1.190123864e-15,-1.863877296e-16,-0.8504840657,0.2627834503,0.7923782877
18.44876665,16.25,trans,0,0,0.3405748161,-5.804254927e-16,-1.639410865e-15,0.1241404832,0.196320502,0.05395259907
18.44876665,16.25,refl,0,0,0.3405748161,-2.840215935e-16,-1.263360743e-15,-0.86925981,0.2090339384,0.7993078046
18.16923988,16.5,trans,0,0,0.3458144286,-2.696929418e-16,-1.534656058e-15,0.1055083652,0.1356604416,0.02953577053
18.16923988,16.5,refl,0,0,0.3458144286,4.352094278e-17,-1.188251544e-15,-0.8884022814,0.1466196608,0.8107559385
17.89805719,16.75,trans,0,0,0.3510540412,5.596495781e-17,-1.600517419e-15,0.088314587,0.06296308637,0.01176381652
17.89805719,16.75,refl,0,0,0.3510540412,3.692280418e-16,-1.168851991e-15,-0.9057722806,0.07206741669,0.8256171369
17.63485047,17,trans,0,0,0.3562936537,1.017159405e-15,-1.549177331e-15,0.0765631787,-0.02637533156,0.006557578448
17.63485047,17,refl,0,0,0.3562936537,1.363956908e-15,-1.010547663e-15,-0.9172931847,-0.01929492683,0.841799081
17.37927293,17.25,trans,0,0,0.3615332663,-3.200463548e-16,-1.033924584e-15,0.1083940353,-0.1179664983,0.02566536159
17.37927293,17.25,refl,0,0,0.3615332663,-1.327425419e-16,-4.254034473e-16,-0.8855946493,-0.1124465014,0.7969220985
17.1309976,17.5,trans,0,0,0.3667728788,-8.700291326e-16,-1.181102207e-15,0.1697911466,-0.2200306916,0.07724253874
17.1309976,17.5,refl,0,0,0.3667728788,-7.586963598e-16,-7.381657069e-16,-0.8237104911,-0.216322647,0.7252944607
16.88971594,17.75,trans,0,0,0.3720124914,-1.12880891e-15,-1.135222434e-15,0.2811912984,-0.3220359319,0.1827756877
16.88971594,17.75,refl,0,0,0.3720124914,-1.05673765e-15,-6.8359849e-16,-0.7107769144,-0.3202776337,0.6077815847
16.65513656,18,trans,0,0,0.377252104,-1.190823621e-15,-4.874848019e-16,0.468621752,-0.3884751039,0.3705192528
16.65513656,18,refl,0,0,0.377252104,-1.154619579e-15,2.557807926e-17,-0.5200103019,-0.3882336069,0.4211360476
16.426984,18.25,trans,0,0,0.3824917165,-8.795505866e-16,-5.31263268e-16,0.6997138566,-0.290916493,0.574231887
16.426984,18.25,refl,0,0,0.3824917165,-8.549550196e-16,-7.173467956e-17,-0.286962155,-0.282249888,0.1620122776
16.20499773,18.5,trans,0,0,0.3877313291,-9.590282054e-16,8.987506487e-18,0.7868627125,0.0001389454304,0.6191529476
16.20499773,18.5,refl,0,0,0.3877313291,-9.58884666e-16,6.435271881e-16,-0.201378093,0.0199774824,0.04095223614
15.98893109,18.75,trans,0,0,0.3929709416,-7.293753249e-16,2.299340345e-16,0.5520909093,0.05289762978,0.3076025313
15.98893109,18.75,trans,-1,0,0.01461479345,5.336210808e-16,3.791897372e-16,-0.07358435692,-0.06318787275,0.009407364846
