f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.4647849203,0.4903333346,0.5333589684,0.4795942256,0.6756121677,0.7172742923,9.069708372e-06,9.310599459e-06,0.4564518012,0.5144824105,0.02906578833,0,0
10.024,29.90746788,-0.4682521911,0.490438668,0.529937644,0.4797051829,0.6780783152,0.7148083442,9.071393262e-06,9.289990575e-06,0.4597902017,0.5109509691,0.02925882928,0,0
10.048,29.83603284,-0.4717421931,0.490516397,0.5264838342,0.47978348,0.6805490669,0.7123042997,9.072036333e-06,9.267280173e-06,0.4631470325,0.5073774155,0.02947555197,0,0
10.072,29.76493824,-0.4752550699,0.4905662442,0.5229984045,0.4798290599,0.6830246126,0.709762818,9.070908003e-06,9.241722001e-06,0.4665226215,0.503763258,0.02971412048,0,0
10.096,29.69418166,-0.4787909677,0.4905879099,0.5194821631,0.4798418617,0.6855051335,0.7071845092,9.067079005e-06,9.212390116e-06,0.4699172881,0.5001099301,0.02997278178,0,0
10.12,29.62376067,-0.4823500344,0.4905810708,0.5159358623,0.4798218175,0.6879908013,0.7045699331,9.059382181e-06,9.178148606e-06,0.4733313428,0.4964187907,0.03024986656,0,0
10.144,29.55367291,-0.4859324191,0.4905453805,0.5123602,0.4797688498,0.6904817784,0.7019195993,9.046373994e-06,9.137622933e-06,0.4767650863,0.4926911239,0.03054378974,0,0
10.168,29.48391601,-0.4895382712,0.4904804687,0.508755821,0.4796828688,0.692978217,0.6992339665,9.026300756e-06,9.089177935e-06,0.4802188093,0.48892814,0.03085305072,0,0
10.192,29.41448764,-0.4931677394,0.4903859416,0.5051233182,0.4795637696,0.6954802591,0.6965134425,8.997077682e-06,9.030910363e-06,0.4836927909,0.4851309757,0.03117623333,0,0
10.216,29.34538547,-0.4968209711,0.490261381,0.5014632349,0.4794114301,0.6979880364,0.6937583839,8.956292831e-06,8.960667276e-06,0.4871872991,0.4813006954,0.03151200557,0,0
10.24,29.27660723,-0.5004981115,0.4901063448,0.4977760663,0.4792257086,0.7005016694,0.6909690962,8.901252132e-06,8.876105116e-06,0.4907025889,0.477438292,0.03185911906,0,0
10.264,29.20815062,-0.5041993029,0.4899203665,0.4940622615,0.4790064413,0.7030212675,0.6881458341,8.829084755e-06,8.774806438e-06,0.4942389027,0.473544689,0.03221640826,0,0
10.288,29.14001341,-0.5079246838,0.4897029554,0.4903222253,0.4787534405,0.7055469289,0.6852888015,8.736927544e-06,8.654469883e-06,0.497796469,0.4696207415,0.03258278954,0,0
10.312,29.07219337,-0.5116743881,0.4894535959,0.4865563208,0.4784664927,0.7080787399,0.6823981521,8.622199853e-06,8.51318078e-06,0.501375502,0.465667238,0.03295725994,0,0
10.336,29.00468827,-0.5154485443,0.4891717483,0.4827648711,0.4781453566,0.7106167752,0.6794739898,8.482962551e-06,8.349752052e-06,0.5049762012,0.4616849029,0.03333889588,0,0
10.36,28.93749595,-0.5192472747,0.4888568481,0.478948162,0.4777897614,0.713161097,0.6765163694,8.318326594e-06,8.164097512e-06,0.5085987503,0.4576743981,0.03372685155,0,0
10.384,28.87061421,-0.5230706949,0.4885083063,0.475106444,0.4773994054,0.7157117556,0.6735252968,8.128842448e-06,7.957567448e-06,0.5122433172,0.4536363255,0.03412035728,0,0
10.408,28.80404093,-0.5269189122,0.4881255093,0.4712399349,0.4769739544,0.7182687887,0.6705007303,7.916774501e-06,7.733152639e-06,0.515910053,0.4495712294,0.03451871761,0,0
10.432,28.73777396,-0.5307920259,0.4877078189,0.467348822,0.4765130404,0.7208322214,0.6674425811,7.686162068e-06,7.495464547e-06,0.5195990915,0.4454795991,0.03492130939,0,0
10.456,28.67181121,-0.5346901257,0.4872545724,0.4634332649,0.4760162606,0.7234020658,0.6643507142,7.44260351e-06,7.250438763e-06,0.5233105489,0.4413618715,0.03532757963,0,0
10.48,28.60615057,-0.5386132911,0.4867650828,0.459493398,0.4754831761,0.7259783214,0.6612249492,7.192768854e-06,7.004781082e-06,0.5270445232,0.4372184336,0.03573704325,0,0
10.504,28.54078998,-0.5425615909,0.4862386384,0.4555293325,0.474913311,0.7285609743,0.6580650619,6.943725297e-06,6.765255374e-06,0.5308010934,0.4330496258,0.03614928083,0,0
10.528,28.47572739,-0.5465350821,0.4856745034,0.4515411598,0.4743061517,0.7311499977,0.6548707846,6.702214818e-06,6.537964271e-06,0.5345803193,0.4288557446,0.03656393615,0,0
10.552,28.41096077,-0.5505338094,0.4850719178,0.4475289533,0.4736611462,0.7337453514,0.6516418077,6.474030266e-06,6.327773339e-06,0.5383822408,0.4246370455,0.03698071369,0,0
