f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.5333589684,0.4795942256,0.5144824104
10,1,0,0.2095845022,1,refl,-0.4647849203,0.4903333346,0.4564518011
10.024,1,0,0.210087505,1,trans,0.529937644,0.4797051829,0.510950969
10.024,1,0,0.210087505,1,refl,-0.4682521911,0.490438668,0.4597902016
10.048,1,0,0.2105905078,1,trans,0.5264838342,0.47978348,0.5073774154
10.048,1,0,0.2105905078,1,refl,-0.4717421931,0.490516397,0.4631470325
10.072,1,0,0.2110935106,1,trans,0.5229984045,0.4798290599,0.5037632579
10.072,1,0,0.2110935106,1,refl,-0.4752550699,0.4905662442,0.4665226215
10.096,1,0,0.2115965134,1,trans,0.5194821631,0.4798418617,0.50010993
10.096,1,0,0.2115965134,1,refl,-0.4787909677,0.4905879099,0.469917288
10.12,1,0,0.2120995162,1,trans,0.5159358623,0.4798218175,0.4964187906
10.12,1,0,0.2120995162,1,refl,-0.4823500344,0.4905810708,0.4733313427
10.144,1,0,0.212602519,1,trans,0.5123602,0.4797688498,0.4926911238
10.144,1,0,0.212602519,1,refl,-0.4859324191,0.4905453805,0.4767650863
10.168,1,0,0.2131055218,1,trans,0.508755821,0.4796828688,0.4889281399
10.168,1,0,0.2131055218,1,refl,-0.4895382712,0.4904804687,0.4802188092
10.192,1,0,0.2136085246,1,trans,0.5051233182,0.4795637696,0.4851309756
10.192,1,0,0.2136085246,1,refl,-0.4931677394,0.4903859416,0.4836927909
10.216,1,0,0.2141115274,1,trans,0.5014632349,0.4794114301,0.4813006953
10.216,1,0,0.2141115274,1,refl,-0.4968209711,0.490261381,0.487187299
10.24,1,0,0.2146145302,1,trans,0.4977760663,0.4792257086,0.477438292
10.24,1,0,0.2146145302,1,refl,-0.5004981115,0.4901063448,0.4907025888
10.264,1,0,0.2151175331,1,trans,0.4940622615,0.4790064413,0.473544689
10.264,1,0,0.2151175331,1,refl,-0.5041993029,0.4899203665,0.4942389026
10.288,1,0,0.2156205359,1,trans,0.4903222253,0.4787534405,0.4696207414
10.288,1,0,0.2156205359,1,refl,-0.5079246838,0.4897029554,0.4977964689
10.312,1,0,0.2161235387,1,trans,0.4865563208,0.4784664927,0.465667238
10.312,1,0,0.2161235387,1,refl,-0.5116743881,0.4894535959,0.501375502
10.336,1,0,0.2166265415,1,trans,0.4827648711,0.4781453566,0.4616849029
10.336,1,0,0.2166265415,1,refl,-0.5154485443,0.4891717483,0.5049762011
10.36,1,0,0.2171295443,1,trans,0.478948162,0.4777897614,0.457674398
10.36,1,0,0.2171295443,1,refl,-0.5192472747,0.4888568481,0.5085987503
10.384,1,0,0.2176325471,1,trans,0.475106444,0.4773994054,0.4536363254
10.384,1,0,0.2176325471,1,refl,-0.5230706949,0.4885083063,0.5122433171
10.408,1,0,0.2181355499,1,trans,0.4712399349,0.4769739544,0.4495712294
10.408,1,0,0.2181355499,1,refl,-0.5269189122,0.4881255093,0.5159100529
