lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-4.515905801e-15,-3.868620216e-15,0.5755842719,0.4462786746,0.5304619094
29.9792458,10,refl,0,0,0.2095845022,-6.180648744e-15,-3.53671792e-15,-0.416798377,0.4674312686,0.3922128779
29.24804468,10.25,trans,0,0,0.2148241148,-4.948492608e-15,-5.878502834e-15,0.5259430541,0.4366150267,0.4672487778
29.24804468,10.25,refl,0,0,0.2148241148,-6.533940948e-15,-5.419406964e-15,-0.4659292139,0.4570296202,0.4259661061
28.55166267,10.5,trans,0,0,0.2200637273,-5.852203295e-15,-7.567841052e-15,0.4858913885,0.4322299253,0.4229131497
28.55166267,10.5,refl,0,0,0.2200637273,-7.263266752e-15,-6.961327013e-15,-0.5053853801,0.4522589919,0.4599525782
27.88767051,10.75,trans,0,0,0.2253033399,-5.704372751e-15,-8.325680851e-15,0.4529523256,0.4323501036,0.3920924214
27.88767051,10.75,refl,0,0,0.2253033399,-6.908399502e-15,-7.631616102e-15,-0.5376922126,0.4521469519,0.4935497816
27.25385982,11,trans,0,0,0.2305429524,-5.536947332e-15,-9.916797108e-15,0.4253788833,0.4362471883,0.3712588037
27.25385982,11,refl,0,0,0.2305429524,-6.592742609e-15,-9.147682215e-15,-0.5646358189,0.4558696023,0.5266307023
26.64821849,11.25,trans,0,0,0.235782565,-6.101955487e-15,-1.012278169e-14,0.3762887844,0.4146667816,0.313541789
26.64821849,11.25,refl,0,0,0.235782565,-6.889249183e-15,-9.268667399e-15,-0.6115634194,0.4328404654,0.5613606844
26.06890939,11.5,trans,0,0,0.2410221775,-5.887909489e-15,-1.084261634e-14,0.3324738424,0.3984929172,0.2693354609
26.06890939,11.5,refl,0,0,0.2410221775,-6.430996694e-15,-1.001772212e-14,-0.6530374864,0.415689912,0.5992560616
25.51425174,11.75,trans,0,0,0.2462617901,-5.419928841e-15,-1.152119646e-14,0.2916006541,0.3867679218,0.2346203668
25.51425174,11.75,refl,0,0,0.2462617901,-5.793771175e-15,-1.070329985e-14,-0.6916233311,0.4032833991,0.6409803322
24.98270483,12,trans,0,0,0.2515014026,-7.46653161e-15,-1.110167842e-14,0.2517028006,0.3785939292,0.206687663
24.98270483,12,refl,0,0,0.2515014026,-7.739136821e-15,-1.024682935e-14,-0.7293800159,0.3946259684,0.6877248626
24.47285371,12.25,trans,0,0,0.2567410152,-4.286014051e-15,-1.060634374e-14,0.2173187781,0.3243173843,0.1524092171
24.47285371,12.25,refl,0,0,0.2567410152,-4.36997706e-15,-9.811220751e-15,-0.762192112,0.3391863239,0.6959841779
23.98339664,12.5,trans,0,0,0.2619806277,-3.459655446e-15,-9.864685152e-15,0.1795642761,0.2743708677,0.1075227023
23.98339664,12.5,refl,0,0,0.2619806277,-3.436075494e-15,-9.038393769e-15,-0.7984652324,0.2885046432,0.7207816564
23.51313396,12.75,trans,0,0,0.2672202403,-1.831100201e-15,-9.662292723e-15,0.1376275435,0.2237181618,0.06899115667
23.51313396,12.75,refl,0,0,0.2672202403,-1.747319553e-15,-8.785803483e-15,-0.8390478168,0.2375215099,0.7604177066
23.06095831,13,trans,0,0,0.2724598529,-1.448231545e-16,-1.032317372e-14,0.09092895804,0.1669220454,0.03613104466
23.06095831,13,refl,0,0,0.2724598529,-7.828546352e-17,-9.461717388e-15,-0.8845431104,0.1808276953,0.8151151695
22.62584589,13.25,trans,0,0,0.2776994654,2.91040682e-15,-8.484713213e-15,0.1050579518,0.06285253827,0.0149876148
22.62584589,13.25,refl,0,0,0.2776994654,2.783014506e-15,-7.543932262e-15,-0.8728236396,0.07643994101,0.7676641705
22.20684874,13.5,trans,0,0,0.282939078,4.721175548e-15,-3.892030655e-15,0.125873929,-0.04836669322,0.01818358301
22.20684874,13.5,refl,0,0,0.282939078,4.42281509e-15,-3.321895543e-15,-0.8538291232,-0.03490735026,0.7302426947
21.80308785,13.75,trans,0,0,0.2881786905,4.444419532e-15,6.782788539e-16,0.1669603344,-0.1695491189,0.05662265695
21.80308785,13.75,refl,0,0,0.2881786905,3.966604333e-15,1.144816578e-15,-0.8142429432,-0.1560373479,0.6873392245
21.413747,14,trans,0,0,0.2934183031,2.447900925e-16,8.682527815e-15,0.2457953186,-0.2953809119,0.1476652217
21.413747,14,refl,0,0,0.2934183031,-1.894091827e-16,8.917924952e-15,-0.7368027429,-0.2816782259,0.6222209049
21.03806723,14.25,trans,0,0,0.2986579156,-3.116277068e-15,1.87496867e-15,0.4139087737,-0.343350082,0.2892097518
21.03806723,14.25,refl,0,0,0.2986579156,-3.588360274e-15,2.060171834e-15,-0.5716458487,-0.3293363201,0.435241388
20.67534193,14.5,trans,0,0,0.3038975282,-2.550113024e-15,6.91063948e-16,0.5892864885,-0.3401269269,0.4629448919
20.67534193,14.5,refl,0,0,0.3038975282,-3.052160179e-15,7.325518173e-16,-0.3984555769,-0.3255904498,0.2647759878
20.32491241,14.75,trans,0,0,0.3091371407,-2.445243832e-15,1.087961712e-15,0.7480654397,-0.2790199149,0.637454015
20.32491241,14.75,refl,0,0,0.3091371407,-2.927743945e-15,8.014875525e-16,-0.2413295002,-0.2638194273,0.1278406179
19.98616387,15,trans,0,0,0.3143767533,-3.123042518e-15,2.597900692e-15,0.8657234571,-0.1723843851,0.7791934804
19.98616387,15,refl,0,0,0.3143767533,-3.462940272e-15,2.088051523e-15,-0.1249530307,-0.1564262421,0.04008242911
19.65852184,15.25,trans,0,0,0.3196163658,-4.860759473e-15,1.973684516e-15,0.9096861819,-0.02668192213,0.8282408745
19.65852184,15.25,refl,0,0,0.3196163658,-4.895354347e-15,1.34475072e-15,-0.08346763359,-0.01044792455,0.007076004984
19.3414489,15.5,trans,0,0,0.3248559784,-5.945426627e-15,6.622595752e-16,0.9102143921,0.1041753702,0.8393427474
19.3414489,15.5,refl,0,0,0.3248559784,-5.736442324e-15,3.004999371e-17,-0.08466253114,0.1205567029,0.0217016628
19.03444178,15.75,trans,0,0,0.330095591,-6.396168371e-15,-1.370482642e-15,0.8814962905,0.2135344296,0.8226326628
