lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,246.2614922,2.214115376e-15,1.825113405e-14,-0.416798377,0.4674312686,0.5755842719,0.4462786746,0.626269014,0.7283281605,7.121010641e-15,5.946396184e-15,0.3922128779,0.5304619094,0.07732521274,1,0,0,0.6279235299,1.042710778,75.90476257,68.74375289,7.161009673
29.24804468,10.25,3,243.9348838,2.118335578e-15,5.973030247e-15,-0.4659292139,0.4570296202,0.5259430541,0.4366150267,0.6526607895,0.68355598,8.48895495e-15,7.684033749e-15,0.4259661061,0.4672487778,0.1067851161,1,0,0,0.6708229823,1.036326983,93.19432366,82.00927313,11.18505052
28.55166267,10.5,3,240.3194311,1.890115692e-15,7.520836994e-14,-0.5053853801,0.4522589919,0.4858913885,0.4322299253,0.6781980376,0.6503177298,1.006057243e-14,9.56663481e-15,0.4599525782,0.4229131497,0.1171342721,1,0,0,0.7096662367,1.032166718,108.7708027,96.01204211,12.75876063
27.88767051,10.75,3,234.8906298,1.601001579e-15,2.39405228e-14,-0.5376922126,0.4521469519,0.4529523256,0.4323501036,0.7025309826,0.6261728367,1.029405401e-14,1.009241448e-14,0.4935497816,0.3920924214,0.114357797,1,0,0,0.7446946667,1.02963657,122.8143504,110.6073375,12.20701294
27.25385982,11,3,228.0609743,1.900985593e-15,7.34867509e-15,-0.5646358189,0.4558696023,0.4253788833,0.4362471883,0.7256932563,0.6093101047,1.127583013e-14,1.135784533e-14,0.5266307023,0.3712588037,0.1021104941,1,0,0,0.7761872085,1.028271825,135.4833533,125.6718814,9.811471831
26.64821849,11.25,3,229.5033911,1.728603063e-15,2.691307231e-13,-0.6115634194,0.4328404654,0.3762887844,0.4146667816,0.7492400713,0.5599480235,1.154859081e-14,1.181966878e-14,0.5613606844,0.313541789,0.1250975266,1,0,0,0.8210712866,1.009339855,163.9629933,147.1701308,16.79286252
26.06890939,11.5,3,231.0701216,1.490274916e-15,8.003660421e-14,-0.6530374864,0.415689912,0.3324738424,0.3984929172,0.7741163101,0.5189753953,1.190430489e-14,1.23381444e-14,0.5992560616,0.2693354609,0.1314084774,1,0,0,0.8631635125,0.99473743,189.8650051,170.3102258,19.55477929
25.51425174,11.75,3,232.9568524,2.461885947e-15,2.295091608e-14,-0.6916233311,0.4032833991,0.2916006541,0.3867679218,0.8006124731,0.4843762657,1.217080162e-14,1.273238377e-14,0.6409803322,0.2346203668,0.1243993011,1,0,0,0.9022690758,0.9836166206,213.4375918,194.8264063,18.61118544
24.98270483,12,3,244.8168749,2.125701586e-15,6.35037306e-15,-0.7293800159,0.3946259684,0.2517028006,0.3785939292,0.8292917838,0.4546291489,1.284101828e-14,1.337895205e-14,0.6877248626,0.206687663,0.1055874744,1,0,0,0.9383594034,0.9752594329,234.9014452,220.4881928,14.4132524
24.47285371,12.25,3,261.516549,1.818909448e-15,3.531040698e-15,-0.762192112,0.3391863239,0.2173187781,0.3243173843,0.8342566619,0.3903962309,1.074042607e-14,1.143959981e-14,0.6959841779,0.1524092171,0.151606605,1,0,0,0.9761874562,0.9348334615,274.0341743,248.5498284,25.48434586
