f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.2657762045,0.4399220439,0.7323835862,0.4292434199,0.5139731468,0.8489026038,4.649569565e-07,7.279390616e-07,0.2641683956,0.7206356308,0.01519597362,0,0
10.024,29.90746788,-0.2674713645,0.4411869141,0.7318545961,0.4303492197,0.5159329646,0.8490062431,5.969758976e-07,7.901659398e-07,0.266186824,0.7208116008,0.01300157523,0,0
10.048,29.83603284,-0.2691929435,0.4424259294,0.7312153963,0.431460502,0.5178856474,0.8490195054,7.378288009e-07,8.575079608e-07,0.2682055438,0.7208341206,0.01096033557,0,0
10.072,29.76493824,-0.2709402112,0.4436393419,0.730468693,0.4325748716,0.5198311877,0.8489437737,8.883659082e-07,9.302037395e-07,0.2702244637,0.720705531,0.009070005356,0,0
10.096,29.69418166,-0.2727124409,0.4448274238,0.7296172886,0.4336900202,0.5217695971,0.8487805497,1.049552438e-06,1.008559044e-06,0.2722435124,0.7204284215,0.007328066087,0,0
10.12,29.62376067,-0.2745089112,0.4459904675,0.7286640732,0.4348037326,0.5237009064,0.8485314476,1.222480936e-06,1.092950809e-06,0.2742626394,0.7200056175,0.005731743085,0,0
10.144,29.55367291,-0.2763289078,0.447128784,0.727612015,0.4359138923,0.5256251656,0.8481981878,1.408388077e-06,1.183832896e-06,0.2762818147,0.7194401658,0.004278019428,0,0
10.168,29.48391601,-0.278171725,0.4482427033,0.7264641507,0.4370184863,0.5275424434,0.8477825898,1.608674858e-06,1.281743975e-06,0.2783010296,0.7187353197,0.002963650715,0,0
10.192,29.41448764,-0.2800366673,0.4493325731,0.7252235765,0.4381156096,0.5294528272,0.847286565,1.824929902e-06,1.387317951e-06,0.2803202962,0.7178945232,0.001785180537,0,0
10.216,29.34538547,-0.281923051,0.450398758,0.7238934377,0.4392034682,0.5313564226,0.846712109,2.058955712e-06,1.501297444e-06,0.2823396479,0.7169213956,0.0007389565277,0,0
10.24,29.27660723,-0.2838302055,0.4514416389,0.7224769194,0.4402803824,0.5332533534,0.8460612946,2.312797568e-06,1.62455097e-06,0.2843591389,0.7158197142,-0.0001788531214,0,0
10.264,29.20815062,-0.2857574751,0.4524616119,0.7209772365,0.4413447886,0.5351437609,0.8453362632,2.588774232e-06,1.758094711e-06,0.2863788449,0.7145933979,-0.000972242794,0,0
10.288,29.14001341,-0.2877042199,0.4534590874,0.719397624,0.4423952406,0.5370278038,0.8445392177,2.889508847e-06,1.903120032e-06,0.2883988621,0.7132464903,-0.001645352348,0,0
10.312,29.07219337,-0.2896698171,0.4544344888,0.7177413275,0.4434304106,0.5389056574,0.8436724141,3.217956902e-06,2.061028344e-06,0.2904193076,0.7117831423,-0.002202449902,0,0
10.336,29.00468827,-0.2916536628,0.455388252,0.716011594,0.4444490891,0.5407775134,0.8427381536,3.57742583e-06,2.233475459e-06,0.292440319,0.7102075956,-0.0026479146,0,0
10.36,28.93749595,-0.2936551723,0.4563208235,0.7142116624,0.4454501842,0.5426435793,0.841738775,3.971576982e-06,2.422428394e-06,0.2944620542,0.7085241653,-0.002986219477,0,0
10.384,28.87061421,-0.2956737819,0.4572326599,0.7123447546,0.446432721,0.5445040777,0.8406766464,4.404394809e-06,2.630238726e-06,0.2964846906,0.7067372239,-0.003221914512,0,0
10.408,28.80404093,-0.2977089494,0.4581242265,0.7104140676,0.4473958393,0.5463592458,0.8395541582,4.880099091e-06,2.859738253e-06,0.2985084255,0.7048511845,-0.003359609961,0,0
10.432,28.73777396,-0.2997601553,0.4589959957,0.7084227644,0.4483387917,0.5482093348,0.8383737145,5.402962881e-06,3.114365124e-06,0.3005334748,0.7028704852,-0.003403960064,0,0
10.456,28.67181121,-0.3018269032,0.4598484465,0.7063739667,0.4492609409,0.5500546094,0.8371377269,5.976980986e-06,3.398332263e-06,0.3025600733,0.7007995739,-0.003359647183,0,0
10.48,28.60615057,-0.3039087212,0.4606820624,0.7042707475,0.4501617567,0.5518953465,0.8358486065,6.60531212e-06,3.716855433e-06,0.3045884735,0.6986428929,-0.003231366462,0,0
10.504,28.54078998,-0.3060051619,0.4614973309,0.7021161238,0.4510408121,0.5537318354,0.8345087569,7.289398215e-06,4.076466926e-06,0.3066189456,0.6964048654,-0.003023811058,0,0
10.528,28.47572739,-0.3081158035,0.4622947415,0.6999130504,0.4518977799,0.5555643764,0.8331205684,8.027662464e-06,4.485454611e-06,0.3086517764,0.6940898816,-0.002741657995,0,0
10.552,28.41096077,-0.3102402498,0.4630747849,0.6976644137,0.4527324281,0.5573932804,0.8316864106,8.813737246e-06,4.954488499e-06,0.3106872691,0.6917022856,-0.002389554699,0,0
10.576,28.34648809,-0.3123781311,0.4638379517,0.6953730261,0.4535446158,0.5592188679,0.8302086267,9.634330355e-06,5.497534705e-06,0.3127257423,0.6892463639,-0.001972106228,0,0
10.6,28.28230736,-0.3145291042,0.4645847307,0.6930416209,0.4543342882,0.5610414685,0.8286895279,1.046716471e-05,6.133221885e-06,0.3147675295,0.6867263338,-0.001493863254,0,0
10.624,28.2184166,-0.3166928529,0.4653156081,0.6906728476,0.4551014722,0.5628614201,0.8271313877,1.127991722e-05,6.886942131e-06,0.3168129783,0.6841463325,-0.0009593107941,0,0
10.648,28.15481386,-0.3188690879,0.4660310659,0.6882692681,0.4558462707,0.5646790678,0.8255364364,1.203151705e-05,7.794185961e-06,0.3188624498,0.681510408,-0.0003728577296,0,0
10.672,28.09149719,-0.3210575473,0.466731581,0.6858333525,0.456568858,0.5664947638,0.8239068573,1.267700349e-05,8.906034195e-06,0.3209163175,0.6788225096,0.0002611729027,0,0
10.696,28.02846466,-0.3232579962,0.4674176236,0.6833674764,0.4572694744,0.5683088658,0.8222447811,1.317580458e-05,1.02985931e-05,0.3229749671,0.6760864801,0.0009385528215,0,0
10.72,27.96571437,-0.3254702269,0.4680896563,0.6808739177,0.457948421,0.5701217369,0.8205522824,1.350101061e-05,1.209001796e-05,0.3250387951,0.6733060483,0.001655156637,0,0
10.744,27.90324442,-0.327694059,0.4687481327,0.6783548548,0.4586060544,0.5719337446,0.8188313759,1.364564103e-05,1.447300366e-05,0.3271082084,0.6704848224,0.002406969204,0,0
10.768,27.84105293,-0.3299293387,0.4693934966,0.6758123644,0.4592427813,0.5737452599,0.8170840129,1.362291776e-05,1.778076713e-05,0.3291836234,0.6676262844,0.003190092212,0,0
10.792,27.77913807,-0.3321759392,0.4700261806,0.6732484201,0.4598590536,0.5755566567,0.8153120778,1.346082833e-05,2.262918087e-05,0.3312654652,0.6647337848,0.004000750022,0,0
10.816,27.71749797,-0.33443376,0.4706466049,0.6706648913,0.4604553628,0.577368311,0.8135173862,1.319409801e-05,3.02260635e-05,0.3333541667,0.6618105385,0.00483529475,0,0
10.84,27.65613081,-0.3367027267,0.4712551769,0.6680635429,0.4610322355,0.5791806004,0.8117016814,1.285702872e-05,4.283261127e-05,0.3354501681,0.6588596214,0.005690210567,0,0
10.864,27.59503479,-0.3389827905,0.4718522895,0.6654460344,0.4615902279,0.580993903,0.809866633,1.247903677e-05,6.128280326e-05,0.3375539155,0.655883967,0.006562117486,0,0
10.888,27.53420812,-0.341273928,0.4724383206,0.6628139205,0.4621299212,0.582808597,0.8080138348,1.208292648e-05,6.674852165e-05,0.3396658609,0.6528863618,0.007447777334,0,0
10.912,27.47364901,-0.3435761407,0.4730136321,0.660168651,0.462651917,0.5846250598,0.8061448034,1.168502473e-05,5.065507256e-05,0.3417864607,0.6498694466,0.008344092695,0,0
10.936,27.41335571,-0.3458894541,0.4735785688,0.6575115716,0.4631568324,0.5864436676,0.8042609764,1.129622124e-05,3.687157132e-05,0.3439161754,0.6468357196,0.00924810503,0,0
10.96,27.35332646,-0.3482139175,0.4741334581,0.654843925,0.4636452961,0.5882647945,0.8023637122,1.092325003e-05,2.841684487e-05,0.3460554685,0.6437875275,0.01015700398,0,0
10.984,27.29355954,-0.3505496033,0.4746786087,0.6521668517,0.4641179438,0.5900888119,0.8004542886,1.056986664e-05,2.308092615e-05,0.348204806,0.6407270687,0.01106812524,0,0
11.008,27.23405323,-0.3528966066,0.4752143101,0.6494813918,0.464575414,0.5919160882,0.7985339026,1.023779435e-05,1.948794975e-05,0.3503646556,0.637656394,0.01197895038,0,0
