f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.7323835862,0.4292434199,0.7206356308
10,1,0,0.2095845022,1,refl,-0.2657762045,0.4399220439,0.2641683956
10.024,1,0,0.210087505,1,trans,0.7318545961,0.4303492197,0.7208116008
10.024,1,0,0.210087505,1,refl,-0.2674713645,0.4411869141,0.266186824
10.048,1,0,0.2105905078,1,trans,0.7312153963,0.431460502,0.7208341206
10.048,1,0,0.2105905078,1,refl,-0.2691929435,0.4424259294,0.2682055438
10.072,1,0,0.2110935106,1,trans,0.730468693,0.4325748716,0.720705531
10.072,1,0,0.2110935106,1,refl,-0.2709402112,0.4436393419,0.2702244637
10.096,1,0,0.2115965134,1,trans,0.7296172886,0.4336900202,0.7204284215
10.096,1,0,0.2115965134,1,refl,-0.2727124409,0.4448274238,0.2722435124
10.12,1,0,0.2120995162,1,trans,0.7286640732,0.4348037326,0.7200056175
10.12,1,0,0.2120995162,1,refl,-0.2745089112,0.4459904675,0.2742626394
10.144,1,0,0.212602519,1,trans,0.727612015,0.4359138923,0.7194401658
10.144,1,0,0.212602519,1,refl,-0.2763289078,0.447128784,0.2762818147
10.168,1,0,0.2131055218,1,trans,0.7264641507,0.4370184863,0.7187353197
10.168,1,0,0.2131055218,1,refl,-0.278171725,0.4482427033,0.2783010296
10.192,1,0,0.2136085246,1,trans,0.7252235765,0.4381156096,0.7178945232
10.192,1,0,0.2136085246,1,refl,-0.2800366673,0.4493325731,0.2803202962
10.216,1,0,0.2141115274,1,trans,0.7238934377,0.4392034682,0.7169213956
10.216,1,0,0.2141115274,1,refl,-0.281923051,0.450398758,0.2823396479
10.24,1,0,0.2146145302,1,trans,0.7224769194,0.4402803824,0.7158197142
10.24,1,0,0.2146145302,1,refl,-0.2838302055,0.4514416389,0.2843591389
10.264,1,0,0.2151175331,1,trans,0.7209772365,0.4413447886,0.7145933979
10.264,1,0,0.2151175331,1,refl,-0.2857574751,0.4524616119,0.2863788449
10.288,1,0,0.2156205359,1,trans,0.719397624,0.4423952406,0.7132464903
10.288,1,0,0.2156205359,1,refl,-0.2877042199,0.4534590874,0.2883988621
10.312,1,0,0.2161235387,1,trans,0.7177413275,0.4434304106,0.7117831423
10.312,1,0,0.2161235387,1,refl,-0.2896698171,0.4544344888,0.2904193076
10.336,1,0,0.2166265415,1,trans,0.716011594,0.4444490891,0.7102075956
10.336,1,0,0.2166265415,1,refl,-0.2916536628,0.455388252,0.292440319
10.36,1,0,0.2171295443,1,trans,0.7142116624,0.4454501842,0.7085241653
10.36,1,0,0.2171295443,1,refl,-0.2936551723,0.4563208235,0.2944620542
10.384,1,0,0.2176325471,1,trans,0.7123447546,0.446432721,0.7067372239
10.384,1,0,0.2176325471,1,refl,-0.2956737819,0.4572326599,0.2964846906
10.408,1,0,0.2181355499,1,trans,0.7104140676,0.4473958393,0.7048511845
10.408,1,0,0.2181355499,1,refl,-0.2977089494,0.4581242265,0.2985084255
10.432,1,0,0.2186385527,1,trans,0.7084227644,0.4483387917,0.7028704852
10.432,1,0,0.2186385527,1,refl,-0.2997601553,0.4589959957,0.3005334748
10.456,1,0,0.2191415555,1,trans,0.7063739667,0.4492609409,0.7007995739
10.456,1,0,0.2191415555,1,refl,-0.3018269032,0.4598484465,0.3025600733
10.48,1,0,0.2196445583,1,trans,0.7042707475,0.4501617567,0.6986428929
10.48,1,0,0.2196445583,1,refl,-0.3039087212,0.4606820624,0.3045884735
10.504,1,0,0.2201475611,1,trans,0.7021161238,0.4510408121,0.6964048654
10.504,1,0,0.2201475611,1,refl,-0.3060051619,0.4614973309,0.3066189456
10.528,1,0,0.2206505639,1,trans,0.6999130504,0.4518977799,0.6940898815
10.528,1,0,0.2206505639,1,refl,-0.3081158035,0.4622947415,0.3086517764
10.552,1,0,0.2211535667,1,trans,0.6976644137,0.4527324281,0.6917022856
10.552,1,0,0.2211535667,1,refl,-0.3102402498,0.4630747849,0.310687269
10.576,1,0,0.2216565695,1,trans,0.6953730261,0.4535446158,0.6892463639
10.576,1,0,0.2216565695,1,refl,-0.3123781311,0.4638379517,0.3127257422
10.6,1,0,0.2221595723,1,trans,0.6930416209,0.4543342882,0.6867263337
10.6,1,0,0.2221595723,1,refl,-0.3145291042,0.4645847307,0.3147675294
10.624,1,0,0.2226625751,1,trans,0.6906728476,0.4551014722,0.6841463324
10.624,1,0,0.2226625751,1,refl,-0.3166928529,0.4653156081,0.3168129782
10.648,1,0,0.2231655779,1,trans,0.6882692681,0.4558462707,0.6815104079
10.648,1,0,0.2231655779,1,refl,-0.3188690879,0.4660310659,0.3188624496
10.672,1,0,0.2236685807,1,trans,0.6858333525,0.456568858,0.6788225095
10.672,1,0,0.2236685807,1,refl,-0.3210575473,0.466731581,0.3209163174
10.696,1,0,0.2241715835,1,trans,0.6833674764,0.4572694744,0.67608648
10.696,1,0,0.2241715835,1,refl,-0.3232579962,0.4674176236,0.3229749669
10.72,1,0,0.2246745864,1,trans,0.6808739177,0.457948421,0.6733060481
10.72,1,0,0.2246745864,1,refl,-0.3254702269,0.4680896563,0.3250387949
10.744,1,0,0.2251775892,1,trans,0.6783548548,0.4586060544,0.6704848222
10.744,1,0,0.2251775892,1,refl,-0.327694059,0.4687481327,0.3271082082
10.768,1,0,0.225680592,1,trans,0.6758123644,0.4592427813,0.6676262841
10.768,1,0,0.225680592,1,refl,-0.3299293387,0.4693934966,0.3291836232
10.792,1,0,0.2261835948,1,trans,0.6732484201,0.4598590536,0.6647337843
10.792,1,0,0.2261835948,1,refl,-0.3321759392,0.4700261806,0.331265465
10.816,1,0,0.2266865976,1,trans,0.6706648913,0.4604553628,0.6618105376
10.816,1,0,0.2266865976,1,refl,-0.33443376,0.4706466049,0.3333541666
10.84,1,0,0.2271896004,1,trans,0.6680635429,0.4610322355,0.6588596195
10.84,1,0,0.2271896004,1,refl,-0.3367027267,0.4712551769,0.3354501679
10.864,1,0,0.2276926032,1,trans,0.6654460344,0.4615902279,0.6558839632
10.864,1,0,0.2276926032,1,refl,-0.3389827905,0.4718522895,0.3375539154
10.888,1,0,0.228195606,1,trans,0.6628139205,0.4621299212,0.6528863573
10.888,1,0,0.228195606,1,refl,-0.341273928,0.4724383206,0.3396658608
10.912,1,0,0.2286986088,1,trans,0.660168651,0.462651917,0.649869444
10.912,1,0,0.2286986088,1,refl,-0.3435761407,0.4730136321,0.3417864606
10.936,1,0,0.2292016116,1,trans,0.6575115716,0.4631568324,0.6468357182
10.936,1,0,0.2292016116,1,refl,-0.3458894541,0.4735785688,0.3439161753
10.96,1,0,0.2297046144,1,trans,0.654843925,0.4636452961,0.6437875267
10.96,1,0,0.2297046144,1,refl,-0.3482139175,0.4741334581,0.3460554684
10.984,1,0,0.2302076172,1,trans,0.6521668517,0.4641179438,0.6407270682
10.984,1,0,0.2302076172,1,refl,-0.3505496033,0.4746786087,0.3482048059
11.008,1,0,0.23071062,1,trans,0.6494813918,0.464575414,0.6376563936
11.008,1,0,0.23071062,1,refl,-0.3528966066,0.4752143101,0.3503646555
11.032,1,0,0.2312136228,1,trans,0.6467884864,0.4650183448,0.6345774072
11.032,1,0,0.2312136228,1,refl,-0.355255044,0.4757408321,0.3525354856
11.056,1,0,0.2317166256,1,trans,0.6440889795,0.4654473695,0.6314918672
11.056,1,0,0.2317166256,1,refl,-0.3576250535,0.4762584237,0.3547177651
11.08,1,0,0.2322196284,1,trans,0.6413836197,0.4658631135,0.6284013881
11.08,1,0,0.2322196284,1,refl,-0.3600067933,0.4767673132,0.3569119621
11.104,1,0,0.2327226312,1,trans,0.6386730631,0.4662661907,0.6253074421
11.104,1,0,0.2327226312,1,refl,-0.3624004415,0.4772677068,0.3591185439
11.128,1,0,0.233225634,1,trans,0.6359578748,0.4666572008,0.6222113615
11.128,1,0,0.233225634,1,refl,-0.3648061951,0.4777597889,0.3613379758
11.152,1,0,0.2337286368,1,trans,0.6332385317,0.4670367258,0.6191143413
11.152,1,0,0.2337286368,1,refl,-0.3672242693,0.4782437211,0.3635707208
11.176,1,0,0.2342316397,1,trans,0.6305154252,0.4674053279,0.616017442
11.176,1,0,0.2342316397,1,refl,-0.3696548968,0.4787196422,0.3658172385
11.2,1,0,0.2347346425,1,trans,0.6277888635,0.4677635462,0.6129215923
11.2,1,0,0.2347346425,1,refl,-0.372098327,0.4791876673,0.3680779854
11.224,1,0,0.2352376453,1,trans,0.6250590746,0.4681118948,0.6098275928
11.224,1,0,0.2352376453,1,refl,-0.3745548249,0.4796478882,0.3703534135
11.248,1,0,0.2357406481,1,trans,0.6223262088,0.4684508605,0.6067361189
11.248,1,0,0.2357406481,1,refl,-0.3770246709,0.4801003723,0.37264397
11.272,1,0,0.2362436509,1,trans,0.6195903421,0.4687809004,0.6036477246
11.272,1,0,0.2362436509,1,refl,-0.3795081597,0.480545163,0.374950097
11.296,1,0,0.2367466537,1,trans,0.6168514784,0.4691024405,0.6005628461
11.296,1,0,0.2367466537,1,refl,-0.3820055992,0.4809822792,0.3772722307
11.32,1,0,0.2372496565,1,trans,0.614109553,0.4694158736,0.5974818055
11.32,1,0,0.2372496565,1,refl,-0.3845173104,0.481411715,0.3796108013
11.344,1,0,0.2377526593,1,trans,0.6113644353,0.4697215578,0.5944048146
11.344,1,0,0.2377526593,1,refl,-0.3870436259,0.4818334399,0.3819662322
11.368,1,0,0.2382556621,1,trans,0.6086159319,0.4700198151,0.5913319792
11.368,1,0,0.2382556621,1,refl,-0.3895848896,0.4822473985,0.3843389395
11.392,1,0,0.2387586649,1,trans,0.6058637897,0.4703109301,0.5882633026
11.392,1,0,0.2387586649,1,refl,-0.3921414559,0.4826535101,0.3867293322
11.416,1,0,0.2392616677,1,trans,0.6031076986,0.4705951487,0.5851986901
11.416,1,0,0.2392616677,1,refl,-0.3947136886,0.4830516693,0.3891378112
11.44,1,0,0.2397646705,1,trans,0.6003472948,0.4708726772,0.5821379525
11.44,1,0,0.2397646705,1,refl,-0.3973019606,0.4834417455,0.3915647692
11.464,1,0,0.2402676733,1,trans,0.5975821637,0.4711436815,0.579080811
11.464,1,0,0.2402676733,1,refl,-0.3999066526,0.4838235831,0.3940105903
11.488,1,0,0.2407706761,1,trans,0.594811843,0.4714082858,0.5760269005
11.488,1,0,0.2407706761,1,refl,-0.4025281531,0.4841970012,0.39647565
11.512,1,0,0.2412736789,1,trans,0.5920358254,0.4716665727,0.5729757743
11.512,1,0,0.2412736789,1,refl,-0.4051668569,0.4845617942,0.3989603144
11.536,1,0,0.2417766817,1,trans,0.5892535617,0.4719185819,0.5699269079
11.536,1,0,0.2417766817,1,refl,-0.4078231653,0.4849177315,0.4014649404
11.56,1,0,0.2422796845,1,trans,0.5864644638,0.4721643102,0.5668797032
11.56,1,0,0.2422796845,1,refl,-0.4104974844,0.4852645575,0.4039898754
11.584,1,0,0.2427826873,1,trans,0.5836679076,0.4724037109,0.5638334925
11.584,1,0,0.2427826873,1,refl,-0.4131902253,0.485601992,0.4065354568
11.608,1,0,0.2432856901,1,trans,0.5808632356,0.4726366936,0.5607875427
11.608,1,0,0.2432856901,1,refl,-0.4159018031,0.48592973,0.4091020123
11.632,1,0,0.243788693,1,trans,0.5780497599,0.472863124,0.5577410589
11.632,1,0,0.243788693,1,refl,-0.4186326362,0.4862474422,0.4116898592
11.656,1,0,0.2442916958,1,trans,0.5752267648,0.4730828238,0.5546931891
11.656,1,0,0.2442916958,1,refl,-0.4213831462,0.4865547749,0.4142993048
11.68,1,0,0.2447946986,1,trans,0.5723935096,0.4732955708,0.5516430272
11.68,1,0,0.2447946986,1,refl,-0.4241537565,0.48685135,0.4169306461
11.704,1,0,0.2452977014,1,trans,0.5695492315,0.4735010986,0.5485896175
11.704,1,0,0.2452977014,1,refl,-0.4269448926,0.4871367654,0.4195841695
11.728,1,0,0.2458007042,1,trans,0.5666931477,0.4736990973,0.5455319585
11.728,1,0,0.2458007042,1,refl,-0.4297569811,0.4874105953,0.4222601513
11.752,1,0,0.246303707,1,trans,0.5638244583,0.4738892132,0.5424690061
11.752,1,0,0.246303707,1,refl,-0.4325904495,0.4876723899,0.4249588569
11.776,1,0,0.2468067098,1,trans,0.5609423485,0.4740710491,0.5393996779
11.776,1,0,0.2468067098,1,refl,-0.4354457254,0.487921676,0.4276805416
11.8,1,0,0.2473097126,1,trans,0.5580459913,0.474244165,0.5363228565
11.8,1,0,0.2473097126,1,refl,-0.4383232363,0.4881579568,0.4304254503
11.824,1,0,0.2478127154,1,trans,0.5551345498,0.4744080781,0.5332373929
11.824,1,0,0.2478127154,1,refl,-0.4412234094,0.4883807123,0.4331938172
11.848,1,0,0.2483157182,1,trans,0.5522071791,0.4745622634,0.5301421105
11.848,1,0,0.2483157182,1,refl,-0.4441466709,0.4885893995,0.4359858666
11.872,1,0,0.248818721,1,trans,0.5492630289,0.4747061541,0.5270358077
11.872,1,0,0.248818721,1,refl,-0.4470934457,0.4887834523,0.4388018124
11.896,1,0,0.2493217238,1,trans,0.5463012454,0.4748391422,0.5239172617
11.896,1,0,0.2493217238,1,refl,-0.4500641574,0.4889622816,0.4416418586
11.92,1,0,0.2498247266,1,trans,0.5433209736,0.4749605789,0.5207852318
11.92,1,0,0.2498247266,1,refl,-0.4530592278,0.4891252758,0.4445061993
11.944,1,0,0.2503277294,1,trans,0.5403213585,0.4750697755,0.5176384621
11.944,1,0,0.2503277294,1,refl,-0.4560790767,0.4892718004,0.4473950189
11.968,1,0,0.2508307322,1,trans,0.537301548,0.4751660035,0.5144756844
11.968,1,0,0.2508307322,1,refl,-0.4591241218,0.4894011985,0.4503084923
11.992,1,0,0.251333735,1,trans,0.5342606937,0.4752484959,0.5112956218
11.992,1,0,0.251333735,1,refl,-0.4621947786,0.4895127904,0.4532467853
12.016,1,0,0.2518367378,1,trans,0.5311979532,0.4753164474,0.5080969906
12.016,1,0,0.2518367378,1,refl,-0.4652914601,0.489605874,0.4562100546
12.04,1,0,0.2523397406,1,trans,0.5281124912,0.475369015,0.5048785037
12.04,1,0,0.2523397406,1,refl,-0.4684145771,0.4896797245,0.4591984486
12.064,1,0,0.2528427434,1,trans,0.5250034811,0.475405319,0.5016388725
12.064,1,0,0.2528427434,1,refl,-0.4715645378,0.4897335945,0.4622121068
12.088,1,0,0.2533457463,1,trans,0.5218701066,0.4754244437,0.4983768098
12.088,1,0,0.2533457463,1,refl,-0.4747417481,0.4897667138,0.4652511613
12.112,1,0,0.2538487491,1,trans,0.5187115623,0.4754254377,0.4950910317
12.112,1,0,0.2538487491,1,refl,-0.4779466117,0.4897782892,0.4683157362
12.136,1,0,0.2543517519,1,trans,0.5155270556,0.4754073146,0.4917802598
12.136,1,0,0.2543517519,1,refl,-0.48117953,0.4897675046,0.4714059486
12.16,1,0,0.2548547547,1,trans,0.5123158068,0.4753690542,0.4884432235
12.16,1,0,0.2548547547,1,refl,-0.4844409025,0.4897335201,0.4745219087
12.184,1,0,0.2553577575,1,trans,0.5090770506,0.4753096022,0.4850786614
12.184,1,0,0.2553577575,1,refl,-0.487731127,0.4896754724,0.4776637205
12.208,1,0,0.2558607603,1,trans,0.5058100365,0.4752278715,0.4816853229
12.208,1,0,0.2558607603,1,refl,-0.4910505997,0.4895924739,0.480831482
12.232,1,0,0.2563637631,1,trans,0.5025140297,0.4751227422,0.4782619702
12.232,1,0,0.2563637631,1,refl,-0.494399716,0.4894836122,0.4840252858
12.256,1,0,0.2568667659,1,trans,0.4991883111,0.4749930624,0.4748073792
12.256,1,0,0.2568667659,1,refl,-0.4977788704,0.4893479499,0.4872452199
12.28,1,0,0.2573697687,1,trans,0.495832178,0.474837648,0.4713203407
12.28,1,0,0.2573697687,1,refl,-0.5011884571,0.4891845236,0.4904913677
12.304,1,0,0.2578727715,1,trans,0.492444944,0.4746552838,0.4677996613
12.304,1,0,0.2578727715,1,refl,-0.5046288708,0.4889923432,0.4937638089
12.328,1,0,0.2583757743,1,trans,0.4890259392,0.4744447227,0.4642441641
12.328,1,0,0.2583757743,1,refl,-0.5081005068,0.4887703911,0.4970626202
12.352,1,0,0.2588787771,1,trans,0.4855745103,0.4742046864,0.4606526896
12.352,1,0,0.2588787771,1,refl,-0.5116037621,0.4885176208,0.5003878753
12.376,1,0,0.2593817799,1,trans,0.4820900198,0.473933865,0.4570240956
12.376,1,0,0.2593817799,1,refl,-0.5151390359,0.4882329566,0.5037396462
12.4,1,0,0.2598847827,1,trans,0.478571846,0.473630917,0.4533572573
12.4,1,0,0.2598847827,1,refl,-0.5187067302,0.4879152911,0.5071180032
12.424,1,0,0.2603877855,1,trans,0.4750193823,0.4732944685,0.4496510675
12.424,1,0,0.2603877855,1,refl,-0.5223072507,0.487563485,0.5105230161
12.448,1,0,0.2608907883,1,trans,0.4714320367,0.472923113,0.445904436
12.448,1,0,0.2608907883,1,refl,-0.5259410082,0.4871763642,0.5139547539
12.472,1,0,0.2613937911,1,trans,0.4678092306,0.4725154101,0.442116289
12.472,1,0,0.2613937911,1,refl,-0.5296084187,0.486752719,0.5174132866
12.496,1,0,0.2618967939,1,trans,0.464150398,0.4720698849,0.4382855682
12.496,1,0,0.2618967939,1,refl,-0.5333099049,0.4862913015,0.5208986846
12.52,1,0,0.2623997967,1,trans,0.4604549845,0.4715850266,0.4344112301
12.52,1,0,0.2623997967,1,refl,-0.5370458976,0.4857908233,0.5244110201
12.544,1,0,0.2629027996,1,trans,0.4567224458,0.4710592868,0.4304922442
12.544,1,0,0.2629027996,1,refl,-0.5408168361,0.4852499531,0.5279503672
12.568,1,0,0.2634058024,1,trans,0.4529522462,0.4704910775,0.4265275913
12.568,1,0,0.2634058024,1,refl,-0.54462317,0.484667314,0.5315168026
12.592,1,0,0.2639088052,1,trans,0.4491438572,0.4698787692,0.4225162622
12.592,1,0,0.2639088052,1,refl,-0.5484653603,0.4840414799,0.5351104058
12.616,1,0,0.264411808,1,trans,0.4452967557,0.469220688,0.4184572547
12.616,1,0,0.264411808,1,refl,-0.5523438808,0.4833709726,0.5387312599
12.64,1,0,0.2649148108,1,trans,0.4414104224,0.4685151128,0.4143495719
12.64,1,0,0.2649148108,1,refl,-0.5562592195,0.4826542576,0.5423794516
12.664,1,0,0.2654178136,1,trans,0.4374843394,0.4677602717,0.410192219
12.664,1,0,0.2654178136,1,refl,-0.5602118797,0.4818897399,0.5460550716
12.688,1,0,0.2659208164,1,trans,0.4335179884,0.4669543383,0.4059842003
12.688,1,0,0.2659208164,1,refl,-0.5642023825,0.4810757595,0.5497582147
12.712,1,0,0.2664238192,1,trans,0.4295108484,0.4660954268,0.4017245158
12.712,1,0,0.2664238192,1,refl,-0.5682312671,0.480210586,0.5534889798
12.736,1,0,0.266926822,1,trans,0.4254623937,0.4651815875,0.3974121577
12.736,1,0,0.266926822,1,refl,-0.5722990935,0.4792924132,0.5572474698
12.76,1,0,0.2674298248,1,trans,0.4213720908,0.4642108007,0.3930461064
12.76,1,0,0.2674298248,1,refl,-0.5764064435,0.4783193526,0.5610337912
12.784,1,0,0.2679328276,1,trans,0.417239397,0.4631809705,0.3886253258
12.784,1,0,0.2679328276,1,refl,-0.5805539227,0.4772894267,0.5648480541
12.808,1,0,0.2684358304,1,trans,0.4130637568,0.4620899177,0.3841487592
12.808,1,0,0.2684358304,1,refl,-0.5847421621,0.4762005611,0.5686903705
12.832,1,0,0.2689388332,1,trans,0.4088446002,0.4609353718,0.3796153241
12.832,1,0,0.2689388332,1,refl,-0.5889718196,0.4750505763,0.5725608543
12.856,1,0,0.269441836,1,trans,0.4045813396,0.4597149619,0.3750239066
12.856,1,0,0.269441836,1,refl,-0.5932435821,0.4738371785,0.5764596195
12.88,1,0,0.2699448388,1,trans,0.4002733675,0.4584262073,0.3703733563
12.88,1,0,0.2699448388,1,refl,-0.5975581669,0.4725579492,0.5803867782
12.904,1,0,0.2704478416,1,trans,0.3959200538,0.4570665059,0.3656624798
12.904,1,0,0.2704478416,1,refl,-0.6019163229,0.4712103343,0.584342439
12.928,1,0,0.2709508444,1,trans,0.3915207436,0.4556331223,0.3608900349
12.928,1,0,0.2709508444,1,refl,-0.606318833,0.4697916312,0.588326704
12.952,1,0,0.2714538472,1,trans,0.3870747547,0.4541231742,0.3560547231
12.952,1,0,0.2714538472,1,refl,-0.6107665146,0.4682989752,0.5923396655
12.976,1,0,0.27195685,1,trans,0.3825813753,0.4525336173,0.3511551835
12.976,1,0,0.27195685,1,refl,-0.615260221,0.4667293247,0.5963814021
13,1,0,0.2724598529,1,trans,0.3780398622,0.4508612282,0.3461899845
13,1,0,0.2724598529,1,refl,-0.6198008426,0.4650794439,0.6004519736
13.024,1,0,0.2729628557,1,trans,0.3734494396,0.4491025863,0.341157617
13.024,1,0,0.2729628557,1,refl,-0.6243893071,0.4633458847,0.6045514157
13.048,1,0,0.2734658585,1,trans,0.3688092969,0.447254053,0.3360564854
13.048,1,0,0.2734658585,1,refl,-0.6290265801,0.4615249656,0.6086797323
13.072,1,0,0.2739688613,1,trans,0.3641185888,0.4453117486,0.3308849001
13.072,1,0,0.2739688613,1,refl,-0.6337136645,0.4596127494,0.612836888
13.096,1,0,0.2744718641,1,trans,0.3593764347,0.4432715267,0.3256410682
13.096,1,0,0.2744718641,1,refl,-0.6384515999,0.4576050174,0.6170227974
13.12,1,0,0.2749748669,1,trans,0.3545819196,0.4411289462,0.3203230849
13.12,1,0,0.2749748669,1,refl,-0.6432414609,0.4554972418,0.6212373142
13.144,1,0,0.2754778697,1,trans,0.3497340954,0.4388792397,0.3149289246
13.144,1,0,0.2754778697,1,refl,-0.6480843541,0.4532845537,0.6254802167
13.168,1,0,0.2759808725,1,trans,0.3448319839,0.4365172781,0.3094564312
13.168,1,0,0.2759808725,1,refl,-0.6529814152,0.450961709,0.6297511916
13.192,1,0,0.2764838753,1,trans,0.3398745806,0.4340375316,0.3039033094
13.192,1,0,0.2764838753,1,refl,-0.657933803,0.4485230487,0.6340498143
13.216,1,0,0.2769868781,1,trans,0.3348608611,0.431434026,0.2982671151
13.216,1,0,0.2769868781,1,refl,-0.6629426927,0.4459624565,0.6383755265
13.24,1,0,0.2774898809,1,trans,0.3297897891,0.4287002937,0.2925452468
13.24,1,0,0.2774898809,1,refl,-0.6680092673,0.4432733093,0.6427276079
13.264,1,0,0.2779928837,1,trans,0.3246603266,0.4258293195,0.2867349371
13.264,1,0,0.2779928837,1,refl,-0.6731347049,0.4404484238,0.6471051449
13.288,1,0,0.2784958865,1,trans,0.3194714487,0.422813479,0.2808332446
13.288,1,0,0.2784958865,1,refl,-0.6783201646,0.4374799949,0.6515069917
13.312,1,0,0.2789988893,1,trans,0.314222161,0.4196444703,0.2748370479
13.312,1,0,0.2789988893,1,refl,-0.6835667671,0.4343595286,0.6559317251
13.336,1,0,0.2795018921,1,trans,0.3089115224,0.416313237,0.26874304
13.336,1,0,0.2795018921,1,refl,-0.6888755707,0.4310777644,0.6603775908
13.36,1,0,0.2800048949,1,trans,0.3035386743,0.4128098819,0.2625477254
13.36,1,0,0.2800048949,1,refl,-0.6942475419,0.4276245898,0.6648424392
13.384,1,0,0.2805078977,1,trans,0.2981028761,0.4091235698,0.2562474201
13.384,1,0,0.2805078977,1,refl,-0.6996835176,0.4239889438,0.6693236493
13.408,1,0,0.2810109005,1,trans,0.2926035507,0.405242418,0.2498382552
13.408,1,0,0.2810109005,1,refl,-0.7051841594,0.4201587072,0.6738180379
13.432,1,0,0.2815139033,1,trans,0.2870403407,0.4011533731,0.2433161859
13.432,1,0,0.2815139033,1,refl,-0.7107498954,0.4161205803,0.6783217512
13.456,1,0,0.2820169062,1,trans,0.2814131779,0.3968420723,0.2366770071
13.456,1,0,0.2820169062,1,refl,-0.7163808498,0.4118599439,0.6828301353
