lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,246.2614922,2.214115376e-15,1.825113405e-14,-0.416798377,0.4674312686,0.5755842719,0.4462786746,0.626269014,0.7283281605,7.121010641e-15,5.946396184e-15,0.3922128779,0.5304619094,0.07732521274,1,0,0,0.6279235299,1.042710778,75.90476257,68.74375289,7.161009673
27.25385982,11,3,228.0609743,1.900985593e-15,7.34867509e-15,-0.5646358189,0.4558696023,0.4253788833,0.4362471883,0.7256932563,0.6093101047,1.127583013e-14,1.135784533e-14,0.5266307023,0.3712588037,0.1021104941,1,0,0,0.7761872085,1.028271825,135.4833533,125.6718814,9.811471831
24.98270483,12,3,244.8168749,2.125701586e-15,6.35037306e-15,-0.7293800159,0.3946259684,0.2517028006,0.3785939292,0.8292917838,0.4546291489,1.284101828e-14,1.337895205e-14,0.6877248626,0.206687663,0.1055874744,1,0,0,0.9383594034,0.9752594329,234.9014452,220.4881928,14.4132524
23.06095831,13,3,370.4966671,2.090990241e-15,1.743368562e-13,-0.8845431104,0.1808276953,0.09092895804,0.1669220454,0.9028372885,0.1900816789,9.462041246e-15,1.032418953e-14,0.8151151695,0.03613104466,0.1487537858,1,0,0,1.086868961,0.8515259896,372.8496378,350.861091,21.98854681
21.413747,14,3,960.5849866,1.745970953e-15,9.057980127e-13,-0.7368027429,-0.2816782259,0.2457953186,-0.2953809119,0.7888098027,0.3842723276,8.919936171e-15,8.685977864e-15,0.6222209049,0.1476652217,0.2301138734,1,0,0,1.17673249,0.6488567214,504.161656,473.944019,30.21763707
19.98616387,15,3,200.1308277,1.237561916e-15,3.709348563e-13,-0.1249530307,-0.1564262421,0.8657234571,-0.1723843851,0.2002059667,0.8827193667,4.043750054e-15,4.062324775e-15,0.04008242911,0.7791934804,0.1807240905,1,0,0,1.181440664,0.4099337564,571.4831527,537.014939,34.46821374
18.73702863,16,3,110.6301009,9.27052774e-16,4.600584729e-13,-0.1616439835,0.3185107897,0.8351100642,0.3016833814,0.3571804874,0.8879311245,7.257387081e-15,7.475059129e-15,0.1275779006,0.7884216819,0.08400041755,1,0,0,1.119242533,0.1890364738,568.7185373,534.5036189,34.21491847
17.63485047,17,3,456.1734786,1.440056417e-15,1.377025416e-14,-0.5170202997,0.3890762152,0.485722701,0.3750421494,0.6470628188,0.6136637158,6.866722858e-15,6.339538775e-15,0.4186902915,0.3765831561,0.2047265524,1,0,0,1.031997821,0.03638688446,529.5076026,497.1119843,32.39561824
16.65513656,18,3,141.7918861,1.024705094e-15,3.29530426e-15,-0.6846100975,0.4052687436,0.3131927663,0.3970382299,0.7955713294,0.5056966134,5.218877103e-15,4.382319624e-15,0.6329337401,0.2557290648,0.1113371951,1,0,0,0.9564842225,0.1259908609,487.3610472,456.9841654,30.37688184
15.77855042,19,3,200.3278655,1.366248416e-15,2.443751516e-12,-0.8342892701,0.1440937578,0.1664625005,0.1228085191,0.8466413628,0.2068615393,5.074898296e-16,5.867833084e-16,0.7856199361,0.1148076485,0.09957241541,5,0.06881833892,0.07201595207,0.8972617815,0.2305004073,450.7263675,423.1588095,27.56755798
14.9896229,20,3,54.49857438,8.122354091e-16,9.319557093e-12,-0.7980159688,-0.01811340255,0.1977805418,-0.03724214328,0.7982215118,0.2012563538,6.077742146e-16,7.990300515e-16,0.7340732762,0.1450106644,0.1209160594,5,0.09691569435,0.1045065445,0.8454762686,0.3231976385,415.3567034,389.4660062,25.89069716
14.27583133,21,3,39.73839381,8.207630056e-16,2.07806675e-12,-0.6640138736,-0.1670753696,0.3324812592,-0.1888850809,0.6847105984,0.3823890186,1.424403754e-15,1.454041808e-15,0.6050749238,0.2873052335,0.1076198427,5,0.1362463202,0.141083872,0.7838628944,0.4053085605,375.6398792,349.7143984,25.92548079
13.62692991,22,3,22.24264712,6.519617821e-16,2.784237878e-12,-0.5435945476,-0.1367383664,0.4529918326,-0.159855781,0.5605286907,0.4803701397,8.255449532e-16,9.002566446e-16,0.4956776071,0.4189235804,0.08539881252,5,0.181485194,0.1881681093,0.7312326433,0.4753091932,339.8873761,315.6712434,24.21613261
13.0344547,23,3,24.79777601,5.77064093e-16,2.474693147e-13,-0.5162221124,-0.09398372877,0.4802817784,-0.1189187671,0.5247077383,0.4947850643,7.118588524e-16,7.925497834e-16,0.4735681651,0.4492777752,0.07715405975,5,0.1982499544,0.2044655154,0.6813400038,0.5371008896,306.3559763,283.818688,22.53728834
12.49135242,24,3,15.70161824,4.550271288e-16,1.906633467e-14,-0.5248364884,-0.07762149377,0.4711243971,-0.1050282794,0.5305454135,0.482689483,2.38008756e-16,3.450710621e-16,0.4829585294,0.4387796346,0.07826183602,5,0.2014800935,0.2057904976,0.631649337,0.5945191706,273.6372388,252.7866774,20.85056137
11.99169832,25,3,15.79446813,5.373684773e-16,2.97251545e-14,-0.547607768,-0.0920240189,0.4475870878,-0.1220693584,0.5552861313,0.4639344021,4.052647747e-16,1.684477145e-16,0.5038605961,0.4125269603,0.08361244355,5,0.1955179085,0.1972918309,0.5797570392,0.6481348052,241.0164436,221.8891109,19.12733272
11.53047915,26,3,30.25146794,5.717914377e-16,1.261555808e-11,-0.5727320856,-0.1518030611,0.421691445,-0.1839327032,0.592508406,0.4600596854,6.06000951e-16,2.923001334e-16,0.5248210581,0.3842517118,0.09092723015,5,0.1737548469,0.1725967977,0.5258804194,0.6961639316,209.4456673,192.0415771,17.40409012
11.10342437,27,3,31.93237165,4.72517088e-16,1.935802645e-11,-0.4805804878,-0.2267017459,0.5143985347,-0.2598371711,0.5313673746,0.5762995818,9.719037604e-16,7.598257577e-16,0.4341263388,0.4849030012,0.08097066004,9,0.151775052,0.1527817932,0.4721905158,0.7371206518,180.4909226,164.7650126,15.72591003
10.7068735,28,3,15.45413733,5.464984537e-16,3.651134475e-11,-0.4286243947,-0.2378662259,0.5666221273,-0.2700433797,0.4902032366,0.6276814973,5.679754212e-16,5.49725167e-16,0.3841193817,0.5365911779,0.0792894404,9,0.1438201685,0.1426071159,0.4206276209,0.7705915823,155.2514888,141.0844146,14.16707415
10.33767097,29,3,10.90895096,3.814589413e-16,8.02953028e-12,-0.3738465913,-0.2466940687,0.6215984015,-0.2778880996,0.4479053889,0.680886458,5.991156385e-16,5.409929464e-16,0.3319450689,0.5922557597,0.07579917134,9,0.1313258316,0.1286493911,0.3720771092,0.7971212717,134.0936408,121.3385598,12.75508101
9.993081933,30,3,11.22795016,5.363636993e-16,1.872167658e-11,-0.3169621368,-0.2432509197,0.6787863668,-0.274421384,0.3995447485,0.7321598375,4.815024982e-16,3.685496415e-16,0.2782592976,0.6514237978,0.07031690461,9,0.1186232915,0.1153657701,0.3266442854,0.8176094107,116.8849687,105.3231934,11.56177532
9.670724452,31,3,13.33108761,4.37126177e-16,3.368639607e-12,-0.2624466351,-0.225559792,0.7337936941,-0.2579339643,0.3460570127,0.7778066054,5.252601552e-16,2.863214941e-16,0.2273053725,0.7091567087,0.06353791873,9,0.1075499165,0.1041735933,0.2843400695,0.8330689639,103.2085829,92.60946977,10.59911308
9.368514313,32,3,15.93449982,4.084562358e-16,3.791145688e-11,-0.214278214,-0.1955665236,0.7825005959,-0.2298943819,0.290105874,0.8155725654,3.101419503e-12,3.117257073e-12,0.1828850188,0.7605760369,0.05653894428,9,0.09872360069,0.09541742742,0.2456454863,0.84438395,92.61098332,82.73582861,9.875154716
9.084619939,33,3,14.98645602,5.110312932e-16,3.31631818e-11,-0.1747700681,-0.1570299193,0.8224194825,-0.1931795876,0.2349531278,0.8448030293,1.328436713e-12,1.337235971e-12,0.1470776191,0.8025855691,0.05033681187,9,0.09187464681,0.08889341082,0.2115552262,0.8522820766,84.67084585,75.30056706,9.370278788
8.817425235,34,3,10.90019963,4.178764586e-16,7.389662511e-11,-0.1447494003,-0.1136778637,0.8525835948,-0.1507447926,0.184051747,0.8658075875,3.431429274e-13,3.460604533e-13,0.1203035498,0.8338303707,0.0458660795,9,0.08642850417,0.08420759211,0.1833932581,0.8571786204,79.11178629,70.03771982,9.074066474
