lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,24.71252257,1.108922433e-15,1.825113405e-14,-0.07231092683,0.230171913,0.9343252405,0.2245350511,0.2412632995,0.9609264509,2.472890349e-15,1.93004664e-15,0.0582079797,0.9233796441,0.01841237618,1,0,0,0.264494923,1.012384553,10.67838292,10.18837599,0.490006924
27.25385982,11,3,20.17475283,8.002656232e-16,7.34867509e-15,-0.09080551339,0.2750137213,0.9125553047,0.2649646344,0.2896173133,0.9502438853,2.426936498e-15,2.072067285e-15,0.08387818817,0.9029634416,0.01315837021,1,0,0,0.3167400193,1.0135985,17.07459913,16.83936611,0.235233021
24.98270483,12,3,18.54983762,6.589706058e-16,6.35037306e-15,-0.1067240094,0.30211779,0.89016172,0.3011992695,0.3204140653,0.9397387338,2.112579126e-15,2.180657919e-15,0.1026651732,0.8831088878,0.01422593899,1,0,0,0.3617996501,1.010887485,27.6252078,26.90873015,0.7164776493
23.06095831,13,3,19.36609652,7.732445003e-16,1.743368562e-13,-0.1190695655,0.3158106774,0.8726408491,0.3298452384,0.3375114004,0.9328986723,1.624625852e-15,2.119982459e-15,0.1139139454,0.8702999328,0.01578612179,1,0,0,0.4077265672,1.00048673,44.65792789,42.20588582,2.452042067
21.413747,14,3,22.73346765,5.388439513e-16,9.057980127e-13,-0.1428229498,0.3425797461,0.851127416,0.3539750591,0.3711593693,0.921800532,1.053854282e-15,1.62850175e-15,0.1377592774,0.8497162208,0.01252450178,1,0,0,0.4762846289,0.978339279,71.4174117,66.2485372,5.168874498
19.98616387,15,3,34.66849766,5.505591373e-16,3.709348563e-13,-0.1835322507,0.3857636868,0.8137987618,0.3796267769,0.4271975059,0.8979893732,8.02459418e-16,1.193616152e-15,0.1824977091,0.8063849145,0.01111737647,1,0,0,0.5697501658,0.939238101,111.7014909,103.3861364,8.315354503
18.73702863,16,3,150.2851245,6.35864628e-16,4.600584729e-13,-0.2365908122,0.4241658356,0.7616294577,0.4086672317,0.4856870067,0.8643427197,9.156687612e-16,1.410510707e-15,0.2358918685,0.747088337,0.01701979449,1,0,0,0.6647172272,0.8769338155,167.4993545,155.5296133,11.96974121
17.63485047,17,4,237.1405339,7.366588989e-15,2.016812746e-14,-0.2791828333,0.5580034988,0.7254277141,0.5899797682,0.6239478817,0.9350516003,7.299735233e-14,1.116626184e-13,0.389310959,0.8743214953,-0.2636324543,1,0,0,0.7354973194,0.80106534,231.2585055,222.6859893,8.572516255
16.65513656,18,4,97.01007791,3.052535417e-15,4.870122917e-15,-0.3744550093,0.4967849075,0.643148973,0.5399203149,0.6221027233,0.8397348081,4.708883868e-15,1.728345461e-14,0.3870117983,0.705154548,-0.09216634635,1,0,0,0.7999147777,0.6718824574,307.2484678,292.0895583,15.15890953
15.77855042,19,3,118.9367125,1.015457494e-15,2.443751516e-12,-0.5028616142,0.4661508075,0.500998902,0.4501713145,0.6856867932,0.6735385008,3.054498017e-15,3.199190794e-15,0.4701663784,0.4536541121,0.07617950949,5,3.118073066e-31,3.27051543e-31,0.8529982739,0.5059092341,372.2772579,348.8012237,23.47603421
