lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-9.475437193e-15,1.001562784e-14,0.9363092384,0.2224742279,0.9261697719
29.9792458,10,refl,0,0,0.2095845022,-1.702053585e-14,2.087843762e-15,-0.06401680949,0.2273849259,0.05580205643
27.25385982,11,trans,0,0,0.2305429524,-1.176645688e-15,1.576865115e-15,0.9146901924,0.2539918269,0.9011699963
27.25385982,11,refl,0,0,0.2305429524,9.675647762e-16,-8.334796441e-16,-0.08313552852,0.263463842,0.07632471217
24.98270483,12,trans,0,0,0.2515014026,1.430370164e-15,-2.627055994e-16,0.8952415872,0.2787600771,0.8791646801
24.98270483,12,refl,0,0,0.2515014026,-8.896905526e-16,-6.889898484e-15,-0.09619928347,0.2848074958,0.0903696118
23.06095831,13,trans,0,0,0.2724598529,-1.003296975e-14,-1.847428442e-14,0.8743522903,0.3044607953,0.8571883034
23.06095831,13,refl,0,0,0.2724598529,-1.043014586e-14,-2.733873471e-14,-0.1161328432,0.30228999,0.1048660753
21.413747,14,trans,0,0,0.2934183031,-3.146720362e-15,2.026926357e-15,0.8523795692,0.3323179616,0.8369861576
21.413747,14,refl,0,0,0.2934183031,-6.22221657e-15,1.0799409e-15,-0.1420708183,0.335729056,0.1328981165
19.98616387,15,trans,0,0,0.3143767533,-6.12201924e-15,-3.23052763e-15,0.80934801,0.3530945728,0.7797199786
19.98616387,15,refl,0,0,0.3143767533,-5.996635958e-15,6.020987669e-15,-0.1837149814,0.3756252099,0.1748454927
18.73702863,16,trans,0,0,0.3353352035,-2.336937941e-15,2.313315824e-15,0.7548905903,0.4051256496,0.7339865954
18.73702863,16,refl,0,0,0.3353352035,-2.021825184e-15,1.248424814e-15,-0.237196141,0.4224704275,0.2347432714
17.63485047,17,trans,0,0,0.3562936537,6.531938519e-15,-3.68236516e-15,0.7022765669,0.427380776,0.6758467041
17.63485047,17,refl,0,0,0.3562936537,4.881645185e-15,-1.222925039e-15,-0.2824184346,0.4375604311,0.2712193031
16.65513656,18,trans,0,0,0.377252104,-1.574655862e-14,1.273826465e-15,0.599408422,0.4523176153,0.5638816814
16.65513656,18,refl,0,0,0.377252104,-2.101958736e-14,1.926669062e-16,-0.3879802046,0.4428937878,0.3466835465
15.77855042,19,trans,0,0,0.3982105542,-1.323046163e-15,4.837025869e-16,0.4907010336,0.449969904,0.4432604189
