lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-1.864606646e-15,4.983192645e-16,0.9343252405,0.2245350511,0.9233796441
29.9792458,10,refl,0,0,0.2095845022,-2.06257848e-15,1.364168864e-15,-0.07231092683,0.230171913,0.0582079797
29.24804468,10.25,trans,0,0,0.2148241148,-1.93730677e-15,5.884788222e-16,0.9269849739,0.2369744341,0.9154580243
29.24804468,10.25,refl,0,0,0.2148241148,-2.061273437e-15,1.416754509e-15,-0.0787436902,0.2439948166,0.06573403929
28.55166267,10.5,trans,0,0,0.2200637273,-2.03132793e-15,6.884756257e-16,0.921033288,0.247754168,0.9096844454
28.55166267,10.5,refl,0,0,0.2200637273,-2.132647029e-15,1.50198347e-15,-0.08385831043,0.2559390488,0.07253701294
27.88767051,10.75,trans,0,0,0.2253033399,-2.173217143e-15,6.811236604e-16,0.9162785642,0.2570264987,0.9056290283
27.88767051,10.75,refl,0,0,0.2253033399,-2.225214274e-15,1.478254879e-15,-0.08782675177,0.2662096317,0.07858110631
27.25385982,11,trans,0,0,0.2305429524,-1.987039998e-15,5.874818122e-16,0.9125553047,0.2649646344,0.9029634416
27.25385982,11,refl,0,0,0.2305429524,-2.023282083e-15,1.340279962e-15,-0.09080551339,0.2750137213,0.08387818817
26.64821849,11.25,trans,0,0,0.235782565,-1.955041922e-15,8.378960654e-16,0.9049952894,0.2759494099,0.8951645507
26.64821849,11.25,refl,0,0,0.235782565,-1.928996339e-15,1.457376788e-15,-0.09675817349,0.2836522504,0.08982074332
26.06890939,11.5,trans,0,0,0.2410221775,-2.107514268e-15,6.372526836e-16,0.898815219,0.2855262893,0.8893940598
26.06890939,11.5,refl,0,0,0.2410221775,-2.029084945e-15,1.143745006e-15,-0.1012357978,0.2908890583,0.094865131
25.51425174,11.75,trans,0,0,0.2462617901,-1.901191861e-15,8.325172831e-16,0.8939125262,0.2938913657,0.8854517393
25.51425174,11.75,refl,0,0,0.2462617901,-1.721456354e-15,1.233306653e-15,-0.1044889239,0.2969788389,0.09911436596
24.98270483,12,trans,0,0,0.2515014026,-2.042573329e-15,7.636512002e-16,0.89016172,0.3011992695,0.8831088878
24.98270483,12,refl,0,0,0.2515014026,-1.813033337e-15,1.084389543e-15,-0.1067240094,0.30211779,0.1026651732
24.47285371,12.25,trans,0,0,0.2567410152,-2.256048004e-15,7.239991515e-16,0.8837927996,0.3095700524,0.8769233299
24.47285371,12.25,refl,0,0,0.2567410152,-1.987659193e-15,8.992042851e-16,-0.1113218005,0.3062574263,0.1061861544
23.98339664,12.5,trans,0,0,0.2619806277,-2.040973532e-15,7.414667956e-16,0.8789109857,0.3170681655,0.8730167423
23.98339664,12.5,refl,0,0,0.2619806277,-1.679226986e-15,7.986923362e-16,-0.1147843197,0.3098409002,0.1091768235
23.51313396,12.75,trans,0,0,0.2672202403,-2.14078802e-15,7.566484855e-16,0.8752622885,0.3237960006,0.8709279237
23.51313396,12.75,refl,0,0,0.2672202403,-1.717577657e-15,7.099904432e-16,-0.117315062,0.3129958263,0.1117292111
23.06095831,13,trans,0,0,0.2724598529,-1.994356006e-15,7.189365387e-16,0.8726408491,0.3298452384,0.8702999328
23.06095831,13,refl,0,0,0.2724598529,-1.514864963e-15,5.870207012e-16,-0.1190695655,0.3158106774,0.1139139454
22.62584589,13.25,trans,0,0,0.2776994654,-1.861699023e-15,7.784666735e-16,0.8655139791,0.336474795,0.8623297358
22.62584589,13.25,refl,0,0,0.2776994654,-1.357342751e-15,6.230484584e-16,-0.1268358142,0.3231051968,0.120484292
22.20684874,13.5,trans,0,0,0.282939078,-1.741398391e-15,8.054789932e-16,0.8596531056,0.3426723853,0.8564278256
22.20684874,13.5,refl,0,0,0.282939078,-1.240922852e-15,6.160082987e-16,-0.1332845997,0.3299684764,0.12664398
21.80308785,13.75,trans,0,0,0.2881786905,-1.620205385e-15,7.062176991e-16,0.8549017921,0.3484908213,0.8523029266
21.80308785,13.75,refl,0,0,0.2881786905,-1.074959824e-15,4.884555623e-16,-0.1385690074,0.3364466453,0.132397715
21.413747,14,trans,0,0,0.2934183031,-1.519215352e-15,5.86517403e-16,0.851127416,0.3539750591,0.8497162208
21.413747,14,refl,0,0,0.2934183031,-9.922795952e-16,3.549507757e-16,-0.1428229498,0.3425797461,0.1377592774
21.03806723,14.25,trans,0,0,0.2986579156,-1.343582898e-15,6.117032774e-16,0.8394045865,0.3604475361,0.8345224861
21.03806723,14.25,refl,0,0,0.2986579156,-8.02038896e-16,3.970208132e-16,-0.155667965,0.3541632205,0.1496641021
20.67534193,14.5,trans,0,0,0.3038975282,-1.439586917e-15,8.793846908e-17,0.8294007358,0.3668940839,0.8225168494
