f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.05445087263,0.2279244588,0.944289857,0.2208100699,0.2343383375,0.9697630747,3.41859471e-06,3.307424573e-06,0.05491445644,0.9404404211,0.004645122489,0,0
10.024,29.90746788,-0.05455560866,0.2285117969,0.9445098792,0.2209705044,0.2349339391,0.9700138534,3.360450947e-06,3.295190395e-06,0.05519395577,0.9409268757,0.003879168485,0,0
10.048,29.83603284,-0.05467777069,0.229104133,0.9446903258,0.2211705223,0.235538452,0.9702351322,3.302151053e-06,3.283941514e-06,0.05547836236,0.9413562117,0.00316542595,0,0
10.072,29.76493824,-0.05481696879,0.2297014413,0.9448321323,0.2214086405,0.2361517568,0.970427506,3.243923776e-06,3.273804669e-06,0.05576765223,0.9417295444,0.00250280338,0,0
10.096,29.69418166,-0.05497281032,0.2303036878,0.9449362467,0.2216833852,0.2367737284,0.9705915895,3.18605811e-06,3.2649226e-06,0.05606179848,0.9420480337,0.001890167854,0,0
10.12,29.62376067,-0.05514490027,0.2309108297,0.9450036287,0.2219932943,0.2374042361,0.970728016,3.12891673e-06,3.257456312e-06,0.05636077132,0.942312881,0.001326347718,0,0
10.144,29.55367291,-0.0553328416,0.2315228169,0.9450352485,0.2223369192,0.2380431434,0.9708374357,3.072951973e-06,3.251587699e-06,0.05666453812,0.9425253266,0.0008101353227,0,0
10.168,29.48391601,-0.05553623555,0.2321395916,0.945032086,0.2227128265,0.2386903086,0.9709205151,3.018724527e-06,3.24752259e-06,0.05697306344,0.9426866467,0.0003402898139,0,0
10.192,29.41448764,-0.05575468201,0.232761089,0.9449951296,0.2231196,0.2393455851,0.9709779353,2.966924839e-06,3.245494299e-06,0.05728630912,0.9427981509,-8.446003662e-05,0,0
10.216,29.34538547,-0.05598777984,0.2333872378,0.9449253749,0.2235558423,0.2400088212,0.9710103906,2.918396876e-06,3.245767754e-06,0.05760423428,0.9428611787,-0.0004654129757,0,0
10.24,29.27660723,-0.05623512722,0.2340179606,0.9448238235,0.2240201765,0.2406798609,0.9710185873,2.874163296e-06,3.248644345e-06,0.05792679543,0.942877097,-0.0008038923926,0,0
10.264,29.20815062,-0.05649632197,0.2346531741,0.9446914823,0.2245112472,0.2413585435,0.9710032425,2.835450244e-06,3.254467605e-06,0.05825394652,0.9428472969,-0.001101243436,0,0
10.288,29.14001341,-0.05677096194,0.2352927897,0.9445293617,0.2250277228,0.2420447046,0.9709650823,2.803708795e-06,3.263629905e-06,0.05858563901,0.9427731911,-0.001358830134,0,0
10.312,29.07219337,-0.05705864532,0.2359367139,0.9443384744,0.2255682961,0.2427381758,0.9709048411,2.780628655e-06,3.276580379e-06,0.058921822,0.9426562105,-0.00157803252,0,0
10.336,29.00468827,-0.05735897098,0.2365848488,0.9441198347,0.2261316856,0.2434387854,0.9708232597,2.768138314e-06,3.293834336e-06,0.05926244224,0.9424978016,-0.00176024379,0,0
10.36,28.93749595,-0.05767153884,0.2372370921,0.9438744565,0.2267166371,0.2441463583,0.9707210841,2.768384873e-06,3.315984523e-06,0.05960744429,0.9422994232,-0.001906867481,0,0
10.384,28.87061421,-0.05799595022,0.2378933382,0.9436033525,0.2273219243,0.2448607167,0.9705990645,2.783687059e-06,3.343714648e-06,0.05995677059,0.9420625441,-0.002019314689,0,0
10.408,28.80404093,-0.05833180812,0.2385534778,0.9433075327,0.22794635,0.2455816801,0.9704579536,2.816457146e-06,3.377815778e-06,0.0603103616,0.9417886397,-0.00209900134,0,0
10.432,28.73777396,-0.05867871765,0.2392173989,0.9429880034,0.2285887466,0.2463090657,0.9702985054,2.869092011e-06,3.419206336e-06,0.06066815584,0.9414791897,-0.002147345506,0,0
10.456,28.67181121,-0.05903628631,0.239884987,0.9426457657,0.2292479773,0.2470426888,0.9701214742,2.943839517e-06,3.468956747e-06,0.06103009008,0.9411356747,-0.002165764791,0,0
10.48,28.60615057,-0.05940412437,0.2405561253,0.9422818143,0.2299229367,0.247782363,0.9699276129,3.042651828e-06,3.528320088e-06,0.06139609943,0.9407595743,-0.002155673778,0,0
10.504,28.54078998,-0.05978184516,0.2412306954,0.9418971363,0.230612551,0.2485279007,0.9697176724,3.167039386e-06,3.598770637e-06,0.06176611744,0.9403523641,-0.002118481558,0,0
10.528,28.47572739,-0.06016906544,0.2419085774,0.9414927102,0.231315779,0.2492791132,0.9694923997,3.317936435e-06,3.682052952e-06,0.06214007627,0.9399155131,-0.002055589329,0,0
10.552,28.41096077,-0.06056540572,0.2425896502,0.9410695044,0.2320316122,0.250035811,0.9692525374,3.495582113e-06,3.780245115e-06,0.06251790679,0.9394504813,-0.001968388089,0,0
10.576,28.34648809,-0.06097049058,0.2432737923,0.9406284764,0.2327590753,0.2507978045,0.9689988223,3.699413722e-06,3.895841388e-06,0.06289953874,0.9389587177,-0.001858256415,0,0
10.6,28.28230736,-0.06138394899,0.2439608814,0.9401705712,0.233497226,0.2515649038,0.9687319843,3.92796531e-06,4.031861738e-06,0.06328490084,0.9384416575,-0.00172655833,0,0
10.624,28.2184166,-0.06180541463,0.2446507953,0.9396967208,0.2342451561,0.2523369195,0.9684527455,4.178768135e-06,4.191999147e-06,0.06367392095,0.9379007203,-0.001574641277,0,0
10.648,28.15481386,-0.06223452621,0.2453434122,0.939207843,0.2350019906,0.2531136626,0.9681618191,4.448260065e-06,4.380820832e-06,0.0640665262,0.937337308,-0.001403834186,0,0
10.672,28.09149719,-0.06267092775,0.2460386107,0.9387048401,0.2357668884,0.253894945,0.9678599085,4.731726101e-06,4.604047586e-06,0.06446264314,0.9367528025,-0.001215445639,0,0
10.696,28.02846466,-0.06311426888,0.24673627,0.9381885983,0.2365390417,0.25468058,0.9675477064,5.023307056e-06,4.868948268e-06,0.06486219787,0.9361485643,-0.00101076215,0,0
10.72,27.96571437,-0.06356420515,0.2474362706,0.9376599867,0.2373176765,0.2554703822,0.9672258941,5.31612165e-06,5.184907107e-06,0.06526511621,0.9355259303,-0.0007910465416,0,0
10.744,27.90324442,-0.06402039829,0.2481384944,0.9371198565,0.238102052,0.256264168,0.9668951404,5.602541548e-06,5.564255393e-06,0.06567132382,0.9348862126,-0.0005575364271,0,0
10.768,27.84105293,-0.06448251647,0.2488428247,0.9365690399,0.2388914604,0.2570617559,0.966556101,5.874633896e-06,6.023515843e-06,0.06608074636,0.9342306964,-0.0003114428041,0,0
10.792,27.77913807,-0.0649502346,0.2495491467,0.9360083499,0.2396852269,0.2578629667,0.9662094178,6.124742731e-06,6.585303818e-06,0.06649330962,0.9335606391,-5.394875065e-05,0,0
10.816,27.71749797,-0.06542323456,0.2502573476,0.9354385791,0.2404827089,0.2586676239,0.9658557182,6.34613041e-06,7.281291507e-06,0.06690893971,0.9328772685,0.000213791772,0,0
10.84,27.65613081,-0.06590120544,0.250967317,0.9348604991,0.241283296,0.2594755539,0.9654956146,6.533563335e-06,8.156905248e-06,0.06732756312,0.9321817819,0.0004906550112,0,0
