f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.944289857,0.2208100699,0.9404404211
10,1,0,0.2095845022,1,refl,-0.05445087263,0.2279244588,0.05491445643
10.024,1,0,0.210087505,1,trans,0.9445098792,0.2209705044,0.9409268757
10.024,1,0,0.210087505,1,refl,-0.05455560866,0.2285117969,0.05519395576
10.048,1,0,0.2105905078,1,trans,0.9446903258,0.2211705223,0.9413562117
10.048,1,0,0.2105905078,1,refl,-0.05467777069,0.229104133,0.05547836235
10.072,1,0,0.2110935106,1,trans,0.9448321323,0.2214086405,0.9417295444
10.072,1,0,0.2110935106,1,refl,-0.05481696879,0.2297014413,0.05576765222
10.096,1,0,0.2115965134,1,trans,0.9449362467,0.2216833852,0.9420480337
10.096,1,0,0.2115965134,1,refl,-0.05497281032,0.2303036878,0.05606179847
10.12,1,0,0.2120995162,1,trans,0.9450036287,0.2219932943,0.942312881
10.12,1,0,0.2120995162,1,refl,-0.05514490027,0.2309108297,0.05636077131
10.144,1,0,0.212602519,1,trans,0.9450352485,0.2223369192,0.9425253265
10.144,1,0,0.212602519,1,refl,-0.0553328416,0.2315228169,0.05666453811
10.168,1,0,0.2131055218,1,trans,0.945032086,0.2227128265,0.9426866467
10.168,1,0,0.2131055218,1,refl,-0.05553623555,0.2321395916,0.05697306343
10.192,1,0,0.2136085246,1,trans,0.9449951296,0.2231196,0.9427981509
10.192,1,0,0.2136085246,1,refl,-0.05575468201,0.232761089,0.05728630911
10.216,1,0,0.2141115274,1,trans,0.9449253749,0.2235558423,0.9428611787
10.216,1,0,0.2141115274,1,refl,-0.05598777984,0.2333872378,0.05760423427
10.24,1,0,0.2146145302,1,trans,0.9448238235,0.2240201765,0.942877097
10.24,1,0,0.2146145302,1,refl,-0.05623512722,0.2340179606,0.05792679542
10.264,1,0,0.2151175331,1,trans,0.9446914823,0.2245112472,0.9428472969
10.264,1,0,0.2151175331,1,refl,-0.05649632197,0.2346531741,0.05825394651
10.288,1,0,0.2156205359,1,trans,0.9445293617,0.2250277228,0.9427731911
10.288,1,0,0.2156205359,1,refl,-0.05677096194,0.2352927897,0.05858563901
10.312,1,0,0.2161235387,1,trans,0.9443384744,0.2255682961,0.9426562105
10.312,1,0,0.2161235387,1,refl,-0.05705864532,0.2359367139,0.05892182199
10.336,1,0,0.2166265415,1,trans,0.9441198347,0.2261316856,0.9424978015
10.336,1,0,0.2166265415,1,refl,-0.05735897098,0.2365848488,0.05926244223
10.36,1,0,0.2171295443,1,trans,0.9438744565,0.2267166371,0.9422994232
10.36,1,0,0.2171295443,1,refl,-0.05767153884,0.2372370921,0.05960744428
10.384,1,0,0.2176325471,1,trans,0.9436033525,0.2273219243,0.9420625441
