lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-1.864606646e-15,4.983192645e-16,0.9343252405,0.2245350511,0.9233796441
29.9792458,10,refl,0,0,0.2095845022,-2.06257848e-15,1.364168864e-15,-0.07231092683,0.230171913,0.0582079797
27.25385982,11,trans,0,0,0.2305429524,-1.987039998e-15,5.874818122e-16,0.9125553047,0.2649646344,0.9029634416
27.25385982,11,refl,0,0,0.2305429524,-2.023282083e-15,1.340279962e-15,-0.09080551339,0.2750137213,0.08387818817
24.98270483,12,trans,0,0,0.2515014026,-2.042573329e-15,7.636512002e-16,0.89016172,0.3011992695,0.8831088878
24.98270483,12,refl,0,0,0.2515014026,-1.813033337e-15,1.084389543e-15,-0.1067240094,0.30211779,0.1026651732
23.06095831,13,trans,0,0,0.2724598529,-1.994356006e-15,7.189365387e-16,0.8726408491,0.3298452384,0.8702999328
23.06095831,13,refl,0,0,0.2724598529,-1.514864963e-15,5.870207012e-16,-0.1190695655,0.3158106774,0.1139139454
21.413747,14,trans,0,0,0.2934183031,-1.519215352e-15,5.86517403e-16,0.851127416,0.3539750591,0.8497162208
21.413747,14,refl,0,0,0.2934183031,-9.922795952e-16,3.549507757e-16,-0.1428229498,0.3425797461,0.1377592774
19.98616387,15,trans,0,0,0.3143767533,-1.193372314e-15,-2.412548999e-17,0.8137987618,0.3796267769,0.8063849145
19.98616387,15,refl,0,0,0.3143767533,-7.949636604e-16,-1.094252992e-16,-0.1835322507,0.3857636868,0.1824977091
18.73702863,16,trans,0,0,0.3353352035,-1.342379318e-15,-4.330799271e-16,0.7616294577,0.4086672317,0.747088337
18.73702863,16,refl,0,0,0.3353352035,-8.843379381e-16,-2.374777704e-16,-0.2365908122,0.4241658356,0.2358918685
17.63485047,17,trans,0,0,0.3562936537,-1.128934408e-15,-3.797481713e-16,0.6980309656,0.4377210496,0.6788469462
17.63485047,17,refl,0,0,0.3562936537,-4.591644599e-16,-4.553849645e-17,-0.2997043331,0.4451620097,0.2879919022
16.65513656,18,trans,0,0,0.377252104,-1.279516577e-15,2.498257491e-17,0.6137700897,0.4598471644,0.5881731377
16.65513656,18,refl,0,0,0.377252104,-7.105237252e-16,2.646036864e-16,-0.3837890787,0.4561813553,0.3553954858
15.77855042,19,trans,0,0,0.3982105542,-2.477251898e-15,-2.024362807e-15,0.500998902,0.4501713145,0.4536541121
15.77855042,19,trans,-1,0,0.06602330411,1.146240107e-16,-2.263985338e-16,1.208973891e-17,-2.485206928e-17,6.515874708e-32
15.77855042,19,trans,0,-1,0.06602330411,3.022351888e-17,1.459483085e-16,-1.424972111e-16,-2.493444183e-16,1.046924639e-31
15.77855042,19,trans,0,1,0.06602330411,-5.514316893e-17,1.275840285e-16,-1.441360566e-16,-2.493785784e-16,1.022833316e-31
15.77855042,19,trans,1,0,0.06602330411,1.154701601e-16,-2.02655349e-16,1.357081799e-17,-1.817374209e-17,5.491700036e-32
15.77855042,19,refl,0,0,0.3982105542,-2.389050142e-15,-1.903259718e-15,-0.5028616142,0.4661508075,0.4701663784
15.77855042,19,refl,-1,0,0.06602330411,1.17036562e-16,-2.218580545e-16,-8.943310317e-18,2.217169494e-17,6.349012006e-32
15.77855042,19,refl,0,-1,0.06602330411,3.2821844e-17,1.478579702e-16,1.135615758e-16,2.525591744e-16,9.962162087e-32
15.77855042,19,refl,0,1,0.06602330411,-5.280769437e-17,1.284655919e-16,1.137921107e-16,2.522940827e-16,9.58930095e-32
15.77855042,19,refl,1,0,0.06602330411,1.170068458e-16,-1.968764745e-16,-1.422104742e-17,1.222169459e-17,5.28025562e-32
14.9896229,20,trans,0,0,0.4191690044,-4.618054793e-16,-3.074098926e-15,0.3217998975,0.382664455,0.2499872592
14.9896229,20,trans,-1,0,0.1465949708,1.122771022e-16,-1.581032642e-16,3.0294937e-16,1.404439831e-16,1.49105623e-31
14.9896229,20,trans,0,-1,0.1465949708,-1.300549741e-16,-2.435928399e-16,-1.013087377e-17,-1.697492675e-16,1.051692164e-31
14.9896229,20,trans,0,1,0.1465949708,8.475461227e-18,-3.24795778e-16,-1.003442005e-17,-1.695264152e-16,1.344040259e-31
14.9896229,20,trans,1,0,0.1465949708,8.613298421e-17,-1.916438717e-16,2.23349606e-16,1.364644501e-16,1.126538572e-31
14.9896229,20,refl,0,0,0.4191690044,-4.483543768e-16,-2.6408189e-15,-0.6780007418,0.3894540152,0.6113594358
14.9896229,20,refl,-1,0,0.1465949708,1.131121542e-16,-1.634101798e-16,-3.009950102e-16,-1.397885903e-16,1.496360924e-31
14.9896229,20,refl,0,-1,0.1465949708,-1.289189174e-16,-2.483717795e-16,4.212717107e-18,1.715262165e-16,1.07747618e-31
