lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,185.3922028,8.872295045e-16,1.825113405e-14,-0.275468246,0.4027570349,0.7257304171,0.3961078881,0.4879508005,0.8267926568,3.260196776e-14,3.614785789e-14,0.2380959838,0.6835860974,0.07831791888,1,0,0,0.6242280674,1.040584079,75.88807284,68.60927718,7.278795658
27.25385982,11,3,177.7454045,1.064522291e-15,7.34867509e-15,-0.359632746,0.4368750423,0.6404952867,0.4267945008,0.5658582106,0.7696673035,1.064273957e-14,1.404992034e-14,0.3201955146,0.5923877582,0.08741672729,1,0,0,0.7714898523,1.023268879,136.3920434,125.4451156,10.94692779
24.98270483,12,3,215.9235702,1.195005499e-15,6.35037306e-15,-0.461079669,0.4554935965,0.5348197654,0.4450262045,0.6481272079,0.6957589412,2.769567413e-15,4.154489706e-15,0.4200688776,0.4840805042,0.09585061818,1,0,0,0.9344705137,0.9680187171,236.3990106,219.9624055,16.43660513
23.06095831,13,3,329.8880762,1.119739009e-15,1.743368562e-13,-0.5897996061,0.4341503286,0.3993694247,0.4216476772,0.7323592582,0.5807604507,5.581279215e-15,2.05191686e-15,0.5363500831,0.3372827011,0.1263672158,1,0,0,1.085599686,0.8449823066,373.864029,350.0178179,23.84621106
21.413747,14,3,1367.653687,4.610985585e-15,9.057980127e-13,-0.5089459697,0.1198617702,0.4880964148,0.09254032043,0.5228698156,0.4967915268,3.564887504e-14,3.444849534e-14,0.2733928441,0.2468018211,0.4798053349,1,0,0,1.175820167,0.6447778916,504.1288984,472.8185453,31.31035308
19.98616387,15,3,168.4126325,2.520966084e-15,3.709348563e-13,-0.6216095863,0.4414987272,0.3689885763,0.4252793299,0.7624431808,0.5630409203,3.245560899e-15,3.311923521e-15,0.581319604,0.3170150779,0.1016653181,1,0,0,1.179269735,0.4083573642,570.8800515,535.5043424,35.37570905
18.73702863,16,3,64.79892779,1.644352583e-15,4.600584729e-13,-0.7974547114,0.3309564376,0.1909490128,0.3088282078,0.8634038339,0.3630928082,3.562001929e-15,3.392682946e-15,0.7454661804,0.1318363874,0.1226974323,1,0,0,1.116308882,0.1893619172,568.4113868,533.0063081,35.40507872
17.63485047,17,3,64.89407182,9.644894104e-16,1.377025416e-14,-0.9008302361,0.1217857307,0.09022396839,0.1028102402,0.9090252353,0.136785635,1.990433579e-15,1.7516745e-15,0.8263268785,0.01871030995,0.1549628116,1,0,0,1.029199895,0.03709326871,530.0252122,496.3237984,33.70141382
16.65513656,18,3,231.4341101,1.467300353e-15,3.29530426e-15,-0.6513268411,-0.1660510073,0.3430492413,-0.1837616739,0.6721603908,0.3891672324,4.295269014e-16,2.093457466e-15,0.4517995909,0.1514511348,0.3967492743,1,0,0,0.9534104405,0.1243336321,488.6798265,456.3260153,32.35381124
15.77855042,19,3,140.7978676,1.548453923e-15,2.443751516e-12,-0.6575065851,-0.2780805441,0.3346367033,-0.2944223972,0.7138933383,0.445719947,4.617418386e-15,4.473686039e-15,0.5659157078,0.2518940273,0.1821902649,5,0.05627200924,0.05322775613,0.8953673427,0.2260196541,452.482505,422.177075,30.30542994
