lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,155.2319065,1.076214594e-15,1.825113405e-14,-0.2606493163,0.3791995701,0.7406274799,0.3729089657,0.4601416956,0.8292105648,1.035150139e-14,5.37645221e-15,0.21173038,0.6875901607,0.1006794593,1,0,0,0.5942285858,1.024688851,74.95949542,60.96492426,13.99457115
27.25385982,11,3,218.0876437,9.70790655e-16,7.34867509e-15,-0.3791489501,0.4513990397,0.619711573,0.4437277626,0.5895040453,0.7621920762,4.157882558e-14,4.217707752e-14,0.3475150194,0.5809367611,0.07154821952,1,0,0,0.8118544523,1.037722374,145.8347384,143.316729,2.518009403
24.98270483,12,3,221.0709844,9.72926585e-16,6.35037306e-15,-0.4663379503,0.4555490109,0.5292077585,0.4453912392,0.6519171613,0.6916893867,1.632780294e-14,1.833781022e-14,0.4249959853,0.4784342076,0.09656980713,1,0,0,0.9415150371,0.9653270294,241.2832173,224.292999,16.99021837
23.06095831,13,3,330.9860881,9.777699603e-16,1.743368562e-13,-0.5906182029,0.4249071544,0.3986227556,0.4116680674,0.7275822644,0.5730363854,5.654441636e-15,2.387693274e-15,0.5293759515,0.328370699,0.1422533495,1,0,0,1.084062123,0.8342269852,377.5989338,348.7469816,28.85195221
21.413747,14,3,1198.015886,2.212945644e-15,9.057980127e-13,-0.5101429257,0.1490223215,0.4869498006,0.1229576518,0.5314635048,0.502233703,1.398613639e-14,1.659293702e-14,0.282453457,0.2522386924,0.4653078506,1,0,0,1.167336401,0.6365535154,501.5078053,463.3435992,38.16420613
19.98616387,15,3,167.5351004,1.586302879e-15,3.709348563e-13,-0.6185858777,0.4333995578,0.372049561,0.4169601919,0.7553036904,0.558817213,4.416057853e-15,5.924024901e-15,0.5704836648,0.3122766775,0.1172396577,1,0,0,1.172923666,0.4072763497,567.0767605,527.1318499,39.94491063
18.73702863,16,3,64.20778246,2.264184543e-15,4.600584729e-13,-0.7915151834,0.3317867929,0.197232858,0.3106828419,0.8582416685,0.368000854,4.647048517e-15,4.171831183e-15,0.7365787615,0.1354246285,0.12799661,1,0,0,1.114722016,0.1919134361,567.1798808,530.255912,36.92396882
17.63485047,17,3,64.40036943,1.096840585e-15,1.377025416e-14,-0.9002967443,0.1254791872,0.09033586434,0.1062332646,0.9089990397,0.1394491839,4.501039818e-15,2.004611528e-15,0.8262792543,0.01944607489,0.1542746708,1,0,0,1.029266595,0.03795760569,530.034336,493.594117,36.44021898
16.65513656,18,3,238.1919674,1.747051213e-15,3.29530426e-15,-0.6499875288,-0.1767979833,0.3442451285,-0.1949122913,0.6736032322,0.3955951337,3.157282431e-15,4.094446814e-15,0.4537413144,0.1564955098,0.3897631757,1,0,0,0.9553644797,0.1205558632,489.8096722,459.3175511,30.4921211
15.77855042,19,3,148.3543725,1.308950511e-15,2.443751516e-12,-0.6739670522,-0.2846742265,0.3190251023,-0.3008928905,0.7316221721,0.4385356855,2.239912226e-15,1.079704721e-15,0.5946554549,0.2507993506,0.1545451945,5,0.05938445214,0.05848580315,0.9047230737,0.2248105606,457.1232577,431.2093873,25.91387045
14.9896229,20,3,49.22127216,1.250899709e-15,9.319557093e-12,-0.3320497284,-0.1225957628,0.6578172647,-0.141738042,0.3539586744,0.6729139813,2.152590744e-15,1.840271338e-15,0.2341129238,0.5613009614,0.2045861148,5,0.1088261806,0.1084877352,0.8360167993,0.3238567508,413.5358812,380.8375899,32.69829135
14.27583133,21,3,29.52799004,1.253195348e-15,2.07806675e-12,-0.4236766541,0.164237133,0.5723025553,0.1422265733,0.4543960201,0.5897106179,1.157391593e-15,2.446097318e-15,0.3571106618,0.4978116619,0.1450776763,5,0.1506349187,0.150053049,0.7815687947,0.4046040873,375.2831957,349.5892321,25.6939636
13.62692991,22,3,18.32468061,6.081200772e-16,2.784237878e-12,-0.6760759415,0.1353538472,0.3203097101,0.1130815594,0.6894920903,0.3396847795,8.536298896e-16,5.688256763e-16,0.6099463058,0.2508996605,0.1391540337,5,0.1345469631,0.1355139111,0.7340620777,0.4728344915,341.9416324,316.9103948,25.03123758
13.0344547,23,3,38.30689788,6.806444277e-16,2.474693147e-13,-0.7595122021,-0.04915772238,0.2360829903,-0.07290291927,0.7611013512,0.2470830102,1.937576116e-16,7.786181764e-16,0.6942433018,0.1776600306,0.1280966676,5,0.114968035,0.1166100167,0.6811235013,0.5362823026,306.8518057,283.7520175,23.09978827
12.49135242,24,3,23.28638058,5.8733138e-16,1.906633467e-14,-0.7036024001,-0.2391335653,0.2907975365,-0.265559747,0.743129329,0.3938085658,3.761423734e-16,3.132005202e-16,0.6374470922,0.2417171604,0.1208357473,5,0.08520589268,0.08663197396,0.6311563438,0.5933338076,274.1300827,252.521621,21.60846168
