lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,4.992768295e-13,4.054139348e-13,0.7284867199,0.3912791991,0.6837923128
29.9792458,10,refl,0,0,0.2095845022,4.65482894e-13,3.471292681e-13,-0.26542589,0.4018532938,0.2319369728
27.25385982,11,trans,0,0,0.2305429524,-2.37758685e-13,-6.455416249e-13,0.6430216769,0.4094704472,0.5811429241
27.25385982,11,refl,0,0,0.2305429524,-1.94017813e-13,-6.622391366e-13,-0.3413401196,0.4270957722,0.2989238759
24.98270483,12,trans,0,0,0.2515014026,-4.203422078e-13,-3.533634506e-14,0.5863618656,0.4033413208,0.5065044585
24.98270483,12,refl,0,0,0.2515014026,-3.267997076e-13,-7.869777943e-15,-0.3966327372,0.4268907361,0.3395532288
23.06095831,13,trans,0,0,0.2724598529,-5.00765781e-13,-1.284268758e-13,0.5028133582,0.3789737459,0.3964423733
23.06095831,13,refl,0,0,0.2724598529,-4.832391317e-13,-7.001367242e-14,-0.4787795064,0.398356145,0.387917434
21.413747,14,trans,0,0,0.2934183031,-2.920589555e-13,1.067648163e-13,0.4414246829,0.2912240712,0.2796672103
21.413747,14,refl,0,0,0.2934183031,-3.161016227e-13,-1.15493365e-13,-0.545026327,0.3001157527,0.3871231622
19.98616387,15,trans,0,0,0.3143767533,-2.446175579e-14,-2.525185388e-13,0.4000533314,0.3813393161,0.3054623419
19.98616387,15,refl,0,0,0.3143767533,1.438503529e-13,-4.593909895e-13,-0.5724128121,0.3928303343,0.4819720989
18.73702863,16,trans,0,0,0.3353352035,-2.093244108e-14,-3.205955238e-14,0.2842515981,0.3124840093,0.1784452271
18.73702863,16,refl,0,0,0.3353352035,-1.825310898e-14,-8.62786888e-14,-0.6955577833,0.3388028797,0.5985880212
17.63485047,17,trans,0,0,0.3562936537,9.767158792e-15,1.18528387e-13,0.2296295849,0.08863146726,0.06058528324
17.63485047,17,refl,0,0,0.3562936537,5.400992778e-15,1.078424319e-13,-0.7391538568,0.1009871177,0.5565468219
16.65513656,18,trans,0,0,0.377252104,3.994506623e-13,5.054513758e-15,0.4096662476,-0.0391864477,0.1693620121
16.65513656,18,refl,0,0,0.377252104,4.453393118e-13,-1.520111007e-13,-0.5860842124,-0.02233161598,0.3439934051
15.77855042,19,trans,0,0,0.3982105542,3.963889406e-13,-1.508815462e-13,0.344317403,-0.2650288211,0.18879475
15.77855042,19,trans,-1,0,0.06602330411,-9.731214562e-14,1.189961118e-13,0.00212549697,-0.1238971614,0.01535502434
15.77855042,19,trans,0,-1,0.06602330411,-0.05336436819,-0.01465592464,1.080001769e-11,2.614379921e-11,0.003062551919
15.77855042,19,trans,0,1,0.06602330411,-0.05336436819,-0.01465592464,-1.054884022e-11,-2.666550965e-11,0.003062551919
15.77855042,19,trans,1,0,0.06602330411,-2.000876144e-13,-1.145752325e-13,0.002125496936,-0.1238971614,0.01535502434
15.77855042,19,refl,0,0,0.3982105542,3.818941604e-13,-2.021728696e-13,-0.6434161901,-0.2315714457,0.4676097281
15.77855042,19,refl,-1,0,0.06602330411,5.549089511e-14,1.865804487e-13,-0.06527323232,0.1159255185,0.01769932069
15.77855042,19,refl,0,-1,0.06602330411,-0.05530744677,-0.02049025746,-1.475794791e-11,2.756517975e-11,0.003478764319
15.77855042,19,refl,0,1,0.06602330411,-0.05530744677,-0.02049025746,1.458510903e-11,-2.752937396e-11,0.003478764319
15.77855042,19,refl,1,0,0.06602330411,-6.382007847e-14,-3.444867851e-14,-0.0652732324,0.1159255185,0.0176993207
14.9896229,20,trans,0,0,0.4191690044,2.036049698e-13,8.206283639e-14,0.6184463505,-0.1232934317,0.3976771587
14.9896229,20,trans,-1,0,0.1465949708,7.131636722e-16,6.190271431e-14,0.06907564882,-0.1340812389,0.02274922389
14.9896229,20,trans,0,-1,0.1465949708,-0.05152811413,-0.06015510146,-8.744766014e-12,5.535454648e-11,0.006273782777
14.9896229,20,trans,0,1,0.1465949708,-0.05152811413,-0.06015510146,8.920954514e-12,-5.562374721e-11,0.006273782777
14.9896229,20,trans,1,0,0.1465949708,1.36364732e-13,1.108959939e-14,0.06907564876,-0.1340812389,0.02274922387
14.9896229,20,refl,0,0,0.4191690044,2.797912988e-13,7.539811938e-14,-0.3700689693,-0.1322596469,0.1544436563
14.9896229,20,refl,-1,0,0.1465949708,1.160967125e-14,-5.55504363e-15,-0.08754106485,0.1103699162,0.01984495643
14.9896229,20,refl,0,-1,0.1465949708,-0.05400474364,-0.06839518701,-2.590967455e-11,1.88740746e-11,0.007594413942
14.9896229,20,refl,0,1,0.1465949708,-0.05400474364,-0.06839518701,2.605293121e-11,-1.892980393e-11,0.007594413942
14.9896229,20,refl,1,0,0.1465949708,1.145683972e-13,-4.193524552e-14,-0.08754106492,0.1103699162,0.01984495644
14.27583133,21,trans,0,0,0.4401274546,-6.278065195e-14,-1.625459955e-13,0.5611477848,0.1229134812,0.3299945603
14.27583133,21,trans,-1,0,0.1987450818,-1.280290594e-13,5.557644787e-14,0.08993512749,-0.1179734766,0.02200606833
14.27583133,21,trans,0,-1,0.1987450818,0.03905300723,-0.1963778356,3.493535601e-11,3.730593245e-11,0.04008939167
14.27583133,21,trans,0,1,0.1987450818,0.03905300723,-0.1963778356,-3.48820261e-11,-3.770703723e-11,0.04008939167
14.27583133,21,trans,1,0,0.1987450818,8.962091905e-14,1.050136819e-13,0.08993512759,-0.1179734765,0.02200606833
14.27583133,21,refl,0,0,0.4401274546,-9.281026879e-14,-1.536330688e-13,-0.4307043239,0.1488437565,0.2076606785
14.27583133,21,refl,-1,0,0.1987450818,-2.285665872e-13,6.283764907e-14,-0.08521011983,0.127203128,0.02344140029
