lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,5,6929222.407,2.808607855e-11,2.068037283e-15,-0.2637362658,0.4237006448,0.734482919,0.4179340114,0.4990782046,0.8450644923,2.798456809e-12,2.981352368e-12,0.2490790543,0.7141339962,0.03678694953,1,0,0,0.6270908741,1.041594327,75.56712197,68.92208989,6.645032079
27.25385982,11,5,444011.6413,7.331090414e-12,1.694139596e-15,-0.314620604,0.4495980461,0.6764364725,0.4429307446,0.5487481458,0.8085505215,1.429524131e-12,1.498361583e-12,0.3011245275,0.6537539458,0.04512152668,1,0,0,0.7768569834,1.023025331,136.8509851,126.1075355,10.74344962
24.98270483,12,5,3392221.407,2.438377706e-11,6.969441458e-16,-0.1498917085,0.6005573534,0.8995156199,0.6300862606,0.6189803381,1.098242708,6.820446978e-12,1.062033408e-11,0.383136659,1.206137046,-0.5892737053,1,0,0,0.9401727774,0.96667905,238.2226671,221.2199573,17.00270982
23.06095831,13,5,350607.627,4.052961446e-12,2.566362202e-15,-0.5949414163,0.594255205,0.4250145168,0.6029453227,0.8408891351,0.7376858421,4.514666363e-13,3.96739751e-13,0.7070945375,0.5441804016,-0.2512749391,1,0,0,1.091632028,0.8434579377,376.9733646,352.330895,24.64246963
21.413747,14,5,962682.6679,4.777208715e-12,2.029405162e-15,-0.2510967973,0.5278315507,0.7433283083,0.4937544056,0.584513257,0.8923734571,2.047519678e-12,2.065905148e-12,0.3416557476,0.796330387,-0.1379861345,1,0,0,1.186638604,0.6447938309,507.8507137,476.4162998,31.43441393
19.98616387,15,5,233305.8775,1.032696696e-12,7.421634697e-16,-0.6135703654,0.4631861783,0.3749876465,0.4350787106,0.7687717666,0.5743772449,4.437885456e-13,3.261138948e-13,0.5910100291,0.3299092194,0.07908075144,1,0,0,1.195751508,0.4095475418,575.5358514,540.1211025,35.4147489
18.73702863,16,5,192453.4136,1.822196006e-12,1.05316777e-15,-0.8381008874,0.4781963766,0.1487443589,0.4756169143,0.9649273921,0.4983335564,5.032479926e-12,6.172606375e-12,0.931084872,0.2483363334,-0.1794212054,1,0,0,1.133979288,0.1915717382,574.4738852,538.1721135,36.30177165
17.63485047,17,5,107350.1325,1.843379983e-12,4.001809489e-15,-1.095407337,0.186285641,-0.05161974522,0.2099455281,1.111134363,0.2161983415,9.90438561e-12,9.364087163e-12,1.234619573,0.04674172286,-0.2813612961,1,0,0,1.046407613,0.05344740826,536.9121619,501.8938987,35.01826321
16.65513656,18,5,104387.8817,6.5043478e-13,6.288704561e-15,-0.7887771822,-0.1707810947,0.1691796699,-0.179915621,0.8070536695,0.2469643525,2.792126388e-12,2.485727408e-12,0.6513356254,0.06099139139,0.2876729832,1,0,0,0.9725801002,0.1320028308,495.6363127,463.0353869,32.60092581
15.77855042,19,5,50400.59361,2.569096808e-13,3.767626736e-15,-0.6085713893,-0.3667497485,0.3648814259,-0.3966903477,0.7105381861,0.538982084,1.642856972e-12,1.207885409e-12,0.6001695095,0.3099354633,0.08989502716,5,0.09530499565,0.01943377649,0.9158533363,0.2301976133,459.0219461,430.1921411,28.82980506
14.9896229,20,5,13590.49828,3.613028556e-13,1.666832989e-14,-0.2099442651,-0.1393885053,0.7630096633,-0.1519946424,0.2520034719,0.7780013609,2.069665503e-12,1.817188345e-12,0.1932077676,0.743902246,0.0628899864,5,0.1297020178,0.1386161284,0.8671263913,0.3227900365,423.2365576,396.6063687,26.63018899
14.27583133,21,5,2494.658715,1.750049833e-14,5.519836864e-14,-0.424849077,0.1834079277,0.5673568379,0.1594477326,0.462747454,0.5893363734,1.137016097e-12,1.35766605e-12,0.3690891768,0.5060789742,0.124831849,5,0.1549539706,0.1587616132,0.8050204588,0.4063009984,384.1221362,357.9541303,26.16800581
13.62692991,22,5,1043.703711,1.198955246e-14,2.462259299e-14,-0.6596775508,0.1509486795,0.3431387101,0.1143784163,0.6767274007,0.3616995942,1.048571671e-12,9.989973997e-13,0.5967739241,0.2726042149,0.1306218611,5,0.1388139493,0.1417776184,0.7549502731,0.4763110517,348.421613,323.9660097,24.45560332
13.0344547,23,5,1093.560835,9.340374734e-15,9.543168104e-14,-0.756368431,-0.06085610391,0.2433321083,-0.09040669081,0.7588126704,0.2595840609,1.011724876e-12,1.078135073e-12,0.6795271059,0.1748990101,0.1455738839,5,0.1037304372,0.1075151255,0.7068589715,0.538557752,314.7771309,291.8584976,22.91863325
12.49135242,24,5,642.2608081,6.867080375e-15,1.552778581e-13,-0.7157213057,-0.239918976,0.2793459922,-0.2700071767,0.7548629693,0.3885074759,1.006357643e-12,1.171147393e-12,0.6401507747,0.2161388142,0.1437104111,5,0.07033267224,0.06520075535,0.6580613563,0.5966307909,281.7513833,260.3089943,21.44238901
11.99169832,25,5,505.71304,1.122955858e-14,1.367739662e-13,-0.4781038766,-0.386688606,0.5182043049,-0.42088534,0.6149076311,0.6675928183,1.557474874e-12,1.718827655e-12,0.4195363687,0.5015360073,0.07892762403,5,0.04142497388,0.05585583619,0.6063971664,0.650635194,248.7027963,228.7658656,19.93693072
