lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,5,340636.266,1.147660233e-11,2.068037283e-15,-0.2682198217,0.4130499526,0.7249783994,0.4042598425,0.4924958234,0.8300721052,9.244729232e-13,8.911620225e-13,0.2425521361,0.6890196998,0.06842816409,1,0,0,0.6272577818,1.036177334,78.97846721,68.92067741,10.0577898
27.25385982,11,5,207012.9019,3.674265453e-12,1.694139596e-15,-0.3350271357,0.4487393692,0.6529637118,0.4252086211,0.5600091098,0.7792072769,2.536385257e-13,2.947275774e-13,0.3136102031,0.6071639804,0.07922581649,1,0,0,0.777174567,1.018769496,139.9395415,126.1033416,13.8361999
24.98270483,12,5,177469.9444,2.101455428e-12,6.969441458e-16,-0.4134251154,0.4427554129,0.5806130079,0.4187818884,0.6057661939,0.7158838838,5.286385692e-14,7.654887847e-14,0.3669526817,0.5124897351,0.1205575833,1,0,0,0.940568209,0.9634938355,241.2483705,221.2266668,20.02170369
23.06095831,13,5,159903.9898,1.273978837e-12,2.566362202e-15,-0.4851685753,0.4073874223,0.5115865892,0.3932622696,0.6335243154,0.6452720752,2.442045722e-13,1.786855756e-13,0.4013530582,0.416376051,0.1822708908,1,0,0,1.092285306,0.841333922,380.5987609,352.3283323,28.27042861
21.413747,14,5,248815.3964,9.273324084e-13,2.029405162e-15,-0.5582308256,0.2967407602,0.4301187999,0.2886663377,0.6321999157,0.5180062128,5.596474753e-14,6.552955044e-14,0.3996767335,0.2683304366,0.33199283,1,0,0,1.187630896,0.6448093782,512.0934293,476.4255994,35.66782991
19.98616387,15,5,81342.1549,5.46702832e-13,7.421634697e-16,-0.5773637806,0.384421768,0.402826494,0.3593159468,0.6936346523,0.5397936031,1.015799934e-13,5.572097492e-14,0.4811290308,0.2913771339,0.2274938353,1,0,0,1.195741477,0.412619944,580.4641008,540.1339525,40.33014829
18.73702863,16,5,31916.9108,6.124212845e-13,1.05316777e-15,-0.6469158641,0.2840483492,0.3291281486,0.2554914684,0.7065292633,0.4166548075,2.760868313e-14,6.144823479e-14,0.4991835999,0.1736012286,0.3272151715,1,0,0,1.132825423,0.1984674811,579.7805777,538.1785285,41.60204923
17.63485047,17,5,18234.32478,4.062956042e-13,4.001809489e-15,-0.7898594352,0.147480451,0.1922839201,0.1334169867,0.8035100564,0.2340367456,1.228694318e-13,1.175717132e-13,0.6456284108,0.05477319828,0.299598391,1,0,0,1.045648765,0.0619106642,541.6555578,501.8938863,39.76167149
16.65513656,18,5,21494.05022,1.964250524e-13,6.288704561e-15,-0.6807413661,-0.07355441567,0.3138759555,-0.07985436367,0.684703629,0.3238747209,1.900538527e-13,1.51915637e-13,0.4688190596,0.1048948348,0.4262861056,1,0,0,0.9737353316,0.1295972458,500.8366819,462.951268,37.88541393
15.77855042,19,5,5657.693159,1.061066965e-13,3.767626736e-15,-0.678981154,-0.2180379466,0.3281091858,-0.2615780547,0.7131310915,0.4196173453,5.945139057e-13,5.924635345e-13,0.5356146081,0.2252170781,0.2391683137,5,0.02705865446,0.04913836163,0.917064869,0.2256640808,464.3388979,430.0894479,34.24944998
14.9896229,20,5,3399.588214,4.581297079e-14,1.666832989e-14,-0.3731491686,-0.1307099076,0.6268667543,-0.1560747866,0.3953800476,0.6460040763,1.361318112e-13,2.064870708e-13,0.2150297355,0.4839689873,0.3010012772,5,0.05870435354,0.06664772069,0.8672924702,0.3170355871,429.0579743,396.5177962,32.54017808
14.27583133,21,5,779.2830081,1.814379399e-14,5.519836864e-14,-0.4557222626,0.1615585348,0.541924341,0.1406930596,0.4835120896,0.5598897467,2.255934725e-13,2.436115689e-13,0.3493105742,0.4298365286,0.2208528973,5,0.1155266334,0.1163600001,0.8052432866,0.4046916762,385.4668964,357.9442528,27.52264357
13.62692991,22,5,415.0267452,9.231224514e-15,2.462259299e-14,-0.6459697233,0.1179982972,0.3485000745,0.09590215673,0.656658573,0.3614547352,1.052961888e-13,1.123278367e-13,0.5554622299,0.2506987104,0.1938390597,5,0.1242617483,0.1200491848,0.754716891,0.4746238839,349.709992,323.9613585,25.74863347
13.0344547,23,5,753.1435088,6.551702707e-15,9.543168104e-14,-0.7338263544,-0.0375770793,0.2636584616,-0.06003013778,0.7347878301,0.2704059944,6.695390167e-14,1.096563901e-13,0.6449167167,0.1796126081,0.1754706752,5,0.1050035615,0.1064932062,0.7063550685,0.5367439052,316.0807847,291.8617982,24.21898649
12.49135242,24,5,227.1364557,4.164230364e-15,1.552778581e-13,-0.6893915519,-0.2069100021,0.3063920663,-0.2314234391,0.7197725062,0.3839699291,1.027458754e-13,1.27470237e-13,0.5988692514,0.2329406597,0.1681900889,5,0.08079679067,0.08550775327,0.6576038178,0.5947790308,283.0231009,260.3132269,22.70987397
11.99169832,25,5,154.9075553,3.054751635e-15,1.367739662e-13,-0.5387102216,-0.3354080986,0.4536733011,-0.3659143818,0.6345922277,0.5828488646,7.059152113e-14,7.129634551e-14,0.4533795932,0.3960731037,0.1505473031,5,0.0506722978,0.05636030476,0.6061134653,0.6486040769,250.0381216,228.757534,21.28058756
11.53047915,26,5,160.2765817,1.684690578e-15,3.358128548e-12,-0.2537265598,-0.3279107792,0.7360777579,-0.3634638851,0.4146114401,0.8209241509,3.850583856e-14,3.649487085e-14,0.1883088833,0.6932003335,0.1184907831,5,0.01640623706,0.01928387206,0.5526827292,0.6961574936,218.1863571,198.3003957,19.8859614
11.10342437,27,5,213.2940334,1.489739883e-15,2.915699572e-13,-0.3943375235,-0.05701577655,0.5988300986,-0.09637032932,0.3984380519,0.6065350174,4.488274342e-14,3.727263354e-14,0.347626956,0.5572310685,0.09514197548,9,0.1888740748,0.1893463411,0.5000252979,0.7359560447,189.0310403,170.5564885,18.47455179
10.7068735,28,5,146.8463991,9.395155646e-16,4.437149961e-12,-0.4270072011,-0.125889857,0.5682219283,-0.1622649704,0.4451779486,0.5909366128,2.850681048e-14,2.657191893e-14,0.3818950404,0.5371504937,0.08095446595,9,0.1837116344,0.1879444133,0.44974368,0.7678748431,163.6214645,146.6054148,17.01604973
10.33767097,29,5,126.6721063,6.987475634e-16,2.162567479e-12,-0.4093074666,-0.1691229961,0.5860180444,-0.2017465304,0.4428715277,0.6197731931,1.971475682e-14,1.973123168e-14,0.3661668156,0.5600105635,0.07382262097,9,0.1700316255,0.1758917526,0.4019403547,0.7925979738,142.3606525,126.7491501,15.61150241
9.993081933,30,5,110.4836618,5.514433458e-16,7.863495092e-12,-0.3736083956,-0.193917492,0.6208243847,-0.2255351818,0.4209361317,0.6605217899,1.387102627e-14,1.495629271e-14,0.332018443,0.597172428,0.07080912893,9,0.154831216,0.1608833931,0.3559692021,0.8111089187,125.1848134,110.7636713,14.42114206
9.670724452,31,5,96.34191316,6.270438569e-16,6.206549562e-11,-0.3280410869,-0.2031638633,0.6654055278,-0.2365047038,0.3858581476,0.7061862299,8.115154481e-15,1.06652999e-14,0.2887147887,0.642907716,0.06837749529,9,0.1398282787,0.1442087246,0.3116810954,0.8243648547,111.7636372,98.26497849,13.49865873
9.368514313,32,5,82.45588663,5.331787372e-16,5.07202134e-11,-0.2776507716,-0.1954751217,0.7147978768,-0.23250835,0.3395592352,0.7516622496,1.319391919e-12,1.328834864e-12,0.2413026447,0.6924420898,0.06625526554,9,0.1260021705,0.1274459524,0.2705354402,0.8331514072,101.7191641,88.88507102,12.83409307
9.084619939,33,5,66.96900616,5.342337137e-16,9.058646534e-11,-0.2295434925,-0.1717390705,0.7629051585,-0.2127305206,0.2866784319,0.7920091888,4.388950682e-13,4.350245408e-13,0.1963580693,0.7399631359,0.06367879483,9,0.114173546,0.1126845807,0.2353378502,0.8382394542,94.59209006,82.29426158,12.29782847
8.817425235,34,5,48.70743047,5.442958146e-16,9.103534121e-12,-0.1888440615,-0.1360952218,0.8049402812,-0.179048267,0.2327745453,0.8246133265,3.370910566e-13,3.320105419e-13,0.1582514717,0.7809633103,0.06078521802,9,0.1040674828,0.100976172,0.2083316435,0.8400015235,90.08787211,78.20179012,11.88608199
