lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,180.3512941,1.214780463e-15,1.825113405e-14,-0.2795994156,0.3593598839,0.7210526909,0.3547497448,0.4553189644,0.8035946519,7.959449761e-15,1.51896014e-15,0.2073153593,0.6457643646,0.1469202761,1,0,0,0.6268607243,1.039339739,77.42320715,68.6881961,8.735011049
27.25385982,11,3,169.0662334,9.263576986e-16,7.34867509e-15,-0.3641785189,0.395325455,0.6345532783,0.3861127522,0.5375018224,0.7427926497,1.783245606e-14,1.569740877e-14,0.288908209,0.5517409205,0.1593508705,1,0,0,0.7750668425,1.022916859,138.0408097,125.5724643,12.46834537
24.98270483,12,3,206.4763634,1.152064556e-15,6.35037306e-15,-0.4611633474,0.4083056434,0.5309658705,0.396847457,0.6159424741,0.6628820858,9.534242734e-15,5.206979232e-15,0.3793851314,0.4394126597,0.1812022089,1,0,0,0.9379633841,0.9696140365,238.0274911,220.1918145,17.83567665
23.06095831,13,2,18.17819941,3.50274888e-16,3.816233865e-12,-0.4991384296,0.4807975159,0.4957612056,0.472978009,0.6930407082,0.6851914842,2.194339345e-15,1.337529625e-15,0.4803054232,0.46948737,0.05020720681,1,0,0,1.03356694,0.8239674554,354.3322617,331.7113667,22.620895
21.413747,14,2,116.2698942,7.032812407e-16,5.381248007e-12,-0.6984651968,0.2233419012,0.2959814428,0.2163044418,0.733304327,0.3665959984,3.900412125e-15,8.582279945e-16,0.5377352359,0.1343926261,0.327872138,1,0,0,1.111952132,0.6171662,474.3899651,444.4813939,29.90857122
19.98616387,15,3,166.9730846,1.224616145e-15,3.709348563e-13,-0.6060617494,0.4227242759,0.3824209215,0.4095344645,0.7389226329,0.5603251188,1.545643075e-14,1.302356737e-14,0.5460066575,0.3139642388,0.1400291038,1,0,0,1.181324544,0.4110386057,573.5983686,536.1433877,37.45498089
18.73702863,16,3,64.62272764,1.244875582e-15,4.600584729e-13,-0.7803562725,0.3224115241,0.2047060184,0.3035799825,0.8443370789,0.3661493681,2.559006754e-15,3.412996922e-15,0.7129051029,0.1340653598,0.1530295374,1,0,0,1.119443505,0.1926879173,570.9852363,533.6799198,37.30531645
17.63485047,17,3,64.17368062,1.050588511e-15,1.377025416e-14,-0.8818256058,0.1228499099,0.104854161,0.1055211005,0.890341788,0.1487585215,3.545706285e-15,6.317442571e-15,0.7927084994,0.02212909773,0.1851624029,1,0,0,1.031781983,0.04163709488,532.5822985,497.1868866,35.39541186
16.65513656,18,3,217.8975649,1.210237513e-15,3.29530426e-15,-0.6580611916,-0.1400822967,0.3336549153,-0.1576546317,0.6728057533,0.3690265375,4.685802827e-15,3.460141269e-15,0.4526675817,0.1361805854,0.4111518329,1,0,0,0.9560156905,0.1220112938,491.1904377,457.3493748,33.84106287
15.77855042,19,3,139.2390179,1.521888539e-15,2.443751516e-12,-0.6610660615,-0.2673668755,0.3316377367,-0.2847245361,0.7130872204,0.4370945548,6.931126492e-16,1.20863077e-15,0.5654685512,0.2401145064,0.1944169424,5,0.05697516736,0.04906285655,0.8966462259,0.2253529234,454.3626603,422.9114961,31.45116416
14.9896229,20,4,203.9431749,2.026218551e-15,4.88380263e-13,-0.3745149791,-0.2046877464,0.601186029,-0.2294283368,0.4268003551,0.6434764977,1.659093725e-14,1.809432562e-14,0.2498204464,0.5003865522,0.2497930014,5,0.06766190333,0.08632454906,0.8611846703,0.3186378508,429.1092886,395.8932394,33.21604918
14.27583133,21,4,118.6901147,1.631311038e-15,2.011312727e-13,-0.4071471762,0.1258462876,0.5840289143,0.101946739,0.4261526853,0.5928599415,8.635700546e-15,1.116659048e-14,0.324720762,0.4915772681,0.18370197,5,0.1431146508,0.1400943578,0.8003143054,0.4052195802,384.2334018,356.6058062,27.62759556
13.62692991,22,4,93.56846783,1.336222227e-15,5.874846787e-13,-0.6481158673,0.1265659053,0.3423946446,0.1028707429,0.6603583162,0.3575143107,3.182302116e-15,4.478895628e-15,0.5761242439,0.2677177426,0.1561580134,5,0.1400511381,0.1399012603,0.7491356216,0.4751553492,348.4775392,322.582679,25.89486024
13.0344547,23,3,36.68842104,5.310407348e-16,2.474693147e-13,-0.7589992935,-0.04902585022,0.2360444522,-0.07281747922,0.7605810026,0.2470209884,7.453251804e-16,4.430624037e-16,0.6937733949,0.1780139104,0.1282126947,5,0.1152899333,0.1169945417,0.6812111162,0.5355640687,307.1830468,284.0164011,23.16664572
12.49135242,24,5,227.1364557,4.164230364e-15,1.552778581e-13,-0.6893915519,-0.2069100021,0.3063920663,-0.2314234391,0.7197725062,0.3839699291,1.027458754e-13,1.27470237e-13,0.5988692514,0.2329406597,0.1681900889,5,0.08079679067,0.08550775327,0.6576038178,0.5947790308,283.0231009,260.3132269,22.70987397
11.99169832,25,5,154.9075553,3.054751635e-15,1.367739662e-13,-0.5387102216,-0.3354080986,0.4536733011,-0.3659143818,0.6345922277,0.5828488646,7.059152113e-14,7.129634551e-14,0.4533795932,0.3960731037,0.1505473031,5,0.0506722978,0.05636030476,0.6061134653,0.6486040769,250.0381216,228.757534,21.28058756
