lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-7.797666197e-15,-3.637824089e-16,0.7211834998,0.3702367955,0.6571809251
29.9792458,10,refl,0,0,0.2095845022,-8.095717836e-15,4.292139371e-16,-0.2822815379,0.3851969409,0.2280595499
27.25385982,11,trans,0,0,0.2305429524,-7.489740879e-15,7.310049174e-17,0.6189814815,0.4203405269,0.5598242331
27.25385982,11,refl,0,0,0.2305429524,-7.64033394e-15,4.5720512e-16,-0.3769565804,0.4349586766,0.3312853138
24.98270483,12,trans,0,0,0.2515014026,-7.314663745e-15,5.154419881e-16,0.5036265048,0.4451001335,0.4517537852
24.98270483,12,refl,0,0,0.2515014026,-7.450791383e-15,5.184673899e-16,-0.4847197288,0.4523712945,0.4395930036
23.06095831,13,trans,0,0,0.2724598529,9.161738142e-18,2.569467414e-16,0.4961599639,0.4760760745,0.4728231385
23.06095831,13,refl,0,0,0.2724598529,2.292513774e-17,6.836619677e-16,-0.5015375874,0.4833403641,0.4851578591
21.413747,14,trans,0,0,0.2934183031,-1.483619721e-15,5.538775618e-16,0.2862412881,0.2107482079,0.1263488821
21.413747,14,refl,0,0,0.2934183031,-1.523183763e-15,1.503381793e-15,-0.7119944674,0.2211065278,0.5558242183
19.98616387,15,trans,0,0,0.3143767533,-4.009385403e-15,-4.236722831e-15,0.3758815373,0.4462520802,0.3404278492
19.98616387,15,refl,0,0,0.3143767533,-3.181428342e-15,-4.415342726e-15,-0.61795892,0.4556447025,0.5894853218
18.73702863,16,trans,0,0,0.3353352035,-6.465532708e-16,-4.141188677e-15,0.1932816774,0.3232129981,0.141824449
18.73702863,16,refl,0,0,0.3353352035,7.406285264e-17,-4.076545596e-15,-0.8000214658,0.3377124801,0.7540840649
17.63485047,17,trans,0,0,0.3562936537,-1.214986309e-16,-3.419834249e-15,0.09827020497,0.1157634059,0.02305819932
17.63485047,17,refl,0,0,0.3562936537,5.964046403e-16,-3.282670052e-15,-0.896944334,0.1254564093,0.8202484488
16.65513656,18,trans,0,0,0.377252104,-2.342442388e-15,7.547811051e-16,0.3399927233,-0.1763571636,0.146696901
16.65513656,18,refl,0,0,0.377252104,-2.143801886e-15,1.4135342e-15,-0.6492572264,-0.1770651289,0.4528870059
15.77855042,19,trans,0,0,0.3982105542,-2.328171417e-15,1.016002644e-15,0.3199938882,-0.2986954199,0.1916150424
15.77855042,19,trans,-1,0,0.06602330411,1.003470503e-15,9.227139694e-16,-0.01108591155,-0.1454348253,0.02127418584
15.77855042,19,trans,0,-1,0.06602330411,-0.08937440271,-0.0335975913,1.182251736e-11,2.864539181e-12,0.009116582002
15.77855042,19,trans,0,1,0.06602330411,-0.08937440271,-0.0335975913,-1.182666295e-11,-2.862622724e-12,0.009116582002
15.77855042,19,trans,1,0,0.06602330411,1.270385373e-15,7.633439699e-16,-0.01108591155,-0.1454348253,0.02127418585
15.77855042,19,refl,0,0,0.3982105542,-2.287898139e-15,8.140942023e-16,-0.6740790862,-0.279620547,0.5325702647
15.77855042,19,refl,-1,0,0.06602330411,1.834341689e-15,3.876478448e-16,-0.0200895365,0.1399726096,0.01999592091
15.77855042,19,refl,0,-1,0.06602330411,-0.09893929085,-0.03077135165,-2.819077415e-11,4.94648554e-13,0.01073585936
15.77855042,19,refl,0,1,0.06602330411,-0.09893929085,-0.03077135165,2.819266651e-11,-4.886608143e-13,0.01073585936
15.77855042,19,refl,1,0,0.06602330411,1.915118828e-15,1.3765084e-17,-0.02008953657,0.1399726095,0.0199959209
14.9896229,20,trans,0,0,0.4191690044,8.754608537e-15,-1.396545338e-14,0.6806505149,-0.2633500707,0.5326383832
14.9896229,20,trans,-1,0,0.1465949708,-7.335115838e-15,4.11531601e-14,0.04611241052,-0.2123567179,0.04722173003
14.9896229,20,trans,0,-1,0.1465949708,-0.1021693481,-0.1157068493,2.195067229e-11,1.855696423e-11,0.02382665067
14.9896229,20,trans,0,1,0.1465949708,-0.1021693481,-0.1157068493,-2.194781976e-11,-1.85616274e-11,0.02382665067
14.9896229,20,trans,1,0,0.1465949708,7.234008181e-15,-5.463459068e-14,0.04611241045,-0.2123567179,0.04722173002
14.9896229,20,refl,0,0,0.4191690044,1.009802353e-14,-1.240975813e-14,-0.3121933694,-0.2241116312,0.1476907231
14.9896229,20,refl,-1,0,0.1465949708,3.516930627e-15,3.650994068e-14,-0.06569134956,0.1659946822,0.03186958793
14.9896229,20,refl,0,-1,0.1465949708,-0.1469244158,-0.1239750962,-2.322632271e-11,-1.078625897e-11,0.03695660845
14.9896229,20,refl,0,1,0.1465949708,-0.1469244158,-0.1239750962,2.322460683e-11,1.079963774e-11,0.03695660845
14.9896229,20,refl,1,0,0.1465949708,5.977514653e-16,-5.180577734e-14,-0.06569134971,0.1659946821,0.03186958791
14.27583133,21,trans,0,0,0.4401274546,5.951972109e-15,-2.656999625e-16,0.595712374,0.11313258,0.3676722132
14.27583133,21,trans,-1,0,0.1987450818,-3.45207335e-15,-8.457012288e-16,0.08972049196,-0.1398761267,0.02761509748
14.27583133,21,trans,0,-1,0.1987450818,0.0385463055,-0.2173332467,4.327510721e-11,2.130012998e-11,0.04871955779
14.27583133,21,trans,0,1,0.1987450818,0.0385463055,-0.2173332467,-4.32742378e-11,-2.129771204e-11,0.04871955779
14.27583133,21,trans,1,0,0.1987450818,2.309991012e-15,-3.414252808e-15,0.08972049207,-0.1398761266,0.02761509749
14.27583133,21,refl,0,0,0.4401274546,7.195122928e-15,9.735989017e-16,-0.4007827989,0.1360659245,0.1791407877
14.27583133,21,refl,-1,0,0.1987450818,-2.460507129e-15,-1.619348211e-15,-0.09030369491,0.1450849746,0.02920440718
14.27583133,21,refl,0,-1,0.1987450818,0.02362724104,-0.2180886948,-4.379409712e-11,-1.90444653e-11,0.04812092533
14.27583133,21,refl,0,1,0.1987450818,0.02362724104,-0.2180886948,4.379182167e-11,1.904491536e-11,0.04812092533
14.27583133,21,refl,1,0,0.1987450818,1.846127832e-15,-3.963931488e-15,-0.09030369502,0.1450849746,0.02920440718
13.62692991,22,trans,0,0,0.4610859048,1.521765766e-16,1.618449188e-15,0.3432714462,0.1094309993,0.1298104294
13.62692991,22,trans,-1,0,0.241635351,-2.931673977e-15,-3.077509416e-15,0.1170749351,-0.09878951661,0.02346590903
13.62692991,22,trans,0,-1,0.241635351,0.1751456458,-0.1426882383,7.013344041e-11,5.265179787e-11,0.05103593061
13.62692991,22,trans,0,1,0.241635351,0.1751456458,-0.1426882383,-7.013517766e-11,-5.26498267e-11,0.05103593061
13.62692991,22,trans,1,0,0.241635351,2.405138967e-15,1.48350138e-15,0.1170749353,-0.09878951648,0.02346590905
13.62692991,22,refl,0,0,0.4610859048,5.567171147e-16,1.499188107e-15,-0.6514154881,0.1316565783,0.4416755928
13.62692991,22,refl,-1,0,0.241635351,-2.334173054e-15,-4.26822744e-15,-0.1206443188,0.09773855237,0.02410787628
13.62692991,22,refl,0,-1,0.241635351,0.1635152465,-0.1451356449,-6.553785124e-11,-4.927407593e-11,0.04780159124
13.62692991,22,refl,0,1,0.241635351,0.1635152465,-0.1451356449,6.553738239e-11,4.927260202e-11,0.04780159124
13.62692991,22,refl,1,0,0.241635351,3.546069812e-15,1.498839352e-15,-0.120644319,0.09773855225,0.02410787631
13.0344547,23,trans,0,0,0.482044355,4.82369376e-17,4.409157812e-16,0.235805714,-0.07416679047,0.06110504755
13.0344547,23,trans,-1,0,0.2795607116,2.381446397e-16,-1.688020154e-16,0.1242665426,-0.05395298499,0.0183530982
13.0344547,23,trans,0,-1,0.2795607116,0.2014486233,-0.009144792979,8.792186673e-11,2.056536076e-10,0.04066517505
13.0344547,23,trans,0,1,0.2795607116,0.2014486233,-0.009144792979,-8.792217948e-11,-2.056532717e-10,0.04066517505
