lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,2,4.938072903,2.307333648e-16,7.996697801e-13,-0.2367033543,0.4236807083,0.7605591623,0.4169709966,0.4853182672,0.8673609695,2.741160015e-16,2.749931978e-16,0.2355338205,0.7523150513,0.01215112815,1,0,0,0.6064120394,1.038787969,71.80290269,66.63221797,5.170684719
27.25385982,11,2,6.454519858,2.724234222e-16,2.035635221e-13,-0.302937511,0.4578142168,0.6946699615,0.448869002,0.5489672055,0.8270729934,3.611283966e-16,2.532078132e-16,0.3013649927,0.6840497364,0.01458527091,1,0,0,0.7437307939,1.018143424,129.1122477,120.9445121,8.167735532
24.98270483,12,2,9.555850865,3.673176636e-16,1.671269844e-15,-0.3854051836,0.4806982962,0.6127383351,0.4720819274,0.6161233704,0.7735047599,8.210006616e-16,7.184457396e-16,0.3796080075,0.5983096135,0.02208237893,1,0,0,0.8958209178,0.9567481165,223.694467,210.3201303,13.37433666
23.06095831,13,2,18.18295606,3.300669461e-16,3.816233865e-12,-0.5015375874,0.4833403641,0.4961599639,0.4760760745,0.6965327409,0.6876213627,6.840462324e-16,2.571100258e-16,0.4851578591,0.4728231385,0.04201900241,1,0,0,1.034406618,0.8254170871,352.8475616,331.8167366,21.03082499
21.413747,14,2,120.7658583,9.752996568e-16,5.381248007e-12,-0.7119944674,0.2211065278,0.2862412881,0.2107482079,0.7455361952,0.3554558793,2.140150834e-15,1.583637532e-15,0.5558242183,0.1263488821,0.3178268996,1,0,0,1.112590861,0.6177275148,473.4948935,444.8139842,28.68090934
19.98616387,15,2,22.41665135,3.396130291e-16,2.908268496e-12,-0.5825111758,0.4573994141,0.4131803966,0.44433404,0.7406304706,0.6067542989,9.56401659e-16,1.039980354e-15,0.548533494,0.3681507792,0.08331572677,1,0,0,1.107148141,0.3758285783,532.9920466,500.6218661,32.37018045
18.73702863,16,2,11.92958331,3.695942305e-16,9.019162465e-14,-0.777891362,0.3626262724,0.2182035187,0.3444779602,0.8582614896,0.4077717997,6.992867935e-16,8.125792353e-16,0.7366127846,0.1662778406,0.09710937477,1,0,0,1.040575103,0.1545202284,527.7212389,495.7394941,31.9817448
17.63485047,17,2,15.80764263,3.295853649e-16,2.383373261e-15,-0.8997806343,0.1092991978,0.09765040066,0.0915110625,0.906394784,0.1338277823,4.75312509e-16,4.354678535e-16,0.8215515045,0.01790987531,0.1605386202,1,0,0,0.9552420538,0.0413563811,490.8278388,460.3090745,30.51876434
16.65513656,18,2,96.83870453,9.749292494e-16,2.149496081e-15,-0.5963359231,0.2280247115,0.4017053931,0.2185942774,0.638444831,0.4573299476,2.156279414e-15,1.825326654e-15,0.4076118023,0.209150681,0.3832375167,1,0,0,0.8839851401,0.1511455844,452.457882,422.9756136,29.48226843
15.77855042,19,2,41.17504815,8.447551198e-16,6.295839153e-12,-0.5563741399,-0.29040278,0.4407330604,-0.3060947172,0.6276033446,0.5366000432,1.035965176e-15,1.169226739e-15,0.4595327941,0.3576620921,0.1828051138,5,0.065646836,0.06972248569,0.8272594215,0.2497817656,417.1117317,389.8062793,27.30545244
