lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-7.797666197e-15,-3.637824089e-16,0.7211834998,0.3702367955,0.6571809251
29.9792458,10,refl,0,0,0.2095845022,-8.095717836e-15,4.292139371e-16,-0.2822815379,0.3851969409,0.2280595499
29.24804468,10.25,trans,0,0,0.2148241148,-7.711391176e-15,-3.651659618e-16,0.6882912811,0.3848799698,0.6218774789
29.24804468,10.25,refl,0,0,0.2148241148,-7.894518756e-15,3.356467364e-16,-0.3127506184,0.4002135623,0.2579838447
28.55166267,10.5,trans,0,0,0.2200637273,-7.659560813e-15,-1.781939158e-16,0.6603636294,0.3977064557,0.5942505479
28.55166267,10.5,refl,0,0,0.2200637273,-7.800222788e-15,4.234851393e-16,-0.3386160193,0.4129670707,0.28520261
27.88767051,10.75,trans,0,0,0.2253033399,-7.500778096e-15,-1.519685825e-16,0.6373780865,0.4093007896,0.5737779614
27.88767051,10.75,refl,0,0,0.2253033399,-7.697040608e-15,3.767570605e-16,-0.3599113752,0.4242770175,0.3095471856
27.25385982,11,trans,0,0,0.2305429524,-7.489740879e-15,7.310049174e-17,0.6189814815,0.4203405269,0.5598242331
27.25385982,11,refl,0,0,0.2305429524,-7.64033394e-15,4.5720512e-16,-0.3769565804,0.4349586766,0.3312853138
26.64821849,11.25,trans,0,0,0.235782565,-7.45977259e-15,-4.009617811e-17,0.5831259759,0.4239101697,0.5197357357
26.64821849,11.25,refl,0,0,0.235782565,-7.643282952e-15,2.614307948e-16,-0.410177895,0.4365180514,0.3587939148
26.06890939,11.5,trans,0,0,0.2410221775,-7.602520388e-15,9.219114936e-17,0.5524778985,0.4289769214,0.4892530275
26.06890939,11.5,refl,0,0,0.2410221775,-7.809309513e-15,2.859982002e-16,-0.4387797745,0.4397054936,0.3858686115
25.51425174,11.75,trans,0,0,0.2462617901,-7.608262897e-15,2.248834001e-16,0.5262709174,0.435987743,0.4670463906
25.51425174,11.75,refl,0,0,0.2462617901,-7.765515671e-15,2.286530697e-16,-0.4633693043,0.444939671,0.412682423
24.98270483,12,trans,0,0,0.2515014026,-7.314663745e-15,5.154419881e-16,0.5036265048,0.4451001335,0.4517537852
24.98270483,12,refl,0,0,0.2515014026,-7.450791383e-15,5.184673899e-16,-0.4847197288,0.4523712945,0.4395930036
24.47285371,12.25,trans,0,0,0.2567410152,-6.544804239e-15,4.0636912e-16,0.4738470514,0.4338948488,0.412795768
24.47285371,12.25,refl,0,0,0.2567410152,-6.641036883e-15,3.945786626e-16,-0.5132346336,0.4399356377,0.4569531545
23.98339664,12.5,trans,0,0,0.2619806277,-6.758796666e-15,-7.637597955e-17,0.4441993163,0.4273678523,0.3799563138
23.98339664,12.5,refl,0,0,0.2619806277,-6.701405723e-15,-7.374086837e-17,-0.5415644577,0.4322421241,0.4801253157
23.51313396,12.75,trans,0,0,0.2672202403,-5.912611569e-15,2.295616363e-16,0.4130597301,0.423981865,0.3503789625
23.51313396,12.75,refl,0,0,0.2672202403,-5.818692816e-15,2.104810683e-16,-0.571287712,0.4278017265,0.509383967
23.06095831,13,trans,0,0,0.2724598529,-5.137220023e-15,5.653011237e-16,0.3777593458,0.4221551682,0.3209171094
23.06095831,13,refl,0,0,0.2724598529,-4.996120599e-15,4.992008283e-16,-0.6049790106,0.4250957276,0.5467059809
22.62584589,13.25,trans,0,0,0.2776994654,-4.88128547e-15,-3.051020891e-16,0.3494860235,0.3748677439,0.262666306
22.62584589,13.25,refl,0,0,0.2776994654,-4.683350255e-15,-3.110362823e-16,-0.6331689694,0.3810647183,0.5461132633
22.20684874,13.5,trans,0,0,0.282939078,-4.856538839e-15,-1.919916902e-16,0.3223029514,0.3092425041,0.1995101188
22.20684874,13.5,refl,0,0,0.282939078,-4.752293134e-15,-2.228372935e-16,-0.6606035538,0.319641615,0.5385678173
21.80308785,13.75,trans,0,0,0.2881786905,-4.68718302e-15,8.215064489e-16,0.3276581102,0.1940180108,0.1450028257
21.80308785,13.75,refl,0,0,0.2881786905,-4.800099215e-15,6.73479282e-16,-0.6577684939,0.2108582941,0.4771206118
21.413747,14,trans,0,0,0.2934183031,-1.070393953e-14,-1.654784935e-16,0.5217153401,0.07216425267,0.2773945754
21.413747,14,refl,0,0,0.2934183031,-1.103231071e-14,-1.064418682e-15,-0.4759906995,0.09379675391,0.235364977
21.03806723,14.25,trans,0,0,0.2986579156,-6.767644748e-15,-4.292840646e-15,0.6217994591,0.3015578558,0.4775717077
21.03806723,14.25,refl,0,0,0.2986579156,-6.073122934e-15,-5.22615007e-15,-0.3800648473,0.3115505924,0.2415130598
20.67534193,14.5,trans,0,0,0.3038975282,-6.175830583e-15,-4.429671646e-15,0.5300476654,0.4128015045,0.4513556097
20.67534193,14.5,refl,0,0,0.3038975282,-5.281343697e-15,-4.957536768e-15,-0.4677347952,0.4196250501,0.3948610213
20.32491241,14.75,trans,0,0,0.3091371407,-5.243815651e-15,-3.26996963e-15,0.4437451931,0.4411935675,0.3915615604
20.32491241,14.75,refl,0,0,0.3091371407,-4.351814008e-15,-3.533134949e-15,-0.5514009829,0.4488780377,0.5055345367
19.98616387,15,trans,0,0,0.3143767533,-4.009385403e-15,-4.236722831e-15,0.3758815373,0.4462520802,0.3404278492
19.98616387,15,refl,0,0,0.3143767533,-3.181428342e-15,-4.415342726e-15,-0.61795892,0.4556447025,0.5894853218
19.65852184,15.25,trans,0,0,0.3196163658,-3.186466412e-15,-3.113659354e-15,0.3266656988,0.4130228634,0.2772983645
19.65852184,15.25,refl,0,0,0.3196163658,-2.405127715e-15,-3.208142491e-15,-0.6666514794,0.4240673652,0.6242573252
19.3414489,15.5,trans,0,0,0.3248559784,-2.859582836e-15,-3.699941863e-15,0.2821956788,0.3822827035,0.2257744665
19.3414489,15.5,refl,0,0,0.3248559784,-2.087512212e-15,-3.707384972e-15,-0.7109838377,0.3946780229,0.6612687592
19.03444178,15.75,trans,0,0,0.330095591,-1.389847131e-15,-3.471333256e-15,0.2385556413,0.3527487216,0.1813404546
19.03444178,15.75,refl,0,0,0.330095591,-6.545238212e-16,-3.537032834e-15,-0.754653273,0.3662813853,0.7036636158
18.73702863,16,trans,0,0,0.3353352035,-6.465532708e-16,-4.141188677e-15,0.1932816774,0.3232129981,0.141824449
18.73702863,16,refl,0,0,0.3353352035,7.406285264e-17,-4.076545596e-15,-0.8000214658,0.3377124801,0.7540840649
18.44876665,16.25,trans,0,0,0.3405748161,-7.667572588e-16,-3.543112296e-15,0.1715266643,0.2783684794,0.1069104069
18.44876665,16.25,refl,0,0,0.3405748161,-8.484513119e-17,-3.426760719e-15,-0.8222734976,0.2918614813,0.7613168292
18.16923988,16.5,trans,0,0,0.3458144286,-4.841101076e-16,-3.354315918e-15,0.1480243348,0.2307394125,0.07515188015
18.16923988,16.5,refl,0,0,0.3458144286,1.914465959e-16,-3.270658992e-15,-0.8462861517,0.2431059802,0.7753007683
17.89805719,16.75,trans,0,0,0.3510540412,-1.634136836e-16,-3.45116646e-15,0.1232378059,0.1776864585,0.04676003432
17.89805719,16.75,refl,0,0,0.3510540412,4.950642841e-16,-3.287074315e-15,-0.8715562515,0.1888029291,0.7952568456
17.63485047,17,trans,0,0,0.3562936537,-1.214986309e-16,-3.419834249e-15,0.09827020497,0.1157634059,0.02305819932
17.63485047,17,refl,0,0,0.3562936537,5.964046403e-16,-3.282670052e-15,-0.896944334,0.1254564093,0.8202484488
17.37927293,17.25,trans,0,0,0.3615332663,-3.835968784e-17,-2.054291549e-15,0.1027758508,0.04991150045,0.01305403338
17.37927293,17.25,refl,0,0,0.3615332663,6.28510831e-16,-1.870257721e-15,-0.8929341052,0.05791600856,0.8006855803
