lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,191.5018993,1.37851156e-15,1.825113405e-14,-0.2822815379,0.3851969409,0.7211834998,0.3702367955,0.4775558082,0.8106669631,8.107087756e-15,7.806147306e-15,0.2280595499,0.6571809251,0.114759525,1,0,0,0.6279235299,1.042710778,75.90476257,68.74375289,7.161009673
29.24804468,10.25,3,190.4702796,1.396804802e-15,5.973030247e-15,-0.3127506184,0.4002135623,0.6882912811,0.3848799698,0.5079211009,0.7885920865,7.901650785e-15,7.720032387e-15,0.2579838447,0.6218774789,0.1201386764,1,0,0,0.6708229823,1.036326983,93.19432366,82.00927313,11.18505052
28.55166267,10.5,3,188.7070537,1.154388651e-15,7.520836994e-14,-0.3386160193,0.4129670707,0.6603636294,0.3977064557,0.5340436405,0.7708764803,7.811710133e-15,7.661633306e-15,0.28520261,0.5942505479,0.1205468421,1,0,0,0.7096662367,1.032166718,108.7708027,96.01204211,12.75876063
27.88767051,10.75,3,185.9454919,1.154198482e-15,2.39405228e-14,-0.3599113752,0.4242770175,0.6373780865,0.4093007896,0.5563696483,0.7574813275,7.7062559e-15,7.502317408e-15,0.3095471856,0.5737779614,0.116674853,1,0,0,0.7446946667,1.02963657,122.8143504,110.6073375,12.20701294
27.25385982,11,3,183.2853002,1.167730536e-15,7.34867509e-15,-0.3769565804,0.4349586766,0.6189814815,0.4203405269,0.5755738995,0.7482140289,7.654001518e-15,7.490097604e-15,0.3312853138,0.5598242331,0.1088904531,1,0,0,0.7761872085,1.028271825,135.4833533,125.6718814,9.811471831
26.64821849,11.25,3,194.6552486,1.572321129e-15,2.691307231e-13,-0.410177895,0.4365180514,0.5831259759,0.4239101697,0.5989940858,0.7209269975,7.647752634e-15,7.459880348e-15,0.3587939148,0.5197357357,0.1214703496,1,0,0,0.8210712866,1.009339855,163.9629933,147.1701308,16.79286252
26.06890939,11.5,3,205.5140871,9.413570596e-16,8.003660421e-14,-0.4387797745,0.4397054936,0.5524778985,0.4289769214,0.6211832351,0.6994662447,7.814544775e-15,7.60307934e-15,0.3858686115,0.4892530275,0.124878361,1,0,0,0.8631635125,0.99473743,189.8650051,170.3102258,19.55477929
25.51425174,11.75,3,215.7382669,1.435800497e-15,2.295091608e-14,-0.4633693043,0.444939671,0.5262709174,0.435987743,0.6424036294,0.683407924,7.768881249e-15,7.611585699e-15,0.412682423,0.4670463906,0.1202711864,1,0,0,0.9022690758,0.9836166206,213.4375918,194.8264063,18.61118544
24.98270483,12,3,225.6782546,1.356777167e-15,6.35037306e-15,-0.4847197288,0.4523712945,0.5036265048,0.4451001335,0.663018102,0.6721263164,7.468808517e-15,7.332802066e-15,0.4395930036,0.4517537852,0.1086532112,1,0,0,0.9383594034,0.9752594329,234.9014452,220.4881928,14.4132524
24.47285371,12.25,3,239.3483688,1.489029232e-15,3.531040698e-15,-0.5132346336,0.4399356377,0.4738470514,0.4338948488,0.6759831022,0.6424918427,6.652748545e-15,6.557407901e-15,0.4569531545,0.412795768,0.1302510775,1,0,0,0.9761874562,0.9348334615,274.0341743,248.5498284,25.48434586
23.98339664,12.5,3,260.4624291,1.45523757e-15,2.133974637e-15,-0.5415644577,0.4322421241,0.4441993163,0.4273678523,0.692910756,0.6164059651,6.701811425e-15,6.759228186e-15,0.4801253157,0.3799563138,0.1399183705,1,0,0,1.014071506,0.9013220434,309.8796701,279.9239404,29.95572969
23.51313396,12.75,3,294.1474674,1.252568059e-15,3.872040868e-13,-0.571287712,0.4278017265,0.4130597301,0.423981865,0.7137114032,0.5919281734,5.822498464e-15,5.917066343e-15,0.509383967,0.3503789625,0.1402370705,1,0,0,1.051150619,0.8738320179,342.7306028,314.1599135,28.57068932
23.06095831,13,3,345.4463221,1.241546376e-15,1.743368562e-13,-0.6049790106,0.4250957276,0.3777593458,0.4221551682,0.7393956863,0.5664954628,5.020998159e-15,5.16822938e-15,0.5467059809,0.3209171094,0.1323769097,1,0,0,1.086868961,0.8515259896,372.8496378,350.861091,21.98854681
22.62584589,13.25,3,417.3947701,1.388620594e-15,3.565874811e-13,-0.6331689694,0.3810647183,0.3494860235,0.3748677439,0.7389947654,0.5125098107,4.693667349e-15,4.890811295e-15,0.5461132633,0.262666306,0.1912204307,1,0,0,1.105733257,0.7892743343,409.8974026,374.2048438,35.69255877
