f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.2560216653,0.4352472947,0.7421275422,0.4245411384,0.5049626726,0.8549786354,2.018531564e-06,1.861905243e-06,0.2549873007,0.7309884671,0.01402423222,0,0
10.024,29.90746788,-0.2576753402,0.4361322633,0.7404867376,0.4253860876,0.5065648349,0.8539753697,2.021647131e-06,1.865176147e-06,0.256607932,0.7292739321,0.01411813588,0,0
10.048,29.83603284,-0.2593325794,0.4370104813,0.7388372813,0.426227669,0.5081648821,0.8529657403,2.030263109e-06,1.873473533e-06,0.2582315475,0.7275505541,0.0142178984,0,0
10.072,29.76493824,-0.2609931486,0.4378819522,0.7371799574,0.4270655199,0.509762717,0.8519502614,2.046929927e-06,1.889147137e-06,0.2598580277,0.7258192478,0.01432272449,0,0
10.096,29.69418166,-0.2626567913,0.4387466725,0.7355155824,0.4278992827,0.5113582235,0.850929473,2.075970472e-06,1.916182706e-06,0.2614872327,0.724080968,0.01443179925,0,0
10.12,29.62376067,-0.2643232208,0.4396046297,0.7338450248,0.4287285992,0.5129512603,0.8499039547,2.125320519e-06,1.961905325e-06,0.2631189955,0.7223367323,0.01454427224,0,0
10.144,29.55367291,-0.2659921089,0.4404557996,0.7321692323,0.4295531015,0.5145416537,0.8488743439,2.211207514e-06,2.041329102e-06,0.2647531134,0.7205876518,0.01465923483,0,0
10.168,29.48391601,-0.267663072,0.4413001441,0.7304892694,0.4303724002,0.5161291866,0.8478413623,2.372264632e-06,2.190427354e-06,0.2663893373,0.7188349756,0.01477568709,0,0
10.192,29.41448764,-0.2693356524,0.4421376072,0.7288063734,0.4311860666,0.5177135862,0.8468058537,2.722695197e-06,2.518035772e-06,0.2680273573,0.7170801539,0.01489248875,0,0
10.216,29.34538547,-0.2710092925,0.4429681104,0.7271220357,0.4319936076,0.5192945055,0.8457688406,3.612889427e-06,3.426510189e-06,0.2696667835,0.7153249318,0.01500828471,0,0
10.24,29.27660723,-0.2726833006,0.4437915471,0.725438128,0.4327944244,0.5208715002,0.844731609,1.83738579e-06,1.880442295e-06,0.2713071197,0.7135714913,0.01512138896,0,0
10.264,29.20815062,-0.2743568022,0.4446077748,0.723757099,0.4335877483,0.5224439954,0.8436958421,5.959142677e-07,5.048698963e-07,0.2729477283,0.7118226739,0.01522959776,0,0
10.288,29.14001341,-0.2760286711,0.4454166049,0.7220822991,0.4343725309,0.5240112396,0.842663837,8.79224231e-07,7.884758042e-07,0.2745877792,0.7100823422,0.01532987853,0,0
10.312,29.07219337,-0.2776974293,0.4462177898,0.7204185355,0.4351472475,0.5255722388,0.8416388735,1.049433736e-06,9.537546e-07,0.2762261782,0.7083559933,0.01541782842,0,0
10.336,29.00468827,-0.279361097,0.447011005,0.7187730807,0.4359095251,0.5271256597,0.8406258713,1.140848851e-06,1.040802571e-06,0.2778614611,0.7066518555,0.01548668337,0,0
10.36,28.93749595,-0.2810169619,0.4477958253,0.7171576267,0.4366553746,0.5286696833,0.8396326445,1.192430149e-06,1.089091909e-06,0.279491634,0.7049829777,0.01552538829,0,0
10.384,28.87061421,-0.2826612122,0.4485716951,0.7155924162,0.4373774469,0.530201779,0.838672485,1.221744003e-06,1.115844816e-06,0.2811139265,0.7033715371,0.01551453638,0,0
10.408,28.80404093,-0.2842883281,0.4493378907,0.7141160048,0.4380605011,0.5317183404,0.8377700585,1.237453597e-06,1.129416874e-06,0.2827243935,0.7018586709,0.01541693561,0,0
