f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.7421275422,0.4245411384,0.7309884671
10,1,0,0.2095845022,1,refl,-0.2560216653,0.4352472947,0.2549873007
10.024,1,0,0.210087505,1,trans,0.7404867376,0.4253860876,0.7292739321
10.024,1,0,0.210087505,1,refl,-0.2576753402,0.4361322633,0.256607932
10.048,1,0,0.2105905078,1,trans,0.7388372813,0.426227669,0.7275505541
10.048,1,0,0.2105905078,1,refl,-0.2593325794,0.4370104813,0.2582315475
10.072,1,0,0.2110935106,1,trans,0.7371799574,0.4270655199,0.7258192478
10.072,1,0,0.2110935106,1,refl,-0.2609931486,0.4378819522,0.2598580277
10.096,1,0,0.2115965134,1,trans,0.7355155824,0.4278992827,0.724080968
10.096,1,0,0.2115965134,1,refl,-0.2626567913,0.4387466725,0.2614872327
10.12,1,0,0.2120995162,1,trans,0.7338450248,0.4287285992,0.7223367323
10.12,1,0,0.2120995162,1,refl,-0.2643232208,0.4396046297,0.2631189955
10.144,1,0,0.212602519,1,trans,0.7321692323,0.4295531015,0.7205876518
10.144,1,0,0.212602519,1,refl,-0.2659921089,0.4404557996,0.2647531134
10.168,1,0,0.2131055218,1,trans,0.7304892694,0.4303724002,0.7188349756
10.168,1,0,0.2131055218,1,refl,-0.267663072,0.4413001441,0.2663893373
10.192,1,0,0.2136085246,1,trans,0.7288063734,0.4311860666,0.7170801539
10.192,1,0,0.2136085246,1,refl,-0.2693356524,0.4421376072,0.2680273573
10.216,1,0,0.2141115274,1,trans,0.7271220357,0.4319936076,0.7153249318
10.216,1,0,0.2141115274,1,refl,-0.2710092925,0.4429681104,0.2696667835
10.24,1,0,0.2146145302,1,trans,0.725438128,0.4327944244,0.7135714913
10.24,1,0,0.2146145302,1,refl,-0.2726833006,0.4437915471,0.2713071197
10.264,1,0,0.2151175331,1,trans,0.723757099,0.4335877483,0.7118226739
10.264,1,0,0.2151175331,1,refl,-0.2743568022,0.4446077748,0.2729477283
10.288,1,0,0.2156205359,1,trans,0.7220822991,0.4343725309,0.7100823422
10.288,1,0,0.2156205359,1,refl,-0.2760286711,0.4454166049,0.2745877792
10.312,1,0,0.2161235387,1,trans,0.7204185355,0.4351472475,0.7083559933
10.312,1,0,0.2161235387,1,refl,-0.2776974293,0.4462177898,0.2762261782
10.336,1,0,0.2166265415,1,trans,0.7187730807,0.4359095251,0.7066518555
10.336,1,0,0.2166265415,1,refl,-0.279361097,0.447011005,0.2778614611
10.36,1,0,0.2171295443,1,trans,0.7171576267,0.4366553746,0.7049829777
10.36,1,0,0.2171295443,1,refl,-0.2810169619,0.4477958253,0.279491634
10.384,1,0,0.2176325471,1,trans,0.7155924162,0.4373774469,0.7033715371
10.384,1,0,0.2176325471,1,refl,-0.2826612122,0.4485716951,0.2811139265
10.408,1,0,0.2181355499,1,trans,0.7141160048,0.4380605011,0.7018586709
10.408,1,0,0.2181355499,1,refl,-0.2842883281,0.4493378907,0.2827243935
10.432,1,0,0.2186385527,1,trans,0.7128121588,0.4386672283,0.700530111
10.432,1,0,0.2186385527,1,refl,-0.2858900261,0.4500934845,0.2843172518
10.456,1,0,0.2191415555,1,trans,0.7119026781,0.4390792246,0.6995959886
10.456,1,0,0.2191415555,1,refl,-0.287453318,0.4508373402,0.2858837174
10.48,1,0,0.2196445583,1,trans,0.7122066492,0.4386860636,0.6996837735
10.48,1,0,0.2196445583,1,refl,-0.2889566886,0.4515682586,0.28740986
10.504,1,0,0.2201475611,1,trans,0.7164617627,0.4261517247,0.6949227498
10.504,1,0,0.2201475611,1,refl,-0.2903618725,0.4522857239,0.288872393
10.528,1,0,0.2206505639,1,trans,0.694407137,0.440904287,0.6765978622
10.528,1,0,0.2206505639,1,refl,-0.2915940283,0.4529931414,0.2902298635
10.552,1,0,0.2211535667,1,trans,0.6976571993,0.4431877678,0.6831409653
10.552,1,0,0.2211535667,1,refl,-0.2924859865,0.4537130075,0.2914035455
10.576,1,0,0.2216565695,1,trans,0.6973281204,0.4439981724,0.6834008847
10.576,1,0,0.2216565695,1,refl,-0.2925840662,0.454577051,0.2922457311
10.6,1,0,0.2221595723,1,trans,0.6962023509,0.4447082096,0.6824631051
10.6,1,0,0.2221595723,1,refl,-0.2902749688,0.4566881074,0.2928235849
10.624,1,0,0.2226625751,1,trans,0.6947772909,0.4454048359,0.6811009519
10.624,1,0,0.2226625751,1,refl,-0.2886620896,0.4753137852,0.3092489963
10.648,1,0,0.2231655779,1,trans,0.6932062536,0.4460988424,0.6795390872
10.648,1,0,0.2231655779,1,refl,-0.3112416399,0.4663886494,0.3143897307
10.672,1,0,0.2236685807,1,trans,0.691551697,0.446791129,0.6778660625
10.672,1,0,0.2236685807,1,refl,-0.310356441,0.4615040209,0.3093070818
10.696,1,0,0.2241715835,1,trans,0.6898437325,0.4474810486,0.6761236641
10.696,1,0,0.2241715835,1,refl,-0.3106433762,0.4607532043,0.3087928224
10.72,1,0,0.2246745864,1,trans,0.6880986093,0.4481678368,0.674334106
10.72,1,0,0.2246745864,1,refl,-0.3116248706,0.4608535971,0.3094960979
10.744,1,0,0.2251775892,1,trans,0.6863258275,0.4488508596,0.6725102357
10.744,1,0,0.2251775892,1,refl,-0.3129353214,0.461238021,0.3106690274
10.768,1,0,0.225680592,1,trans,0.6845312792,0.4495296274,0.6706599581
10.768,1,0,0.225680592,1,refl,-0.3144240654,0.461745165,0.3120710903
10.792,1,0,0.2261835948,1,trans,0.6827187829,0.4502037661,0.6687883676
10.792,1,0,0.2261835948,1,refl,-0.3160210924,0.462313736,0.3136033214
10.816,1,0,0.2266865976,1,trans,0.6808908958,0.4508729876,0.6668988629
10.816,1,0,0.2266865976,1,refl,-0.3176899889,0.4629157856,0.3152179536
10.84,1,0,0.2271896004,1,trans,0.6790493706,0.4515370659,0.6649937696
10.84,1,0,0.2271896004,1,refl,-0.3194100978,0.4635368675,0.3168892381
10.864,1,0,0.2276926032,1,trans,0.677195427,0.4521958199,0.6630747059
10.864,1,0,0.2276926032,1,refl,-0.3211688962,0.4641687965,0.3186021315
10.888,1,0,0.228195606,1,trans,0.6753299194,0.4528491009,0.6611428082
10.888,1,0,0.228195606,1,refl,-0.3229583897,0.4648065957,0.3203472929
10.912,1,0,0.2286986088,1,trans,0.6734534451,0.4534967831,0.6591988751
10.912,1,0,0.2286986088,1,refl,-0.324773264,0.4654470628,0.3221186413
10.936,1,0,0.2292016116,1,trans,0.6715664157,0.4541387578,0.657243462
10.936,1,0,0.2292016116,1,refl,-0.32660987,0.4660880392,0.3239120674
10.96,1,0,0.2297046144,1,trans,0.669669106,0.4547749277,0.6552769463
10.96,1,0,0.2297046144,1,refl,-0.3284656377,0.4667280097,0.3257247101
10.984,1,0,0.2302076172,1,trans,0.6677616885,0.4554052037,0.6532995722
10.984,1,0,0.2302076172,1,refl,-0.3303387196,0.4673658729,0.3275545288
11.008,1,0,0.23071062,1,trans,0.6658442579,0.4560295021,0.6513114825
