lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-5.252244791e-14,2.291500429e-14,0.8220043066,0.350797123,0.7987497015
29.9792458,10,refl,0,0,0.2095845022,-5.531641059e-14,2.074259435e-14,-0.1786651476,0.3580168188,0.1600972775
27.25385982,11,trans,0,0,0.2305429524,-3.940230117e-15,2.472376833e-15,0.7750617396,0.3885241074,0.7516716822
27.25385982,11,refl,0,0,0.2305429524,4.906477878e-17,3.09500389e-15,-0.2224561136,0.3996682682,0.2092214471
24.98270483,12,trans,0,0,0.2515014026,6.241709943e-15,-1.193315581e-14,0.711275445,0.4272508326,0.6884560326
24.98270483,12,refl,0,0,0.2515014026,1.056866369e-14,-5.944787262e-15,-0.2818202527,0.4377203116,0.271021726
23.06095831,13,trans,0,0,0.2724598529,6.795609247e-15,9.071970878e-16,0.631971192,0.4559455598,0.607273941
23.06095831,13,refl,0,0,0.2724598529,7.655922517e-15,1.830886711e-15,-0.3581379568,0.4653178435,0.3447834915
21.413747,14,trans,0,0,0.2934183031,-9.39400554e-15,-4.847420482e-15,0.5375336011,0.4696649235,0.5095275128
21.413747,14,refl,0,0,0.2934183031,-8.082812176e-15,-2.239249595e-15,-0.4543906545,0.4801450329,0.4370101195
19.98616387,15,trans,0,0,0.3143767533,2.894754464e-16,-1.220009088e-15,0.4691439077,0.4662092038,0.4374470279
19.98616387,15,refl,0,0,0.3143767533,-7.583826331e-17,1.330290879e-15,-0.5280053685,0.4780583012,0.5073294085
18.73702863,16,trans,0,0,0.3353352035,-4.451720405e-16,6.282349506e-16,0.2904163162,0.4018003284,0.2457851406
18.73702863,16,refl,0,0,0.3353352035,-1.920493788e-15,1.290126806e-16,-0.706778565,0.4184207187,0.6746118378
17.63485047,17,trans,0,0,0.3562936537,3.506618419e-14,1.577051662e-14,0.1871333319,0.2749357688,0.1106085608
17.63485047,17,refl,0,0,0.3562936537,2.876279655e-14,5.883136021e-15,-0.8054882112,0.271789623,0.7226808576
16.65513656,18,trans,0,0,0.377252104,-6.327719773e-15,-4.26425842e-14,0.1188082468,-0.01325023882,0.01429096834
16.65513656,18,refl,0,0,0.377252104,-9.328930357e-15,-4.118505942e-14,-0.8742573618,-0.01373922492,0.7645147009
15.77855042,19,trans,0,0,0.3982105542,1.213299294e-14,9.859357495e-16,0.3301865899,-0.3185487483,0.2104964892
15.77855042,19,trans,-1,0,0.06602330411,-1.642096817e-16,-1.794212898e-16,-1.846096383e-16,2.357345573e-16,1.488083189e-31
15.77855042,19,trans,0,-1,0.06602330411,-1.323017336e-19,3.515529338e-16,-1.6080245e-16,5.898565718e-17,1.529262185e-31
15.77855042,19,trans,0,1,0.06602330411,1.195294346e-16,3.465398433e-16,-1.609669841e-16,5.590783077e-17,1.634132042e-31
15.77855042,19,trans,1,0,0.06602330411,-1.89739399e-16,-1.543917624e-16,-2.368229275e-16,2.340526487e-16,1.707035972e-31
15.77855042,19,refl,0,0,0.3982105542,8.744520852e-15,1.34465874e-15,-0.6608828454,-0.319411308,0.538789719
15.77855042,19,refl,-1,0,0.06602330411,-1.658511542e-16,-1.800702224e-16,2.397151341e-16,-2.286808592e-16,1.696901712e-31
15.77855042,19,refl,0,-1,0.06602330411,-4.21534048e-19,3.553656693e-16,1.896906987e-16,-5.650597574e-17,1.654604231e-31
15.77855042,19,refl,0,1,0.06602330411,1.196302113e-16,3.490989119e-16,1.896674955e-16,-5.430444106e-17,1.75104169e-31
15.77855042,19,refl,1,0,0.06602330411,-1.897447585e-16,-1.592644663e-16,2.912987e-16,-2.319318388e-16,2.000155541e-31
14.9896229,20,trans,0,0,0.4191690044,-7.530385887e-15,-8.878658878e-16,0.6479666192,-0.3625741027,0.5513207195
14.9896229,20,trans,-1,0,0.1465949708,-1.452461441e-16,3.584625899e-16,-2.997117664e-16,6.505042666e-17,2.436505717e-31
14.9896229,20,trans,0,-1,0.1465949708,2.096664565e-16,3.087924492e-16,1.790656826e-16,4.960052901e-16,4.173985661e-31
14.9896229,20,trans,0,1,0.1465949708,1.893813451e-16,1.271305489e-16,1.77148782e-16,4.948539625e-16,3.282896055e-31
14.9896229,20,trans,1,0,0.1465949708,-1.470238087e-16,3.225155219e-16,-2.967039979e-16,8.661033266e-17,2.211668743e-31
14.9896229,20,refl,0,0,0.4191690044,-1.570533259e-14,-6.775276981e-16,-0.3376583027,-0.3500615472,0.2365562162
14.9896229,20,refl,-1,0,0.1465949708,-1.524556313e-16,3.705380698e-16,3.131861799e-16,-8.779430397e-17,2.663346038e-31
14.9896229,20,refl,0,-1,0.1465949708,2.202031354e-16,3.122140528e-16,-2.086235654e-16,-5.079488318e-16,4.475028434e-31
14.9896229,20,refl,0,1,0.1465949708,1.983288493e-16,1.308513137e-16,-2.064048684e-16,-5.060888156e-16,3.551852577e-31
14.9896229,20,refl,1,0,0.1465949708,-1.54274957e-16,3.365293809e-16,3.101833386e-16,-1.125629781e-16,2.459369142e-31
14.27583133,21,trans,0,0,0.4401274546,-4.207718931e-15,1.100710814e-14,0.8879916373,-0.137733224,0.8074995888
14.27583133,21,trans,-1,0,0.1987450818,1.109294574e-16,-2.551117907e-17,2.54601001e-16,-2.025072929e-16,1.187870382e-31
14.27583133,21,trans,0,-1,0.1987450818,-3.491263244e-16,4.502254189e-17,-1.171529113e-16,-1.015498019e-16,1.479533866e-31
14.27583133,21,trans,0,1,0.1987450818,-3.544705572e-16,3.479032857e-17,-1.140566866e-16,-1.112819511e-16,1.522523433e-31
14.27583133,21,trans,1,0,0.1987450818,1.043597122e-16,-1.120602502e-17,2.520948944e-16,-1.960666421e-16,1.130104884e-31
14.27583133,21,refl,0,0,0.4401274546,-2.408935321e-15,1.050828818e-14,-0.1048696163,-0.1162872945,0.02452037127
14.27583133,21,refl,-1,0,0.1987450818,1.11694123e-16,-2.417321662e-17,-2.536140847e-16,2.062571763e-16,1.199220483e-31
14.27583133,21,refl,0,-1,0.1987450818,-3.502952829e-16,4.469651293e-17,1.173557386e-16,1.011390198e-16,1.487060342e-31
14.27583133,21,refl,0,1,0.1987450818,-3.555489767e-16,3.252012091e-17,1.142478179e-16,1.109002679e-16,1.528240664e-31
14.27583133,21,refl,1,0,0.1987450818,1.052116872e-16,-1.003670124e-17,-2.508058476e-16,1.967884162e-16,1.127994884e-31
13.62692991,22,trans,0,0,0.4610859048,4.952157015e-15,-3.361058696e-15,0.8136078986,0.2533481327,0.7261430891
13.62692991,22,trans,-1,0,0.241635351,9.91398484e-17,-1.80232825e-17,-1.523101047e-16,8.331532252e-17,4.029335922e-32
13.62692991,22,trans,0,-1,0.241635351,2.326485264e-16,1.746145721e-16,-1.825381484e-17,-3.529550334e-16,2.09526043e-31
13.62692991,22,trans,0,1,0.241635351,1.759876587e-16,1.591881815e-16,-8.192683645e-18,-3.547079529e-16,1.821973851e-31
13.62692991,22,trans,1,0,0.241635351,-7.44774528e-18,-5.581494258e-18,-1.666908561e-16,9.547467575e-17,3.698787721e-32
13.62692991,22,refl,0,0,0.4610859048,3.013587515e-15,-1.267481991e-15,-0.1774483555,0.2771397967,0.1082943858
13.62692991,22,refl,-1,0,0.241635351,1.001810774e-16,-1.515012857e-17,1.552424609e-16,-8.242231044e-17,4.115943358e-32
13.62692991,22,refl,0,-1,0.241635351,2.323340862e-16,1.760804815e-16,1.872898906e-17,3.540437399e-16,2.106812084e-31
13.62692991,22,refl,0,1,0.241635351,1.755227013e-16,1.593794507e-16,8.708794369e-18,3.55686515e-16,1.82798768e-31
13.62692991,22,refl,1,0,0.241635351,-6.563085373e-18,-3.177695807e-18,1.70501362e-16,-9.747388508e-17,3.862504457e-32
13.0344547,23,trans,0,0,0.482044355,1.479375472e-15,3.739718169e-16,0.4148417017,0.3843437869,0.3198137839
13.0344547,23,trans,-1,0,0.2795607116,-1.094896147e-16,1.856067908e-16,-2.200918861e-17,-1.053544802e-16,5.80218274e-32
13.0344547,23,trans,0,-1,0.2795607116,-4.146765548e-17,5.5594448e-17,1.992098978e-16,1.155421257e-18,4.449622746e-32
13.0344547,23,trans,0,1,0.2795607116,6.488624483e-17,-1.820202692e-17,1.878909056e-16,3.851753735e-18,3.985936698e-32
13.0344547,23,trans,1,0,0.2795607116,-9.349896339e-17,1.03957665e-16,-7.088351461e-17,-1.174066027e-16,3.835803527e-32
13.0344547,23,refl,0,0,0.482044355,2.748612543e-15,1.359015109e-15,-0.5770921383,0.4086090863,0.4999967215
13.0344547,23,refl,-1,0,0.2795607116,-1.103748934e-16,1.857230928e-16,2.079264157e-17,1.068688954e-16,5.852897904e-32
13.0344547,23,refl,0,-1,0.2795607116,-4.243238995e-17,5.629018781e-17,-2.002976267e-16,-7.263915865e-19,4.508875987e-32
13.0344547,23,refl,0,1,0.2795607116,6.421385764e-17,-1.91046302e-17,-1.890178704e-16,-3.450431898e-18,4.022806723e-32
13.0344547,23,refl,1,0,0.2795607116,-9.399725014e-17,1.037724522e-16,6.970864544e-17,1.167791026e-16,3.81008589e-32
12.49135242,24,trans,0,0,0.5030028053,-6.49561313e-16,1.163099624e-15,0.1048038917,0.07721208203,0.01694556132
12.49135242,24,trans,-1,0,0.3143234852,3.848647365e-17,4.8157069e-17,2.712491557e-16,2.610195658e-16,1.455076301e-31
12.49135242,24,trans,0,-1,0.3143234852,-3.980815607e-16,-1.103379515e-16,3.518332626e-17,-1.952766212e-17,1.722625885e-31
12.49135242,24,trans,0,1,0.3143234852,-2.853766184e-16,-1.460178439e-16,5.267462341e-17,-2.930324046e-18,1.055442278e-31
12.49135242,24,trans,1,0,0.3143234852,5.48372167e-17,3.723781665e-18,1.865412584e-16,2.416147284e-16,9.619630494e-32
12.49135242,24,refl,0,0,0.5030028053,-8.994881824e-16,-3.561836067e-15,-0.8878898279,0.09900333973,0.7981500078
12.49135242,24,refl,-1,0,0.3143234852,3.796247988e-17,4.802872185e-17,-2.714225293e-16,-2.597938972e-16,1.449109664e-31
12.49135242,24,refl,0,-1,0.3143234852,-3.960109332e-16,-1.085849767e-16,-3.552672204e-17,1.975791225e-17,1.702678795e-31
12.49135242,24,refl,0,1,0.3143234852,-2.83093932e-16,-1.452898371e-16,-5.309632896e-17,3.263146298e-18,1.040811794e-31
12.49135242,24,refl,1,0,0.3143234852,5.446159527e-17,3.624233745e-18,-1.866169739e-16,-2.42976823e-16,9.684283192e-32
11.99169832,25,trans,0,0,0.5239612555,3.015991096e-14,1.988338165e-14,0.2318166856,-0.3159370085,0.1535551691
11.99169832,25,trans,-1,0,0.3468758113,-1.933010625e-16,-1.548192078e-17,-8.419113393e-17,-2.589883658e-16,1.117681113e-31
11.99169832,25,trans,0,-1,0.3468758113,-9.18243251e-17,3.107999259e-17,2.43893825e-16,1.089288926e-16,8.074737413e-32
11.99169832,25,trans,0,1,0.3468758113,-2.938603525e-18,3.48071268e-17,2.183730854e-16,8.181154209e-17,5.560010432e-32
11.99169832,25,trans,1,0,0.3468758113,-1.828659924e-16,-1.706155769e-17,-1.02749872e-16,-2.27373009e-16,9.598708932e-32
11.99169832,25,refl,0,0,0.5239612555,2.898265544e-14,1.85719781e-14,-0.7601801477,-0.2928832787,0.6636544719
11.99169832,25,refl,-1,0,0.3468758113,-1.90908247e-16,-1.829342767e-17,8.33340326e-17,2.616653829e-16,1.121939419e-31
11.99169832,25,refl,0,-1,0.3468758113,-9.128960242e-17,2.95809779e-17,-2.435601497e-16,-1.093369705e-16,8.04849454e-32
11.99169832,25,refl,0,1,0.3468758113,-3.228656963e-18,3.203501607e-17,-2.178653044e-16,-8.228336195e-17,5.527250899e-32
11.99169832,25,refl,1,0,0.3468758113,-1.806906432e-16,-2.005352637e-17,1.021293526e-16,2.274735091e-16,9.522585448e-32
11.53047915,26,trans,0,0,0.5449197057,-3.96858486e-15,1.245044422e-14,0.6277180164,-0.4333361598,0.5818101355
11.53047915,26,trans,-1,0,0.377789514,-1.332598162e-17,-1.850214936e-16,-7.708253681e-17,6.033559922e-18,4.038865621e-32
11.53047915,26,trans,0,-1,0.377789514,7.341189858e-17,-1.630174021e-16,-1.29099169e-16,-1.017295262e-16,5.897947217e-32
11.53047915,26,trans,0,1,0.377789514,6.735349635e-17,-1.384477681e-16,-1.394894469e-16,-9.577586057e-17,5.233459922e-32
11.53047915,26,trans,1,0,0.377789514,1.890362537e-18,-1.868233959e-16,-5.287594957e-17,-3.18369593e-17,3.871601274e-32
11.53047915,26,refl,0,0,0.5449197057,-1.692804796e-15,1.093679749e-14,-0.3624250686,-0.4099786777,0.2994344464
11.53047915,26,refl,-1,0,0.377789514,-1.390299124e-17,-1.83194177e-16,7.613984676e-17,-3.945297029e-18,3.956624129e-32
11.53047915,26,refl,0,-1,0.377789514,7.323230227e-17,-1.619115788e-16,1.291294971e-16,1.048529823e-16,5.924690439e-32
11.53047915,26,refl,0,1,0.377789514,6.684593663e-17,-1.388509568e-16,1.394728999e-16,9.883509027e-17,5.296903231e-32
11.53047915,26,refl,1,0,0.377789514,1.29994072e-18,-1.853560504e-16,5.257365246e-17,3.100558576e-17,3.808389053e-32
11.10342437,27,trans,0,0,0.5658781559,-3.786746901e-16,-8.493018844e-15,0.6275030217,-0.05622792797,0.3969216222
11.10342437,27,trans,-1,0,0.4074377481,8.586077115e-17,3.870069196e-17,9.156908524e-18,-4.237060996e-18,8.971617241e-33
11.10342437,27,trans,0,-1,0.4074377481,9.747394111e-17,5.491690698e-17,-3.61376434e-17,1.677190267e-17,1.410426186e-32
11.10342437,27,trans,0,1,0.4074377481,8.302570667e-17,1.052977222e-17,-7.913071365e-17,2.615551746e-19,1.326588232e-32
11.10342437,27,trans,1,0,0.4074377481,9.490740703e-17,-7.84560463e-17,3.878030945e-17,1.967560099e-17,1.705380878e-32
11.10342437,27,trans,-1,-1,0.108595349,-0.2098964496,-0.008815236567,0.03892826435,-0.06329086416,0.04965537119
11.10342437,27,trans,-1,1,0.108595349,-0.2098964496,-0.008815236567,-0.03892826435,0.06329086416,0.04965537119
11.10342437,27,trans,1,-1,0.108595349,0.2098964492,0.008815236637,0.03892826437,-0.06329086414,0.04965537103
11.10342437,27,trans,1,1,0.108595349,0.2098964492,0.008815236637,-0.03892826437,0.06329086414,0.04965537103
11.10342437,27,refl,0,0,0.5658781559,2.198243982e-15,-6.17610677e-15,-0.3652080399,-0.03147653201,0.1343676845
11.10342437,27,refl,-1,0,0.4074377481,8.553694918e-17,3.986824633e-17,-9.014727057e-18,5.739629237e-18,9.020255387e-33
11.10342437,27,refl,0,-1,0.4074377481,9.506568922e-17,5.57142041e-17,3.598878877e-17,-1.580851293e-17,1.36866598e-32
11.10342437,27,refl,0,1,0.4074377481,8.10864246e-17,9.324561406e-18,7.918083435e-17,3.883717165e-19,1.293171106e-32
11.10342437,27,refl,1,0,0.4074377481,9.435460297e-17,-7.775257968e-17,-3.8453814e-17,-2.075733514e-17,1.685781752e-32
11.10342437,27,refl,-1,-1,0.108595349,-0.2070290606,-0.008712374425,-0.03766026254,0.06295269435,0.04831827449
11.10342437,27,refl,-1,1,0.108595349,-0.2070290606,-0.008712374425,0.03766026254,-0.06295269435,0.04831827449
11.10342437,27,refl,1,-1,0.108595349,0.2070290602,0.008712374498,-0.03766026252,0.06295269429,0.04831827434
11.10342437,27,refl,1,1,0.108595349,0.2070290602,0.008712374498,0.03766026252,-0.06295269429,0.04831827434
10.7068735,28,trans,0,0,0.5868366061,7.191903069e-15,-9.113639153e-15,0.5453664034,-0.09614725976,0.3066688095
10.7068735,28,trans,-1,0,0.4360787011,-5.101200295e-17,5.649731494e-17,3.901846798e-18,-2.554846309e-17,6.462119414e-33
10.7068735,28,trans,0,-1,0.4360787011,-5.704395805e-17,5.91693572e-17,1.256255342e-17,1.941588888e-18,6.916613496e-33
10.7068735,28,trans,0,1,0.4360787011,3.339001694e-18,-1.972444817e-19,-3.454672745e-17,-4.775271148e-17,3.484985668e-33
10.7068735,28,trans,1,0,0.4360787011,2.916545013e-17,1.364006358e-17,1.824689079e-17,2.726275515e-17,2.112881658e-33
10.7068735,28,trans,-1,-1,0.1896102971,-0.2063442434,-0.04233476458,0.06731701318,-0.05677804061,0.05212550523
10.7068735,28,trans,-1,1,0.1896102971,-0.2063442434,-0.04233476458,-0.06731701318,0.05677804061,0.05212550523
10.7068735,28,trans,1,-1,0.1896102971,0.2063442429,0.04233476467,0.06731701319,-0.05677804057,0.05212550503
10.7068735,28,trans,1,1,0.1896102971,0.2063442429,0.04233476467,-0.06731701319,0.05677804057,0.05212550503
10.7068735,28,refl,0,0,0.5868366061,7.677598659e-15,-6.471470574e-15,-0.4472266541,-0.06965459772,0.2048634431
10.7068735,28,refl,-1,0,0.4360787011,-5.199235554e-17,5.535193747e-17,-6.115994124e-18,2.648485284e-17,6.50589483e-33
10.7068735,28,refl,0,-1,0.4360787011,-5.636462695e-17,5.896909952e-17,-1.234303941e-17,-2.184271306e-18,6.811447533e-33
10.7068735,28,refl,0,1,0.4360787011,4.192872144e-18,-1.626656174e-18,3.507903951e-17,4.712851431e-17,3.471862061e-33
10.7068735,28,refl,1,0,0.4360787011,2.835177933e-17,1.245761673e-17,-2.067572306e-17,-2.90409818e-17,2.229879754e-33
10.7068735,28,refl,-1,-1,0.1896102971,-0.2035721828,-0.03816991076,-0.06649824927,0.0570825762,0.05057901335
10.7068735,28,refl,-1,1,0.1896102971,-0.2035721828,-0.03816991076,0.06649824927,-0.0570825762,0.05057901335
10.7068735,28,refl,1,-1,0.1896102971,0.2035721823,0.03816991085,-0.06649824926,0.05708257614,0.05057901314
10.7068735,28,refl,1,1,0.1896102971,0.2035721823,0.03816991085,0.06649824926,-0.05708257614,0.05057901314
