lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,104.4615163,1.183746313e-15,1.825113405e-14,-0.1851662198,0.3573543042,0.8159038891,0.344740428,0.4024781083,0.8857455159,7.202062829e-15,6.828699986e-15,0.1619886277,0.784545119,0.05346625333,1,0,0,0.4897630989,1.02000527,48.88831524,43.050402,5.837913246
29.24804468,10.25,3,100.5540553,1.297952942e-15,5.973030247e-15,-0.1988218692,0.3711390205,0.7999956716,0.3575899216,0.4210395566,0.8762782815,6.541647961e-15,6.218650818e-15,0.1772743082,0.7678636266,0.0548620652,1,0,0,0.5211456018,1.015381144,59.24651265,51.05202546,8.194487196
28.55166267,10.5,3,95.8009168,1.109474854e-15,7.520836994e-14,-0.2096979673,0.383416035,0.7872684957,0.3692641314,0.4370138366,0.8695675264,6.069221678e-15,5.757136639e-15,0.1909810934,0.756147683,0.0528712236,1,0,0,0.5493263962,1.011988784,68.57453013,59.39872585,9.17580428
27.88767051,10.75,3,93.14421057,1.129173155e-15,2.39405228e-14,-0.2181492727,0.3944143961,0.7772726618,0.3798834469,0.4507236637,0.8651382687,5.277160557e-15,4.910655091e-15,0.203151821,0.748464224,0.04838395495,1,0,0,0.5745683651,1.009510594,76.98082992,68.01694755,8.963882378
27.25385982,11,3,90.71635577,1.476949766e-15,7.34867509e-15,-0.2245058368,0.4043276342,0.769618304,0.3895715605,0.4624756281,0.8625997534,4.990152843e-15,4.618531306e-15,0.2138837065,0.7440783346,0.04203795886,1,0,0,0.5971304168,1.00769918,84.56076338,76.84421779,7.716545597
26.64821849,11.25,3,94.77791049,1.236234605e-15,2.691307231e-13,-0.2444073265,0.4146462383,0.7475481686,0.4010294338,0.4813174048,0.8483235652,4.682841467e-15,4.330730708e-15,0.2316664442,0.7196528712,0.0486806846,1,0,0,0.6326947709,0.9960572813,101.8997525,90.23065373,11.66909878
26.06890939,11.5,3,98.11786948,1.230308283e-15,8.003660421e-14,-0.2603224175,0.4244091285,0.7297583814,0.4119418788,0.4978864021,0.837999646,4.366920725e-15,3.982138032e-15,0.2478908694,0.7022434067,0.04986572388,1,0,0,0.6654340249,0.9867839764,117.6674668,104.3506412,13.31682562
25.51425174,11.75,3,100.7720941,1.167349801e-15,2.295091608e-14,-0.272832054,0.4337832309,0.7156397827,0.4224407686,0.5124502133,0.8310213605,4.140495739e-15,3.777702854e-15,0.2626052212,0.6905965016,0.04679827724,1,0,0,0.6954190012,0.9794026261,132.0152651,119.0751718,12.94009335
24.98270483,12,3,102.8218254,1.09983201e-15,6.35037306e-15,-0.2824455835,0.4428755043,0.7046576262,0.4326135317,0.5252753753,0.8268596241,4.199120524e-15,3.844575336e-15,0.2759142199,0.6836968379,0.04038894216,1,0,0,0.7227778544,0.9735198561,145.0777264,134.292694,10.78503239
24.47285371,12.25,3,110.2288509,9.994105685e-16,3.531040698e-15,-0.3055123849,0.4468479772,0.6810753708,0.4384450557,0.5413048421,0.8099985972,3.45273453e-15,3.138235492e-15,0.2930109321,0.6560977275,0.0508913404,1,0,0,0.7608705802,0.9482082932,172.4453286,154.9430493,17.5022793
