f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.1651228297,0.3706859792,0.8332347721,0.3612961354,0.4058000051,0.9081933069,4.548285232e-06,4.766572513e-06,0.1646736441,0.8248150828,0.01051127308,0,0
10.024,29.90746788,-0.1662176527,0.3716880401,0.8321461278,0.362197206,0.4071612792,0.9075538519,4.941101898e-06,4.968911605e-06,0.1657803073,0.8236539941,0.01056569866,0,0
10.048,29.83603284,-0.1673193217,0.3726841588,0.8310497766,0.3631025508,0.4085207922,0.9069107969,5.349269776e-06,5.170508657e-06,0.1668892377,0.8224871936,0.01062356879,0,0
10.072,29.76493824,-0.1684277459,0.3736746145,0.8299458294,0.3640117729,0.4098787908,0.9062641174,5.761208585e-06,5.370286822e-06,0.1680006232,0.8213146506,0.01068472625,0,0
10.096,29.69418166,-0.1695428442,0.3746596811,0.8288343894,0.364924493,0.4112355197,0.9056137867,6.166763832e-06,5.567380269e-06,0.1691146527,0.8201363307,0.01074901658,0,0
10.12,29.62376067,-0.1706645445,0.3756396262,0.8277155524,0.3658403483,0.4125912208,0.904959776,6.55736998e-06,5.761092737e-06,0.1702315156,0.8189521961,0.0108162883,0,0
10.144,29.55367291,-0.171792784,0.3766147112,0.8265894066,0.3667589923,0.4139461334,0.9043020543,6.926150665e-06,5.950864521e-06,0.1713514014,0.8177622055,0.01088639308,0,0
10.168,29.48391601,-0.1729275086,0.377585191,0.8254560329,0.3676800947,0.4153004932,0.9036405891,7.267949831e-06,6.136246275e-06,0.1724744997,0.8165663143,0.01095918593,0,0
10.192,29.41448764,-0.1740686728,0.3785513132,0.8243155053,0.3686033405,0.4166545327,0.9029753457,7.579282634e-06,6.316878264e-06,0.1736009997,0.8153644749,0.0110345254,0,0
10.216,29.34538547,-0.1752162393,0.3795133186,0.8231678905,0.3695284301,0.4180084802,0.9023062876,7.858205704e-06,6.49247392e-06,0.1747310896,0.8141566367,0.01111227372,0,0
10.24,29.27660723,-0.176370179,0.3804714401,0.8220132487,0.3704550785,0.41936256,0.9016333768,8.104120526e-06,6.662806781e-06,0.1758649568,0.8129427462,0.01119229695,0,0
10.264,29.20815062,-0.1775304703,0.3814259032,0.820851633,0.371383015,0.4207169922,0.9009565735,8.317533736e-06,6.827700092e-06,0.1770027876,0.8117227473,0.01127446512,0,0
10.288,29.14001341,-0.1786970993,0.3823769253,0.8196830903,0.372311983,0.4220719918,0.9002758362,8.499801485e-06,6.987018496e-06,0.1781447664,0.8104965813,0.01135865234,0,0
10.312,29.07219337,-0.179870059,0.3833247158,0.8185076612,0.373241739,0.4234277694,0.8995911222,8.652882248e-06,7.140661387e-06,0.1792910759,0.8092641872,0.01144473691,0,0
10.336,29.00468827,-0.1810493496,0.3842694757,0.8173253797,0.3741720529,0.42478453,0.8989023871,8.779115979e-06,7.28855756e-06,0.180441897,0.8080255015,0.01153260144,0,0
10.36,28.93749595,-0.1822349774,0.3852113979,0.8161362743,0.375102707,0.4261424739,0.8982095852,8.881039878e-06,7.430660903e-06,0.1815974081,0.806780459,0.01162213291,0,0
10.384,28.87061421,-0.1834269553,0.3861506663,0.8149403673,0.3760334958,0.4275017953,0.8975126696,8.961244208e-06,7.566946919e-06,0.1827577851,0.8055289922,0.01171322272,0,0
10.408,28.80404093,-0.1846253018,0.3870874566,0.8137376755,0.3769642255,0.4288626834,0.8968115922,9.022266529e-06,7.697409913e-06,0.1839232013,0.8042710319,0.01180576682,0,0
10.432,28.73777396,-0.1858300414,0.3880219357,0.8125282104,0.3778947137,0.430225321,0.8961063036,9.066519625e-06,7.822060714e-06,0.1850938269,0.8030065074,0.01189966566,0,0
10.456,28.67181121,-0.1870412034,0.3889542616,0.8113119779,0.3788247889,0.4315898856,0.8953967535,9.096247021e-06,7.940924827e-06,0.1862698295,0.8017353462,0.01199482432,0,0
10.48,28.60615057,-0.1882588226,0.3898845836,0.8100889791,0.3797542897,0.4329565484,0.8946828905,9.113499792e-06,8.05404095e-06,0.1874513729,0.8004574747,0.01209115246,0,0
10.504,28.54078998,-0.1894829381,0.3908130422,0.8088592101,0.380683065,0.4343254745,0.8939646624,9.120128942e-06,8.161459767e-06,0.1886386179,0.7991728178,0.01218856437,0,0
10.528,28.47572739,-0.1907135936,0.391739769,0.8076226622,0.3816109733,0.4356968228,0.8932420162,9.117788525e-06,8.263242991e-06,0.1898317215,0.7978812995,0.01228697898,0,0
10.552,28.41096077,-0.1919508367,0.392664887,0.8063793225,0.382537882,0.4370707462,0.8925148978,9.107945709e-06,8.359462593e-06,0.1910308373,0.7965828429,0.01238631983,0,0
10.576,28.34648809,-0.1931947189,0.3935885102,0.8051291734,0.3834636674,0.4384473911,0.8917832528,9.091894886e-06,8.450200203e-06,0.1922361149,0.7952773701,0.01248651507,0,0
