f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.8332347721,0.3612961354,0.8248150828
10,1,0,0.2095845022,1,refl,-0.1651228297,0.3706859792,0.1646736441
10.024,1,0,0.210087505,1,trans,0.8321461278,0.362197206,0.823653994
10.024,1,0,0.210087505,1,refl,-0.1662176527,0.3716880401,0.1657803073
10.048,1,0,0.2105905078,1,trans,0.8310497766,0.3631025508,0.8224871935
10.048,1,0,0.2105905078,1,refl,-0.1673193217,0.3726841588,0.1668892376
10.072,1,0,0.2110935106,1,trans,0.8299458294,0.3640117729,0.8213146505
10.072,1,0,0.2110935106,1,refl,-0.1684277459,0.3736746145,0.1680006231
10.096,1,0,0.2115965134,1,trans,0.8288343894,0.364924493,0.8201363307
10.096,1,0,0.2115965134,1,refl,-0.1695428442,0.3746596811,0.1691146526
10.12,1,0,0.2120995162,1,trans,0.8277155524,0.3658403483,0.8189521961
10.12,1,0,0.2120995162,1,refl,-0.1706645445,0.3756396262,0.1702315155
10.144,1,0,0.212602519,1,trans,0.8265894066,0.3667589923,0.8177622055
10.144,1,0,0.212602519,1,refl,-0.171792784,0.3766147112,0.1713514014
10.168,1,0,0.2131055218,1,trans,0.8254560329,0.3676800947,0.8165663143
10.168,1,0,0.2131055218,1,refl,-0.1729275086,0.377585191,0.1724744997
10.192,1,0,0.2136085246,1,trans,0.8243155053,0.3686033405,0.8153644749
10.192,1,0,0.2136085246,1,refl,-0.1740686728,0.3785513132,0.1736009996
10.216,1,0,0.2141115274,1,trans,0.8231678905,0.3695284301,0.8141566367
10.216,1,0,0.2141115274,1,refl,-0.1752162393,0.3795133186,0.1747310895
10.24,1,0,0.2146145302,1,trans,0.8220132487,0.3704550785,0.8129427462
10.24,1,0,0.2146145302,1,refl,-0.176370179,0.3804714401,0.1758649568
10.264,1,0,0.2151175331,1,trans,0.820851633,0.371383015,0.8117227473
10.264,1,0,0.2151175331,1,refl,-0.1775304703,0.3814259032,0.1770027875
10.288,1,0,0.2156205359,1,trans,0.8196830903,0.372311983,0.8104965813
10.288,1,0,0.2156205359,1,refl,-0.1786970993,0.3823769253,0.1781447663
10.312,1,0,0.2161235387,1,trans,0.8185076612,0.373241739,0.8092641871
10.312,1,0,0.2161235387,1,refl,-0.179870059,0.3833247158,0.1792910759
10.336,1,0,0.2166265415,1,trans,0.8173253797,0.3741720529,0.8080255015
10.336,1,0,0.2166265415,1,refl,-0.1810493496,0.3842694757,0.180441897
10.36,1,0,0.2171295443,1,trans,0.8161362743,0.375102707,0.8067804589
10.36,1,0,0.2171295443,1,refl,-0.1822349774,0.3852113979,0.181597408
10.384,1,0,0.2176325471,1,trans,0.8149403673,0.3760334958,0.8055289921
10.384,1,0,0.2176325471,1,refl,-0.1834269553,0.3861506663,0.182757785
10.408,1,0,0.2181355499,1,trans,0.8137376755,0.3769642255,0.8042710319
10.408,1,0,0.2181355499,1,refl,-0.1846253018,0.3870874566,0.1839232012
10.432,1,0,0.2186385527,1,trans,0.8125282104,0.3778947137,0.8030065073
10.432,1,0,0.2186385527,1,refl,-0.1858300414,0.3880219357,0.1850938269
10.456,1,0,0.2191415555,1,trans,0.8113119779,0.3788247889,0.8017353461
10.456,1,0,0.2191415555,1,refl,-0.1870412034,0.3889542616,0.1862698294
10.48,1,0,0.2196445583,1,trans,0.8100889791,0.3797542897,0.8004574746
10.48,1,0,0.2196445583,1,refl,-0.1882588226,0.3898845836,0.1874513728
10.504,1,0,0.2201475611,1,trans,0.8088592101,0.380683065,0.7991728177
10.504,1,0,0.2201475611,1,refl,-0.1894829381,0.3908130422,0.1886386178
10.528,1,0,0.2206505639,1,trans,0.8076226622,0.3816109733,0.7978812994
