lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,104.4615163,1.183746313e-15,1.825113405e-14,-0.1851662198,0.3573543042,0.8159038891,0.344740428,0.4024781083,0.8857455159,7.202062829e-15,6.828699986e-15,0.1619886277,0.784545119,0.05346625333,1,0,0,0.4897630989,1.02000527,48.88831524,43.050402,5.837913246
27.25385982,11,3,90.71635577,1.476949766e-15,7.34867509e-15,-0.2245058368,0.4043276342,0.769618304,0.3895715605,0.4624756281,0.8625997534,4.990152843e-15,4.618531306e-15,0.2138837065,0.7440783346,0.04203795886,1,0,0,0.5971304168,1.00769918,84.56076338,76.84421779,7.716545597
24.98270483,12,3,102.8218254,1.09983201e-15,6.35037306e-15,-0.2824455835,0.4428755043,0.7046576262,0.4326135317,0.5252753753,0.8268596241,4.199120524e-15,3.844575336e-15,0.2759142199,0.6836968379,0.04038894216,1,0,0,0.7227778544,0.9735198561,145.0777264,134.292694,10.78503239
23.06095831,13,3,137.4652322,9.143905272e-16,1.743368562e-13,-0.3534616068,0.4681665359,0.6320582486,0.4644996763,0.5866131714,0.7843835662,2.064401791e-15,1.896513707e-15,0.3441150128,0.615257579,0.04062740817,1,0,0,0.8640845212,0.8950764513,241.6374596,225.3664944,16.27096516
21.413747,14,3,290.0099969,1.050304341e-15,9.057980127e-13,-0.4413472056,0.4855896652,0.5483698515,0.4848846633,0.6561895144,0.7319990647,2.018799377e-15,2.250135784e-15,0.4305846788,0.5358226307,0.03359269054,1,0,0,0.9960940533,0.7436034653,369.0054623,345.3622624,23.64319991
19.98616387,15,3,349.9506218,7.736185822e-16,3.709348563e-13,-0.5564579128,0.4864086754,0.438205023,0.4830015057,0.7390797036,0.6521610972,1.193162369e-15,1.960658666e-15,0.5462388083,0.4253140966,0.02844709508,1,0,0,1.062467206,0.5095191765,479.2099976,449.1738706,30.03612702
18.73702863,16,3,75.80939933,8.318999185e-16,4.600584729e-13,-0.7042815572,0.4342835462,0.2940203522,0.4247856332,0.8274144731,0.5166147518,1.912708149e-15,2.330149564e-15,0.6846147103,0.2668908017,0.04849448801,1,0,0,1.02738754,0.2407480514,512.5714963,480.0650491,32.50644717
17.63485047,17,3,44.11433655,9.292966474e-16,1.377025416e-14,-0.8491061784,0.280486175,0.1548222077,0.2671916771,0.8942336364,0.3088062634,3.652231885e-15,3.950345383e-15,0.7996537965,0.09536130834,0.1049848951,1,0,0,0.9267292209,0.07691166545,475.3623376,445.2135416,30.14879604
16.65513656,18,3,51.49868383,9.928998327e-16,3.29530426e-15,-0.9059474718,0.02264027388,0.1017478322,0.01200457109,0.906230326,0.1024535557,2.494872608e-15,2.196921295e-15,0.8212534037,0.01049673108,0.1682498652,1,0,0,0.8192046013,0.2049206074,416.932947,391.7383524,25.1945946
15.77855042,19,3,106.5664614,1.287173015e-15,2.443751516e-12,-0.7709675673,-0.2678696311,0.2295488309,-0.2773205677,0.8161771432,0.3599991153,1.932521614e-15,1.58477931e-15,0.6661451291,0.129599363,0.2042555079,5,9.936351591e-32,8.723852158e-32,0.7323157261,0.3101934119,367.8337706,346.6558131,21.17795743
