lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,49.60575574,6.033582262e-16,1.825113405e-14,-0.08818521032,0.2740352053,0.9170291069,0.2640900651,0.2878748427,0.9542986668,2.579956573e-15,2.213028195e-15,0.08287192506,0.9106859454,0.006442129529,1,0,0,0.3194309715,1.017142163,16.108667,15.95908253,0.1495844784
29.24804468,10.25,3,47.68756657,6.772002397e-16,5.973030247e-15,-0.09890458664,0.2893380084,0.9052766002,0.2774038999,0.3057754084,0.9468255629,2.731418108e-15,2.313381655e-15,0.09349860038,0.8964786466,0.01002275304,1,0,0,0.3385695867,1.01630745,19.50613788,18.62858102,0.8775568593
28.55166267,10.5,3,45.52605913,9.090349892e-16,7.520836994e-14,-0.1078565723,0.302318011,0.8954971056,0.2888695485,0.3209816505,0.940936067,2.764348163e-15,2.278129998e-15,0.10302922,0.8853606822,0.0116100978,1,0,0,0.355586866,1.015759786,22.56562831,21.37381617,1.19181214
27.88767051,10.75,3,43.221242,7.173101541e-16,2.39405228e-14,-0.1151536409,0.3133370951,0.8875313144,0.2987316661,0.3338270453,0.9364573895,2.841930999e-15,2.371131118e-15,0.1114404962,0.8769524423,0.01160706147,1,0,0,0.3707031053,1.015408966,25.3227252,24.17568044,1.147044764
27.25385982,11,3,40.86719914,9.541541915e-16,7.34867509e-15,-0.1209556618,0.3227090062,0.8811885687,0.307211541,0.3446322313,0.9332053497,2.714600692e-15,2.238306604e-15,0.1187713748,0.8708722246,0.01035640054,1,0,0,0.3841151783,1.015186951,27.80871356,27.01803147,0.7906820988
26.64821849,11.25,3,40.14455987,7.117566477e-16,2.691307231e-13,-0.1328395027,0.3340374546,0.8688449202,0.3202455573,0.3594820643,0.9259852657,2.825819964e-15,2.491643676e-15,0.1292273545,0.8574487123,0.01332393313,1,0,0,0.4032728306,1.012117574,33.35240351,31.25205995,2.100343554
26.06890939,11.5,3,39.43449297,6.644351687e-16,8.003660421e-14,-0.142423032,0.3437303733,0.8587543688,0.3315355394,0.3720683937,0.9205296735,2.961610514e-15,2.75883276e-15,0.1384348896,0.8473748799,0.01419023057,1,0,0,0.4205436922,1.009615032,38.39298901,35.62018455,2.772804457
25.51425174,11.75,3,38.54577516,1.058224966e-15,2.295091608e-14,-0.1499934466,0.3520986969,0.8506686306,0.3413796277,0.3827159866,0.9166117877,2.749666826e-15,2.663625318e-15,0.1464715264,0.8401771693,0.01335130426,1,0,0,0.4360869308,1.007552982,42.97895536,40.09396842,2.884986938
24.98270483,12,3,37.55413875,8.422831574e-16,6.35037306e-15,-0.1558283354,0.3593892346,0.8443366114,0.3500241564,0.3917181283,0.9140137982,2.760012791e-15,2.747306398e-15,0.153443092,0.8354212233,0.01113568465,1,0,0,0.450052588,1.005830801,47.15341147,44.6489664,2.504445071
24.47285371,12.25,3,37.73539181,7.37928376e-16,3.531040698e-15,-0.1660791279,0.3667778521,0.8331875342,0.3605762688,0.4026267124,0.9078638184,2.75099131e-15,2.926511314e-15,0.1621082695,0.8242167127,0.01367501776,1,0,0,0.4703812134,0.9992835104,55.74189462,51.2528878,4.48900682
23.98339664,12.5,3,38.00120147,8.123215681e-16,2.133974637e-15,-0.1742257509,0.3737182944,0.8241537868,0.3703655398,0.4123347861,0.9035486137,2.487950212e-15,2.773352614e-15,0.1700199759,0.8164000973,0.01357992682,1,0,0,0.489004683,0.993698587,63.61244718,58.10664477,5.505802408
23.51313396,12.75,3,38.33586313,9.756081275e-16,3.872040868e-13,-0.180640529,0.3803246861,0.816901709,0.3795254794,0.4210437834,0.9007596747,2.358619632e-15,2.712949692e-15,0.1772778676,0.8113679916,0.0113541408,1,0,0,0.5060206961,0.9889047613,70.82889155,65.16589909,5.662992457
23.06095831,13,3,38.75666609,7.739029462e-16,1.743368562e-13,-0.1856146716,0.3866940343,0.8111595877,0.3881779349,0.4289348231,0.8992563516,2.329387581e-15,2.72341244e-15,0.1839850825,0.8086619859,0.00735293159,1,0,0,0.5215331849,0.9847599526,77.44851179,72.39195947,5.056552313
22.62584589,13.25,3,40.55896819,6.861219251e-16,3.565874811e-13,-0.1991976996,0.3950663229,0.7974678619,0.396845631,0.4424444858,0.8907533024,2.213127256e-15,2.593526024e-15,0.195757123,0.7934414457,0.01080143133,1,0,0,0.5465371411,0.972590834,90.3959994,82.46746864,7.92853076
22.20684874,13.5,3,42.75250597,7.412262305e-16,1.694481051e-13,-0.2106694008,0.4038687071,0.7858197227,0.4058497699,0.4555123808,0.8844357932,1.905612654e-15,2.359273019e-15,0.207491529,0.7822266723,0.01028179867,1,0,0,0.5698515652,0.9619730153,102.3401745,93.03900771,9.301166751
21.80308785,13.75,3,45.4136617,7.321332678e-16,5.813728915e-13,-0.2204793789,0.4131152229,0.7757856731,0.415222168,0.4682684528,0.8799163934,1.951316762e-15,2.377858555e-15,0.2192753439,0.7742528594,0.006471796708,1,0,0,0.5915066644,0.9526789282,113.3638133,104.0329718,9.330841481
