f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.07908754225,0.2705715415,0.9195270627,0.262716138,0.2818932394,0.956320965,1.271567887e-06,1.192044355e-06,0.07946379841,0.9145497882,0.005986413403,0,0
10.024,29.90746788,-0.0796597232,0.2714522705,0.9189522279,0.2635594462,0.2828992871,0.9560004073,1.034612442e-06,1.076156428e-06,0.08003200664,0.9139367788,0.006031214528,0,0
10.048,29.83603284,-0.08023081524,0.2723248306,0.918378116,0.2643967609,0.2838975116,0.9556798685,8.20073425e-07,9.567185894e-07,0.08059779709,0.913324011,0.006078191881,0,0
10.072,29.76493824,-0.08080085271,0.2731895886,0.91780474,0.2652282912,0.2848882748,0.9553594021,6.748882726e-07,8.364569273e-07,0.08116132911,0.9127115872,0.006127083669,0,0
10.096,29.69418166,-0.08136987941,0.274046909,0.9172321011,0.2660542506,0.2858719392,0.9550390523,6.790895431e-07,7.217116748e-07,0.08172276563,0.9120995915,0.006177642913,0,0
10.12,29.62376067,-0.08193794813,0.2748971541,0.9166601885,0.2668748562,0.2868488673,0.954718854,8.628691343e-07,6.264110613e-07,0.0822822727,0.9114880901,0.006229637191,0,0
10.144,29.55367291,-0.0825051203,0.2757406831,0.9160889807,0.2676903284,0.2878194211,0.954398833,1.174180053e-06,5.772220396e-07,0.08284001919,0.9108771325,0.006282848355,0,0
10.168,29.48391601,-0.08307146559,0.2765778515,0.9155184452,0.26850089,0.2887839614,0.9540790069,1.569158814e-06,6.086365625e-07,0.08339617634,0.9102667514,0.006337072246,0,0
10.192,29.41448764,-0.08363706148,0.277409011,0.9149485395,0.269306766,0.2897428471,0.9537593848,2.032374845e-06,7.375405625e-07,0.08395091744,0.9096569642,0.00639211839,0,0
10.216,29.34538547,-0.08420199285,0.2782345088,0.9143792115,0.2701081829,0.2906964353,0.9534399681,2.563731581e-06,9.557776608e-07,0.08450441748,0.9090477728,0.006447809682,0,0
10.24,29.27660723,-0.08476635155,0.2790546871,0.9138103998,0.270905368,0.2916450801,0.9531207506,3.171567481e-06,1.253517729e-06,0.08505685273,0.9084391652,0.006503982068,0,0
10.264,29.20815062,-0.08533023598,0.2798698829,0.9132420345,0.2716985494,0.2925891326,0.9528017188,3.87091286e-06,1.63237377e-06,0.08560840052,0.9078311153,0.006560484207,0,0
10.288,29.14001341,-0.08589375066,0.2806804275,0.9126740373,0.2724879552,0.2935289403,0.9524828524,4.684279891e-06,2.106774775e-06,0.08615923883,0.907223584,0.006617177125,0,0
10.312,29.07219337,-0.08645700583,0.2814866464,0.9121063224,0.2732738129,0.2944648467,0.9521641246,5.644341482e-06,2.705756105e-06,0.086709546,0.9066165201,0.006673933871,0,0
10.336,29.00468827,-0.08702011697,0.2822888585,0.9115387966,0.2740563494,0.2953971909,0.9518455024,6.799019794e-06,3.479822567e-06,0.08725950045,0.9060098604,0.006730639147,0,0
10.36,28.93749595,-0.08758320444,0.2830873763,0.9109713602,0.2748357902,0.2963263071,0.9515269469,8.220675754e-06,4.517539925e-06,0.08780928037,0.9054035307,0.006787188946,0,0
10.384,28.87061421,-0.08814639302,0.2838825052,0.9104039069,0.2756123592,0.2972525246,0.9512084137,1.002325029e-05,5.984831444e-06,0.08835906348,0.9047974463,0.006843490176,0,0
10.408,28.80404093,-0.08870981153,0.2846745438,0.9098363249,0.2763862783,0.298176167,0.9508898532,1.23962992e-05,8.229162326e-06,0.08890902671,0.904191513,0.006899460273,0,0
10.432,28.73777396,-0.0892735924,0.2854637831,0.9092684968,0.2771577669,0.2990975522,0.9505712109,1.567851272e-05,1.211713522e-05,0.089459346,0.9035856272,0.006955026797,0,0
10.456,28.67181121,-0.08983787127,0.2862505066,0.9087003004,0.2779270418,0.3000169923,0.9502524278,2.053473605e-05,2.057157759e-05,0.09001019607,0.902979677,0.007010126932,0,0
10.48,28.60615057,-0.09040278661,0.2870349902,0.9081316091,0.2786943166,0.3009347926,0.9499334406,2.844502733e-05,5.323397895e-05,0.09056175023,0.9023735444,0.007064705367,0,0
10.504,28.54078998,-0.09096847935,0.2878175017,0.9075622921,0.2794598017,0.3018512524,0.9496141821,4.327544137e-05,0.0001075889917,0.09111418042,0.9017671064,0.007118713179,0,0
