f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.9195270627,0.262716138,0.9145497882
10,1,0,0.2095845022,1,refl,-0.07908754225,0.2705715415,0.07946379841
10.024,1,0,0.210087505,1,trans,0.9189522279,0.2635594462,0.9139367788
10.024,1,0,0.210087505,1,refl,-0.0796597232,0.2714522705,0.08003200664
10.048,1,0,0.2105905078,1,trans,0.918378116,0.2643967609,0.913324011
10.048,1,0,0.2105905078,1,refl,-0.08023081524,0.2723248306,0.08059779709
10.072,1,0,0.2110935106,1,trans,0.91780474,0.2652282912,0.9127115872
10.072,1,0,0.2110935106,1,refl,-0.08080085271,0.2731895886,0.08116132911
10.096,1,0,0.2115965134,1,trans,0.9172321011,0.2660542506,0.9120995915
10.096,1,0,0.2115965134,1,refl,-0.08136987941,0.274046909,0.08172276562
10.12,1,0,0.2120995162,1,trans,0.9166601885,0.2668748562,0.9114880901
10.12,1,0,0.2120995162,1,refl,-0.08193794813,0.2748971541,0.0822822727
10.144,1,0,0.212602519,1,trans,0.9160889807,0.2676903284,0.9108771325
10.144,1,0,0.212602519,1,refl,-0.0825051203,0.2757406831,0.08284001918
10.168,1,0,0.2131055218,1,trans,0.9155184452,0.26850089,0.9102667514
10.168,1,0,0.2131055218,1,refl,-0.08307146559,0.2765778515,0.08339617634
10.192,1,0,0.2136085246,1,trans,0.9149485395,0.269306766,0.9096569642
10.192,1,0,0.2136085246,1,refl,-0.08363706148,0.277409011,0.08395091744
10.216,1,0,0.2141115274,1,trans,0.9143792115,0.2701081829,0.9090477728
10.216,1,0,0.2141115274,1,refl,-0.08420199285,0.2782345088,0.08450441747
10.24,1,0,0.2146145302,1,trans,0.9138103998,0.270905368,0.9084391652
10.24,1,0,0.2146145302,1,refl,-0.08476635155,0.2790546871,0.08505685272
10.264,1,0,0.2151175331,1,trans,0.9132420345,0.2716985494,0.9078311153
10.264,1,0,0.2151175331,1,refl,-0.08533023598,0.2798698829,0.08560840051
10.288,1,0,0.2156205359,1,trans,0.9126740373,0.2724879552,0.907223584
10.288,1,0,0.2156205359,1,refl,-0.08589375066,0.2806804275,0.08615923881
10.312,1,0,0.2161235387,1,trans,0.9121063224,0.2732738129,0.9066165201
10.312,1,0,0.2161235387,1,refl,-0.08645700583,0.2814866464,0.08670954597
10.336,1,0,0.2166265415,1,trans,0.9115387966,0.2740563494,0.9060098604
10.336,1,0,0.2166265415,1,refl,-0.08702011697,0.2822888585,0.0872595004
10.36,1,0,0.2171295443,1,trans,0.9109713602,0.2748357902,0.9054035307
10.36,1,0,0.2171295443,1,refl,-0.08758320444,0.2830873763,0.08780928031
10.384,1,0,0.2176325471,1,trans,0.9104039069,0.2756123592,0.9047974463
10.384,1,0,0.2176325471,1,refl,-0.08814639302,0.2838825052,0.08835906338
10.408,1,0,0.2181355499,1,trans,0.9098363249,0.2763862783,0.9041915129
10.408,1,0,0.2181355499,1,refl,-0.08870981153,0.2846745438,0.08890902656
10.432,1,0,0.2186385527,1,trans,0.9092684968,0.2771577669,0.9035856271
10.432,1,0,0.2186385527,1,refl,-0.0892735924,0.2854637831,0.08945934576
10.456,1,0,0.2191415555,1,trans,0.9087003004,0.2779270418,0.9029796766
10.456,1,0,0.2191415555,1,refl,-0.08983787127,0.2862505066,0.09001019565
10.48,1,0,0.2196445583,1,trans,0.9081316091,0.2786943166,0.9023735416
10.48,1,0,0.2196445583,1,refl,-0.09040278661,0.2870349902,0.09056174942
10.504,1,0,0.2201475611,1,trans,0.9075622921,0.2794598017,0.9017670948
10.504,1,0,0.2201475611,1,refl,-0.09096847935,0.2878175017,0.09111417855
10.528,1,0,0.2206505639,1,trans,0.9069922152,0.2802237036,0.9011602024
10.528,1,0,0.2206505639,1,refl,-0.09153509248,0.2885983012,0.09166765261
10.552,1,0,0.2211535667,1,trans,0.9064212408,0.2809862249,0.9005527244
10.552,1,0,0.2211535667,1,refl,-0.09210277067,0.2893776403,0.09222233909
10.576,1,0,0.2216565695,1,trans,0.9058492288,0.2817475643,0.8999445152
10.576,1,0,0.2216565695,1,refl,-0.09267165997,0.2901557627,0.09277840316
10.6,1,0,0.2221595723,1,trans,0.9052760364,0.2825079156,0.8993354245
10.6,1,0,0.2221595723,1,refl,-0.09324190742,0.2909329034,0.09333600757
10.624,1,0,0.2226625751,1,trans,0.9047015192,0.2832674681,0.8987252973
10.624,1,0,0.2226625751,1,refl,-0.09381366074,0.2917092893,0.09389531241
10.648,1,0,0.2231655779,1,trans,0.9041255309,0.2840264062,0.8981139751
10.648,1,0,0.2231655779,1,refl,-0.09438706797,0.2924851388,0.09445647502
10.672,1,0,0.2236685807,1,trans,0.9035479242,0.2847849093,0.8975012958
10.672,1,0,0.2236685807,1,refl,-0.09496227721,0.2932606617,0.09501964981
10.696,1,0,0.2241715835,1,trans,0.9029685507,0.2855431513,0.8968870947
10.696,1,0,0.2241715835,1,refl,-0.09553943627,0.2940360595,0.09558498814
10.72,1,0,0.2246745864,1,trans,0.9023872617,0.2863013008,0.8962712049
10.72,1,0,0.2246745864,1,refl,-0.09611869242,0.2948115248,0.09615263821
10.744,1,0,0.2251775892,1,trans,0.9018039083,0.2870595207,0.8956534574
10.744,1,0,0.2251775892,1,refl,-0.09670019209,0.2955872422,0.09672274491
10.768,1,0,0.225680592,1,trans,0.9012183416,0.2878179684,0.8950336822
10.768,1,0,0.225680592,1,refl,-0.0972840806,0.2963633874,0.09729544974
10.792,1,0,0.2261835948,1,trans,0.9006304135,0.288576795,0.8944117083
10.792,1,0,0.2261835948,1,refl,-0.09787050191,0.2971401278,0.09787089071
10.816,1,0,0.2266865976,1,trans,0.9000399763,0.2893361461,0.8937873644
10.816,1,0,0.2266865976,1,refl,-0.09845959839,0.2979176224,0.09844920223
10.84,1,0,0.2271896004,1,trans,0.8994468837,0.2900961609,0.8931604792
10.84,1,0,0.2271896004,1,refl,-0.09905151058,0.2986960216,0.09903051508
10.864,1,0,0.2276926032,1,trans,0.8988509907,0.2908569725,0.8925308819
10.864,1,0,0.2276926032,1,refl,-0.09964637695,0.2994754678,0.09961495627
10.888,1,0,0.228195606,1,trans,0.8982521538,0.291618708,0.8918984026
10.888,1,0,0.228195606,1,refl,-0.1002443337,0.300256095,0.100202649
10.912,1,0,0.2286986088,1,trans,0.8976502315,0.2923814879,0.8912628726
10.912,1,0,0.2286986088,1,refl,-0.1008455146,0.3010380289,0.1007937127
10.936,1,0,0.2292016116,1,trans,0.8970450846,0.2931454267,0.8906241249
10.936,1,0,0.2292016116,1,refl,-0.1014500508,0.3018213874,0.1013882627
10.96,1,0,0.2297046144,1,trans,0.896436576,0.2939106322,0.8899819945
10.96,1,0,0.2297046144,1,refl,-0.1020580706,0.3026062801,0.1019864105
10.984,1,0,0.2302076172,1,trans,0.8958245715,0.2946772062,0.8893363188
10.984,1,0,0.2302076172,1,refl,-0.1026696992,0.303392809,0.1025882637
11.008,1,0,0.23071062,1,trans,0.8952089397,0.2954452438,0.8886869378
11.008,1,0,0.23071062,1,refl,-0.1032850589,0.3041810682,0.1031939256
11.032,1,0,0.2312136228,1,trans,0.894589552,0.2962148341,0.8880336944
11.032,1,0,0.2312136228,1,refl,-0.1039042684,0.3049711441,0.1038034957
11.056,1,0,0.2317166256,1,trans,0.8939662832,0.2969860594,0.8873764351
11.056,1,0,0.2317166256,1,refl,-0.1045274434,0.3057631156,0.1044170693
11.08,1,0,0.2322196284,1,trans,0.8933390117,0.2977589961,0.8867150096
11.08,1,0,0.2322196284,1,refl,-0.1051546956,0.3065570544,0.1050347376
11.104,1,0,0.2327226312,1,trans,0.8927076191,0.2985337141,0.8860492717
11.104,1,0,0.2327226312,1,refl,-0.1057861335,0.3073530245,0.1056565877
11.128,1,0,0.233225634,1,trans,0.892071991,0.2993102771,0.8853790791
11.128,1,0,0.233225634,1,refl,-0.1064218615,0.3081510833,0.1062827028
11.152,1,0,0.2337286368,1,trans,0.8914320169,0.3000887425,0.8847042941
11.152,1,0,0.2337286368,1,refl,-0.1070619803,0.3089512809,0.1069131616
11.176,1,0,0.2342316397,1,trans,0.89078759,0.3008691619,0.8840247831
11.176,1,0,0.2342316397,1,refl,-0.1077065866,0.3097536607,0.1075480391
11.2,1,0,0.2347346425,1,trans,0.8901386079,0.3016515807,0.8833404175
11.2,1,0,0.2347346425,1,refl,-0.1083557733,0.3105582594,0.1081874061
11.224,1,0,0.2352376453,1,trans,0.8894849725,0.3024360383,0.8826510736
11.224,1,0,0.2352376453,1,refl,-0.1090096291,0.3113651072,0.1088313292
11.248,1,0,0.2357406481,1,trans,0.8888265898,0.3032225683,0.8819566326
