lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-2.029807905e-15,8.816879602e-16,0.9170291069,0.2640900651,0.9106859454
29.9792458,10,refl,0,0,0.2095845022,-2.135215778e-15,1.448112393e-15,-0.08818521032,0.2740352053,0.08287192506
27.25385982,11,trans,0,0,0.2305429524,-2.062538033e-15,8.694557602e-16,0.8811885687,0.307211541,0.8708722246
27.25385982,11,refl,0,0,0.2305429524,-2.194108539e-15,1.598419418e-15,-0.1209556618,0.3227090062,0.1187713748
24.98270483,12,trans,0,0,0.2515014026,-2.568104364e-15,9.759776733e-16,0.8443366114,0.3500241564,0.8354212233
24.98270483,12,refl,0,0,0.2515014026,-2.3705387e-15,1.413582993e-15,-0.1558283354,0.3593892346,0.153443092
23.06095831,13,trans,0,0,0.2724598529,-2.704610583e-15,3.194634771e-16,0.8111595877,0.3881779349,0.8086619859
23.06095831,13,refl,0,0,0.2724598529,-2.310437686e-15,2.965201491e-16,-0.1856146716,0.3866940343,0.1839850825
21.413747,14,trans,0,0,0.2934183031,-2.577140254e-15,-6.830999853e-17,0.7669952415,0.4250676347,0.7689641945
21.413747,14,refl,0,0,0.2934183031,-2.175328311e-15,-1.018139785e-16,-0.2290090157,0.4228936131,0.2312841373
19.98616387,15,trans,0,0,0.3143767533,-1.550400308e-15,5.129638953e-16,0.6707642682,0.4601298598,0.6616441914
19.98616387,15,refl,0,0,0.3143767533,-1.126555878e-15,5.687518122e-16,-0.3276797446,0.4688387216,0.3271837619
18.73702863,16,trans,0,0,0.3353352035,-2.133182689e-15,-5.588501483e-16,0.8103327964,0.3026979854,0.7482653113
18.73702863,16,refl,0,0,0.3353352035,-1.390512819e-15,-1.150268346e-15,-0.1934286581,0.3192699288,0.1393479332
17.63485047,17,trans,0,0,0.3562936537,-1.953999206e-15,-4.410360563e-16,0.614184384,0.4576409868,0.5866577304
17.63485047,17,refl,0,0,0.3562936537,-1.293953379e-15,-5.584303566e-16,-0.3915556998,0.470646058,0.374823578
16.65513656,18,trans,0,0,0.377252104,-1.799163592e-15,-1.125759932e-15,0.4580643947,0.4562369216,0.4179751183
16.65513656,18,refl,0,0,0.377252104,-1.27862343e-15,-1.206504353e-15,-0.5454140223,0.4627443845,0.511608821
15.77855042,19,trans,0,0,0.3982105542,5.007118636e-17,-2.009322077e-15,0.3300056509,0.3117535993,0.2060940363
