lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,49.60575574,6.033582262e-16,1.825113405e-14,-0.08818521032,0.2740352053,0.9170291069,0.2640900651,0.2878748427,0.9542986668,2.579956573e-15,2.213028195e-15,0.08287192506,0.9106859454,0.006442129529,1,0,0,0.3194309715,1.017142163,16.108667,15.95908253,0.1495844784
27.25385982,11,3,40.86719914,9.541541915e-16,7.34867509e-15,-0.1209556618,0.3227090062,0.8811885687,0.307211541,0.3446322313,0.9332053497,2.714600692e-15,2.238306604e-15,0.1187713748,0.8708722246,0.01035640054,1,0,0,0.3841151783,1.015186951,27.80871356,27.01803147,0.7906820988
24.98270483,12,3,37.55413875,8.422831574e-16,6.35037306e-15,-0.1558283354,0.3593892346,0.8443366114,0.3500241564,0.3917181283,0.9140137982,2.760012791e-15,2.747306398e-15,0.153443092,0.8354212233,0.01113568465,1,0,0,0.450052588,1.005830801,47.15341147,44.6489664,2.504445071
23.06095831,13,3,38.75666609,7.739029462e-16,1.743368562e-13,-0.1856146716,0.3866940343,0.8111595877,0.3881779349,0.4289348231,0.8992563516,2.329387581e-15,2.72341244e-15,0.1839850825,0.8086619859,0.00735293159,1,0,0,0.5215331849,0.9847599526,77.44851179,72.39195947,5.056552313
21.413747,14,3,48.7092261,1.155519368e-15,9.057980127e-13,-0.2290090157,0.4228936131,0.7669952415,0.4250676347,0.4809200945,0.8769060352,2.177709657e-15,2.578045412e-15,0.2312841373,0.7689641945,-0.0002483317707,1,0,0,0.6115604355,0.9445125051,123.5418117,115.384279,8.157532719
19.98616387,15,3,94.95746726,1.802038156e-15,3.709348563e-13,-0.3276797446,0.4688387216,0.6707642682,0.4601298598,0.5719997918,0.8134151408,1.261985249e-15,1.633056359e-15,0.3271837619,0.6616441914,0.01117204677,1,0,0,0.7168818888,0.873342987,189.1203336,177.0957943,12.02453925
18.73702863,16,3,213.8298804,8.982789774e-16,4.600584729e-13,-0.1934286581,0.3192699288,0.8103327964,0.3026979854,0.3732933608,0.865023301,1.804617181e-15,2.20517162e-15,0.1393479332,0.7482653113,0.1123867555,1,0,0,0.8091817232,0.7629520262,268.1814379,251.2774195,16.90401842
17.63485047,17,3,44.82165822,5.876195587e-16,1.377025416e-14,-0.3915556998,0.470646058,0.614184384,0.4576409868,0.6122283708,0.7659358527,1.409311821e-15,2.003153938e-15,0.374823578,0.5866577304,0.03851869167,1,0,0,0.8630751734,0.6210026578,342.7091791,320.6188309,22.09034817
16.65513656,18,3,51.32421018,1.013207324e-15,3.29530426e-15,-0.5454140223,0.4627443845,0.4580643947,0.4562369216,0.7152683559,0.6465099522,1.757990509e-15,2.122339524e-15,0.511608821,0.4179751183,0.07041606063,1,0,0,0.8838603635,0.4684283471,397.9045664,372.1625417,25.74202466
15.77855042,19,3,191.11128,2.152932032e-15,2.443751516e-12,-0.671046125,0.3275620901,0.3300056509,0.3117535993,0.7467260708,0.4539758103,1.752882589e-15,2.009945854e-15,0.6055092149,0.2851103049,0.1093804802,5,0.04790939009,0.07901626858,0.8900504226,0.3210452347,429.8810881,403.534109,26.34697912
