f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.03920573418,0.1951970759,0.9596405146,0.188771285,0.1990954244,0.9780309378,6.59745184e-07,5.734264353e-07,0.03963898803,0.9565445153,0.003816496685,0,0
10.024,29.90746788,-0.03943205892,0.1957797353,0.9595202231,0.1893046252,0.1997112717,0.9780160017,6.539286504e-07,5.709950272e-07,0.03988459203,0.9565152997,0.0036001083,0,0
10.048,29.83603284,-0.03966262239,0.196362683,0.9593812257,0.1898437669,0.2003282977,0.9779841472,6.480294681e-07,5.693517393e-07,0.04013142687,0.9564529921,0.003415581,0,0
10.072,29.76493824,-0.03989726363,0.1969459445,0.9592245425,0.1903882278,0.2009465021,0.9779362967,6.420473508e-07,5.685311515e-07,0.0403794967,0.9563594003,0.003261102989,0,0
10.096,29.69418166,-0.04013582527,0.1975295457,0.9590511702,0.1909375539,0.2015658848,0.977873354,6.359821408e-07,5.685637765e-07,0.04062880591,0.9562362966,0.003134897533,0,0
10.12,29.62376067,-0.04037815366,0.1981135125,0.9588620812,0.1914913184,0.2021864465,0.9777962036,6.298338302e-07,5.694753574e-07,0.04087935913,0.9560854158,0.003035225026,0,0
10.144,29.55367291,-0.040624099,0.1986978706,0.9586582231,0.1920491218,0.2028081882,0.9777057093,6.236025855e-07,5.712862345e-07,0.04113116122,0.9559084539,0.002960384875,0,0
10.168,29.48391601,-0.04087351539,0.199282646,0.9584405178,0.1926105901,0.2034311118,0.9776027135,6.172887768e-07,5.740108122e-07,0.04138421726,0.9557070655,0.002908717229,0,0
10.192,29.41448764,-0.04112626096,0.1998678645,0.9582098608,0.193175375,0.2040552195,0.9774880372,6.108930097e-07,5.776571481e-07,0.04163853259,0.9554828629,0.002878604544,0,0
10.216,29.34538547,-0.04138219793,0.2004535518,0.9579671211,0.1937431524,0.2046805138,0.9773624785,6.044161646e-07,5.82226681e-07,0.04189411273,0.9552374143,0.002868472982,0,0
10.24,29.27660723,-0.04164119268,0.2010397337,0.9577131404,0.1943136217,0.2053069981,0.9772268124,5.978594405e-07,5.87714107e-07,0.04215096346,0.9549722429,0.002876793657,0,0
10.264,29.20815062,-0.04190311583,0.2016264359,0.9574487326,0.1948865053,0.2059346759,0.9770817906,5.912244065e-07,5.941074036e-07,0.04240909075,0.9546888255,0.002902083736,0,0
10.288,29.14001341,-0.04216784228,0.2022136837,0.9571746838,0.1954615475,0.2065635514,0.9769281406,5.845130617e-07,6.013879926e-07,0.04266850078,0.9543885918,0.002942907378,0,0
10.312,29.07219337,-0.04243525129,0.2028015024,0.9568917519,0.1960385134,0.2071936291,0.9767665655,5.777279047e-07,6.095310282e-07,0.04292919994,0.9540729235,0.002997876539,0,0
10.336,29.00468827,-0.04270522648,0.2033899172,0.9566006663,0.1966171885,0.2078249138,0.976597744,5.708720141e-07,6.185057869e-07,0.04319119481,0.9537431536,0.003065651639,0,0
10.36,28.93749595,-0.04297765586,0.203978953,0.956302128,0.1971973777,0.2084574109,0.9764223296,5.639491435e-07,6.282761363e-07,0.04345449217,0.9534005657,0.003144942085,0,0
10.384,28.87061421,-0.0432524319,0.2045686342,0.9559968093,0.1977789041,0.209091126,0.976240951,5.569638307e-07,6.388010586e-07,0.04371909898,0.9530463943,0.00323450668,0,0
10.408,28.80404093,-0.04352945153,0.2051589853,0.9556853541,0.1983616086,0.2097260651,0.9760542115,5.499215264e-07,6.500352035e-07,0.04398502239,0.9526818237,0.003333153892,0,0
10.432,28.73777396,-0.04380861612,0.2057500301,0.9553683774,0.1989453488,0.2103622346,0.9758626892,5.428287436e-07,6.619294497e-07,0.04425226973,0.9523079883,0.003439742018,0,0
10.456,28.67181121,-0.04408983152,0.2063417923,0.955046466,0.1995299981,0.2109996409,0.9756669372,5.356932327e-07,6.744314581e-07,0.04452084848,0.9519259723,0.003553179227,0,0
10.48,28.60615057,-0.04437300804,0.206934295,0.9547201783,0.2001154452,0.2116382912,0.9754674829,5.285241863e-07,6.87486204e-07,0.04479076629,0.9515368102,0.003672423498,0,0
10.504,28.54078998,-0.04465806044,0.2075275611,0.9543900446,0.2007015928,0.2122781924,0.9752648289,5.213324774e-07,7.010364772e-07,0.04506203098,0.9511414866,0.003796482456,0,0
10.528,28.47572739,-0.04494490792,0.2081216129,0.9540565673,0.2012883572,0.2129193521,0.9750594527,5.141309389e-07,7.150233475e-07,0.04533465051,0.9507409364,0.00392441311,0,0
10.552,28.41096077,-0.0452334741,0.2087164723,0.9537202213,0.2018756672,0.2135617779,0.9748518069,5.069346894e-07,7.29386593e-07,0.04560863299,0.9503360455,0.004055321499,0,0
