f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.9596405146,0.188771285,0.9565445153
10,1,0,0.2095845022,1,refl,-0.03920573418,0.1951970759,0.03963898803
10.024,1,0,0.210087505,1,trans,0.9595202231,0.1893046252,0.9565152997
10.024,1,0,0.210087505,1,refl,-0.03943205892,0.1957797353,0.03988459203
10.048,1,0,0.2105905078,1,trans,0.9593812257,0.1898437669,0.9564529921
10.048,1,0,0.2105905078,1,refl,-0.03966262239,0.196362683,0.04013142687
10.072,1,0,0.2110935106,1,trans,0.9592245425,0.1903882278,0.9563594003
10.072,1,0,0.2110935106,1,refl,-0.03989726363,0.1969459445,0.0403794967
10.096,1,0,0.2115965134,1,trans,0.9590511702,0.1909375539,0.9562362966
10.096,1,0,0.2115965134,1,refl,-0.04013582527,0.1975295457,0.04062880591
10.12,1,0,0.2120995162,1,trans,0.9588620812,0.1914913184,0.9560854158
10.12,1,0,0.2120995162,1,refl,-0.04037815366,0.1981135125,0.04087935913
10.144,1,0,0.212602519,1,trans,0.9586582231,0.1920491218,0.9559084539
10.144,1,0,0.212602519,1,refl,-0.040624099,0.1986978706,0.04113116122
10.168,1,0,0.2131055218,1,trans,0.9584405178,0.1926105901,0.9557070655
10.168,1,0,0.2131055218,1,refl,-0.04087351539,0.199282646,0.04138421726
10.192,1,0,0.2136085246,1,trans,0.9582098608,0.193175375,0.9554828629
10.192,1,0,0.2136085246,1,refl,-0.04112626096,0.1998678645,0.04163853259
10.216,1,0,0.2141115274,1,trans,0.9579671211,0.1937431524,0.9552374143
10.216,1,0,0.2141115274,1,refl,-0.04138219793,0.2004535518,0.04189411273
10.24,1,0,0.2146145302,1,trans,0.9577131404,0.1943136217,0.9549722429
10.24,1,0,0.2146145302,1,refl,-0.04164119268,0.2010397337,0.04215096346
10.264,1,0,0.2151175331,1,trans,0.9574487326,0.1948865053,0.9546888255
10.264,1,0,0.2151175331,1,refl,-0.04190311583,0.2016264359,0.04240909075
10.288,1,0,0.2156205359,1,trans,0.9571746838,0.1954615475,0.9543885918
10.288,1,0,0.2156205359,1,refl,-0.04216784228,0.2022136837,0.04266850078
10.312,1,0,0.2161235387,1,trans,0.9568917519,0.1960385134,0.9540729235
10.312,1,0,0.2161235387,1,refl,-0.04243525129,0.2028015024,0.04292919994
10.336,1,0,0.2166265415,1,trans,0.9566006663,0.1966171885,0.9537431536
10.336,1,0,0.2166265415,1,refl,-0.04270522648,0.2033899172,0.04319119481
10.36,1,0,0.2171295443,1,trans,0.956302128,0.1971973777,0.9534005657
10.36,1,0,0.2171295443,1,refl,-0.04297765586,0.203978953,0.04345449216
10.384,1,0,0.2176325471,1,trans,0.9559968093,0.1977789041,0.9530463943
10.384,1,0,0.2176325471,1,refl,-0.0432524319,0.2045686342,0.04371909898
10.408,1,0,0.2181355499,1,trans,0.9556853541,0.1983616086,0.9526818237
10.408,1,0,0.2181355499,1,refl,-0.04352945153,0.2051589853,0.04398502239
10.432,1,0,0.2186385527,1,trans,0.9553683774,0.1989453488,0.9523079883
10.432,1,0,0.2186385527,1,refl,-0.04380861612,0.2057500301,0.04425226973
10.456,1,0,0.2191415555,1,trans,0.955046466,0.1995299981,0.9519259723
10.456,1,0,0.2191415555,1,refl,-0.04408983152,0.2063417923,0.04452084848
10.48,1,0,0.2196445583,1,trans,0.9547201783,0.2001154452,0.9515368102
10.48,1,0,0.2196445583,1,refl,-0.04437300804,0.206934295,0.04479076629
10.504,1,0,0.2201475611,1,trans,0.9543900446,0.2007015928,0.9511414866
10.504,1,0,0.2201475611,1,refl,-0.04465806044,0.2075275611,0.04506203098
10.528,1,0,0.2206505639,1,trans,0.9540565673,0.2012883572,0.9507409364
10.528,1,0,0.2206505639,1,refl,-0.04494490792,0.2081216129,0.04533465051
10.552,1,0,0.2211535667,1,trans,0.9537202213,0.2018756672,0.9503360455
10.552,1,0,0.2211535667,1,refl,-0.0452334741,0.2087164723,0.04560863299
10.576,1,0,0.2216565695,1,trans,0.9533814541,0.2024634635,0.9499276511
10.576,1,0,0.2216565695,1,refl,-0.04552368695,0.2093121606,0.04588398666
10.6,1,0,0.2221595723,1,trans,0.9530406864,0.2030516981,0.949516542
10.6,1,0,0.2221595723,1,refl,-0.04581547883,0.2099086987,0.0461607199
10.624,1,0,0.2226625751,1,trans,0.9526983124,0.203640333,0.9491034597
10.624,1,0,0.2226625751,1,refl,-0.04610878637,0.2105061069,0.04643884123
10.648,1,0,0.2231655779,1,trans,0.9523547002,0.2042293402,0.9486890984
10.648,1,0,0.2231655779,1,refl,-0.04640355049,0.2111044049,0.04671835927
10.672,1,0,0.2236685807,1,trans,0.9520101924,0.2048187003,0.9482741064
10.672,1,0,0.2236685807,1,refl,-0.04669971628,0.2117036119,0.04699928278
10.696,1,0,0.2241715835,1,trans,0.9516651064,0.2054084023,0.9478590865
10.696,1,0,0.2241715835,1,refl,-0.04699723303,0.2123037463,0.04728162062
10.72,1,0,0.2246745864,1,trans,0.9513197352,0.2059984429,0.947444597
10.72,1,0,0.2246745864,1,refl,-0.04729605407,0.2129048262,0.04756538175
10.744,1,0,0.2251775892,1,trans,0.9509743476,0.2065888255,0.9470311527
10.744,1,0,0.2251775892,1,refl,-0.04759613679,0.2135068688,0.04785057525
10.768,1,0,0.225680592,1,trans,0.9506291892,0.20717956,0.9466192255
10.768,1,0,0.225680592,1,refl,-0.04789744251,0.2141098907,0.04813721028
10.792,1,0,0.2261835948,1,trans,0.9502844826,0.207770662,0.9462092459
10.792,1,0,0.2261835948,1,refl,-0.04819993644,0.2147139079,0.04842529611
10.816,1,0,0.2266865976,1,trans,0.9499404282,0.2083621522,0.9458016037
10.816,1,0,0.2266865976,1,refl,-0.0485035876,0.2153189357,0.04871484209
10.84,1,0,0.2271896004,1,trans,0.9495972049,0.2089540559,0.945396649
10.84,1,0,0.2271896004,1,refl,-0.0488083687,0.2159249888,0.04900585765
10.864,1,0,0.2276926032,1,trans,0.9492549705,0.2095464027,0.9449946938
10.864,1,0,0.2276926032,1,refl,-0.04911425611,0.2165320812,0.04929835232
10.888,1,0,0.228195606,1,trans,0.9489138626,0.2101392255,0.9445960127
10.888,1,0,0.228195606,1,refl,-0.04942122974,0.217140226,0.0495923357
10.912,1,0,0.2286986088,1,trans,0.9485739993,0.2107325604,0.9442008441
10.912,1,0,0.2286986088,1,refl,-0.04972927297,0.217749436,0.04988781746
10.936,1,0,0.2292016116,1,trans,0.9482354795,0.2113264462,0.9438093915
10.936,1,0,0.2292016116,1,refl,-0.05003837252,0.218359723,0.05018480734
10.96,1,0,0.2297046144,1,trans,0.9478983843,0.2119209238,0.9434218249
10.96,1,0,0.2297046144,1,refl,-0.05034851839,0.2189710983,0.05048331519
10.984,1,0,0.2302076172,1,trans,0.9475627767,0.212516036,0.9430382814
10.984,1,0,0.2302076172,1,refl,-0.05065970375,0.2195835724,0.05078335087
11.008,1,0,0.23071062,1,trans,0.9472287034,0.213111827,0.9426588674
11.008,1,0,0.23071062,1,refl,-0.05097192486,0.2201971554,0.05108492436
11.032,1,0,0.2312136228,1,trans,0.9468961946,0.2137083418,0.9422836587
11.032,1,0,0.2312136228,1,refl,-0.05128518093,0.2208118563,0.05138804568
11.056,1,0,0.2317166256,1,trans,0.9465652652,0.2143056264,0.9419127027
11.056,1,0,0.2317166256,1,refl,-0.05159947404,0.2214276839,0.05169272492
11.08,1,0,0.2322196284,1,trans,0.9462359153,0.2149037269,0.9415460193
11.08,1,0,0.2322196284,1,refl,-0.05191480905,0.2220446461,0.05199897224
11.104,1,0,0.2327226312,1,trans,0.9459081312,0.2155026896,0.9411836019
11.104,1,0,0.2327226312,1,refl,-0.05223119348,0.2226627502,0.05230679788
11.128,1,0,0.233225634,1,trans,0.9455818857,0.2161025604,0.9408254192
11.128,1,0,0.233225634,1,refl,-0.05254863741,0.2232820029,0.05261621212
11.152,1,0,0.2337286368,1,trans,0.9452571391,0.216703385,0.9404714161
11.152,1,0,0.2337286368,1,refl,-0.05286715335,0.2239024105,0.05292722532
11.176,1,0,0.2342316397,1,trans,0.9449338397,0.217305208,0.9401215149
11.176,1,0,0.2342316397,1,refl,-0.0531867562,0.2245239784,0.05323984792
11.2,1,0,0.2347346425,1,trans,0.9446119248,0.2179080733,0.9397756169
11.2,1,0,0.2347346425,1,refl,-0.05350746305,0.2251467117,0.05355409041
11.224,1,0,0.2352376453,1,trans,0.9442913209,0.2185120233,0.9394336031
11.224,1,0,0.2352376453,1,refl,-0.05382929317,0.2257706149,0.05386996335
11.248,1,0,0.2357406481,1,trans,0.9439719449,0.2191170993,0.939095336
11.248,1,0,0.2357406481,1,refl,-0.05415226784,0.2263956919,0.05418747741
11.272,1,0,0.2362436509,1,trans,0.9436537045,0.2197233411,0.9387606606
11.272,1,0,0.2362436509,1,refl,-0.05447641027,0.2270219461,0.05450664329
11.296,1,0,0.2367466537,1,trans,0.9433364988,0.2203307864,0.9384294054
11.296,1,0,0.2367466537,1,refl,-0.05480174548,0.2276493806,0.0548274718
11.32,1,0,0.2372496565,1,trans,0.9430202192,0.2209394714,0.9381013838
11.32,1,0,0.2372496565,1,refl,-0.05512830021,0.2282779979,0.05514997383
11.344,1,0,0.2377526593,1,trans,0.9427047498,0.2215494304,0.9377763954
11.344,1,0,0.2377526593,1,refl,-0.05545610282,0.2289078002,0.05547416033
11.368,1,0,0.2382556621,1,trans,0.9423899683,0.2221606954,0.9374542269
11.368,1,0,0.2382556621,1,refl,-0.05578518318,0.2295387891,0.05580004238
11.392,1,0,0.2387586649,1,trans,0.9420757463,0.2227732962,0.9371346532
11.392,1,0,0.2387586649,1,refl,-0.05611557257,0.2301709661,0.05612763112
11.416,1,0,0.2392616677,1,trans,0.9417619501,0.2233872607,0.9368174389
11.416,1,0,0.2392616677,1,refl,-0.05644730358,0.2308043322,0.05645693782
11.44,1,0,0.2397646705,1,trans,0.9414484414,0.2240026143,0.9365023391
11.44,1,0,0.2397646705,1,refl,-0.05678041,0.231438888,0.05678797383
11.464,1,0,0.2402676733,1,trans,0.9411350777,0.22461938,0.9361891004
11.464,1,0,0.2402676733,1,refl,-0.05711492676,0.232074634,0.05712075062
11.488,1,0,0.2407706761,1,trans,0.9408217129,0.2252375785,0.9358774622
11.488,1,0,0.2407706761,1,refl,-0.0574508898,0.2327115705,0.05745527978
11.512,1,0,0.2412736789,1,trans,0.9405081978,0.2258572282,0.9355671576
11.512,1,0,0.2412736789,1,refl,-0.05778833598,0.2333496973,0.057791573
11.536,1,0,0.2417766817,1,trans,0.9401943808,0.226478345,0.9352579145
11.536,1,0,0.2417766817,1,refl,-0.05812730302,0.2339890142,0.05812964212
11.56,1,0,0.2422796845,1,trans,0.9398801085,0.2271009424,0.9349494564
11.56,1,0,0.2422796845,1,refl,-0.05846782935,0.2346295208,0.05846949911
11.584,1,0,0.2427826873,1,trans,0.9395652257,0.2277250317,0.9346415035
11.584,1,0,0.2427826873,1,refl,-0.05880995411,0.2352712166,0.05881115606
11.608,1,0,0.2432856901,1,trans,0.9392495766,0.2283506216,0.9343337734
11.608,1,0,0.2432856901,1,refl,-0.05915371698,0.2359141009,0.05915462523
11.632,1,0,0.243788693,1,trans,0.9389330045,0.2289777186,0.9340259825
11.632,1,0,0.243788693,1,refl,-0.05949915815,0.236558173,0.05949991903
11.656,1,0,0.2442916958,1,trans,0.938615353,0.229606327,0.9337178463
11.656,1,0,0.2442916958,1,refl,-0.05984631822,0.2372034321,0.05984705002
11.68,1,0,0.2447946986,1,trans,0.938296466,0.2302364488,0.9334090804
11.68,1,0,0.2447946986,1,refl,-0.06019523813,0.2378498775,0.06019603094
11.704,1,0,0.2452977014,1,trans,0.9379761881,0.2308680839,0.9330994016
11.704,1,0,0.2452977014,1,refl,-0.06054595907,0.2384975084,0.06054687468
11.728,1,0,0.2458007042,1,trans,0.9376543652,0.2315012302,0.9327885282
11.728,1,0,0.2458007042,1,refl,-0.06089852243,0.2391463241,0.06089959436
11.752,1,0,0.246303707,1,trans,0.9373308449,0.2321358835,0.9324761812
11.752,1,0,0.246303707,1,refl,-0.06125296973,0.2397963239,0.06125420324
11.776,1,0,0.2468067098,1,trans,0.9370054765,0.2327720376,0.9321620845
11.776,1,0,0.2468067098,1,refl,-0.06160934252,0.2404475072,0.06161071482
11.8,1,0,0.2473097126,1,trans,0.9366781118,0.2334096848,0.9318459661
11.8,1,0,0.2473097126,1,refl,-0.06196768234,0.2410998738,0.06196914279
11.824,1,0,0.2478127154,1,trans,0.9363486052,0.2340488155,0.9315275585
11.824,1,0,0.2478127154,1,refl,-0.06232803067,0.2417534232,0.06232950104
11.848,1,0,0.2483157182,1,trans,0.9360168139,0.2346894184,0.9312065991
11.848,1,0,0.2483157182,1,refl,-0.06269042886,0.2424081555,0.06269180372
11.872,1,0,0.248818721,1,trans,0.9356825986,0.2353314809,0.9308828311
11.872,1,0,0.248818721,1,refl,-0.06305491805,0.2430640708,0.06305606519
11.896,1,0,0.2493217238,1,trans,0.9353458231,0.235974989,0.9305560041
11.896,1,0,0.2493217238,1,refl,-0.06342153915,0.2437211694,0.06342230004
11.92,1,0,0.2498247266,1,trans,0.9350063552,0.2366199272,0.9302258742
11.92,1,0,0.2498247266,1,refl,-0.06379033278,0.244379452,0.06379052313
11.944,1,0,0.2503277294,1,trans,0.9346640667,0.2372662793,0.9298922048
11.944,1,0,0.2503277294,1,refl,-0.06416133924,0.2450389196,0.06416074956
11.968,1,0,0.2508307322,1,trans,0.9343188333,0.2379140276,0.9295547668
11.968,1,0,0.2508307322,1,refl,-0.0645345984,0.2456995733,0.06453299471
11.992,1,0,0.251333735,1,trans,0.9339705354,0.238563154,0.9292133395
11.992,1,0,0.251333735,1,refl,-0.06491014976,0.2463614148,0.06490727423
12.016,1,0,0.2518367378,1,trans,0.9336190578,0.2392136391,0.9288677103
12.016,1,0,0.2518367378,1,refl,-0.06528803232,0.2470244459,0.06528360405
12.04,1,0,0.2523397406,1,trans,0.9332642899,0.2398654635,0.9285176754
12.04,1,0,0.2523397406,1,refl,-0.06566828461,0.247688669,0.06566200038
12.064,1,0,0.2528427434,1,trans,0.9329061261,0.2405186067,0.9281630404
12.064,1,0,0.2528427434,1,refl,-0.06605094461,0.2483540868,0.06604247974
12.088,1,0,0.2533457463,1,trans,0.9325444657,0.2411730482,0.9278036197
12.088,1,0,0.2533457463,1,refl,-0.06643604976,0.2490207024,0.06642505895
12.112,1,0,0.2538487491,1,trans,0.932179213,0.2418287673,0.9274392378
12.112,1,0,0.2538487491,1,refl,-0.06682363689,0.2496885194,0.06680975515
12.136,1,0,0.2543517519,1,trans,0.9318102775,0.2424857429,0.9270697287
12.136,1,0,0.2543517519,1,refl,-0.06721374226,0.2503575416,0.0671965858
12.16,1,0,0.2548547547,1,trans,0.9314375739,0.2431439542,0.9266949365
12.16,1,0,0.2548547547,1,refl,-0.06760640148,0.2510277737,0.0675855687
12.184,1,0,0.2553577575,1,trans,0.9310610221,0.2438033805,0.9263147152
12.184,1,0,0.2553577575,1,refl,-0.0680016495,0.2516992205,0.06797672195
12.208,1,0,0.2558607603,1,trans,0.9306805475,0.2444640012,0.9259289294
12.208,1,0,0.2558607603,1,refl,-0.06839952066,0.2523718875,0.06837006404
12.232,1,0,0.2563637631,1,trans,0.9302960805,0.2451257965,0.9255374535
12.232,1,0,0.2563637631,1,refl,-0.06880004857,0.2530457806,0.06876561378
12.256,1,0,0.2568667659,1,trans,0.9299075571,0.2457887467,0.9251401727
12.256,1,0,0.2568667659,1,refl,-0.06920326619,0.2537209063,0.06916339036
12.28,1,0,0.2573697687,1,trans,0.9295149184,0.2464528329,0.9247369823
12.28,1,0,0.2573697687,1,refl,-0.06960920581,0.2543972716,0.06956341332
12.304,1,0,0.2578727715,1,trans,0.9291181108,0.2471180372,0.9243277882
12.304,1,0,0.2578727715,1,refl,-0.070017899,0.2550748839,0.06996570258
12.328,1,0,0.2583757743,1,trans,0.9287170861,0.2477843423,0.9239125063
12.328,1,0,0.2583757743,1,refl,-0.07042937665,0.2557537514,0.07037027844
12.352,1,0,0.2588787771,1,trans,0.9283118011,0.2484517318,0.9234910631
12.352,1,0,0.2588787771,1,refl,-0.07084366897,0.2564338826,0.07077716157
12.376,1,0,0.2593817799,1,trans,0.9279022177,0.2491201908,0.9230633951
12.376,1,0,0.2593817799,1,refl,-0.07126080548,0.2571152867,0.07118637305
12.4,1,0,0.2598847827,1,trans,0.9274883029,0.2497897051,0.9226294489
12.4,1,0,0.2598847827,1,refl,-0.07168081502,0.2577979734,0.07159793435
12.424,1,0,0.2603877855,1,trans,0.9270700287,0.2504602622,0.922189181
12.424,1,0,0.2603877855,1,refl,-0.07210372577,0.2584819531,0.07201186734
12.448,1,0,0.2608907883,1,trans,0.9266473716,0.2511318508,0.9217425578
12.448,1,0,0.2608907883,1,refl,-0.07252956525,0.2591672365,0.0724281943
12.472,1,0,0.2613937911,1,trans,0.9262203132,0.2518044608,0.921289555
12.472,1,0,0.2613937911,1,refl,-0.07295836035,0.259853835,0.07284693792
12.496,1,0,0.2618967939,1,trans,0.9257888394,0.2524780841,0.920830158
12.496,1,0,0.2618967939,1,refl,-0.07339013731,0.2605417607,0.0732681213
12.52,1,0,0.2623997967,1,trans,0.9253529406,0.2531527139,0.9203643612
12.52,1,0,0.2623997967,1,refl,-0.07382492179,0.2612310259,0.07369176799
12.544,1,0,0.2629027996,1,trans,0.9249126115,0.2538283452,0.9198921677
12.544,1,0,0.2629027996,1,refl,-0.07426273885,0.2619216439,0.07411790193
12.568,1,0,0.2634058024,1,trans,0.924467851,0.2545049745,0.9194135895
