lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,25.35125282,6.551609707e-16,1.825113405e-14,-0.04745352398,0.1999855315,0.9545133039,0.1925192943,0.2055384386,0.9737347308,2.160633197e-15,1.968485832e-15,0.04224604975,0.948159326,0.009594624213,1,0,0,0.2192342415,1.009114423,6.900042489,7.315236361,-0.4151938725
27.25385982,11,3,18.58885988,7.151848525e-16,7.34867509e-15,-0.06178463945,0.229201548,0.9402807127,0.2212528621,0.2373830054,0.9659609969,1.818248662e-15,1.744264408e-15,0.05635069126,0.9330806476,0.01056866114,1,0,0,0.2589728784,1.007979195,11.96453606,11.97829081,-0.01375474765
24.98270483,12,3,16.13087681,8.617004355e-16,6.35037306e-15,-0.07748748046,0.2544283818,0.9223074355,0.2497219954,0.2659663721,0.9555166563,1.651472881e-15,1.879904346e-15,0.07073811111,0.9130120805,0.01624980836,1,0,0,0.297596527,1.00335207,20.17785555,19.03600498,1.141850571
23.06095831,13,3,15.96288551,6.488212455e-16,1.743368562e-13,-0.09078892351,0.2750036889,0.9068872517,0.2752588848,0.2896025856,0.9477404397,1.170992782e-15,1.511627714e-15,0.08386965756,0.898211941,0.01791840141,1,0,0,0.338001604,0.9942482513,32.19757842,29.59911954,2.598458873
21.413747,14,3,17.41864866,4.963561423e-16,9.057980127e-13,-0.1087744034,0.3005409048,0.8898886376,0.2984140168,0.3196196275,0.9385908122,9.527335294e-16,1.180515486e-15,0.1021567063,0.8809527127,0.01689058101,1,0,0,0.3908978639,0.9784788739,49.62850389,45.70591771,3.922586181
19.98616387,15,3,22.43425023,7.131980724e-16,3.709348563e-13,-0.1396123937,0.3370551729,0.8608366562,0.3245194579,0.3648257256,0.9199742535,8.613879212e-16,1.010911689e-15,0.13309781,0.8463526272,0.02054956279,1,0,0,0.45956642,0.9514277072,75.54090153,70.15279837,5.388103153
18.73702863,16,3,46.81763314,6.916092022e-16,4.600584729e-13,-0.1919480799,0.3771990395,0.8095060049,0.3561771385,0.4232294659,0.8843993024,1.51712504e-15,1.545774461e-15,0.1791231808,0.7821621261,0.03871469317,1,0,0,0.5340691955,0.9075833654,112.6778073,104.9933027,7.684504601
17.63485047,17,3,89.04149058,6.953406387e-16,1.377025416e-14,-0.1837743109,0.3710747831,0.8195953367,0.355580166,0.414088749,0.8934057143,1.435029113e-15,7.523066086e-16,0.171469492,0.7981737704,0.03035673757,1,0,0,0.6014323112,0.842837428,161.0253922,149.912567,11.11282523
16.65513656,18,3,31.10607508,8.014376341e-16,3.29530426e-15,-0.2693719968,0.4228672245,0.7315444672,0.4123659008,0.5013760686,0.8397636236,7.82036609e-16,1.04636597e-15,0.2513779622,0.7052029436,0.04341909419,1,0,0,0.6579814223,0.7547818306,217.0422954,202.3103501,14.73194526
15.77855042,19,3,91.29375671,9.164986685e-16,2.443751516e-12,-0.3749264837,0.4311462155,0.6269456221,0.4123529421,0.5713640935,0.7503970695,1.953574559e-15,2.187647382e-15,0.3463095372,0.5890841824,0.06460628041,5,0.01985260988,0.02598842044,0.7073471641,0.6459755075,271.958545,254.7818024,17.17674252
14.9896229,20,3,43.87581149,5.711449899e-16,9.319557093e-12,-0.4637730583,0.4042132316,0.5387583233,0.3894545347,0.6152022319,0.6647821941,9.859343492e-16,1.388429309e-15,0.4222325205,0.4942585084,0.08350897106,5,0.04375873436,0.05232314281,0.7342928981,0.5301827603,318.7531895,298.8706909,19.88249862
14.27583133,21,3,45.03106631,6.919452726e-16,2.07806675e-12,-0.6119718505,0.310972372,0.3870641916,0.2976034809,0.6864498248,0.4882484207,1.265887774e-15,1.25292896e-15,0.5524117145,0.3190403013,0.1285479842,5,0.08119835247,0.08065378103,0.7525422756,0.424480591,353.1003352,330.3822056,22.71812965
13.62692991,22,3,68.92830309,1.404782712e-15,2.784237878e-12,-0.3696796741,-0.01216403855,0.6268213353,-0.02606494916,0.3698797443,0.6273630272,4.948694703e-15,4.857702923e-15,0.2198408815,0.4773978949,0.3027612236,5,0.08302985623,0.08381352693,0.758527159,0.3281312315,374.8547484,350.7163975,24.13835094
13.0344547,23,3,27.74230967,6.450414553e-16,2.474693147e-13,-0.3867343039,0.404012345,0.6098520568,0.3875603697,0.5592757788,0.7225804948,1.227543274e-15,1.191540788e-15,0.338598431,0.5477020331,0.1136995359,5,0.02580903423,0.0255794617,0.7537153851,0.2649015679,383.5548097,358.8624851,24.69232468
12.49135242,24,3,14.65818202,5.946157396e-16,1.906633467e-14,-0.6094947356,0.4017400723,0.3870365705,0.3840044137,0.7299855604,0.5452125243,2.443693515e-16,3.497857649e-16,0.5654673145,0.3304813067,0.1040513788,5,0.03258839607,0.03322461007,0.7377452463,0.2600860863,379.1118718,354.6743573,24.43751451
11.99169832,25,3,12.16859615,9.345775285e-16,2.97251545e-14,-0.7699302492,0.2945320745,0.226725669,0.2754772444,0.8243432123,0.3567803823,4.690005929e-16,6.054018284e-16,0.7153121555,0.1650349483,0.1196528961,5,0.03577042391,0.03774270715,0.7114242219,0.3107433691,362.9212917,339.331296,23.58999567
11.53047915,26,3,328.0391134,1.07289958e-15,1.261555808e-11,-0.867664567,0.1080357421,0.1293435517,0.08802681713,0.8743646393,0.1564559839,9.883489522e-16,1.136605618e-15,0.8005380372,0.06355298449,0.1359089783,5,0.03602451474,0.0390745096,0.676757615,0.387118714,337.8191215,315.46764,22.35148141
11.10342437,27,3,18.14821713,6.111196003e-16,1.935802645e-11,-0.7885627199,-0.07188386094,0.2087310341,-0.09224037703,0.7918323387,0.2282037067,1.014870118e-16,2.840439619e-16,0.7234788704,0.1510443975,0.1254767321,9,0.09648041774,0.09896746575,0.6364364787,0.467579551,307.3455217,286.4308125,20.91470919
10.7068735,28,3,8.199273457,6.4363756e-16,3.651134475e-11,-0.7467760504,-0.1646552237,0.2500273979,-0.1851095897,0.7647128952,0.3110936513,1.281368767e-16,4.958453041e-17,0.6807983945,0.1954416286,0.1237599768,9,0.09601258245,0.09866236874,0.5932168714,0.5425292986,274.8536797,255.4273889,19.42629071
10.33767097,29,3,5.615382416,4.56744116e-16,8.02953028e-12,-0.6839884936,-0.258962997,0.312033303,-0.2798764087,0.7313700111,0.4191605734,5.087998922e-16,3.375334465e-16,0.6180844959,0.2620299033,0.1198856007,9,0.08318240272,0.08633431703,0.549501789,0.6085869473,242.8958395,224.9544874,17.94135209
9.993081933,30,3,4.378279408,5.192042085e-16,1.872167658e-11,-0.5983021211,-0.3304647683,0.3971247791,-0.352274507,0.6835001033,0.5308534812,1.446162535e-16,1.411266708e-16,0.5354617885,0.3531709943,0.1113672172,9,0.06828939726,0.07136557579,0.5068456217,0.665344351,212.969268,196.4782096,16.4910584
9.670724452,31,3,3.635230271,4.326249233e-16,3.368639607e-12,-0.5037593206,-0.3713457503,0.4916128841,-0.3942802558,0.6258363359,0.6301905648,2.328787317e-16,2.417628809e-16,0.4462431774,0.4541728633,0.09958395927,9,0.05457205804,0.05703271535,0.4660534136,0.7135773588,185.7661422,170.6395782,15.12656396
9.368514313,32,3,3.416460156,4.533118056e-16,3.791145688e-11,-0.4129094196,-0.3847967869,0.5828259015,-0.4087927553,0.5644136391,0.7118971472,2.723573163e-12,2.720564517e-12,0.3617423661,0.5517010617,0.08655657219,9,0.04317961009,0.04490351353,0.4273092541,0.7544529347,161.4609205,147.6001232,13.86079735
9.084619939,33,3,3.934914089,3.929744718e-16,3.31631818e-11,-0.3323863997,-0.3779546636,0.6638449431,-0.4028276582,0.5033194278,0.7765051388,1.089882001e-12,1.086460737e-12,0.2875683389,0.6383693754,0.07406228565,9,0.0342378925,0.03540914477,0.3904206772,0.7891398193,139.9192097,127.1762046,12.74300508
8.817425235,34,3,5.493234943,4.267491354e-16,7.389662511e-11,-0.2641862503,-0.3578892915,0.7323669343,-0.3834395714,0.4448360595,0.8266723845,1.973878746e-13,1.971731941e-13,0.2254036338,0.711731142,0.06286522419,9,0.02752451394,0.02834391068,0.3552665094,0.8186716917,120.92019,109.1919404,11.72824953
