lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-1.667780525e-15,1.04567901e-15,0.9545133039,0.1925192943,0.948159326
29.9792458,10,refl,0,0,0.2095845022,-1.5818136e-15,1.471802143e-15,-0.04745352398,0.1999855315,0.04224604975
29.60913165,10.125,trans,0,0,0.2122043085,-1.60646776e-15,1.061177984e-15,0.9522826847,0.1974349904,0.9458228871
29.60913165,10.125,refl,0,0,0.2122043085,-1.49418598e-15,1.460829782e-15,-0.04973305286,0.2047515392,0.04439656934
29.24804468,10.25,trans,0,0,0.2148241148,-1.640869843e-15,1.04044109e-15,0.9501767706,0.2018519158,0.9435800913
29.24804468,10.25,refl,0,0,0.2148241148,-1.524505611e-15,1.424119449e-15,-0.05189792799,0.2091169017,0.04642327349
28.8956586,10.375,trans,0,0,0.217443921,-1.580801813e-15,1.044646216e-15,0.9481960701,0.2058524361,0.9414510129
28.8956586,10.375,refl,0,0,0.217443921,-1.431542672e-15,1.431854213e-15,-0.05392727506,0.2131390272,0.04833639589
28.55166267,10.5,trans,0,0,0.2200637273,-1.529156357e-15,1.055528109e-15,0.9463446704,0.2094948302,0.939456319
28.55166267,10.5,refl,0,0,0.2200637273,-1.378703963e-15,1.450056125e-15,-0.05580846589,0.2168567529,0.05014143614
28.21576075,10.625,trans,0,0,0.2226835336,-1.540343104e-15,1.013853901e-15,0.9446260796,0.2128234449,0.9376122489
28.21576075,10.625,refl,0,0,0.2226835336,-1.376344789e-15,1.402802551e-15,-0.05753525706,0.2202994626,0.05184215903
27.88767051,10.75,trans,0,0,0.2253033399,-1.463263744e-15,1.001578862e-15,0.9430423746,0.2158738088,0.9359304216
27.88767051,10.75,refl,0,0,0.2253033399,-1.275482744e-15,1.396946887e-15,-0.05910580017,0.2234911835,0.05344180473
27.56712257,10.875,trans,0,0,0.2279231461,-1.502762003e-15,9.31560285e-16,0.9415941614,0.2186753329,0.9344184659
27.56712257,10.875,refl,0,0,0.2279231461,-1.306773973e-15,1.332131898e-15,-0.06052121421,0.2264525078,0.05494355565
27.25385982,11,trans,0,0,0.2305429524,-1.488678978e-15,9.090067251e-16,0.9402807127,0.2212528621,0.9330806476
27.25385982,11,refl,0,0,0.2305429524,-1.260571052e-15,1.3103392e-15,-0.06178463945,0.229201548,0.05635069126
26.94763667,11.125,trans,0,0,0.2331627587,-1.5425404e-15,8.546266928e-16,0.9373200936,0.2257733354,0.9295425569
26.94763667,11.125,refl,0,0,0.2331627587,-1.301516511e-15,1.223692237e-15,-0.06454698996,0.2332201731,0.05855796305
26.64821849,11.25,trans,0,0,0.235782565,-1.50175106e-15,8.440690806e-16,0.9345562425,0.2299779401,0.9262852233
26.64821849,11.25,refl,0,0,0.235782565,-1.240013957e-15,1.194639888e-15,-0.06705954586,0.2369611738,0.06064758057
26.35538092,11.375,trans,0,0,0.2384023712,-1.685046962e-15,7.610321242e-16,0.9319976834,0.2338886584,0.9233235865
26.35538092,11.375,refl,0,0,0.2384023712,-1.407118614e-15,1.07318005e-15,-0.06933249734,0.240438605,0.06261771796
26.06890939,11.5,trans,0,0,0.2410221775,-1.765973422e-15,7.115277176e-16,0.9296484683,0.2375263554,0.9206650442
26.06890939,11.5,refl,0,0,0.2410221775,-1.455575438e-15,1.002405944e-15,-0.07137650806,0.2436681437,0.06446877016
25.78859854,11.625,trans,0,0,0.2436419838,-1.825296491e-15,6.929742045e-16,0.927508847,0.2409107104,0.9183106317
25.78859854,11.625,refl,0,0,0.2436419838,-1.506295994e-15,9.471816432e-16,-0.07320263338,0.2466660529,0.06620276721
25.51425174,11.75,trans,0,0,0.2462617901,-1.693117204e-15,7.082613171e-16,0.9255759633,0.2440601746,0.9162562327
25.51425174,11.75,refl,0,0,0.2462617901,-1.35840139e-15,9.282496212e-16,-0.07482220014,0.2494484815,0.06782290654
25.24568067,11.875,trans,0,0,0.2488815964,-1.873835252e-15,6.469784618e-16,0.9238445284,0.2469919506,0.9144937363
25.24568067,11.875,refl,0,0,0.2488815964,-1.53891128e-15,8.305051314e-16,-0.07624666672,0.2520310104,0.0693331844
24.98270483,12,trans,0,0,0.2515014026,-1.731761443e-15,7.31466099e-16,0.9223074355,0.2497219954,0.9130120805
24.98270483,12,refl,0,0,0.2515014026,-1.394522957e-15,8.846854796e-16,-0.07748748046,0.2544283818,0.07073811111
24.72515118,12.125,trans,0,0,0.2541212089,-1.629978652e-15,7.151846479e-16,0.9195180203,0.2536941463,0.9098741095
24.72515118,12.125,refl,0,0,0.2541212089,-1.29405323e-15,8.144121417e-16,-0.07990022399,0.2576899553,0.07278815885
24.47285371,12.25,trans,0,0,0.2567410152,-1.610851592e-15,6.874221283e-16,0.9170116698,0.2573987057,0.9071644963
24.47285371,12.25,refl,0,0,0.2567410152,-1.263176248e-15,7.542766958e-16,-0.08206635336,0.2607098066,0.07470448959
24.22565317,12.375,trans,0,0,0.2593608215,-1.543187232e-15,7.459181742e-16,0.9147688651,0.2608615144,0.9048508062
24.22565317,12.375,refl,0,0,0.2593608215,-1.22591857e-15,7.623763203e-16,-0.08400363162,0.2635142306,0.07649635987
23.98339664,12.5,trans,0,0,0.2619806277,-1.440363009e-15,7.258015128e-16,0.9127708428,0.2641053467,0.9029022456
23.98339664,12.5,refl,0,0,0.2619806277,-1.130648388e-15,7.059523146e-16,-0.0857284339,0.266125984,0.07817240373
23.74593727,12.625,trans,0,0,0.264600434,-1.476746983e-15,7.276915727e-16,0.9109998101,0.2671502736,0.9012899227
23.74593727,12.625,refl,0,0,0.264600434,-1.173742808e-15,6.735707053e-16,-0.08725588979,0.2685647694,0.07974062568
23.51313396,12.75,trans,0,0,0.2672202403,-1.382419746e-15,7.578394958e-16,0.9094390608,0.270014011,0.8999869715
23.51313396,12.75,refl,0,0,0.2672202403,-1.051788143e-15,6.678068903e-16,-0.08859999101,0.2708476882,0.08120842862
