lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,108.1336785,1.011130095e-15,1.825113405e-14,-0.114014217,0.2987395667,0.8797638941,0.2918983807,0.319757049,0.9269245784,5.734465553e-15,5.532869616e-15,0.1022445704,0.859189174,0.0385662556,1,0,0,0.3665398995,1.006751952,29.61648811,26.23778907,3.378699035
27.25385982,11,3,84.86189967,7.485626036e-16,7.34867509e-15,-0.145163467,0.3404654892,0.8503189145,0.3318433977,0.3701204959,0.9127772439,5.804662748e-15,5.918385269e-15,0.1369891815,0.8331622969,0.02984852163,1,0,0,0.4433370139,0.9955675985,50.64459867,46.25768821,4.386910465
24.98270483,12,3,82.70951852,9.007136955e-16,6.35037306e-15,-0.1881939716,0.3752860889,0.8069527006,0.3729979457,0.4198292741,0.8889882612,6.049091886e-15,6.190203065e-15,0.1762566194,0.7903001285,0.03344325205,1,0,0,0.5239487357,0.9682814215,85.82036265,79.6640294,6.15633325
23.06095831,13,3,92.52329612,7.527110347e-16,1.743368562e-13,-0.2493520011,0.4034124923,0.7461789673,0.4105893535,0.4742552682,0.8516846062,5.583467746e-15,5.948598292e-15,0.2249180594,0.7253666684,0.0497152722,1,0,0,0.6103417842,0.9096902686,141.5711856,132.2528746,9.318311024
21.413747,14,3,119.1805015,8.532187321e-16,9.057980127e-13,-0.3532327435,0.4287848619,0.6439739403,0.431294943,0.5555446237,0.7750598452,5.280460025e-15,5.583854985e-15,0.3086298289,0.6007177637,0.09065240744,1,0,0,0.698105897,0.8031656025,217.1742499,203.3885401,13.78570982
19.98616387,15,3,219.7465827,1.095659126e-15,3.709348563e-13,-0.5788042396,0.3344264788,0.4175285746,0.3200384535,0.6684724508,0.5260748258,2.783366182e-15,2.905967646e-15,0.4468554175,0.2767547224,0.2763898601,1,0,0,0.7560325288,0.6549204175,290.8702293,272.641833,18.22839625
18.73702863,16,3,157.9159263,8.718241807e-16,4.600584729e-13,-0.1795415586,0.3054411869,0.8243363545,0.2837601571,0.3543014112,0.8718086098,6.936824233e-15,6.420031385e-15,0.12552949,0.7600502522,0.1144202579,1,0,0,0.7606828472,0.5138860904,333.7242594,312.3857029,21.33855653
17.63485047,17,3,51.38950848,8.134428391e-16,1.377025416e-14,-0.4549570764,0.4660076104,0.5460497757,0.4546106852,0.6512672526,0.7105218031,1.959630244e-15,1.753572204e-15,0.4241490343,0.5048412326,0.07100973312,1,0,0,0.7352462991,0.423325756,346.9827089,324.2870553,22.69565362
16.65513656,18,3,156.007391,1.021461523e-15,3.29530426e-15,-0.7635326262,0.3228623904,0.2348788735,0.3230204444,0.8289886576,0.3993873968,2.365487256e-15,2.317363264e-15,0.6872221944,0.1595102927,0.1532675129,1,0,0,0.7148462219,0.370137482,350.9124295,328.3428852,22.56954423
15.77855042,19,3,127.0019224,1.019812245e-15,2.443751516e-12,-0.4185690578,-0.06175695444,0.5755339612,-0.07921933704,0.4231004344,0.5809604495,6.842080844e-16,1.186718082e-15,0.3933340928,0.5148589537,0.09180695343,5,0.2143201152,0.1773439099,0.7049675407,0.3343378752,352.3731876,330.8534151,21.51977245
