lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-5.515964882e-15,-4.321777519e-16,0.8797638941,0.2918983807,0.859189174
29.9792458,10,refl,0,0,0.2095845022,-5.734414874e-15,-2.410893481e-17,-0.114014217,0.2987395667,0.1022445704
29.24804468,10.25,trans,0,0,0.2148241148,-5.913164538e-15,-1.873964129e-16,0.8697050366,0.3040658905,0.8488429165
29.24804468,10.25,refl,0,0,0.2148241148,-5.940723399e-15,3.018003486e-16,-0.1249362819,0.3113459356,0.1125453661
28.55166267,10.5,trans,0,0,0.2200637273,-5.838356065e-15,2.03750488e-16,0.8616752401,0.3145954587,0.841454522
28.55166267,10.5,refl,0,0,0.2200637273,-5.741204082e-15,7.404823059e-16,-0.133434462,0.3223661171,0.1217246691
27.88767051,10.75,trans,0,0,0.2253033399,-6.003703638e-15,3.269071771e-16,0.8552933624,0.3237610738,0.8363479687
27.88767051,10.75,refl,0,0,0.2253033399,-5.901790963e-15,8.792247546e-16,-0.1400628482,0.331987732,0.1298334556
27.25385982,11,trans,0,0,0.2305429524,-5.905737495e-15,3.86715443e-16,0.8503189145,0.3318433977,0.8331622969
27.25385982,11,refl,0,0,0.2305429524,-5.729899891e-15,9.286317162e-16,-0.145163467,0.3404654892,0.1369891815
26.64821849,11.25,trans,0,0,0.235782565,-6.084509467e-15,6.042619383e-16,0.8361724646,0.3431925227,0.8169654981
26.64821849,11.25,refl,0,0,0.235782565,-5.821481076e-15,1.046541146e-15,-0.1591967052,0.350351814,0.1480899846
26.06890939,11.5,trans,0,0,0.2410221775,-6.054758704e-15,1.038548251e-15,0.8243120703,0.3537300705,0.804615352
26.06890939,11.5,refl,0,0,0.2410221775,-5.820001515e-15,1.400608327e-15,-0.1709381705,0.35927822,0.1583006975
25.51425174,11.75,trans,0,0,0.2462617901,-5.979386742e-15,1.448357287e-15,0.81464047,0.3636144899,0.7958545926
25.51425174,11.75,refl,0,0,0.2462617901,-5.708560058e-15,1.710224927e-15,-0.1805314238,0.3675120909,0.1676567319
24.98270483,12,trans,0,0,0.2515014026,-5.921313308e-15,1.804622589e-15,0.8069527006,0.3729979457,0.7903001285
24.98270483,12,refl,0,0,0.2515014026,-5.707424734e-15,2.004199478e-15,-0.1881939716,0.3752860889,0.1762566194
24.47285371,12.25,trans,0,0,0.2567410152,-6.082403206e-15,1.621505601e-15,0.788019341,0.3815075528,0.7665224947
24.47285371,12.25,refl,0,0,0.2567410152,-5.791570505e-15,1.743098903e-15,-0.2070879335,0.381097359,0.1881206092
23.98339664,12.5,trans,0,0,0.2619806277,-5.953434568e-15,1.446291205e-15,0.771893375,0.3905599934,0.7483564908
23.98339664,12.5,refl,0,0,0.2619806277,-5.669310674e-15,1.486689907e-15,-0.2232756726,0.3876457954,0.2001212887
23.51313396,12.75,trans,0,0,0.2672202403,-6.001451645e-15,1.408632329e-15,0.758087786,0.400224158,0.734876468
23.51313396,12.75,refl,0,0,0.2672202403,-5.667542261e-15,1.39733984e-15,-0.2372275382,0.395047714,0.2123396012
23.06095831,13,trans,0,0,0.2724598529,-5.772416043e-15,1.43702285e-15,0.7461789673,0.4105893535,0.7253666684
23.06095831,13,refl,0,0,0.2724598529,-5.411937838e-15,1.373332044e-15,-0.2493520011,0.4034124923,0.2249180594
22.62584589,13.25,trans,0,0,0.2776994654,-5.908885838e-15,5.037944557e-16,0.7199061483,0.4123394525,0.6882886865
22.62584589,13.25,refl,0,0,0.2776994654,-5.565471175e-15,5.048977402e-16,-0.2760040143,0.4062685578,0.2412323569
22.20684874,13.5,trans,0,0,0.282939078,-5.668663585e-15,-3.999460084e-16,0.6948561863,0.4163187516,0.6561464226
22.20684874,13.5,refl,0,0,0.282939078,-5.297430325e-15,-3.696319134e-16,-0.3014701006,0.4113995177,0.2601337847
21.80308785,13.75,trans,0,0,0.2881786905,-5.470812942e-15,-1.236903874e-15,0.6699840066,0.4225826745,0.6274546858
21.80308785,13.75,refl,0,0,0.2881786905,-5.116032684e-15,-1.166539589e-15,-0.3267788153,0.4188479361,0.2822179877
