lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,108.1336785,1.011130095e-15,1.825113405e-14,-0.114014217,0.2987395667,0.8797638941,0.2918983807,0.319757049,0.9269245784,5.734465553e-15,5.532869616e-15,0.1022445704,0.859189174,0.0385662556,1,0,0,0.3665398995,1.006751952,29.61648811,26.23778907,3.378699035
29.24804468,10.25,3,101.2542248,8.446636657e-16,5.973030247e-15,-0.1249362819,0.3113459356,0.8697050366,0.3040658905,0.3354778176,0.9213267154,5.948384482e-15,5.91613322e-15,0.1125453661,0.8488429165,0.03861171735,1,0,0,0.3891250941,1.003033465,35.72383788,30.99694959,4.726888292
28.55166267,10.5,3,95.26377946,9.184784758e-16,7.520836994e-14,-0.133434462,0.3223661171,0.8616752401,0.3145954587,0.3488906262,0.9173083026,5.788759656e-15,5.841910287e-15,0.1217246691,0.841454522,0.03682080893,1,0,0,0.4093057195,1.000035681,41.22288095,35.94675689,5.27612406
27.88767051,10.75,3,89.86607732,6.726440055e-16,2.39405228e-14,-0.1400628482,0.331987732,0.8552933624,0.3237610738,0.360324098,0.9145206223,5.966923222e-15,6.012597249e-15,0.1298334556,0.8363479687,0.03381857571,1,0,0,0.4273065667,0.9975908368,46.177692,41.04547495,5.132217048
27.25385982,11,3,84.86189967,7.485626036e-16,7.34867509e-15,-0.145163467,0.3404654892,0.8503189145,0.3318433977,0.3701204959,0.9127772439,5.804662748e-15,5.918385269e-15,0.1369891815,0.8331622969,0.02984852163,1,0,0,0.4433370139,0.9955675985,50.64459867,46.25768821,4.386910465
26.64821849,11.25,3,84.79172655,8.01326582e-16,2.691307231e-13,-0.1591967052,0.350351814,0.8361724646,0.3431925227,0.3848246153,0.9038614375,5.914802642e-15,6.114440935e-15,0.1480899846,0.8169654981,0.0349445173,1,0,0,0.4664136212,0.9870227795,60.72517835,54.08729029,6.637888063
26.06890939,11.5,3,84.46290212,8.130225965e-16,8.003660421e-14,-0.1709381705,0.35927822,0.8243120703,0.3537300705,0.3978702018,0.8970035407,5.986160816e-15,6.143182029e-15,0.1583006975,0.804615352,0.03708395054,1,0,0,0.4874664541,0.9797780836,69.8908456,62.31059966,7.580245939
25.51425174,11.75,3,83.75884042,6.025805242e-16,2.295091608e-14,-0.1805314238,0.3675120909,0.81464047,0.3636144899,0.4094590723,0.892106828,5.959238814e-15,6.15230076e-15,0.1676567319,0.7958545926,0.03648867552,1,0,0,0.506603535,0.973596063,78.22977475,70.85662404,7.373150702
24.98270483,12,3,82.70951852,9.007136955e-16,6.35037306e-15,-0.1881939716,0.3752860889,0.8069527006,0.3729979457,0.4198292741,0.8889882612,6.049091886e-15,6.190203065e-15,0.1762566194,0.7903001285,0.03344325205,1,0,0,0.5239487357,0.9682814215,85.82036265,79.6640294,6.15633325
24.47285371,12.25,3,85.21779125,6.914738992e-16,3.531040698e-15,-0.2070879335,0.381097359,0.788019341,0.3815075528,0.4337287277,0.8755127039,6.048196648e-15,6.294831941e-15,0.1881206092,0.7665224947,0.04535689612,1,0,0,0.5476806316,0.9507023892,101.6242016,91.69200794,9.932193705
23.98339664,12.5,3,87.63642688,7.921881246e-16,2.133974637e-15,-0.2232756726,0.3876457954,0.771893375,0.3905599934,0.4473491798,0.8650760029,5.861000802e-15,6.126592969e-15,0.2001212887,0.7483564908,0.05152222049,1,0,0,0.5700355771,0.9352732995,116.1077203,104.5462727,11.56144762
23.51313396,12.75,3,90.02785647,7.470800083e-16,3.872040868e-13,-0.2372275382,0.395047714,0.758087786,0.400224158,0.4608032131,0.8572493616,5.837259109e-15,6.164549204e-15,0.2123396012,0.734876468,0.0527839308,1,0,0,0.5909288545,0.9216901811,129.3882712,118.1028203,11.28545086
23.06095831,13,3,92.52329612,7.527110347e-16,1.743368562e-13,-0.2493520011,0.4034124923,0.7461789673,0.4105893535,0.4742552682,0.8516846062,5.583467746e-15,5.948598292e-15,0.2249180594,0.7253666684,0.0497152722,1,0,0,0.6103417842,0.9096902686,141.5711856,132.2528746,9.318311024
22.62584589,13.25,3,96.33948273,6.998683697e-16,3.565874811e-13,-0.2760040143,0.4062685578,0.7199061483,0.4123394525,0.4911541071,0.8296316571,5.588326327e-15,5.930323828e-15,0.2412323569,0.6882886865,0.07047895656,1,0,0,0.633225986,0.8788965743,162.8234163,147.8191027,15.00431365
22.20684874,13.5,3,101.7996102,7.798276499e-16,1.694481051e-13,-0.3014701006,0.4113995177,0.6948561863,0.4163187516,0.5100331212,0.8100286554,5.31031033e-15,5.682754935e-15,0.2601337847,0.6561464226,0.08371979268,1,0,0,0.6556685802,0.8510806015,182.4188844,164.996686,17.4221984
21.80308785,13.75,3,109.1948286,7.110259196e-16,5.813728915e-13,-0.3267788153,0.4188479361,0.6699840066,0.4225826745,0.5312419295,0.7921203733,5.247342664e-15,5.608896989e-15,0.2822179877,0.6274546858,0.09032732646,1,0,0,0.6773605915,0.8259307914,200.4945313,183.5805632,16.91396811
21.413747,14,3,119.1805015,8.532187321e-16,9.057980127e-13,-0.3532327435,0.4287848619,0.6439739403,0.431294943,0.5555446237,0.7750598452,5.280460025e-15,5.583854985e-15,0.3086298289,0.6007177637,0.09065240744,1,0,0,0.698105897,0.8031656025,217.1742499,203.3885401,13.78570982
21.03806723,14.25,3,128.3644283,7.833679864e-16,1.085239197e-12,-0.3940275786,0.419866993,0.6032894735,0.4180921829,0.5758003339,0.7340022223,4.772207625e-15,4.94671705e-15,0.3315460245,0.5387592623,0.1296947132,1,0,0,0.7119838162,0.7617577149,237.7891789,217.1653065,20.6238724
20.67534193,14.5,3,144.5707647,8.1947852e-16,4.953859317e-13,-0.4413207172,0.408079882,0.555887381,0.4022623514,0.6010766719,0.6861674574,4.413035354e-15,4.46764706e-15,0.3612931655,0.4708257796,0.1678810549,1,0,0,0.7265040265,0.7234090761,256.8655281,233.4815626,23.38396551
20.32491241,14.75,3,171.9232412,9.660668989e-16,5.913915402e-13,-0.500443724,0.3862788493,0.4964224409,0.3764127615,0.6321829406,0.622994227,4.072194357e-15,4.120512776e-15,0.3996552704,0.3881218069,0.2122229228,1,0,0,0.7412832484,0.6878720714,274.5229046,252.0574976,22.46540697
19.98616387,15,3,219.7465827,1.095659126e-15,3.709348563e-13,-0.5788042396,0.3344264788,0.4175285746,0.3200384535,0.6684724508,0.5260748258,2.783366182e-15,2.905967646e-15,0.4468554175,0.2767547224,0.2763898601,1,0,0,0.7560325288,0.6549204175,290.8702293,272.641833,18.22839625
19.65852184,15.25,3,267.5042158,1.083738439e-15,1.486059788e-13,-0.59286315,0.1715372096,0.4036245935,0.152545178,0.6171804671,0.4314891004,6.001181454e-16,4.883895624e-16,0.3809117289,0.1861828438,0.4329054272,1,0,0,0.7555881704,0.6160694326,302.897947,278.392359,24.50558791
19.3414489,15.5,3,290.8797306,1.234037119e-15,1.065028178e-12,-0.4061737885,0.01231814251,0.5937425141,-0.01100198286,0.4063605334,0.5938444381,5.417554847e-15,4.921428369e-15,0.1651288831,0.3526512167,0.4822199002,1,0,0,0.756385427,0.579724331,314.0046035,287.1220858,26.88251774
19.03444178,15.75,3,229.7665458,8.72153062e-16,1.05523422e-12,-0.1885571167,0.1354609431,0.8151015296,0.1126017067,0.2321711725,0.8228424199,7.929713256e-15,7.264745304e-15,0.05390345336,0.677069648,0.2690268987,1,0,0,0.7581587546,0.5457148475,324.2590404,298.5408385,25.71820186
18.73702863,16,3,157.9159263,8.718241807e-16,4.600584729e-13,-0.1795415586,0.3054411869,0.8243363545,0.2837601571,0.3543014112,0.8718086098,6.936824233e-15,6.420031385e-15,0.12552949,0.7600502522,0.1144202579,1,0,0,0.7606828472,0.5138860904,333.7242594,312.3857029,21.33855653
18.44876665,16.25,3,105.8568644,8.327965822e-16,1.968552371e-13,-0.2579473887,0.3930223381,0.7447759253,0.3748927276,0.4701100015,0.8338079732,5.432372671e-15,5.059555382e-15,0.2210034136,0.6952357362,0.08376085026,1,0,0,0.7527414157,0.488330997,337.5888607,311.4648641,26.12399656
18.16923988,16.5,3,76.70728109,8.946712254e-16,8.266105991e-14,-0.3293425041,0.4331913417,0.6726054982,0.4176394386,0.5441702156,0.7917201885,3.964742546e-15,3.74614471e-15,0.2961212235,0.6268208569,0.07705791953,1,0,0,0.7459548146,0.464780832,341.067793,313.3004375,27.7673555
17.89805719,16.75,3,59.34477456,7.254685539e-16,3.405919764e-14,-0.3934299194,0.4539795591,0.6079915838,0.440600033,0.6007366658,0.7508542835,2.562512294e-15,2.393245221e-15,0.3608845416,0.563782155,0.07533330344,1,0,0,0.7401689208,0.4431414161,344.1901707,317.648653,26.54151768
17.63485047,17,3,51.38950848,8.134428391e-16,1.377025416e-14,-0.4549570764,0.4660076104,0.5460497757,0.4546106852,0.6512672526,0.7105218031,1.959630244e-15,1.753572204e-15,0.4241490343,0.5048412326,0.07100973312,1,0,0,0.7352462991,0.423325756,346.9827089,324.2870553,22.69565362
17.37927293,17.25,3,54.91996507,7.289531585e-16,5.462415194e-15,-0.5248082734,0.4493261099,0.475788737,0.4410161996,0.6908818111,0.6487451045,7.962142181e-16,6.242863011e-16,0.4773176768,0.4208702106,0.1018121126,1,0,0,0.7291523392,0.4077588741,348.2710655,321.9404275,26.33063808
17.1309976,17.5,3,67.06230403,8.002624057e-16,3.955983156e-15,-0.5963768843,0.4242939151,0.4037746027,0.4189038336,0.7319089524,0.5818198618,6.310910045e-16,6.909200803e-16,0.5356907145,0.3385143516,0.1257949339,1,0,0,0.7237822035,0.3937557535,349.3447021,321.9621254,27.38257666
16.88971594,17.75,3,92.56983656,9.304497544e-16,1.928047398e-15,-0.6745448926,0.3859193258,0.3249589451,0.3833472283,0.7771386866,0.5025469267,1.582999815e-15,1.671468478e-15,0.6039445382,0.2525534135,0.1435020484,1,0,0,0.7190414673,0.3812403279,350.2201026,324.1562114,26.06389117
16.65513656,18,3,156.007391,1.021461523e-15,3.29530426e-15,-0.7635326262,0.3228623904,0.2348788735,0.3230204444,0.8289886576,0.3993873968,2.365487256e-15,2.317363264e-15,0.6872221944,0.1595102927,0.1532675129,1,0,0,0.7148462219,0.370137482,350.9124295,328.3428852,22.56954423
16.426984,18.25,3,327.1087982,1.068343242e-15,2.403511788e-12,-0.8307499999,0.1968296397,0.166528289,0.1948716308,0.853749067,0.2563330325,5.006848156e-15,4.773557339e-15,0.7288874693,0.06570662353,0.2054059071,1,0,0,0.71201379,0.3589908731,351.5058001,326.1294379,25.37636222
16.20499773,18.5,3,421.3361907,1.348826832e-15,1.253914388e-12,-0.8506804864,-0.01439303655,0.1438873024,-0.01864134737,0.8508022387,0.1450898192,4.72859224e-15,4.627650157e-15,0.7238644494,0.02105105563,0.255084495,1,0,0,0.7094513467,0.3493666227,351.9391495,325.9121917,26.02695788
15.98893109,18.75,3,775.2982887,3.499062079e-15,2.228175175e-12,-0.4820441281,-0.259956677,0.5084472023,-0.2732988392,0.5476714484,0.5772441538,1.612516254e-15,2.08703696e-15,0.4068228881,0.3999884932,0.1931886186,5,0.1068788727,0.06677768019,0.7071152366,0.3411785682,352.2245613,327.5348762,24.68968506
15.77855042,19,3,127.0019224,1.019812245e-15,2.443751516e-12,-0.4185690578,-0.06175695444,0.5755339612,-0.07921933704,0.4231004344,0.5809604495,6.842080844e-16,1.186718082e-15,0.3933340928,0.5148589537,0.09180695343,5,0.2143201152,0.1773439099,0.7049675407,0.3343378752,352.3731876,330.8534151,21.51977245
15.57363418,19.25,3,76.08809013,8.509163917e-16,5.739955812e-12,-0.3985545642,0.004649145742,0.5980415587,-0.01463584711,0.3985816795,0.5982206232,4.278486554e-16,1.097288426e-15,0.3740935425,0.5465373485,0.07936910908,5,0.2152261872,0.1886694345,0.7001031657,0.3291819272,351.870086,327.317402,24.55268408
