f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.1221438838,0.326090792,0.8764459534,0.3180494335,0.3482159286,0.9323695359,3.236535915e-07,1.321623924e-07,0.1212543329,0.8693129514,0.009432715614,0,0
10.024,29.90746788,-0.1230107569,0.3271992395,0.8759580392,0.3185077076,0.3495582765,0.9320674043,2.838595815e-07,1.180452043e-07,0.1221909886,0.8687496462,0.009059365139,0,0
10.048,29.83603284,-0.123891727,0.3283060508,0.8754303246,0.3190162923,0.3509045782,0.9317454845,2.49778241e-07,1.052091806e-07,0.123134023,0.868149648,0.00871632903,0,0
10.072,29.76493824,-0.1247865802,0.329411261,0.8748636094,0.3195732551,0.352254836,0.9314039942,2.230748305e-07,9.401273695e-08,0.1240834695,0.8675134003,0.008403130209,0,0
10.096,29.69418166,-0.1256951074,0.3305149097,0.8742586997,0.3201766731,0.3536090576,0.9310431655,2.056163313e-07,8.49200137e-08,0.1250393656,0.866841376,0.008119258397,0,0
10.12,29.62376067,-0.1266171053,0.331617041,0.873616408,0.320824636,0.3549672566,0.9306632449,1.988184095e-07,7.846323417e-08,0.1260017533,0.8661340753,0.007864171402,0,0
10.144,29.55367291,-0.1275523761,0.3327177031,0.8729375521,0.3215152485,0.3563294523,0.9302644919,2.027742738e-07,7.511458262e-08,0.1269706786,0.865392025,0.00763729647,0,0
10.168,29.48391601,-0.1285007281,0.3338169484,0.8722229553,0.322246633,0.3576956697,0.9298471789,2.160037303e-07,7.508292661e-08,0.1279461921,0.8646157761,0.007438031722,0,0
10.192,29.41448764,-0.1294619761,0.3349148335,0.8714734448,0.3230169321,0.3590659396,0.9294115899,2.36164685e-07,7.817629222e-08,0.1289283489,0.8638059034,0.007265747662,0,0
10.216,29.34538547,-0.1304359415,0.3360114191,0.8706898518,0.3238243113,0.3604402982,0.9289580199,2.609620363e-07,8.387138015e-08,0.1299172086,0.8629630027,0.007119788739,0,0
10.24,29.27660723,-0.1314224529,0.3371067696,0.8698730103,0.3246669612,0.3618187879,0.9284867742,2.885937706e-07,9.152517132e-08,0.1309128352,0.8620876898,0.006999474983,0,0
10.264,29.20815062,-0.1324213458,0.3382009533,0.8690237563,0.3255430995,0.363201456,0.9279981674,3.177846887e-07,1.005521173e-07,0.1319152977,0.8611805987,0.006904103675,0,0
10.288,29.14001341,-0.1334324635,0.3392940421,0.8681429268,0.3264509736,0.364588356,0.9274925226,3.47667623e-07,1.10495219e-07,0.1329246694,0.8602423796,0.006832951074,0,0
10.312,29.07219337,-0.134455657,0.3403861113,0.867231359,0.3273888624,0.3659795465,0.9269701707,3.776566083e-07,1.21024907e-07,0.1339410285,0.8592736973,0.006785274178,0,0
10.336,29.00468827,-0.1354907853,0.3414772395,0.8662898892,0.3283550782,0.3673750917,0.9264314489,4.073518315e-07,1.319125744e-07,0.134964458,0.8582752295,0.006760312517,0,0
10.36,28.93749595,-0.1365377155,0.3425675084,0.8653193516,0.3293479684,0.3687750609,0.9258767005,4.364760104e-07,1.43002986e-07,0.1359950456,0.8572476645,0.006757289967,0,0
10.384,28.87061421,-0.1375963233,0.3436570027,0.8643205773,0.3303659175,0.370179529,0.9253062735,4.648333877e-07,1.541928228e-07,0.1370328837,0.8561916997,0.006775416592,0,0
10.408,28.80404093,-0.1386664929,0.3447458097,0.8632943932,0.3314073485,0.3715885757,0.9247205199,4.922834805e-07,1.654156809e-07,0.1380780696,0.8551080399,0.006813890486,0,0
10.432,28.73777396,-0.1397481174,0.3458340195,0.8622416208,0.3324707241,0.373002286,0.9241197947,5.187241631e-07,1.766320435e-07,0.1391307053,0.853997395,0.00687189963,0,0
10.456,28.67181121,-0.1408410989,0.346921724,0.861163075,0.3335545483,0.3744207496,0.9235044551,5.440806346e-07,1.87822706e-07,0.1401908978,0.8528604785,0.006948623741,0,0
10.48,28.60615057,-0.1419453486,0.3480090178,0.8600595629,0.3346573676,0.3758440613,0.922874859,5.682981368e-07,1.989845126e-07,0.1412587584,0.8516980054,0.007043236118,0,0
10.504,28.54078998,-0.1430607867,0.3490959969,0.8589318825,0.3357777718,0.3772723205,0.9222313651,5.913371015e-07,2.101276178e-07,0.1423344038,0.8505106907,0.007154905475,0,0
10.528,28.47572739,-0.1441873433,0.3501827593,0.8577808215,0.3369143951,0.3787056309,0.9215743309,6.131699068e-07,2.212737557e-07,0.1434179549,0.8492992474,0.007282797748,0,0
10.552,28.41096077,-0.1453249575,0.351269404,0.8566071564,0.3380659169,0.3801441009,0.9209041126,6.337787269e-07,2.324551728e-07,0.1445095375,0.8480643846,0.00742607789,0,0
10.576,28.34648809,-0.1464735783,0.3523560316,0.8554116509,0.3392310624,0.3815878433,0.9202210638,6.531541443e-07,2.437139951e-07,0.1456092821,0.8468068062,0.007583911627,0,0
10.6,28.28230736,-0.1476331642,0.3534427433,0.8541950548,0.3404086032,0.3830369747,0.9195255346,6.712943157e-07,2.551018701e-07,0.146717324,0.8455272088,0.007755467181,0,0
10.624,28.2184166,-0.1488036836,0.3545296412,0.852958103,0.3415973577,0.384491616,0.9188178711,6.882045534e-07,2.666797715e-07,0.1478338028,0.8442262803,0.007939916958,0,0
10.648,28.15481386,-0.1499851146,0.3556168277,0.8517015141,0.3427961915,0.3859518918,0.9180984141,7.038972354e-07,2.785178796e-07,0.1489588628,0.842904698,0.00813643919,0,0
10.672,28.09149719,-0.1511774451,0.3567044055,0.8504259895,0.3440040176,0.3874179304,0.9173674987,7.18391988e-07,2.906954741e-07,0.1500926528,0.8415631277,0.00834421953,0,0
10.696,28.02846466,-0.1523806729,0.357792477,0.8491322121,0.3452197962,0.3888898637,0.9166254531,7.317161079e-07,3.033007863e-07,0.1512353261,0.8402022213,0.008562452597,0,0
10.72,27.96571437,-0.1535948058,0.3588811447,0.8478208455,0.3464425351,0.390367827,0.9158725982,7.439052036e-07,3.164307711e-07,0.1523870404,0.8388226161,0.008790343468,0,0
10.744,27.90324442,-0.1548198614,0.3599705101,0.8464925326,0.3476712894,0.3918519588,0.9151092466,7.550040478e-07,3.301907704e-07,0.1535479576,0.8374249333,0.009027109111,0,0
10.768,27.84105293,-0.156055867,0.3610606742,0.8451478952,0.3489051609,0.3933424006,0.9143357021,7.650676384e-07,3.446940509e-07,0.1547182441,0.8360097761,0.009271979761,0,0
10.792,27.77913807,-0.1573028602,0.3621517368,0.8437875324,0.3501432986,0.3948392968,0.9135522588,7.741624673e-07,3.600612131e-07,0.1558980703,0.8345777295,0.009524200233,0,0
10.816,27.71749797,-0.158560888,0.3632437965,0.8424120202,0.3513848975,0.3963427947,0.9127592004,7.823679994e-07,3.764194808e-07,0.1570876109,0.833129358,0.009783031173,0,0
10.84,27.65613081,-0.1598300074,0.3643369502,0.8410219103,0.3526291984,0.3978530439,0.9119568001,7.897783589e-07,3.939018938e-07,0.1582870445,0.8316652052,0.01004775024,0,0
10.864,27.59503479,-0.1611102852,0.3654312932,0.8396177298,0.3538754873,0.3993701967,0.9111453192,7.965042141e-07,4.126464411e-07,0.159496554,0.8301857927,0.01031765324,0,0
10.888,27.53420812,-0.1624017978,0.3665269186,0.8381999799,0.3551230949,0.4008944075,0.9103250073,8.026748401e-07,4.327951756e-07,0.160716326,0.8286916189,0.01059205515,0,0
10.912,27.47364901,-0.1637046313,0.3676239174,0.8367691357,0.3563713953,0.4024258328,0.9094961011,8.084403201e-07,4.544933636e-07,0.1619465509,0.8271831579,0.01087029114,0,0
10.936,27.41335571,-0.1650188812,0.3687223779,0.8353256454,0.357619806,0.403964631,0.9086588245,8.13973824e-07,4.778887154e-07,0.1631874231,0.8256608594,0.01115171744,0,0
10.96,27.35332646,-0.1663446527,0.369822386,0.8338699294,0.3588677862,0.4055109624,0.9078133878,8.194738673e-07,5.031307444e-07,0.1644391407,0.8241251471,0.01143571224,0,0
10.984,27.29355954,-0.1676820602,0.3709240243,0.8324023806,0.3601148362,0.4070649888,0.9069599872,8.251664174e-07,5.303702903e-07,0.1657019051,0.8225764184,0.01172167645,0,0
11.008,27.23405323,-0.1690312274,0.3720273725,0.8309233631,0.3613604967,0.4086268734,0.9060988047,8.313066677e-07,5.597592312e-07,0.1669759217,0.8210150439,0.0120090344,0,0
11.032,27.17480584,-0.1703922873,0.3731325067,0.8294332124,0.3626043472,0.410196781,0.9052300074,8.381802568e-07,5.914503962e-07,0.1682613991,0.8194413664,0.0122972345,0,0
11.056,27.11581567,-0.1717653817,0.3742394997,0.8279322347,0.3638460051,0.4117748772,0.9043537475,8.461036697e-07,6.255976776e-07,0.1695585495,0.8178557007,0.01258574982,0,0
11.08,27.05708105,-0.1731506617,0.3753484202,0.8264207069,0.3650851247,0.4133613289,0.9034701618,8.554235424e-07,6.623563312e-07,0.1708675882,0.8162583332,0.0128740786,0,0
11.104,26.99860032,-0.174548287,0.3764593332,0.8248988763,0.3663213959,0.4149563038,0.9025793712,8.665146066e-07,7.018834445e-07,0.172188734,0.8146495213,0.01316174469,0,0
11.128,26.94037185,-0.1759584261,0.3775722991,0.8233669603,0.3675545428,0.4165599702,0.901681481,8.797760756e-07,7.443385486e-07,0.1735222088,0.8130294932,0.01344829797,0,0
11.152,26.88239401,-0.177381256,0.3786873744,0.8218251463,0.3687843228,0.4181724973,0.9007765804,8.956264013e-07,7.89884345e-07,0.1748682375,0.8113984478,0.01373331463,0,0
11.176,26.82466518,-0.1788169622,0.3798046107,0.820273592,0.3700105248,0.4197940546,0.8998647422,9.144965162e-07,8.386875243e-07,0.1762270483,0.8097565542,0.01401639748,0,0
11.2,26.76718375,-0.1802657385,0.3809240551,0.8187124249,0.3712329686,0.4214248121,0.8989460227,9.36821901e-07,8.909196491e-07,0.1775988722,0.8081039516,0.01429717613,0,0
11.224,26.70994815,-0.181727787,0.3820457494,0.8171417427,0.3724515028,0.4230649397,0.8980204617,9.630340459e-07,9.467580827e-07,0.1789839432,0.8064407496,0.01457530715,0,0
11.248,26.65295679,-0.1832033177,0.3831697308,0.8155616133,0.373666004,0.4247146079,0.8970880824,9.935520477e-07,1.006386947e-06,0.1803824982,0.8047670277,0.01485047416,0,0
11.272,26.59620813,-0.1846925485,0.3842960308,0.8139720748,0.3748763753,0.426373987,0.8961488913,1.028775155e-06,1.069998093e-06,0.1817947768,0.8030828354,0.01512238788,0,0
11.296,26.5397006,-0.1861957051,0.3854246759,0.8123731361,0.3760825446,0.4280432471,0.8952028779,1.069077006e-06,1.137792085e-06,0.1832210214,0.8013881925,0.0153907861,0,0
11.32,26.48343269,-0.1877130209,0.3865556867,0.8107647764,0.3772844637,0.4297225583,0.8942500149,1.114802088e-06,1.209979172e-06,0.1846614771,0.7996830892,0.01565543368,0,0
11.344,26.42740286,-0.1892447366,0.3876890784,0.8091469463,0.3784821067,0.4314120905,0.8932902584,1.16626468e-06,1.286780264e-06,0.1861163918,0.7979674858,0.01591612235,0,0
11.368,26.37160961,-0.1907911006,0.38882486,0.8075195676,0.3796754685,0.4331120131,0.8923235475,1.223750185e-06,1.368427897e-06,0.1875860159,0.7962413135,0.01617267066,0,0
11.392,26.31605144,-0.1923523681,0.3899630349,0.8058825338,0.3808645636,0.434822495,0.8913498046,1.287518506e-06,1.455167176e-06,0.1890706021,0.7945044742,0.01642492368,0,0
11.416,26.26072687,-0.1939288016,0.3911036002,0.8042357105,0.3820494247,0.4365437048,0.8903689353,1.357808966e-06,1.547256714e-06,0.1905704062,0.792756841,0.01667275287,0,0
11.44,26.20563444,-0.1955206705,0.3922465467,0.8025789357,0.383230101,0.4382758104,0.8893808286,1.434846151e-06,1.644969529e-06,0.192085686,0.7909982583,0.01691605571,0,0
11.464,26.15077268,-0.197128251,0.3933918589,0.8009120204,0.3844066572,0.4400189791,0.888385357,1.518846167e-06,1.748593927e-06,0.193616702,0.7892285426,0.01715475543,0,0
11.488,26.09614015,-0.1987518261,0.3945395148,0.7992347491,0.3855791722,0.4417733776,0.8873823766,1.610022846e-06,1.858434324e-06,0.1951637171,0.7874474822,0.01738880064,0,0
11.512,26.04173541,-0.200391685,0.395689486,0.7975468801,0.3867477372,0.4435391717,0.8863717269,1.708593591e-06,1.974812012e-06,0.1967269968,0.7856548382,0.01761816497,0,0
11.536,25.98755704,-0.2020481238,0.3968417373,0.7958481463,0.3879124548,0.4453165265,0.8853532316,1.814784682e-06,2.098065844e-06,0.1983068088,0.7838503446,0.01784284659,0,0
11.56,25.93360363,-0.2037214447,0.3979962265,0.7941382556,0.3890734377,0.4471056064,0.884326698,1.928835971e-06,2.228552807e-06,0.1999034233,0.7820337089,0.0180628678,0,0
11.584,25.87987379,-0.205411956,0.3991529047,0.7924168913,0.3902308072,0.4489065749,0.883291918,2.051004963e-06,2.366648435e-06,0.201517113,0.7802046124,0.01827827456,0,0
11.608,25.82636613,-0.2071199722,0.4003117161,0.7906837131,0.3913846917,0.4507195946,0.8822486674,2.181570346e-06,2.512747045e-06,0.2031481529,0.7783627111,0.01848913593,0,0
11.632,25.77307926,-0.2088458139,0.4014725976,0.7889383576,0.3925352261,0.4525448272,0.8811967066,2.320835048e-06,2.667261705e-06,0.2047968206,0.7765076358,0.01869554355,0,0
11.656,25.72001184,-0.2105898074,0.4026354792,0.7871804385,0.3936825498,0.4543824337,0.8801357809,2.469128917e-06,2.830623889e-06,0.2064633961,0.7746389928,0.01889761109,0,0
11.68,25.6671625,-0.2123522851,0.4038002833,0.785409548,0.3948268057,0.4562325742,0.8790656202,2.626811097e-06,3.003282707e-06,0.2081481617,0.7727563646,0.01909547365,0,0
11.704,25.6145299,-0.2141335848,0.4049669252,0.7836252567,0.3959681392,0.4580954078,0.8779859397,2.794272193e-06,3.18570363e-06,0.2098514026,0.7708593103,0.01928928713,0,0
11.728,25.56211272,-0.2159340502,0.4061353127,0.7818271148,0.3971066969,0.4599710929,0.8768964398,2.971936267e-06,3.378366562e-06,0.2115734063,0.7689473661,0.01947922763,0,0
11.752,25.50990963,-0.2177540305,0.4073053462,0.7800146524,0.3982426251,0.461859787,0.8757968065,3.16026271e-06,3.581763109e-06,0.2133144629,0.7670200464,0.01966549076,0,0
11.776,25.45791933,-0.2195938804,0.4084769185,0.7781873805,0.3993760691,0.463761647,0.8746867118,3.359748014e-06,3.796392876e-06,0.2150748653,0.7650768437,0.019848291,0,0
11.8,25.40614051,-0.2214539602,0.4096499146,0.7763447915,0.4005071718,0.4656768289,0.8735658132,3.570927447e-06,4.022758574e-06,0.216854909,0.76311723,0.02002786098,0,0
11.824,25.35457189,-0.2233346355,0.410824212,0.77448636,0.4016360726,0.4676054881,0.8724337549,3.794376605e-06,4.261359695e-06,0.2186548926,0.7611406566,0.02020445081,0,0
11.848,25.30321219,-0.2252362773,0.4119996802,0.7726115432,0.4027629066,0.4695477793,0.8712901673,4.030712803e-06,4.512684501e-06,0.2204751171,0.7591465556,0.02037832729,0,0
11.872,25.25206014,-0.2271592623,0.4131761809,0.770719782,0.4038878031,0.4715038567,0.8701346676,4.280596253e-06,4.777200011e-06,0.2223158869,0.7571343398,0.02054977327,0,0
11.896,25.20111449,-0.2291039721,0.414353568,0.7688105014,0.4050108847,0.473473874,0.86896686,4.544730904e-06,5.055339688e-06,0.2241775094,0.7551034038,0.02071908679,0,0
11.92,25.15037399,-0.2310707939,0.4155316872,0.7668831114,0.4061322668,0.4754579843,0.8677863358,4.823864857e-06,5.347488502e-06,0.2260602949,0.7530531247,0.02088658041,0,0
11.944,25.09983741,-0.2330601203,0.4167103762,0.7649370074,0.4072520558,0.4774563408,0.8665926738,5.118790152e-06,5.653965059e-06,0.2279645574,0.7509828622,0.02105258039,0,0
11.968,25.04950351,-0.2350723494,0.4178894645,0.7629715711,0.4083703488,0.4794690959,0.8653854402,5.430341732e-06,5.975000553e-06,0.229890614,0.7488919601,0.0212174259,0,0
