f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.8764459534,0.3180494335,0.8693129514
10,1,0,0.2095845022,1,refl,-0.1221438838,0.326090792,0.1212543329
10.024,1,0,0.210087505,1,trans,0.8759580392,0.3185077076,0.8687496462
10.024,1,0,0.210087505,1,refl,-0.1230107569,0.3271992395,0.1221909886
10.048,1,0,0.2105905078,1,trans,0.8754303246,0.3190162923,0.868149648
10.048,1,0,0.2105905078,1,refl,-0.123891727,0.3283060508,0.123134023
10.072,1,0,0.2110935106,1,trans,0.8748636094,0.3195732551,0.8675134003
10.072,1,0,0.2110935106,1,refl,-0.1247865802,0.329411261,0.1240834695
10.096,1,0,0.2115965134,1,trans,0.8742586997,0.3201766731,0.866841376
10.096,1,0,0.2115965134,1,refl,-0.1256951074,0.3305149097,0.1250393656
10.12,1,0,0.2120995162,1,trans,0.873616408,0.320824636,0.8661340753
10.12,1,0,0.2120995162,1,refl,-0.1266171053,0.331617041,0.1260017533
10.144,1,0,0.212602519,1,trans,0.8729375521,0.3215152485,0.865392025
10.144,1,0,0.212602519,1,refl,-0.1275523761,0.3327177031,0.1269706786
10.168,1,0,0.2131055218,1,trans,0.8722229553,0.322246633,0.8646157761
10.168,1,0,0.2131055218,1,refl,-0.1285007281,0.3338169484,0.1279461921
10.192,1,0,0.2136085246,1,trans,0.8714734448,0.3230169321,0.8638059034
10.192,1,0,0.2136085246,1,refl,-0.1294619761,0.3349148335,0.1289283489
10.216,1,0,0.2141115274,1,trans,0.8706898518,0.3238243113,0.8629630027
10.216,1,0,0.2141115274,1,refl,-0.1304359415,0.3360114191,0.1299172086
10.24,1,0,0.2146145302,1,trans,0.8698730103,0.3246669612,0.8620876898
10.24,1,0,0.2146145302,1,refl,-0.1314224529,0.3371067696,0.1309128352
10.264,1,0,0.2151175331,1,trans,0.8690237563,0.3255430995,0.8611805987
10.264,1,0,0.2151175331,1,refl,-0.1324213458,0.3382009533,0.1319152977
10.288,1,0,0.2156205359,1,trans,0.8681429268,0.3264509736,0.8602423796
10.288,1,0,0.2156205359,1,refl,-0.1334324635,0.3392940421,0.1329246694
10.312,1,0,0.2161235387,1,trans,0.867231359,0.3273888624,0.8592736973
10.312,1,0,0.2161235387,1,refl,-0.134455657,0.3403861113,0.1339410285
10.336,1,0,0.2166265415,1,trans,0.8662898892,0.3283550782,0.8582752295
10.336,1,0,0.2166265415,1,refl,-0.1354907853,0.3414772395,0.134964458
10.36,1,0,0.2171295443,1,trans,0.8653193516,0.3293479684,0.8572476645
10.36,1,0,0.2171295443,1,refl,-0.1365377155,0.3425675084,0.1359950456
10.384,1,0,0.2176325471,1,trans,0.8643205773,0.3303659175,0.8561916997
10.384,1,0,0.2176325471,1,refl,-0.1375963233,0.3436570027,0.1370328837
10.408,1,0,0.2181355499,1,trans,0.8632943932,0.3314073485,0.8551080399
10.408,1,0,0.2181355499,1,refl,-0.1386664929,0.3447458097,0.1380780696
10.432,1,0,0.2186385527,1,trans,0.8622416208,0.3324707241,0.853997395
10.432,1,0,0.2186385527,1,refl,-0.1397481174,0.3458340195,0.1391307053
10.456,1,0,0.2191415555,1,trans,0.861163075,0.3335545483,0.8528604785
10.456,1,0,0.2191415555,1,refl,-0.1408410989,0.346921724,0.1401908978
10.48,1,0,0.2196445583,1,trans,0.8600595629,0.3346573676,0.8516980054
10.48,1,0,0.2196445583,1,refl,-0.1419453486,0.3480090178,0.1412587584
10.504,1,0,0.2201475611,1,trans,0.8589318825,0.3357777718,0.8505106907
10.504,1,0,0.2201475611,1,refl,-0.1430607867,0.3490959969,0.1423344038
10.528,1,0,0.2206505639,1,trans,0.8577808215,0.3369143951,0.8492992474
10.528,1,0,0.2206505639,1,refl,-0.1441873433,0.3501827593,0.1434179549
10.552,1,0,0.2211535667,1,trans,0.8566071564,0.3380659169,0.8480643846
10.552,1,0,0.2211535667,1,refl,-0.1453249575,0.351269404,0.1445095375
10.576,1,0,0.2216565695,1,trans,0.8554116509,0.3392310624,0.8468068062
10.576,1,0,0.2216565695,1,refl,-0.1464735783,0.3523560316,0.1456092821
10.6,1,0,0.2221595723,1,trans,0.8541950548,0.3404086032,0.8455272088
10.6,1,0,0.2221595723,1,refl,-0.1476331642,0.3534427433,0.146717324
10.624,1,0,0.2226625751,1,trans,0.852958103,0.3415973577,0.8442262803
10.624,1,0,0.2226625751,1,refl,-0.1488036836,0.3545296412,0.1478338028
10.648,1,0,0.2231655779,1,trans,0.8517015141,0.3427961915,0.842904698
10.648,1,0,0.2231655779,1,refl,-0.1499851146,0.3556168277,0.1489588628
10.672,1,0,0.2236685807,1,trans,0.8504259895,0.3440040176,0.8415631277
10.672,1,0,0.2236685807,1,refl,-0.1511774451,0.3567044055,0.1500926528
10.696,1,0,0.2241715835,1,trans,0.8491322121,0.3452197962,0.8402022213
10.696,1,0,0.2241715835,1,refl,-0.1523806729,0.357792477,0.1512353261
10.72,1,0,0.2246745864,1,trans,0.8478208455,0.3464425351,0.8388226161
10.72,1,0,0.2246745864,1,refl,-0.1535948058,0.3588811447,0.1523870404
10.744,1,0,0.2251775892,1,trans,0.8464925326,0.3476712894,0.8374249333
10.744,1,0,0.2251775892,1,refl,-0.1548198614,0.3599705101,0.1535479576
10.768,1,0,0.225680592,1,trans,0.8451478952,0.3489051609,0.8360097761
10.768,1,0,0.225680592,1,refl,-0.156055867,0.3610606742,0.1547182441
10.792,1,0,0.2261835948,1,trans,0.8437875324,0.3501432986,0.8345777295
10.792,1,0,0.2261835948,1,refl,-0.1573028602,0.3621517368,0.1558980703
10.816,1,0,0.2266865976,1,trans,0.8424120202,0.3513848975,0.833129358
10.816,1,0,0.2266865976,1,refl,-0.158560888,0.3632437965,0.1570876109
10.84,1,0,0.2271896004,1,trans,0.8410219103,0.3526291984,0.8316652052
10.84,1,0,0.2271896004,1,refl,-0.1598300074,0.3643369502,0.1582870445
10.864,1,0,0.2276926032,1,trans,0.8396177298,0.3538754873,0.8301857927
10.864,1,0,0.2276926032,1,refl,-0.1611102852,0.3654312932,0.159496554
10.888,1,0,0.228195606,1,trans,0.8381999799,0.3551230949,0.8286916189
10.888,1,0,0.228195606,1,refl,-0.1624017978,0.3665269186,0.160716326
10.912,1,0,0.2286986088,1,trans,0.8367691357,0.3563713953,0.8271831579
10.912,1,0,0.2286986088,1,refl,-0.1637046313,0.3676239174,0.1619465509
10.936,1,0,0.2292016116,1,trans,0.8353256454,0.357619806,0.8256608594
10.936,1,0,0.2292016116,1,refl,-0.1650188812,0.3687223779,0.1631874231
10.96,1,0,0.2297046144,1,trans,0.8338699294,0.3588677862,0.8241251471
10.96,1,0,0.2297046144,1,refl,-0.1663446527,0.369822386,0.1644391407
10.984,1,0,0.2302076172,1,trans,0.8324023806,0.3601148362,0.8225764184
10.984,1,0,0.2302076172,1,refl,-0.1676820602,0.3709240243,0.1657019051
11.008,1,0,0.23071062,1,trans,0.8309233631,0.3613604967,0.8210150439
11.008,1,0,0.23071062,1,refl,-0.1690312274,0.3720273725,0.1669759217
11.032,1,0,0.2312136228,1,trans,0.8294332124,0.3626043472,0.8194413664
11.032,1,0,0.2312136228,1,refl,-0.1703922873,0.3731325067,0.1682613991
11.056,1,0,0.2317166256,1,trans,0.8279322347,0.3638460051,0.8178557007
11.056,1,0,0.2317166256,1,refl,-0.1717653817,0.3742394997,0.1695585495
11.08,1,0,0.2322196284,1,trans,0.8264207069,0.3650851247,0.8162583332
11.08,1,0,0.2322196284,1,refl,-0.1731506617,0.3753484202,0.1708675882
11.104,1,0,0.2327226312,1,trans,0.8248988763,0.3663213959,0.8146495213
11.104,1,0,0.2327226312,1,refl,-0.174548287,0.3764593332,0.172188734
11.128,1,0,0.233225634,1,trans,0.8233669603,0.3675545428,0.8130294932
11.128,1,0,0.233225634,1,refl,-0.1759584261,0.3775722991,0.1735222088
11.152,1,0,0.2337286368,1,trans,0.8218251463,0.3687843228,0.8113984478
11.152,1,0,0.2337286368,1,refl,-0.177381256,0.3786873744,0.1748682375
11.176,1,0,0.2342316397,1,trans,0.820273592,0.3700105248,0.8097565542
11.176,1,0,0.2342316397,1,refl,-0.1788169622,0.3798046107,0.1762270483
11.2,1,0,0.2347346425,1,trans,0.8187124249,0.3712329686,0.8081039516
11.2,1,0,0.2347346425,1,refl,-0.1802657385,0.3809240551,0.1775988722
11.224,1,0,0.2352376453,1,trans,0.8171417427,0.3724515028,0.8064407496
11.224,1,0,0.2352376453,1,refl,-0.181727787,0.3820457494,0.1789839432
11.248,1,0,0.2357406481,1,trans,0.8155616133,0.373666004,0.8047670277
11.248,1,0,0.2357406481,1,refl,-0.1832033177,0.3831697308,0.1803824982
11.272,1,0,0.2362436509,1,trans,0.8139720748,0.3748763753,0.8030828354
11.272,1,0,0.2362436509,1,refl,-0.1846925485,0.3842960308,0.1817947768
11.296,1,0,0.2367466537,1,trans,0.8123731361,0.3760825446,0.8013881925
11.296,1,0,0.2367466537,1,refl,-0.1861957051,0.3854246759,0.1832210214
11.32,1,0,0.2372496565,1,trans,0.8107647764,0.3772844637,0.7996830892
11.32,1,0,0.2372496565,1,refl,-0.1877130209,0.3865556867,0.1846614771
11.344,1,0,0.2377526593,1,trans,0.8091469463,0.3784821067,0.7979674858
