lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,7.997205822e-13,1.439047894e-13,0.8936623235,0.2729045723,0.8731092539
29.9792458,10,refl,0,0,0.2095845022,6.972165769e-13,-4.112622698e-14,-0.09381330981,0.2879041525,0.09168973812
27.25385982,11,trans,0,0,0.2305429524,8.163311578e-13,3.040353269e-13,0.8706368542,0.3473543255,0.8786635593
27.25385982,11,refl,0,0,0.2305429524,1.166450074e-12,8.957201143e-13,-0.1259982925,0.3470344637,0.1363084887
24.98270483,12,trans,0,0,0.2515014026,1.185047669e-12,4.388321751e-12,0.9019791163,0.3858892987,0.9624768771
24.98270483,12,refl,0,0,0.2515014026,3.310070786e-12,3.979176823e-12,-0.03000306719,0.4140041249,0.1722995995
23.06095831,13,trans,0,0,0.2724598529,-2.506727517e-12,-2.978715469e-13,0.7780027108,0.4222087117,0.7835484143
23.06095831,13,refl,0,0,0.2724598529,-2.632577518e-12,3.791250779e-13,-0.2138739585,0.4735708298,0.270011401
21.413747,14,trans,0,0,0.2934183031,1.424314539e-12,-3.562155701e-13,0.6515244331,0.4580845621,0.6343255529
21.413747,14,refl,0,0,0.2934183031,1.330010264e-12,-4.380059208e-13,-0.3352441255,0.4486410314,0.3136673988
19.98616387,15,trans,0,0,0.3143767533,1.450215711e-11,8.74604076e-12,0.5889361237,0.4093715248,0.5144308031
19.98616387,15,refl,0,0,0.3143767533,1.553351237e-11,8.234124558e-12,-0.4118641752,0.4395526869,0.3628386634
18.73702863,16,trans,0,0,0.3353352035,-1.508892191e-11,1.75247033e-11,0.7148008109,0.3050190999,0.6039768505
18.73702863,16,refl,0,0,0.3353352035,-1.438879948e-11,1.562016424e-11,-0.2583748526,0.2990134944,0.1561666343
17.63485047,17,trans,0,0,0.3562936537,1.51274113e-12,5.530584301e-13,0.5442000601,0.4805178959,0.5270511537
17.63485047,17,refl,0,0,0.3562936537,-4.353132471e-14,9.089208784e-14,-0.4170472025,0.4869301549,0.4110293449
16.65513656,18,trans,0,0,0.377252104,1.481482919e-13,9.297107606e-13,0.2859913073,0.2813302143,0.1609377174
16.65513656,18,refl,0,0,0.377252104,-6.908486941e-13,-7.153580147e-13,-0.7571282374,0.3320216142,0.6834815202
15.77855042,19,trans,0,0,0.3982105542,1.865469742e-13,2.907884167e-13,0.5550019041,-0.01046893585,0.3081367122
15.77855042,19,trans,-1,0,0.06602330411,1.031904571e-12,1.034274721e-13,-0.1686119766,0.02592172277,0.02910193438
15.77855042,19,trans,0,-1,0.06602330411,0.1938094722,0.04283602681,-4.438836686e-11,6.201040084e-11,0.03939703671
15.77855042,19,trans,0,1,0.06602330411,0.1938094722,0.04283602681,4.380984514e-11,-6.199390054e-11,0.03939703671
15.77855042,19,trans,1,0,0.06602330411,3.164353778e-14,1.531406293e-13,-0.1686119766,0.02592172291,0.02910193438
15.77855042,19,refl,0,0,0.3982105542,7.034512176e-13,1.701117959e-13,-0.4407464935,-0.0223949993,0.1947590075
15.77855042,19,refl,-1,0,0.06602330411,8.676566419e-13,9.101241722e-14,0.1160366392,-0.2635853008,0.08294171243
15.77855042,19,refl,0,-1,0.06602330411,0.2249974296,0.1078091225,-2.349841091e-11,6.885308478e-11,0.06224665023
15.77855042,19,refl,0,1,0.06602330411,0.2249974296,0.1078091225,2.244780887e-11,-6.674575837e-11,0.06224665023
15.77855042,19,refl,1,0,0.06602330411,2.252439836e-13,4.126840186e-13,0.1160366392,-0.2635853006,0.08294171232
14.9896229,20,trans,0,0,0.4191690044,1.595263832e-13,8.558695931e-13,0.6642554993,0.06317040198,0.445225868
14.9896229,20,trans,-1,0,0.1465949708,8.250653366e-13,-5.905016398e-13,-0.2328313967,0.09239822468,0.06274789123
14.9896229,20,trans,0,-1,0.1465949708,0.1539176217,0.1226780472,-7.846661292e-12,-2.121189714e-11,0.03874053754
14.9896229,20,trans,0,1,0.1465949708,0.1539176217,0.1226780472,8.545362962e-12,2.254177314e-11,0.03874053754
14.9896229,20,trans,1,0,0.1465949708,4.330839098e-13,2.370427127e-14,-0.2328313966,0.09239822476,0.06274789116
14.9896229,20,refl,0,0,0.4191690044,-2.298943383e-13,2.803828932e-13,-0.3164114107,0.070572742,0.1050966927
14.9896229,20,refl,-1,0,0.1465949708,1.131084873e-12,1.224869923e-13,0.2225608749,-0.1234276545,0.06476772895
14.9896229,20,refl,0,-1,0.1465949708,0.1713384293,0.09648643366,-6.379506984e-11,-3.244193251e-11,0.03866648924
