lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,132.5953242,1.18924964e-15,1.825113405e-14,-0.1656837327,0.3549718388,0.8245932096,0.3449438413,0.3917347388,0.8938345569,6.129602403e-15,5.969276491e-15,0.1534561056,0.798940215,0.04760367937,1,0,0,0.4568147269,1.025410612,38.65825164,34.50003531,4.158216335
27.25385982,11,3,94.74195177,1.112940703e-15,7.34867509e-15,-0.2263746371,0.3911520192,0.7694477587,0.3779898288,0.4519351485,0.8572783469,6.390530197e-15,6.972404967e-15,0.2042453785,0.7349261641,0.06082845749,1,0,0,0.5571648048,1.020044991,66.31569359,60.71332512,5.602368467
24.98270483,12,3,93.54689792,8.321581157e-16,6.35037306e-15,-0.2770095778,0.4223471448,0.7208326266,0.4200547633,0.5050855541,0.8342935213,6.46434451e-15,7.023603361e-15,0.2551114169,0.6960456797,0.04884290336,1,0,0,0.6641227932,1.000025075,112.2648141,104.3403081,7.924505978
23.06095831,13,3,115.4475206,9.072313449e-16,1.743368562e-13,-0.3314686803,0.4411406977,0.6660704998,0.4527527961,0.5517939844,0.805378796,5.512759137e-15,6.045288138e-15,0.3044766012,0.6486350051,0.0468883937,1,0,0,0.7827176141,0.9501600469,185.2456109,173.5123991,11.73321188
21.413747,14,3,199.2964597,1.144368699e-15,9.057980127e-13,-0.4136267466,0.4552655766,0.5817889483,0.4623850714,0.6151047315,0.7431543141,5.132435207e-15,5.374214363e-15,0.3783538308,0.5522783346,0.06936783462,1,0,0,0.9137910599,0.8496103641,288.0503706,270.6500417,17.40032897
19.98616387,15,2,79.64490098,2.600728151e-16,2.908268496e-12,-0.4300897579,0.4626943108,0.5677418293,0.4499764476,0.6317145123,0.7244374288,2.087037666e-15,1.965114172e-15,0.399063225,0.5248095882,0.07612718677,1,0,0,0.9650171337,0.6695765048,377.1038346,353.5885489,23.51528571
18.73702863,16,3,84.99270227,8.431784307e-16,4.600584729e-13,-0.6275766277,0.4356561044,0.3686087664,0.4165113075,0.7639690209,0.5561960912,1.918769723e-15,1.454251732e-15,0.5836486648,0.3093540919,0.1069972433,1,0,0,1.069686461,0.4895727374,482.916724,453.2581913,29.65853269
17.63485047,17,3,56.61265578,8.281919205e-16,1.377025416e-14,-0.7532431135,0.3552641058,0.2436001505,0.3475793067,0.8328191718,0.4244436449,2.686604745e-15,2.303833827e-15,0.693587773,0.1801524077,0.1262598193,1,0,0,1.057824783,0.2845801451,519.8539754,486.8938065,32.96016897
16.65513656,18,3,166.3141846,1.077488792e-15,3.29530426e-15,-0.8804825177,0.1690518747,0.1144878546,0.1719115598,0.8965645545,0.2065455234,3.520246301e-15,3.073911062e-15,0.8038280003,0.04266105324,0.1535109464,1,0,0,1.018272752,0.09362351882,519.013945,486.2103223,32.80362261
15.77855042,19,3,217.7626773,1.388077644e-15,2.443751516e-12,-0.8283129583,-0.07867267032,0.1730661192,-0.09504633843,0.8320407118,0.1974479376,1.142959345e-15,9.7419214e-16,0.7209964723,0.06587711281,0.2131264149,5,0.02870472623,0.02689142475,0.9646611014,0.08197620245,492.6134041,462.7306184,29.88278567
14.9896229,20,3,69.69865813,9.021905462e-16,9.319557093e-12,-0.4801360173,-0.1872833596,0.5183676968,-0.2125384415,0.5153694324,0.5602478543,3.303156923e-15,3.231027115e-15,0.377672864,0.4222018136,0.2001253224,5,0.1120672121,0.1083241554,0.8946705439,0.2306456017,449.988992,422.058256,27.93073598
14.27583133,21,4,125.9206134,1.478373755e-15,2.011312727e-13,-0.3908241736,0.04305558832,0.6049974184,0.01832898061,0.3931886549,0.6052750018,7.064978872e-15,5.83628878e-15,0.3386652765,0.550378224,0.1109564995,5,0.1840679581,0.1840203962,0.8307384681,0.3423242794,407.2285536,380.6602299,26.56832373
13.62692991,22,4,65.71796705,1.542887612e-15,5.874846787e-13,-0.5354490558,0.1333819358,0.4592386459,0.1077933435,0.5518119536,0.4717197672,3.33749283e-15,1.791575975e-15,0.4884886247,0.4117441426,0.09976723273,5,0.1839921925,0.1892246038,0.7579828297,0.4342060748,360.1168779,336.0915604,24.02531756
13.0344547,23,4,36.05693946,1.450557228e-15,7.824459809e-13,-0.6590776748,0.07729706338,0.3350656145,0.05005973667,0.6635949197,0.3387845085,1.733710626e-15,3.801561261e-16,0.6071136079,0.2886551144,0.1042312777,5,0.1667553904,0.1738801712,0.6947827448,0.5044176719,320.1433763,298.2226628,21.92071353
12.49135242,24,4,82.58440487,9.217092742e-16,7.283594507e-14,-0.7183808613,-0.04612691085,0.2762769871,-0.07413714861,0.7198602321,0.2860512024,7.980880776e-16,1.238895407e-15,0.6594987128,0.2308380051,0.1096632821,5,0.1412999591,0.1490127147,0.642949883,0.560649946,287.1826497,266.913292,20.26935767
11.99169832,25,4,38.35070026,9.979873661e-16,1.918100278e-13,-0.703128263,-0.2041656214,0.2925904717,-0.2314313833,0.7321700316,0.3730545125,9.825958928e-16,2.124494384e-16,0.6391105955,0.2496806664,0.1112087381,5,0.1030376403,0.1105109972,0.5997330687,0.6098499031,258.6369941,239.7888152,18.84817894
