lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,105.2087828,9.221333675e-16,1.825113405e-14,-0.1617110019,0.3476031069,0.8321766857,0.3367009822,0.3833775789,0.8977113053,7.757759868e-15,1.37832745e-14,0.146978368,0.8058855876,0.04713604434,1,0,0,0.4530279473,1.02195032,39.34119448,34.37010436,4.971090122
27.25385982,11,3,86.74975471,7.727203645e-16,7.34867509e-15,-0.2083960162,0.3906966354,0.7866154907,0.3795192663,0.4428010394,0.8733835376,4.084701875e-15,8.827663952e-15,0.1960727605,0.7627988037,0.04112843579,1,0,0,0.5513735821,1.015422302,67.26910556,60.5402854,6.728820166
24.98270483,12,3,87.32114918,7.420926011e-16,6.35037306e-15,-0.2578746997,0.422811343,0.738133854,0.4179539847,0.4952461938,0.8482494443,9.108065659e-15,1.211448221e-14,0.2452687925,0.7195271198,0.0352040877,1,0,0,0.6596908353,0.9946475569,113.0701248,104.1100729,8.960051886
23.06095831,13,3,108.1040065,1.044888881e-15,1.743368562e-13,-0.3211498741,0.4473069293,0.6729603341,0.4487930393,0.5506548199,0.8088824411,1.999188234e-15,1.508255555e-15,0.3032207307,0.6542908035,0.04248846589,1,0,0,0.7817775503,0.9438802519,186.075562,173.173676,12.90188606
21.413747,14,3,196.1405553,7.477216804e-16,9.057980127e-13,-0.4046831875,0.4658773101,0.5862527642,0.4637085309,0.6170981691,0.7474743508,8.598975117e-15,4.121979303e-15,0.3808101503,0.5587179051,0.06047194454,1,0,0,0.9119621189,0.8425520386,288.7860665,269.9531602,18.83290639
19.98616387,15,2,78.89388429,3.499242619e-16,2.908268496e-12,-0.4292915671,0.462358568,0.5717286313,0.4479931253,0.630925269,0.7263411513,4.129014347e-15,3.785466151e-15,0.3980666951,0.5275714681,0.0743618368,1,0,0,0.9645635298,0.6676061409,376.4851,352.8183059,23.66679409
18.73702863,16,3,81.41584902,1.057532891e-15,4.600584729e-13,-0.6208304821,0.4417331536,0.3713359504,0.4241969029,0.7619440048,0.5637671509,4.988215939e-15,3.908319856e-15,0.5805586665,0.3178334005,0.101607933,1,0,0,1.065184648,0.4870891651,482.88764,452.9228927,29.96474725
17.63485047,17,4,281.6104825,1.8401365e-15,2.016812746e-14,-0.7153575807,0.3310003896,0.2801275643,0.3330459314,0.7882244136,0.4351908142,6.662625929e-15,1.25069157e-14,0.6212977262,0.1893910447,0.1893112291,1,0,0,1.057673111,0.2841170208,523.611919,489.123548,34.48837105
16.65513656,18,3,164.0227465,1.155984678e-15,3.29530426e-15,-0.881116312,0.1704090977,0.1104455366,0.1789615155,0.8974437118,0.210298456,5.980426313e-16,8.237511637e-16,0.8054052158,0.04422544059,0.1503693436,1,0,0,1.013908121,0.09666073241,520.0022714,486.5409803,33.46129108
15.77855042,19,3,215.5270641,1.082723694e-15,2.443751516e-12,-0.8200550115,-0.08215229816,0.1717823539,-0.08962204093,0.8241597066,0.1937557414,3.347111866e-15,3.001188146e-15,0.7077514988,0.06345482972,0.2287936715,5,0.02851227684,0.0259135424,0.9608752498,0.07538477116,494.2152258,462.5398897,31.67533607
