lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-5.953354988e-15,-4.356905023e-16,0.8245932096,0.3449438413,0.798940215
29.9792458,10,refl,0,0,0.2095845022,-6.124434416e-15,2.51651948e-16,-0.1656837327,0.3549718388,0.1534561056
29.24804468,10.25,trans,0,0,0.2148241148,-6.590222908e-15,7.03798396e-18,0.8063857195,0.3527895331,0.7747183833
29.24804468,10.25,refl,0,0,0.2148241148,-6.295688483e-15,6.563005326e-16,-0.1864477048,0.3638339483,0.1671378885
28.55166267,10.5,trans,0,0,0.2200637273,-6.894240047e-15,1.265489149e-16,0.7908498342,0.3611981656,0.7559075751
28.55166267,10.5,refl,0,0,0.2200637273,-6.402781865e-15,6.831698145e-16,-0.2034031851,0.3732077827,0.1806569048
27.88767051,10.75,trans,0,0,0.2253033399,-7.032121537e-15,4.823396249e-16,0.7785945312,0.3697008702,0.7428881775
27.88767051,10.75,refl,0,0,0.2253033399,-6.43639355e-15,9.515130722e-16,-0.2165625221,0.3824098625,0.193136629
27.25385982,11,trans,0,0,0.2305429524,-6.936404624e-15,7.076170699e-16,0.7694477587,0.3779898288,0.7349261641
27.25385982,11,refl,0,0,0.2305429524,-6.296752946e-15,1.090769694e-15,-0.2263746371,0.3911520192,0.2042453785
26.64821849,11.25,trans,0,0,0.235782565,-7.099578899e-15,1.15228353e-15,0.7512893575,0.3892339345,0.7159387545
26.64821849,11.25,refl,0,0,0.235782565,-6.436918369e-15,1.451625259e-15,-0.244933726,0.3997764032,0.2198137027
26.06890939,11.5,trans,0,0,0.2410221775,-7.216555743e-15,1.439433636e-15,0.7377335191,0.4000386911,0.7042816996
26.06890939,11.5,refl,0,0,0.2410221775,-6.531912698e-15,1.643224729e-15,-0.2589808984,0.4077902604,0.2333640022
25.51425174,11.75,trans,0,0,0.2462617901,-6.825525776e-15,1.802198722e-15,0.7278433968,0.4103114,0.6981114552
