lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,132.5953242,1.18924964e-15,1.825113405e-14,-0.1656837327,0.3549718388,0.8245932096,0.3449438413,0.3917347388,0.8938345569,6.129602403e-15,5.969276491e-15,0.1534561056,0.798940215,0.04760367937,1,0,0,0.4568147269,1.025410612,38.65825164,34.50003531,4.158216335
29.24804468,10.25,3,118.0393551,9.413140495e-16,5.973030247e-15,-0.1864477048,0.3638339483,0.8063857195,0.3527895331,0.4088250097,0.880180881,6.32980441e-15,6.590226666e-15,0.1671378885,0.7747183833,0.05814372818,1,0,0,0.4862543495,1.023041253,46.69048047,40.74260434,5.947876132
28.55166267,10.5,3,108.3491658,8.802072521e-16,7.520836994e-14,-0.2034031851,0.3732077827,0.7908498342,0.3611981656,0.4250375334,0.8694294538,6.439125453e-15,6.895401399e-15,0.1806569048,0.7559075751,0.06343552009,1,0,0,0.512609236,1.021509422,53.92301174,47.22669795,6.696313792
27.88767051,10.75,3,100.9797827,8.635643452e-16,2.39405228e-14,-0.2165625221,0.3824098625,0.7785945312,0.3697008702,0.4394731265,0.861909611,6.50634606e-15,7.048644183e-15,0.193136629,0.7428881775,0.06397519353,1,0,0,0.5361582332,1.020572582,60.44006909,53.89874979,6.541319301
27.25385982,11,3,94.74195177,1.112940703e-15,7.34867509e-15,-0.2263746371,0.3911520192,0.7694477587,0.3779898288,0.4519351485,0.8572783469,6.390530197e-15,6.972404967e-15,0.2042453785,0.7349261641,0.06082845749,1,0,0,0.5571648048,1.020044991,66.31569359,60.71332512,5.602368467
26.64821849,11.25,3,94.7646205,7.590199904e-16,2.691307231e-13,-0.244933726,0.3997764032,0.7512893575,0.3892339345,0.4688429403,0.8461316413,6.598570602e-15,7.192480648e-15,0.2198137027,0.7159387545,0.06424754284,1,0,0,0.5877258848,1.012985143,79.48391112,70.9750699,8.508841221
26.06890939,11.5,3,94.50926975,7.473420426e-16,8.003660421e-14,-0.2589808984,0.4077902604,0.7377335191,0.4000386911,0.4830776358,0.8392149305,6.735433988e-15,7.35871225e-15,0.2333640022,0.7042816996,0.06235429823,1,0,0,0.6156465603,1.007518891,91.45683235,81.72441793,9.732414422
25.51425174,11.75,3,94.06725774,7.881962639e-16,2.295091608e-14,-0.2694249272,0.4152763546,0.7278433968,0.4103114,0.495019436,0.8355306429,6.446179596e-15,7.059442071e-15,0.245044242,0.6981114552,0.05684430281,1,0,0,0.6410597237,1.003293838,102.349658,92.87191164,9.477746349
24.98270483,12,3,93.54689792,8.321581157e-16,6.35037306e-15,-0.2770095778,0.4223471448,0.7208326266,0.4200547633,0.5050855541,0.8342935213,6.46434451e-15,7.023603361e-15,0.2551114169,0.6960456797,0.04884290336,1,0,0,0.6641227932,1.000025075,112.2648141,104.3403081,7.924505978
24.47285371,12.25,3,97.93470522,9.911509744e-16,3.531040698e-15,-0.2953047078,0.4255459575,0.7024082087,0.4271106153,0.517971266,0.8220710245,6.19443691e-15,6.725446596e-15,0.2682942324,0.6758007693,0.05590499827,1,0,0,0.6967881996,0.9838206338,132.9527829,120.2699515,12.68283145
23.98339664,12.5,3,102.9380616,7.704045535e-16,2.133974637e-15,-0.3101252132,0.4298352022,0.6875075725,0.4350133045,0.530033913,0.8135743588,5.924483606e-15,6.490305792e-15,0.280935949,0.6619032373,0.05716081379,1,0,0,0.7274904186,0.9704151587,151.9124527,137.2081697,14.70428307
23.51313396,12.75,3,108.6795679,6.541524028e-16,3.872040868e-13,-0.3220305516,0.4350778537,0.6755476994,0.4436070029,0.5412914326,0.808178116,5.769141419e-15,6.304886201e-15,0.292996415,0.6531518673,0.0538517178,1,0,0,0.756135998,0.9593312087,169.2974363,155.0007236,14.29671275
23.06095831,13,3,115.4475206,9.072313449e-16,1.743368562e-13,-0.3314686803,0.4411406977,0.6660704998,0.4527527961,0.5517939844,0.805378796,5.512759137e-15,6.045288138e-15,0.3044766012,0.6486350051,0.0468883937,1,0,0,0.7827176141,0.9501600469,185.2456109,173.5123991,11.73321188
