f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.1620388282,0.3678416893,0.8363455593,0.3585738709,0.4019503579,0.9099720411,4.346379234e-06,4.432403696e-06,0.1615640903,0.8280491155,0.01038679423,0,0
10.024,29.90746788,-0.1630217143,0.3688126425,0.8354958353,0.3594049283,0.4032354704,0.90951921,4.217341675e-06,4.317362875e-06,0.1625988446,0.8272251934,0.01017596202,0,0
10.048,29.83603284,-0.1640236697,0.3697842936,0.834611967,0.3602521666,0.4045295885,0.9090427707,4.087415281e-06,4.204719655e-06,0.163644188,0.826358759,0.009997053007,0,0
10.072,29.76493824,-0.1650441713,0.3707565353,0.8336951555,0.3611144057,0.4058324617,0.9085434642,3.956876376e-06,4.095256199e-06,0.164699987,0.8254512264,0.009848786623,0,0
10.096,29.69418166,-0.166082703,0.3717292609,0.8327465935,0.3619905049,0.4071438415,0.9080220342,3.826101149e-06,3.989911576e-06,0.1657661077,0.8245040146,0.009729877725,0,0
10.12,29.62376067,-0.1671387556,0.3727023651,0.8317674627,0.3628793628,0.4084634826,0.9074792251,3.695596845e-06,3.889806606e-06,0.1668424166,0.8235185439,0.009639039463,0,0
10.144,29.55367291,-0.1682118281,0.3736757436,0.8307589327,0.3637799187,0.4097911425,0.9069157808,3.566042478e-06,3.79626889e-06,0.1679287805,0.8224962335,0.009574986087,0,0
10.168,29.48391601,-0.1693014276,0.374649294,0.8297221589,0.364691152,0.4111265825,0.9063324431,3.43834155e-06,3.710855566e-06,0.1690250669,0.8214384974,0.009536435686,0,0
10.192,29.41448764,-0.1704070701,0.375622916,0.8286582812,0.3656120834,0.4124695681,0.9057299501,3.313689411e-06,3.63537e-06,0.1701311446,0.8203467426,0.009522112825,0,0
10.216,29.34538547,-0.1715282811,0.3765965116,0.8275684219,0.3665417741,0.4138198688,0.9051090349,3.193657416e-06,3.571867202e-06,0.1712468838,0.8192223651,0.009530751098,0,0
10.24,29.27660723,-0.172664596,0.3775699853,0.8264536844,0.3674793265,0.4151772591,0.904470424,3.080294252e-06,3.522641563e-06,0.1723721565,0.8180667479,0.009561095582,0,0
10.264,29.20815062,-0.1738155605,0.3785432443,0.8253151518,0.3684238839,0.4165415188,0.9038148361,2.976240584e-06,3.490190204e-06,0.1735068369,0.816881258,0.009611905173,0,0
10.288,29.14001341,-0.1749807311,0.3795161989,0.8241538851,0.36937463,0.4179124328,0.9031429807,2.884845022e-06,3.47714679e-06,0.1746508015,0.8156672436,0.009681954833,0,0
10.312,29.07219337,-0.1761596757,0.3804887628,0.8229709223,0.370330789,0.4192897923,0.902455557,2.810256138e-06,3.486184687e-06,0.1758039299,0.8144260323,0.009770037703,0,0
10.336,29.00468827,-0.1773519737,0.3814608527,0.8217672768,0.3712916252,0.4206733943,0.9017532524,2.757448053e-06,3.519894973e-06,0.1769661047,0.8131589282,0.009874967116,0,0
10.36,28.93749595,-0.178557217,0.3824323889,0.8205439361,0.3722564421,0.4220630425,0.9010367416,2.732123101e-06,3.580652367e-06,0.1781372118,0.8118672097,0.00999557848,0,0
10.384,28.87061421,-0.1797750096,0.3834032954,0.8193018608,0.3732245822,0.423458547,0.9003066855,2.740440088e-06,3.670487736e-06,0.179317141,0.8105521279,0.01013073105,0,0
10.408,28.80404093,-0.1810049686,0.3843735,0.8180419837,0.3741954265,0.4248597252,0.89956373,2.78855995e-06,3.790985948e-06,0.1805057861,0.8092149043,0.01027930956,0,0
10.432,28.73777396,-0.1822467243,0.3853429339,0.8167652085,0.3751683932,0.4262664017,0.8988085052,2.882082334e-06,3.943221032e-06,0.1817030452,0.807856729,0.01044022577,0,0
10.456,28.67181121,-0.1834999206,0.3863115325,0.8154724089,0.3761429375,0.4276784084,0.8980416244,3.0255236e-06,4.127728474e-06,0.182908821,0.8064787592,0.01061241984,0,0
10.48,28.60615057,-0.1847642153,0.3872792348,0.8141644282,0.3771185505,0.4290955849,0.8972636833,3.221986136e-06,4.344501783e-06,0.184123021,0.8050821174,0.01079486162,0,0
10.504,28.54078998,-0.1860392801,0.3882459841,0.8128420781,0.3780947585,0.4305177788,0.8964752591,3.473061194e-06,4.592991709e-06,0.1853455579,0.8036678903,0.01098655183,0,0
10.528,28.47572739,-0.1873248015,0.389211727,0.811506138,0.3790711216,0.4319448456,0.8956769101,3.778855541e-06,4.872084143e-06,0.1865763497,0.8022371273,0.01118652303,0,0
10.552,28.41096077,-0.1886204803,0.3901764144,0.810157355,0.3800472332,0.433376649,0.8948691745,4.137936214e-06,5.180036315e-06,0.18781532,0.8007908394,0.01139384063,0,0
10.576,28.34648809,-0.1899260325,0.3911400008,0.8087964428,0.381022719,0.434813061,0.8940525702,4.546989366e-06,5.514358485e-06,0.1890623981,0.7993299983,0.01160760364,0,0
10.6,28.28230736,-0.1912411888,0.3921024445,0.8074240815,0.3819972354,0.4362539619,0.8932275943,5.000063748e-06,5.871638573e-06,0.1903175193,0.7978555353,0.01182694536,0,0
10.624,28.2184166,-0.1925656953,0.3930637076,0.8060409175,0.3829704689,0.4376992406,0.8923947225,5.487392328e-06,6.247319995e-06,0.1915806253,0.7963683407,0.01205103399,0,0
10.648,28.15481386,-0.1938993135,0.3940237555,0.8046475627,0.3839421349,0.4391487945,0.8915544084,5.993978438e-06,6.635459545e-06,0.1928516637,0.7948692632,0.0122790731,0,0
10.672,28.09149719,-0.1952418202,0.3949825574,0.803244595,0.3849119763,0.4406025295,0.8907070837,6.498435195e-06,7.028513135e-06,0.1941305891,0.7933591089,0.012510302,0,0
10.696,28.02846466,-0.196593008,0.3959400857,0.8018325575,0.3858797628,0.4420603604,0.8898531574,6.972936637e-06,7.417220807e-06,0.1954173623,0.7918386417,0.01274399599,0,0
10.72,27.96571437,-0.1979526849,0.3968963159,0.8004119592,0.3868452892,0.4435222103,0.8889930159,7.385318077e-06,7.790681948e-06,0.1967119511,0.7903085823,0.01297946659,0,0
10.744,27.90324442,-0.1993206746,0.3978512269,0.7989832744,0.3878083747,0.4449880111,0.8881270226,7.70387486e-06,8.136714203e-06,0.1980143301,0.7887696083,0.01321606158,0,0
10.768,27.84105293,-0.2006968165,0.3988048003,0.797546943,0.3887688613,0.4464577034,0.8872555178,7.903983143e-06,8.442558425e-06,0.199324481,0.787222354,0.01345316503,0,0
10.792,27.77913807,-0.2020809659,0.3997570206,0.796103371,0.3897266132,0.4479312361,0.8863788188,7.973988763e-06,8.695915945e-06,0.2006423924,0.7856674104,0.01369019719,0,0
10.816,27.71749797,-0.2034729934,0.4007078748,0.7946529302,0.3906815148,0.4494085669,0.8854972194,7.917476364e-06,8.886191898e-06,0.20196806,0.7841053256,0.01392661434,0,0
10.84,27.65613081,-0.2048727853,0.4016573524,0.793195959,0.3916334702,0.4508896616,0.8846109904,7.750865171e-06,9.005707503e-06,0.203301487,0.7825366045,0.01416190855,0,0
10.864,27.59503479,-0.2062802436,0.402605445,0.7917327623,0.3925824019,0.4523744945,0.8837203795,7.497901742e-06,9.050593846e-06,0.2046426833,0.7809617093,0.01439560737,0,0
10.888,27.53420812,-0.2076952856,0.4035521464,0.7902636123,0.3935282493,0.4538630482,0.8828256113,7.183824324e-06,9.021134407e-06,0.2059916666,0.77938106,0.01462727343,0,0
10.912,27.47364901,-0.2091178437,0.4044974521,0.7887887487,0.3944709678,0.4553553133,0.8819268873,6.831211941e-06,8.921476051e-06,0.2073484614,0.7777950346,0.01485650404,0,0
10.936,27.41335571,-0.2105478659,0.4054413593,0.7873083792,0.3954105279,0.4568512884,0.8810243865,6.458028422e-06,8.758812305e-06,0.2087130997,0.7762039696,0.01508293064,0,0
10.96,27.35332646,-0.2119853148,0.4063838665,0.7858226804,0.3963469137,0.4583509797,0.8801182653,6.077351702e-06,8.542274342e-06,0.2100856207,0.774608161,0.01530621829,0,0
10.984,27.29355954,-0.2134301681,0.4073249734,0.7843317979,0.3972801217,0.4598544016,0.879208658,5.698014295e-06,8.281795423e-06,0.2114660707,0.7730078643,0.01552606504,0,0
11.008,27.23405323,-0.214882418,0.4082646808,0.7828358473,0.3982101602,0.4613615753,0.8782956766,5.325551844e-06,7.987154262e-06,0.2128545032,0.7714032955,0.01574220125,0,0
11.032,27.17480584,-0.2163420712,0.4092029902,0.7813349147,0.399137048,0.4628725299,0.8773794117,4.96312235e-06,7.667300821e-06,0.214250979,0.7697946321,0.01595438896,0,0
11.056,27.11581567,-0.2178091484,0.4101399035,0.7798290576,0.4000608131,0.4643873012,0.8764599325,4.612260064e-06,7.329974051e-06,0.2156555656,0.7681820133,0.01616242108,0,0
11.08,27.05708105,-0.2192836845,0.411075423,0.7783183054,0.4009814922,0.4659059322,0.8755372874,4.273440199e-06,6.981561713e-06,0.2170683377,0.7665655417,0.01636612065,0,0
11.104,26.99860032,-0.2207657279,0.4120095511,0.7768026602,0.4018991294,0.4674284724,0.8746115041,3.946478771e-06,6.627129747e-06,0.2184893768,0.7649452831,0.01656534003,0,0
11.128,26.94037185,-0.2222553404,0.4129422901,0.7752820978,0.4028137751,0.4689549779,0.8736825903,3.630805197e-06,6.270551673e-06,0.2199187713,0.7633212687,0.01675996006,0,0
11.152,26.88239401,-0.223752597,0.4138736417,0.7737565685,0.4037254853,0.4704855109,0.8727505341,3.325643194e-06,5.914683749e-06,0.221356616,0.7616934949,0.01694988915,0,0
11.176,26.82466518,-0.2252575855,0.4148036073,0.7722259976,0.4046343209,0.4720201398,0.8718153044,3.030128694e-06,5.561549471e-06,0.2228030124,0.7600619251,0.01713506249,0,0
11.2,26.76718375,-0.226770406,0.4157321872,0.7706902868,0.4055403461,0.4735589388,0.8708768515,2.743386297e-06,5.212512221e-06,0.2242580685,0.7584264905,0.017315441,0,0
11.224,26.70994815,-0.228291171,0.416659381,0.7691493144,0.4064436284,0.4751019875,0.8699351073,2.464580231e-06,4.868425991e-06,0.2257218985,0.7567870909,0.01749101054,0,0
11.248,26.65295679,-0.2298200046,0.4175851868,0.7676029369,0.4073442372,0.4766493709,0.8689899864,2.192952284e-06,4.529761137e-06,0.2271946227,0.7551435964,0.01766178084,0,0
11.272,26.59620813,-0.2313570426,0.4185096013,0.7660509896,0.4082422432,0.4782011789,0.868041386,1.927858357e-06,4.196706225e-06,0.2286763675,0.7534958479,0.01782778462,0,0
11.296,26.5397006,-0.2329024317,0.4194326196,0.7644932873,0.4091377176,0.4797575065,0.8670891871,1.668818725e-06,3.869249007e-06,0.230167265,0.7518436584,0.01798907658,0,0
11.32,26.48343269,-0.2344563295,0.4203542348,0.7629296256,0.4100307316,0.4813184529,0.8661332544,1.415609798e-06,3.547240462e-06,0.2316674531,0.7501868144,0.01814573243,0,0
11.344,26.42740286,-0.2360189039,0.4212744381,0.7613597814,0.4109213552,0.4828841219,0.8651734375,1.168463528e-06,3.230446073e-06,0.2331770752,0.7485250769,0.0182978479,0,0
11.368,26.37160961,-0.237590333,0.4221932184,0.7597835144,0.411809657,0.4844546212,0.8642095708,9.285636599e-07,2.918588817e-06,0.23469628,0.7468581823,0.01844553773,0,0
11.392,26.31605144,-0.2391708043,0.423110562,0.7582005674,0.4126957033,0.4860300621,0.8632414749,6.994799901e-07,2.611389076e-06,0.2362252213,0.745185844,0.0185889347,0,0
11.416,26.26072687,-0.2407605147,0.4240264526,0.7566106679,0.4135795578,0.4876105598,0.8622689565,4.921103726e-07,2.30860878e-06,0.237764058,0.7435077534,0.01872818861,0,0
11.44,26.20563444,-0.2423596701,0.4249408713,0.7550135282,0.4144612806,0.4891962324,0.8612918094,3.431178832e-07,2.010112588e-06,0.2393129538,0.7418235809,0.01886346531,0,0
11.464,26.15077268,-0.2439684846,0.4258537959,0.7534088472,0.4153409278,0.4907872014,0.8603098147,3.371797731e-07,1.715973064e-06,0.240872077,0.7401329773,0.01899494566,0,0
11.488,26.09614015,-0.2455871808,0.4267652012,0.7517963107,0.4162185511,0.4923835907,0.8593227421,4.781800678e-07,1.426686166e-06,0.2424416003,0.7384355751,0.0191228246,0,0
11.512,26.04173541,-0.2472159886,0.4276750586,0.7501755924,0.4170941975,0.4939855269,0.8583303496,6.797147748e-07,1.143685437e-06,0.2440217008,0.7367309891,0.0192473101,0,0
11.536,25.98755704,-0.2488551457,0.428583336,0.7485463553,0.4179679082,0.4955931391,0.8573323849,9.021442716e-07,8.707817943e-07,0.2456125595,0.7350188183,0.01936862224,0,0
11.56,25.93360363,-0.2505048965,0.4294899977,0.7469082516,0.4188397189,0.497206558,0.8563285856,1.133575425e-06,6.190082458e-07,0.2472143613,0.7332986464,0.01948699221,0,0
11.584,25.87987379,-0.2521654921,0.4303950042,0.7452609247,0.4197096588,0.4988259166,0.8553186795,1.369970348e-06,4.251683465e-07,0.2488272951,0.7315700436,0.01960266136,0,0
11.608,25.82636613,-0.2538371899,0.4312983119,0.7436040092,0.4205777508,0.5004513491,0.8543023861,1.609774523e-06,3.873675239e-07,0.2504515528,0.7298325669,0.01971588025,0,0
11.632,25.77307926,-0.2555202529,0.4321998734,0.7419371321,0.4214440106,0.5020829914,0.8532794162,1.852374002e-06,5.3942553e-07,0.2520873302,0.7280857621,0.01982690773,0,0
11.656,25.72001184,-0.25721495,0.4330996369,0.7402599136,0.4223084468,0.5037209803,0.8522494729,2.097566394e-06,7.77448053e-07,0.253734826,0.726329164,0.01993601,0,0
11.68,25.6671625,-0.258921555,0.4339975463,0.738571968,0.4231710606,0.5053654537,0.8512122523,2.345350512e-06,1.04507326e-06,0.2553942418,0.7245622984,0.02004345974,0,0
11.704,25.6145299,-0.2606403467,0.4348935411,0.736872904,0.4240318452,0.5070165504,0.8501674438,2.595832776e-06,1.325490898e-06,0.2570657824,0.7227846824,0.02014953518,0,0
11.728,25.56211272,-0.2623716082,0.4357875562,0.7351623261,0.424890786,0.5086744095,0.8491147306,2.849181956e-06,1.61315148e-06,0.2587496549,0.7209958258,0.02025451928,0,0
11.752,25.50990963,-0.2641156268,0.4366795219,0.7334398351,0.42574786,0.5103391707,0.8480537907,3.105605974e-06,1.90595622e-06,0.2604460692,0.719195232,0.02035869884,0,0
11.776,25.45791933,-0.2658726939,0.4375693637,0.7317050283,0.4266030361,0.5120109739,0.8469842967,3.365339581e-06,2.203084596e-06,0.2621552374,0.7173823989,0.02046236371,0,0
11.8,25.40614051,-0.267643104,0.4384570023,0.7299575012,0.4274562744,0.513689959,0.8459059168,3.628637758e-06,2.504270039e-06,0.263877374,0.7155568201,0.02056580595,0,0
11.824,25.35457189,-0.2694271554,0.4393423532,0.7281968471,0.4283075266,0.5153762659,0.8448183151,3.895772321e-06,2.809517691e-06,0.2656126954,0.7137179855,0.02066931908,0,0
11.848,25.30321219,-0.2712251489,0.4402253273,0.7264226585,0.4291567356,0.5170700341,0.8437211521,4.167030386e-06,3.118980569e-06,0.2673614202,0.7118653825,0.0207731973,0,0
11.872,25.25206014,-0.2730373883,0.4411058301,0.7246345272,0.4300038354,0.5187714031,0.8426140851,4.442713997e-06,3.432900288e-06,0.2691237687,0.7099984965,0.02087773477,0,0
11.896,25.20111449,-0.2748641798,0.4419837619,0.7228320452,0.4308487512,0.5204805117,0.8414967688,4.723140509e-06,3.751576874e-06,0.2708999631,0.708116812,0.02098322491,0,0
11.92,25.15037399,-0.2767058318,0.4428590179,0.7210148049,0.4316913994,0.5221974982,0.8403688554,5.008643494e-06,4.075352863e-06,0.2726902271,0.7062198132,0.0210899597,0,0
11.944,25.09983741,-0.2785626548,0.443731488,0.7191823998,0.4325316874,0.5239225001,0.8392299952,5.299574041e-06,4.404604896e-06,0.2744947862,0.7043069848,0.02119822904,0,0
