lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-5.953354988e-15,-4.356905023e-16,0.8245932096,0.3449438413,0.798940215
29.9792458,10,refl,0,0,0.2095845022,-6.124434416e-15,2.51651948e-16,-0.1656837327,0.3549718388,0.1534561056
27.25385982,11,trans,0,0,0.2305429524,-6.936404624e-15,7.076170699e-16,0.7694477587,0.3779898288,0.7349261641
27.25385982,11,refl,0,0,0.2305429524,-6.296752946e-15,1.090769694e-15,-0.2263746371,0.3911520192,0.2042453785
24.98270483,12,trans,0,0,0.2515014026,-6.664305467e-15,2.21766472e-15,0.7208326266,0.4200547633,0.6960456797
24.98270483,12,refl,0,0,0.2515014026,-6.071369576e-15,2.219509274e-15,-0.2770095778,0.4223471448,0.2551114169
23.06095831,13,trans,0,0,0.2724598529,-5.718213868e-15,1.961514424e-15,0.6660704998,0.4527527961,0.6486350051
23.06095831,13,refl,0,0,0.2724598529,-5.218366525e-15,1.777403758e-15,-0.3314686803,0.4411406977,0.3044766012
21.413747,14,trans,0,0,0.2934183031,-5.373602343e-15,8.110410591e-17,0.5817889483,0.4623850714,0.5522783346
21.413747,14,refl,0,0,0.2934183031,-5.132267102e-15,4.153965118e-17,-0.4136267466,0.4552655766,0.3783538308
19.98616387,15,trans,0,0,0.3143767533,-4.726884548e-15,-6.876326998e-15,0.4908843384,0.4501475067,0.4436002115
19.98616387,15,refl,0,0,0.3143767533,-5.015519203e-15,-7.088281288e-15,-0.503705407,0.461057404,0.4662930669
18.73702863,16,trans,0,0,0.3353352035,1.618600133e-16,-1.445216051e-15,0.3686087664,0.4165113075,0.3093540919
18.73702863,16,refl,0,0,0.3353352035,-2.542577561e-16,-1.901849164e-15,-0.6275766277,0.4356561044,0.5836486648
17.63485047,17,trans,0,0,0.3562936537,-7.073914679e-16,-2.192543641e-15,0.2436001505,0.3475793067,0.1801524077
17.63485047,17,refl,0,0,0.3562936537,-6.985913826e-16,-2.594188724e-15,-0.7532431135,0.3552641058,0.693587773
