lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-1.586996419e-15,7.707645097e-16,0.9562300987,0.1920335263,0.9512528768
29.9792458,10,refl,0,0,0.2095845022,-1.265857096e-15,1.168173968e-15,-0.04794114939,0.1983293855,0.04163289897
29.24804468,10.25,trans,0,0,0.2148241148,-1.735549663e-15,8.292850232e-16,0.9499548668,0.2024970672,0.9434193112
29.24804468,10.25,refl,0,0,0.2148241148,-1.412988993e-15,1.234875857e-15,-0.05357870137,0.2100855877,0.04700663142
28.55166267,10.5,trans,0,0,0.2200637273,-1.689989817e-15,8.624125298e-16,0.9447662105,0.2113585961,0.9372556487
28.55166267,10.5,refl,0,0,0.2200637273,-1.38832015e-15,1.248259535e-15,-0.05826310053,0.2197982068,0.05170584061
27.88767051,10.75,trans,0,0,0.2253033399,-1.628760742e-15,9.061181439e-16,0.9404549011,0.2188644404,0.9323570643
27.88767051,10.75,refl,0,0,0.2253033399,-1.325441369e-15,1.256613203e-15,-0.06217243615,0.2279263618,0.0558158382
27.25385982,11,trans,0,0,0.2305429524,-1.53684315e-15,8.873282206e-16,0.9369126608,0.2252607305,0.9285477307
27.25385982,11,refl,0,0,0.2305429524,-1.261472613e-15,1.194035225e-15,-0.06537257915,0.2348242221,0.05941598939
26.64821849,11.25,trans,0,0,0.235782565,-1.497634948e-15,8.900209404e-16,0.9303162488,0.2355249922,0.9209603447
26.64821849,11.25,refl,0,0,0.235782565,-1.243939674e-15,1.088760388e-15,-0.07120610195,0.2438975232,0.0645563108
26.06890939,11.5,trans,0,0,0.2410221775,-1.702942785e-15,8.363537365e-16,0.9248012165,0.2444073283,0.9149922322
26.06890939,11.5,refl,0,0,0.2410221775,-1.452644745e-15,9.167915261e-16,-0.07607027001,0.2516800952,0.06912955632
25.51425174,11.75,trans,0,0,0.2462617901,-1.829405651e-15,7.358948742e-16,0.9203124186,0.2521257388,0.910542336
25.51425174,11.75,refl,0,0,0.2462617901,-1.594559039e-15,7.187819767e-16,-0.08001247648,0.2584064202,0.07317587437
24.98270483,12,trans,0,0,0.2515014026,-1.629784993e-15,8.024174741e-16,0.9167591144,0.2588584152,0.907454953
24.98270483,12,refl,0,0,0.2515014026,-1.378369562e-15,6.979583309e-16,-0.083109045,0.2642528723,0.0767366939
24.47285371,12.25,trans,0,0,0.2567410152,-1.644843718e-15,7.482604489e-16,0.9115175343,0.2677421221,0.9025500593
24.47285371,12.25,refl,0,0,0.2567410152,-1.412950764e-15,5.946120421e-16,-0.08777584177,0.2714373333,0.0813828243
23.98339664,12.5,trans,0,0,0.2619806277,-1.589013187e-15,7.643212741e-16,0.9072497148,0.27562841,0.8990730654
23.98339664,12.5,refl,0,0,0.2619806277,-1.334975342e-15,5.81824471e-16,-0.09159108374,0.2777881119,0.08555516176
23.51313396,12.75,trans,0,0,0.2672202403,-1.472603692e-15,7.388432991e-16,0.9038168358,0.2826902984,0.8967986775
23.51313396,12.75,refl,0,0,0.2672202403,-1.220082356e-15,5.326702247e-16,-0.0946624634,0.2834683665,0.08931529679
23.06095831,13,trans,0,0,0.2724598529,-1.407189787e-15,7.225913602e-16,0.9010996351,0.2890780197,0.8955466538
23.06095831,13,refl,0,0,0.2724598529,-1.148514505e-15,4.835683339e-16,-0.09708735742,0.2886125091,0.0927231354
22.62584589,13.25,trans,0,0,0.2776994654,-1.440786329e-15,6.662159464e-16,0.8945893998,0.2968710326,0.8884226043
22.62584589,13.25,refl,0,0,0.2776994654,-1.140296811e-15,4.876800586e-16,-0.1035223571,0.2969977182,0.09892452301
22.20684874,13.5,trans,0,0,0.282939078,-1.390444219e-15,6.55497926e-16,0.8890268482,0.3041562099,0.8828797369
22.20684874,13.5,refl,0,0,0.282939078,-1.089812354e-15,5.335728965e-16,-0.1090257726,0.3047892363,0.1047830977
21.80308785,13.75,trans,0,0,0.2881786905,-1.152957668e-15,6.596271111e-16,0.8842580612,0.3110985779,0.8786946439
21.80308785,13.75,refl,0,0,0.2881786905,-8.793081399e-16,5.896462778e-16,-0.1137458767,0.3121740733,0.1103907765
21.413747,14,trans,0,0,0.2934183031,-1.239737866e-15,6.311176281e-16,0.8801443412,0.3178433824,0.8756784771
21.413747,14,refl,0,0,0.2934183031,-9.950613459e-16,5.820967549e-16,-0.1178155684,0.3193101484,0.115839479
21.03806723,14.25,trans,0,0,0.2986579156,-9.756736264e-16,6.520531767e-16,0.868582803,0.3259380342,0.8606716878
21.03806723,14.25,refl,0,0,0.2986579156,-7.72563817e-16,6.429530152e-16,-0.1296413997,0.330463527,0.1260130352
20.67534193,14.5,trans,0,0,0.3038975282,-1.029336048e-15,6.165121124e-16,0.8580150205,0.3340759379,0.8477965077
20.67534193,14.5,refl,0,0,0.3038975282,-7.899509173e-16,6.067930823e-16,-0.1404888755,0.3414386482,0.1363174746
20.32491241,14.75,trans,0,0,0.3091371407,-9.906174793e-16,6.155294302e-16,0.8480802643,0.3425004342,0.8365466821
20.32491241,14.75,refl,0,0,0.3091371407,-7.997108079e-16,6.187849785e-16,-0.150688078,0.3525062178,0.1469675304
19.98616387,15,trans,0,0,0.3143767533,-9.412860227e-16,6.339948345e-16,0.8383685831,0.351500902,0.8264147651
19.98616387,15,refl,0,0,0.3143767533,-7.226586467e-16,6.583856142e-16,-0.1606250865,0.3639815312,0.1582829735
19.65852184,15.25,trans,0,0,0.3196163658,-1.09760463e-15,4.9519445e-16,0.8164932493,0.3616377849,0.7974431137
19.65852184,15.25,refl,0,0,0.3196163658,-8.887978047e-16,4.804988212e-16,-0.183170534,0.3770852989,0.1757447671
19.3414489,15.5,trans,0,0,0.3248559784,-1.648895787e-15,3.52414786e-16,0.792763991,0.3728725571,0.7675086892
19.3414489,15.5,refl,0,0,0.3248559784,-1.40602401e-15,3.253787075e-16,-0.2075979438,0.3911718213,0.1961123001
19.03444178,15.75,trans,0,0,0.330095591,-1.486384545e-15,2.864171778e-16,0.7643245174,0.3857678783,0.7330088238
19.03444178,15.75,refl,0,0,0.330095591,-1.260932276e-15,3.06338917e-16,-0.2368077967,0.4069232877,0.2216644946
18.73702863,16,trans,0,0,0.3353352035,-1.63491159e-15,3.504232112e-16,0.7249850105,0.4008509748,0.6862847694
18.73702863,16,refl,0,0,0.3353352035,-1.369123135e-15,3.757837857e-16,-0.2771198753,0.4250647287,0.2574754489
18.44876665,16.25,trans,0,0,0.3405748161,-1.752375602e-15,-4.769982264e-16,0.634939814,0.401427526,0.564292626
18.44876665,16.25,refl,0,0,0.3405748161,-1.449921195e-15,-4.465413586e-16,-0.3694480492,0.4269980966,0.3188192355
