lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,22.24621653,7.22691986e-16,1.825113405e-14,-0.04794114939,0.1983293855,0.9562300987,0.1920335263,0.2040414148,0.975321935,1.722505329e-15,1.764266296e-15,0.04163289897,0.9512528768,0.007114224197,1,0,0,0.2192342415,1.009114423,6.900042489,7.315236361,-0.4151938725
29.24804468,10.25,3,20.44642983,7.74854832e-16,5.973030247e-15,-0.05357870137,0.2100855877,0.9499548668,0.2024970672,0.2168101276,0.9712977459,1.876554363e-15,1.923498448e-15,0.04700663142,0.9434193112,0.00957405742,1,0,0,0.231057891,1.008698303,8.370545175,8.451268979,-0.08072380368
28.55166267,10.5,3,19.49091924,5.875623887e-16,7.520836994e-14,-0.05826310053,0.2197982068,0.9447662105,0.2113585961,0.2273891832,0.9681196459,1.866972069e-15,1.897319412e-15,0.05170584061,0.9372556487,0.01103851067,1,0,0,0.2415272783,1.008392141,9.694844045,9.611630923,0.08321312213
27.88767051,10.75,3,18.58468123,5.578207591e-16,2.39405228e-14,-0.06217243615,0.2279263618,0.9404549011,0.2188644404,0.2362537581,0.9655863836,1.826436849e-15,1.863843246e-15,0.0558158382,0.9323570643,0.01182709751,1,0,0,0.2507891882,1.00816114,10.88833064,10.78928046,0.09905018295
27.25385982,11,3,17.67523985,6.307382591e-16,7.34867509e-15,-0.06537257915,0.2348242221,0.9369126608,0.2252607305,0.2437539526,0.9636118154,1.73696093e-15,1.77460932e-15,0.05941598939,0.9285477307,0.01203627989,1,0,0,0.2589728784,1.007979195,11.96453606,11.97829081,-0.01375474765
26.64821849,11.25,3,17.30967893,5.996679381e-16,2.691307231e-13,-0.07120610195,0.2438975232,0.9303162488,0.2355249922,0.2540793396,0.9596667884,1.653113757e-15,1.742138832e-15,0.0645563108,0.9209603447,0.01448334449,1,0,0,0.2703053607,1.006536812,14.3184944,13.69450944,0.6239849546
26.06890939,11.5,3,17.10751197,5.673369967e-16,8.003660421e-14,-0.07607027001,0.2516800952,0.9248012165,0.2444073283,0.2629250013,0.9565522632,1.717755355e-15,1.897235278e-15,0.06912955632,0.9149922322,0.01587821151,1,0,0,0.280445957,1.005314796,16.45867699,15.44896782,1.009709165
25.51425174,11.75,3,16.85062315,6.29553218e-16,2.295091608e-14,-0.08001247648,0.2584064202,0.9203124186,0.2521257388,0.270510396,0.9542234204,1.749075772e-15,1.971868734e-15,0.07317587437,0.910542336,0.01628178961,1,0,0,0.2895087093,1.004265753,18.40569029,17.23217468,1.173515612
24.98270483,12,3,16.50798912,5.146334034e-16,6.35037306e-15,-0.083109045,0.2642528723,0.9167591144,0.2588584152,0.2770138876,0.9526043003,1.545007599e-15,1.816610284e-15,0.0767366939,0.907454953,0.01580835312,1,0,0,0.297596527,1.00335207,20.17785555,19.03600498,1.141850571
24.47285371,12.25,3,16.61845199,6.589762524e-16,3.531040698e-15,-0.08777584177,0.2714373333,0.9115175343,0.2677421221,0.2852767504,0.9500263466,1.5329688e-15,1.807043042e-15,0.0813828243,0.9025500593,0.01606711645,1,0,0,0.3092572423,1.000622276,23.58721258,21.59420034,1.99301224
