f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.03883344335,0.1943336414,0.9600132262,0.1879022112,0.1981756809,0.9782293368,3.34812458e-06,3.035559197e-06,0.03927360051,0.9569326354,0.003793764062,0,0
10.024,29.90746788,-0.03907224104,0.1949095156,0.9597903521,0.1884653663,0.1987872212,0.9781189673,3.421267726e-06,3.105719061e-06,0.03951635932,0.9567167143,0.003766926414,0,0
10.048,29.83603284,-0.03931362905,0.1954853699,0.9595607572,0.1890277411,0.1993993262,0.9780022155,3.495283746e-06,3.177005428e-06,0.03976009129,0.9564883336,0.003751575103,0,0
10.072,29.76493824,-0.03955749854,0.1960612806,0.959324975,0.189589429,0.2000120533,0.9778796241,3.570070675e-06,3.249336709e-06,0.04000482147,0.9562485593,0.003746619275,0,0
10.096,29.69418166,-0.03980374528,0.1966373231,0.9590835119,0.1901505286,0.2006254595,0.97775171,3.645515789e-06,3.322621165e-06,0.04025057501,0.9559984064,0.003751018614,0,0
10.12,29.62376067,-0.04005226969,0.1972135715,0.9588368473,0.1907111434,0.2012396012,0.9776189647,3.72149521e-06,3.39675635e-06,0.04049737709,0.9557388401,0.003763782851,0,0
10.144,29.55367291,-0.04030297681,0.1977900983,0.9585854344,0.1912713803,0.201854534,0.9774818545,3.797873586e-06,3.471628593e-06,0.04074525292,0.9554707759,0.003783971179,0,0
10.168,29.48391601,-0.04055577635,0.1983669747,0.9583297001,0.1918313494,0.202470313,0.9773408212,3.874503889e-06,3.54711256e-06,0.04099422766,0.9551950807,0.003810691597,0,0
10.192,29.41448764,-0.04081058258,0.1989442704,0.9580700464,0.192391163,0.2030869922,0.9771962819,3.951227323e-06,3.623070898e-06,0.0412443264,0.9549125734,0.003843100187,0,0
10.216,29.34538547,-0.04106731442,0.1995220534,0.9578068502,0.192950935,0.2037046246,0.9770486301,4.027873398e-06,3.699353995e-06,0.04149557411,0.9546240256,0.00388040032,0,0
10.24,29.27660723,-0.04132589535,0.2001003897,0.9575404641,0.1935107805,0.2043232625,0.9768982355,4.104260155e-06,3.775799869e-06,0.0417479956,0.9543301626,0.003921841814,0,0
