f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.9600132262,0.1879022112,0.9569326354
10,1,0,0.2095845022,1,refl,-0.03883344335,0.1943336414,0.0392736005
10.024,1,0,0.210087505,1,trans,0.9597903521,0.1884653663,0.9567167143
10.024,1,0,0.210087505,1,refl,-0.03907224104,0.1949095156,0.03951635931
10.048,1,0,0.2105905078,1,trans,0.9595607572,0.1890277411,0.9564883336
10.048,1,0,0.2105905078,1,refl,-0.03931362905,0.1954853699,0.03976009128
10.072,1,0,0.2110935106,1,trans,0.959324975,0.189589429,0.9562485592
10.072,1,0,0.2110935106,1,refl,-0.03955749854,0.1960612806,0.04000482146
10.096,1,0,0.2115965134,1,trans,0.9590835119,0.1901505286,0.9559984064
10.096,1,0,0.2115965134,1,refl,-0.03980374528,0.1966373231,0.04025057499
10.12,1,0,0.2120995162,1,trans,0.9588368473,0.1907111434,0.95573884
10.12,1,0,0.2120995162,1,refl,-0.04005226969,0.1972135715,0.04049737708
10.144,1,0,0.212602519,1,trans,0.9585854344,0.1912713803,0.9554707759
10.144,1,0,0.212602519,1,refl,-0.04030297681,0.1977900983,0.04074525291
10.168,1,0,0.2131055218,1,trans,0.9583297001,0.1918313494,0.9551950807
10.168,1,0,0.2131055218,1,refl,-0.04055577635,0.1983669747,0.04099422765
10.192,1,0,0.2136085246,1,trans,0.9580700464,0.192391163,0.9549125734
10.192,1,0,0.2136085246,1,refl,-0.04081058258,0.1989442704,0.04124432639
10.216,1,0,0.2141115274,1,trans,0.9578068502,0.192950935,0.9546240256
10.216,1,0,0.2141115274,1,refl,-0.04106731442,0.1995220534,0.04149557409
10.24,1,0,0.2146145302,1,trans,0.9575404641,0.1935107805,0.9543301626
10.24,1,0,0.2146145302,1,refl,-0.04132589535,0.2001003897,0.04174799559
10.264,1,0,0.2151175331,1,trans,0.9572712172,0.1940708146,0.9540316645
10.264,1,0,0.2151175331,1,refl,-0.04158625335,0.2006793438,0.0420016155
10.288,1,0,0.2156205359,1,trans,0.9569994156,0.1946311524,0.9537291669
10.288,1,0,0.2156205359,1,refl,-0.04184832093,0.2012589781,0.04225645822
10.312,1,0,0.2161235387,1,trans,0.9567253426,0.1951919082,0.9534232622
10.312,1,0,0.2161235387,1,refl,-0.04211203501,0.201839353,0.04251254791
10.336,1,0,0.2166265415,1,trans,0.95644926,0.1957531951,0.9531145004
10.336,1,0,0.2166265415,1,refl,-0.04237733691,0.2024205269,0.04276990839
