lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-4.071527701e-17,-2.200282334e-16,0.7869704828,0.40572191,0.7839328091
29.9792458,10,refl,0,0,0.2095845022,-1.357651298e-17,-5.932021968e-16,-0.212167456,0.4104066872,0.2134486783
27.25385982,11,trans,0,0,0.2305429524,-5.222996974e-16,-3.685007826e-17,0.7314293761,0.4376417528,0.726519236
27.25385982,11,refl,0,0,0.2305429524,-7.530074869e-16,-2.419198884e-16,-0.2665074861,0.4443534479,0.2684762268
24.98270483,12,trans,0,0,0.2515014026,-5.008068444e-16,-4.06562769e-16,0.6715920402,0.461569963,0.6640826993
24.98270483,12,refl,0,0,0.2515014026,-8.562134796e-16,-1.426997182e-16,-0.3265293354,0.4645935524,0.3224685758
23.06095831,13,trans,0,0,0.2724598529,2.202276666e-16,5.34540335e-16,0.602579417,0.4781062616,0.5916875512
23.06095831,13,refl,0,0,0.2724598529,2.156379916e-16,1.085141317e-15,-0.3961990037,0.4760434302,0.3835909979
21.413747,14,trans,0,0,0.2934183031,-2.373923554e-16,-7.121333879e-17,0.5149113616,0.4819707827,0.4974295457
21.413747,14,refl,0,0,0.2934183031,9.493336332e-17,4.549708517e-16,-0.4832574128,0.4824476825,0.4662934934
19.98616387,15,trans,0,0,0.3143767533,1.102630389e-16,5.376294785e-16,0.4073059971,0.4619524279,0.3792982209
19.98616387,15,refl,0,0,0.3143767533,3.928623613e-16,5.789869685e-16,-0.5883722579,0.4734730104,0.5703586055
18.73702863,16,trans,0,0,0.3353352035,-1.082975731e-15,-4.124003954e-15,0.2513676333,0.3432358856,0.1809965602
18.73702863,16,refl,0,0,0.3353352035,-9.586893499e-16,-4.596543164e-15,-0.7426869585,0.367239138,0.6864485028
17.63485047,17,trans,0,0,0.3562936537,-5.689188133e-16,-4.240747307e-15,0.1584684199,0.2435971502,0.0844518117
17.63485047,17,refl,0,0,0.3562936537,-3.425265055e-16,-4.458015974e-15,-0.8395952131,0.2518601308,0.7683536473
16.65513656,18,trans,0,0,0.377252104,4.146389042e-16,-1.188122949e-15,0.7865265068,0.09999958249,0.6286238624
16.65513656,18,refl,0,0,0.377252104,2.17191807e-16,-1.071150502e-15,-0.2117659007,0.1087641122,0.05667442881
15.77855042,19,trans,0,0,0.3982105542,3.264529126e-16,-9.408265152e-16,0.7443867341,0.06169533641,0.5579179244
15.77855042,19,trans,-1,0,0.06602330411,4.034692688e-18,1.904131115e-17,-4.39577918e-16,3.043522932e-16,2.862379147e-31
15.77855042,19,trans,0,-1,0.06602330411,-3.577230646e-17,2.263897832e-16,2.160841334e-16,6.175458806e-17,1.030379737e-31
15.77855042,19,trans,0,1,0.06602330411,-3.056372985e-17,2.159946649e-16,2.084026863e-16,5.485032268e-17,9.402807436e-32
15.77855042,19,trans,1,0,0.06602330411,7.525227411e-17,-8.22779118e-17,-4.460494714e-16,2.808103576e-16,2.902471474e-31
15.77855042,19,refl,0,0,0.3982105542,9.622590749e-16,-1.082592566e-15,-0.254563188,0.07574231358,0.07053931477
15.77855042,19,refl,-1,0,0.06602330411,3.771435687e-18,1.747821775e-17,4.398258938e-16,-3.11172386e-16,2.905947825e-31
15.77855042,19,refl,0,-1,0.06602330411,-3.667579515e-17,2.254985347e-16,-2.179476676e-16,-5.918299323e-17,1.031985156e-31
15.77855042,19,refl,0,1,0.06602330411,-3.141880088e-17,2.144351917e-16,-2.108145928e-16,-5.010502039e-17,9.392289808e-32
15.77855042,19,refl,1,0,0.06602330411,7.5514113e-17,-8.290751204e-17,4.481179646e-16,-2.941979748e-16,2.999381954e-31
14.9896229,20,trans,0,0,0.4191690044,6.467555016e-15,1.520089472e-15,0.3304749783,0.3160674958,0.2091123731
14.9896229,20,trans,-1,0,0.1465949708,1.632353636e-16,-3.04764106e-16,1.623716755e-16,3.451025411e-16,2.649872692e-31
14.9896229,20,trans,0,-1,0.1465949708,-4.721189325e-16,-4.55646767e-16,2.302437871e-16,-4.790259617e-17,4.85817123e-31
14.9896229,20,trans,0,1,0.1465949708,-3.222588034e-16,-3.936811908e-16,2.489916862e-16,-5.424113188e-17,3.237745765e-31
14.9896229,20,trans,1,0,0.1465949708,2.637883866e-16,-3.113460529e-16,1.047530664e-16,2.700371743e-16,2.50413958e-31
14.9896229,20,refl,0,0,0.4191690044,7.06269186e-15,2.312477566e-15,-0.6748527189,0.3511891373,0.5787600023
14.9896229,20,refl,-1,0,0.1465949708,1.645999206e-16,-3.067230397e-16,-1.58543546e-16,-3.434170458e-16,2.642434803e-31
14.9896229,20,refl,0,-1,0.1465949708,-4.683605487e-16,-4.582302795e-16,-2.292299301e-16,4.535679969e-17,4.839401927e-31
14.9896229,20,refl,0,1,0.1465949708,-3.213634722e-16,-3.957023611e-16,-2.485632574e-16,5.193438316e-17,3.243357129e-31
14.9896229,20,refl,1,0,0.1465949708,2.601991604e-16,-3.124842652e-16,-1.004914093e-16,-2.715536625e-16,2.491899341e-31
14.27583133,21,trans,0,0,0.4401274546,-5.737942165e-17,-4.52710726e-16,0.08482855273,0.1033082429,0.0178684764
14.27583133,21,trans,-1,0,0.1987450818,1.581384951e-16,-2.670037922e-16,-1.560172498e-16,-1.515749867e-16,1.436151675e-31
14.27583133,21,trans,0,-1,0.1987450818,2.474805358e-17,-1.576194642e-16,5.405110114e-17,1.418185785e-16,4.84903924e-32
