lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-1.086024352e-14,1.482642062e-15,0.7509149301,0.3826567467,0.710299418
29.9792458,10,refl,0,0,0.2095845022,-1.112122298e-14,-1.541768818e-15,-0.2452037134,0.3971965234,0.2178899392
27.25385982,11,trans,0,0,0.2305429524,1.317186946e-14,1.072707855e-14,0.6764576132,0.4169898967,0.6314754765
27.25385982,11,refl,0,0,0.2305429524,1.303989589e-14,4.531559645e-15,-0.3198556828,0.4340865958,0.2907388305
24.98270483,12,trans,0,0,0.2515014026,-7.825091337e-15,8.827104693e-15,0.607721629,0.4515186601,0.5731946787
24.98270483,12,refl,0,0,0.2515014026,-4.898805436e-15,3.986984495e-15,-0.3860423227,0.4579828786,0.358776992
23.06095831,13,trans,0,0,0.2724598529,-1.543975554e-15,-2.44586984e-15,0.5297969526,0.4707043203,0.5022473681
23.06095831,13,refl,0,0,0.2724598529,9.053382934e-16,2.094288395e-15,-0.4568209754,0.466714993,0.4265082883
21.413747,14,trans,0,0,0.2934183031,-7.952251857e-16,6.804769757e-16,0.5170539369,0.4794032731,0.4971722719
21.413747,14,refl,0,0,0.2934183031,1.305398193e-16,-4.945334063e-16,-0.4816242622,0.4827273384,0.4649876133
19.98616387,15,trans,0,0,0.3143767533,-5.256650197e-15,-3.879296671e-15,0.3324656506,0.4163868593,0.2839114254
19.98616387,15,refl,0,0,0.3143767533,-8.901818927e-15,-4.142079474e-15,-0.6452701103,0.4400556903,0.6100225259
18.73702863,16,trans,0,0,0.3353352035,-3.993766564e-15,-3.356530014e-15,0.233262245,0.3419648522,0.1713512351
18.73702863,16,refl,0,0,0.3353352035,-5.467004861e-15,-4.942980842e-15,-0.7473053196,0.3751730264,0.6992200405
17.63485047,17,trans,0,0,0.3562936537,1.814777908e-14,1.967079859e-14,0.1684488842,0.225603528,0.07927197842
17.63485047,17,refl,0,0,0.3562936537,6.939282385e-15,4.736755084e-15,-0.8261757014,0.2316738198,0.7362390484
16.65513656,18,trans,0,0,0.377252104,-6.491859954e-16,3.665632972e-15,0.09393421624,0.01323693178,0.008998853343
16.65513656,18,refl,0,0,0.377252104,5.317576159e-16,6.41493114e-15,-0.8942748876,0.01435173312,0.7999335468
15.77855042,19,trans,0,0,0.3982105542,-2.234354527e-16,1.688327187e-15,0.7411337465,0.05465005097,0.5522658583
15.77855042,19,trans,-1,0,0.06602330411,-1.035118086e-16,1.652769109e-16,-7.913137257e-18,9.478479233e-17,4.707792638e-32
15.77855042,19,trans,0,-1,0.06602330411,-2.125073397e-16,1.726085858e-16,2.232076802e-16,-1.395203156e-16,1.442406803e-31
15.77855042,19,trans,0,1,0.06602330411,-2.068464569e-16,1.6851786e-16,2.192632958e-16,-1.472761628e-16,1.409503868e-31
15.77855042,19,trans,1,0,0.06602330411,-3.272590441e-17,6.393694248e-17,-1.339987161e-17,7.137635867e-17,1.043305857e-32
