lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,101.0857894,9.199278173e-16,1.825113405e-14,-0.2452037134,0.3971965234,0.7509149301,0.3826567467,0.4667868242,0.8427926305,1.122758441e-14,1.096098156e-14,0.2178899392,0.710299418,0.07181064278,1,0,0,0.5779131688,1.051236338,55.7455402,49.08269127,6.662848927
27.25385982,11,3,103.9100098,1.173163559e-15,7.34867509e-15,-0.3198556828,0.4340865958,0.6764576132,0.4169898967,0.5392020312,0.7946543126,1.380485124e-14,1.698729994e-14,0.2907388305,0.6314754765,0.07778569304,1,0,0,0.7095095812,1.052904818,96.72488726,87.25719253,9.467694733
24.98270483,12,3,131.9978955,1.233268971e-15,6.35037306e-15,-0.3860423227,0.4579828786,0.607721629,0.4515186601,0.5989799596,0.757096215,6.316196646e-15,1.179617869e-14,0.358776992,0.5731946787,0.06802832926,1,0,0,0.8522580053,1.039878523,164.4584699,151.3373919,13.12107807
23.06095831,13,3,206.9233945,9.993901961e-16,1.743368562e-13,-0.4568209754,0.466714993,0.5297969526,0.4707043203,0.6530760203,0.7086941287,2.281596219e-15,2.892428009e-15,0.4265082883,0.5022473681,0.07124434363,1,0,0,1.011251213,0.9925434559,271.0556964,252.3884299,18.66726645
21.413747,14,2,53.96593212,2.938630476e-16,5.381248007e-12,-0.4816242622,0.4827273384,0.5170539369,0.4794032731,0.6819000024,0.7051044404,5.114723202e-16,1.046628879e-15,0.4649876133,0.4971722719,0.03784011482,1,0,0,1.121017501,0.8495223601,391.8401932,366.6756925,25.1645007
19.98616387,15,3,138.2912428,2.073341592e-15,3.709348563e-13,-0.6452701103,0.4400556903,0.3324656506,0.4163868593,0.7810393882,0.5328333936,9.818309558e-15,6.533093751e-15,0.6100225259,0.2839114254,0.1060660488,1,0,0,1.287707012,0.7059614635,552.2921148,518.7095722,33.58254263
18.73702863,16,3,54.56326213,1.156562555e-15,4.600584729e-13,-0.7473053196,0.3751730264,0.233262245,0.3419648522,0.8361937816,0.4139459325,7.370291837e-15,5.216940205e-15,0.6992200405,0.1713512351,0.1294287245,1,0,0,1.304247656,0.4963248228,626.3021144,587.7208088,38.5813056
17.63485047,17,4,284.4605412,1.688438527e-15,2.016812746e-14,-0.8261757014,0.2316738198,0.1684488842,0.225603528,0.8580437334,0.2815527986,8.40181461e-15,2.676344901e-14,0.7362390484,0.07927197842,0.1844889732,1,0,0,1.261436356,0.3222148352,642.3343248,600.0298099,42.3045149
16.65513656,18,3,278.0622379,9.164654407e-16,3.29530426e-15,-0.8942748876,0.01435173312,0.09393421624,0.01323693178,0.8943900418,0.0948622862,6.436933097e-15,3.722674783e-15,0.7999335468,0.008998853343,0.1910675998,1,0,0,1.20996808,0.2145040251,621.8056481,581.7828902,40.02275792
15.77855042,19,2,82.52651117,1.09473638e-15,6.295839153e-12,-0.2536313165,0.07461131472,0.7411337465,0.05465005097,0.2643779359,0.7431459199,2.311750731e-17,1.703047883e-15,0.06989569301,0.5522658583,0.3778384487,5,3.43732127e-31,3.427020521e-31,1.082582659,0.1740423521,552.3634848,515.9616239,36.4018609
14.9896229,20,3,82.97671699,9.457438436e-16,9.319557093e-12,-0.666183298,0.347020923,0.3266150351,0.3219475658,0.7511482593,0.4586148889,5.753207834e-15,4.622946889e-15,0.5642237075,0.2103276163,0.2254486763,5,1.659766492e-31,1.606314797e-31,1.106669835,0.3397696491,546.8917139,509.9063878,36.98532609
14.27583133,21,4,127.3075534,1.379911923e-15,2.011312727e-13,-0.9110051906,0.117086242,0.0840370661,0.08880547997,0.9184985822,0.1222646382,6.218971291e-15,7.346429614e-15,0.8436396454,0.01494864175,0.1414117128,5,5.06567023e-31,5.045774396e-31,1.04330839,0.4642547601,488.1166283,455.0759419,33.04068641
13.62692991,22,4,57.92517458,1.673955358e-15,5.874846787e-13,-0.9181466409,-0.1071020622,0.07691366795,-0.136055515,0.9243722767,0.1562908042,3.489412223e-15,4.311640274e-15,0.8544641059,0.02442681549,0.1211090786,5,5.358036397e-31,5.304321725e-31,0.9516027703,0.5620854475,416.6748984,387.0390786,29.63581983
13.0344547,23,5,273.0620693,4.578452732e-15,9.543168104e-14,-0.7789188114,-0.2678394644,0.2133676717,-0.2969051869,0.823682277,0.3656206413,9.450693088e-14,2.227621478e-13,0.6784524934,0.1336784533,0.1878690533,5,1.380178437e-30,1.356437476e-30,0.8586186316,0.6424944707,349.852944,323.156955,26.69598908
12.49135242,24,5,164.5984194,2.384966048e-15,1.552778581e-13,-0.6984515884,-0.368733948,0.2924699896,-0.3968635716,0.7898096896,0.4929902528,3.93973213e-14,5.365064472e-14,0.6237993458,0.2430393893,0.1331612649,5,1.715210177e-30,1.732451846e-30,0.7709855227,0.7061947121,290.7600394,266.9037239,23.85631547
11.99169832,25,5,61.53565325,1.193196104e-15,1.367739662e-13,-0.5614464961,-0.4279448448,0.4277527028,-0.455926648,0.7059454357,0.6251731625,1.209259207e-14,1.736861524e-14,0.4983589581,0.3908414832,0.1107995587,5,1.388134299e-31,1.401618359e-31,0.6895913683,0.7568632869,240.8090425,219.3228158,21.4862267
11.53047915,26,5,64.14126131,9.751730514e-16,3.358128548e-12,-0.3689031337,-0.4227058987,0.6191573584,-0.4525967566,0.561043491,0.7669417569,5.166983502e-15,8.570940887e-15,0.3147697988,0.5881996585,0.09703054265,5,7.428596805e-32,7.414596208e-32,0.6136554086,0.79726407,199.0628193,179.6316295,19.43118988
11.10342437,27,5,160.5168387,9.587924141e-16,2.915699572e-13,-0.4602860638,-0.2642023629,0.5298346873,-0.2966101499,0.53072229,0.6072086766,7.718005937e-15,7.690610691e-15,0.4137635238,0.5031971585,0.08303931768,9,0.1320973747,0.1344947816,0.5427439805,0.8293236117,164.4978905,146.8986863,17.59920418
10.7068735,28,5,111.9337811,7.154667148e-16,4.437149961e-12,-0.4017090394,-0.3230891933,0.587694887,-0.356726148,0.5155160319,0.6874873271,8.031663124e-15,8.591923374e-15,0.3566395418,0.567741861,0.07561859723,9,0.09088276265,0.09510303603,0.4770791822,0.8535714509,136.4630365,120.2448923,16.21814426
10.33767097,29,5,84.57691205,5.888053076e-16,2.162567479e-12,-0.3337096586,-0.3294627907,0.654703914,-0.3650543128,0.4689433513,0.7496011381,8.626632982e-15,7.498288825e-15,0.291167839,0.6375754469,0.07125671407,9,0.07125997235,0.07567358061,0.4166079912,0.8717504789,114.0156818,98.97623436,15.03944748
9.993081933,30,5,76.94098979,5.567221285e-16,7.863495092e-12,-0.2689413394,-0.3155418644,0.7188747252,-0.3529404565,0.4146035603,0.8008419547,3.80538671e-15,4.859144643e-15,0.2304972048,0.7033623731,0.06614042209,9,0.05860109262,0.06201453671,0.3607535628,0.8853498859,96.16591402,82.25325019,13.91266383
9.670724452,31,5,84.18942866,4.874701738e-16,6.206549562e-11,-0.2101942816,-0.2883515638,0.7771545378,-0.3268655286,0.3568308568,0.8430956348,1.838023308e-15,2.993829475e-15,0.1763151129,0.7626194193,0.06106546781,9,0.04898685256,0.0518091699,0.3096880208,0.8949980043,82.26255954,69.25444345,13.00811609
9.368514313,32,5,95.02172148,4.880962246e-16,5.07202134e-11,-0.1590167352,-0.2509540875,0.8275756436,-0.2897491142,0.2970930429,0.8768329345,1.201940561e-12,1.190907713e-12,0.1296589347,0.8130530909,0.05728797444,9,0.04139465858,0.04421709576,0.2630936062,0.9009106238,71.86010628,59.40219468,12.45791159
9.084619939,33,5,72.31433158,4.992882293e-16,9.058646534e-11,-0.1169244184,-0.2034527941,0.8697505602,-0.24332458,0.2346579618,0.9031461057,3.40472638e-13,3.244088524e-13,0.09066191798,0.8541046931,0.0552333889,9,0.03559755893,0.03843180488,0.2196689459,0.9033768129,64.54147424,52.30104976,12.24042448
8.817425235,34,5,36.46194895,4.602253755e-16,9.103534121e-12,-0.08411005842,-0.1452880009,0.9041147174,-0.1875579227,0.167878245,0.9233641733,9.847477003e-14,1.027942326e-13,0.05887634715,0.8863565702,0.05476708261,9,0.03069324202,0.03375517366,0.1795279052,0.9030793927,59.78568113,47.69411462,12.09156652
